Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GWW,2020-12,-61.00M,585.00M,1.914B,8.00M,0,3.14,3.12,619.00M,3.537B,1.027B,2020-12,1.733B,168.00M,-21.00M,-21.00M,1.395B,110.00M,2.389B,275.00M,1.126B,259.00M,74.00M,2.941B,752.00M,1.828B,6.295B,55.00M,3.919B,1.441B,4.202B,2.376B,2.761B,752.00M,821.00M,1.474B
GWW,2020-09,-134.00M,859.00M,1.944B,12.00M,0,4.43,4.41,593.00M,3.527B,1.074B,2020-09,1.78B,240.00M,-23.00M,-23.00M,1.394B,112.00M,2.388B,380.00M,1.18B,362.00M,106.00M,3.018B,694.00M,2.131B,6.583B,55.00M,4.273B,1.441B,4.208B,2.31B,2.767B,694.00M,856.00M,1.485B
GWW,2020-06,-151.00M,1.603B,1.821B,36.00M,0,2.11,2.1,588.00M,3.47B,1.016B,2020-06,1.695B,114.00M,-28.00M,-28.00M,1.365B,103.00M,3.301B,205.00M,1.107B,184.00M,55.00M,2.837B,811.00M,1.929B,7.194B,55.00M,4.918B,1.388B,5.042B,2.276B,3.654B,811.00M,795.00M,1.46B
GWW,2020-03,-217.00M,1.492B,1.88B,38.00M,0,3.2,3.19,587.00M,3.478B,1.121B,2020-03,1.615B,173.00M,-21.00M,-21.00M,1.357B,99.00M,3.303B,159.00M,1.266B,142.00M,-43.00M,3.001B,962.00M,1.81B,7.177B,55.00M,4.914B,1.50B,5.147B,2.263B,3.647B,962.00M,882.00M,1.613B
GWW,2019-12,-154.00M,360.00M,1.765B,301.00M,0,1.89,1.88,733.00M,3.493B,1.082B,2019-12,1.655B,103.00M,-19.00M,-19.00M,1.40B,106.00M,1.914B,181.00M,1.064B,170.00M,53.00M,2.847B,901.00M,1.855B,6.005B,55.00M,3.555B,1.678B,3.945B,2.45B,2.267B,901.00M,746.00M,1.425B
GWW,2019-09,-174.00M,286.00M,1.848B,270.00M,0,4.27,4.25,847.00M,3.451B,1.099B,2019-09,1.52B,233.00M,-20.00M,-20.00M,1.384B,120.00M,1.918B,338.00M,1.062B,322.00M,78.00M,2.947B,761.00M,1.871B,5.922B,55.00M,3.396B,1.572B,3.85B,2.526B,2.278B,761.00M,735.00M,1.495B
GWW,2019-06,-156.00M,315.00M,1.772B,132.00M,0,4.69,4.67,866.00M,3.424B,1.121B,2019-06,1.535B,260.00M,-21.00M,-21.00M,1.38B,115.00M,2.08B,380.00M,1.091B,366.00M,94.00M,2.893B,741.00M,1.923B,5.992B,55.00M,3.456B,1.452B,3.878B,2.536B,2.426B,741.00M,803.00M,1.503B
GWW,2019-03,-168.00M,392.00M,1.704B,134.00M,0,4.5,4.48,871.00M,3.481B,1.095B,2019-03,1.523B,253.00M,-19.00M,-19.00M,1.358B,101.00M,2.077B,363.00M,1.155B,351.00M,89.00M,2.799B,732.00M,1.971B,6.014B,55.00M,3.508B,1.462B,3.862B,2.506B,2.40B,732.00M,831.00M,1.485B
GWW,2018-12,-171.00M,538.00M,1.697B,130.00M,0,3.71,3.68,884.00M,3.441B,1.066B,2018-12,1.541B,209.00M,-16.00M,-16.00M,1.352B,103.00M,2.09B,290.00M,976.00M,279.00M,60.00M,2.763B,776.00M,1.921B,5.873B,55.00M,3.557B,1.501B,3.78B,2.316B,2.279B,776.00M,707.00M,1.385B
GWW,2018-09,-164.86M,516.85M,1.752B,86.40M,0,1.84,1.82,909.34M,3.441B,1.079B,2018-09,1.473B,104.00M,-20.00M,-20.00M,1.349B,115.64M,2.148B,189.00M,1.072B,171.00M,56.00M,2.831B,890.00M,1.938B,5.932B,54.83M,3.583B,1.467B,3.832B,2.349B,2.365B,890.00M,769.43M,1.481B
GWW,2018-06,-167.11M,312.46M,1.75B,84.39M,0,4.19,4.16,1.069B,3.426B,1.111B,2018-06,1.464B,237.00M,-21.00M,-21.00M,1.360B,117.21M,2.210B,344.00M,1.046B,324.00M,76.00M,2.861B,767.00M,1.894B,5.905B,54.83M,3.373B,1.424B,3.854B,2.532B,2.430B,767.00M,773.70M,1.463B
