Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HAL,2021-03,-362.00M,2.446B,2.843B,765.00M,0,0.19,0.19,2.804B,4.991B,394.00M,2021-03,2.349B,170.00M,-125.00M,-125.00M,4.991B,0,9.845B,370.00M,1.769B,223.00M,52.00M,3.451B,44.00M,5.17B,20.58B,2.666B,9.52B,4.225B,15.40B,11.06B,11.17B,0,1.769B,3.25B
HAL,2020-12,-340.00M,2.563B,2.659B,946.00M,0,-0.27,-0.27,2.804B,16.15B,316.00M,2020-12,2.349B,-235.00M,-122.00M,-122.00M,5.111B,0,9.89B,350.00M,1.865B,-240.00M,-13.00M,3.237B,41.00M,4.974B,20.68B,2.666B,9.475B,4.421B,15.70B,11.20B,11.28B,44.00M,1.865B,3.071B
HAL,2020-09,-342.00M,2.115B,2.917B,435.00M,0,-0.02,-0.02,2.804B,17.03B,279.00M,2020-09,2.58B,-17.00M,-124.00M,-124.00M,5.794B,0,10.39B,275.00M,1.548B,-1.00M,18.00M,2.975B,43.00M,5.20B,20.87B,2.666B,9.023B,3.923B,15.67B,11.85B,11.75B,41.00M,1.548B,3.145B
HAL,2020-06,-351.00M,1.811B,4.481B,400.00M,0,-1.91,-1.91,2.801B,17.05B,556.00M,2020-06,2.745B,-1.676B,-134.00M,-134.00M,5.906B,0,10.42B,236.00M,1.708B,-2.083B,-402.00M,3.196B,54.00M,5.189B,21.10B,2.669B,9.099B,4.094B,15.91B,12.00B,11.81B,43.00M,1.708B,3.345B
HAL,2020-03,-362.00M,1.385B,4.586B,415.00M,0,-1.16,-1.16,2.812B,20.10B,605.00M,2020-03,3.22B,-1.017B,-141.00M,-141.00M,7.12B,0,10.44B,502.00M,2.64B,-896.00M,119.00M,5.037B,59.00M,6.83B,23.62B,2.669B,10.66B,5.053B,16.78B,12.97B,11.73B,54.00M,2.64B,4.85B
HAL,2019-12,-353.00M,2.268B,4.961B,219.00M,0,-1.88,-1.88,2.812B,20.87B,589.00M,2019-12,3.139B,-1.653B,-141.00M,-141.00M,8.241B,0,11.14B,546.00M,2.742B,-1.837B,-183.00M,5.191B,53.00M,8.012B,25.38B,2.67B,11.21B,4.878B,17.35B,14.16B,12.47B,59.00M,2.742B,4.577B
HAL,2019-09,-352.00M,1.571B,5.324B,208.00M,0,0.34,0.34,2.832B,23.55B,606.00M,2019-09,3.38B,295.00M,-144.00M,-144.00M,9.706B,0,11.08B,536.00M,2.733B,372.00M,76.00M,5.55B,56.00M,9.745B,26.79B,2.67B,11.22B,4.692B,17.03B,15.57B,12.34B,53.00M,2.733B,5.29B
HAL,2019-06,-354.00M,1.176B,5.252B,215.00M,0,0.09,0.09,2.825B,23.35B,485.00M,2019-06,3.347B,75.00M,-143.00M,-143.00M,9.756B,0,11.07B,550.00M,3.017B,151.00M,74.00M,5.93B,59.00M,9.508B,26.88B,2.671B,11.22B,4.955B,17.36B,15.66B,12.40B,56.00M,3.017B,5.70B
HAL,2019-03,-355.00M,1.38B,5.269B,255.00M,0,0.17,0.17,2.824B,23.18B,667.00M,2019-03,3.264B,152.00M,-137.00M,-137.00M,9.872B,0,11.06B,426.00M,3.08B,192.00M,40.00M,5.737B,59.00M,9.605B,26.99B,2.671B,11.19B,5.047B,17.36B,15.80B,12.32B,59.00M,3.08B,5.622B
HAL,2018-12,0,2.008B,0,0,0,0.76,0.76,2.825B,22.03B,0,2018-12,3.028B,664.00M,0,0,8.873B,0,10.31B,608.00M,3.266B,458.00M,-210.00M,5.936B,0,9.522B,25.98B,0,11.15B,4.802B,16.44B,14.83B,11.64B,59.00M,3.266B,5.234B
