Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HAS,2020-12,-194.95M,1.450B,775.73M,439.20M,161.02M,0.77,0.76,5.223B,1.105B,947.24M,2020-12,395.63M,105.17M,-46.42M,-46.42M,489.04M,0,4.660B,238.94M,1.753B,138.47M,32.31M,84.66M,1.723B,467.78M,2.897B,10.82B,110.14M,3.847B,2.403B,7.882B,6.972B,5.478B,708.31M,600.75M,1.392B
HAS,2020-09,-280.33M,1.061B,787.04M,422.12M,147.55M,1.61,1.61,5.191B,1.024B,989.58M,2020-09,540.04M,220.90M,-48.69M,-48.69M,477.15M,0,4.778B,342.51M,1.704B,299.20M,79.22M,62.71M,1.777B,462.77M,2.774B,10.70B,110.14M,3.759B,2.316B,7.895B,6.944B,5.579B,647.07M,648.27M,1.438B
HAS,2020-06,-308.13M,966.12M,350.58M,427.35M,141.65M,-0.25,-0.25,5.225B,1.010B,509.70M,2020-06,564.17M,-33.92M,-48.55M,-48.55M,482.22M,0,4.803B,12.44M,1.365B,-43.73M,-10.83M,58.32M,860.28M,353.56M,2.604B,10.22B,110.14M,3.186B,1.982B,7.580B,7.036B,5.598B,497.26M,516.81M,911.32M
HAS,2020-03,-294.77M,1.152B,375.52M,73.85M,48.46M,-0.51,-0.51,5.188B,969.14M,730.05M,2020-03,444.41M,-69.64M,-50.06M,-50.06M,455.94M,0,5.156B,126.50M,1.665B,-71.88M,-4.072M,53.83M,1.106B,380.77M,2.729B,10.42B,110.14M,3.319B,1.739B,7.660B,7.106B,5.921B,603.56M,308.50M,963.82M
HAS,2019-12,-184.22M,4.580B,732.64M,0.503M,100.00M,2.02,2.01,1.141B,915.78M,695.37M,2019-12,446.10M,267.34M,-23.84M,-23.84M,382.25M,0,4.046B,190.38M,1.173B,298.76M,31.42M,72.91M,1.428B,392.78M,2.996B,8.856B,110.14M,6.748B,1.257B,5.860B,2.108B,4.603B,504.99M,503.71M,1.411B
HAS,2019-09,-185.38M,1.060B,755.13M,7.903M,0,1.68,1.67,1.143B,868.58M,820.05M,2019-09,589.13M,212.95M,-17.28M,-17.28M,371.88M,0,1.696B,297.21M,1.459B,259.75M,46.80M,67.35M,1.575B,415.64M,1.841B,5.555B,104.85M,3.413B,1.467B,3.714B,2.141B,2.247B,522.84M,501.14M,1.417B
HAS,2019-06,-173.18M,1.151B,414.76M,12.79M,0,0.11,0.11,1.156B,877.37M,569.78M,2019-06,564.77M,13.43M,-16.02M,-16.02M,387.37M,0,1.696B,128.33M,1.060B,6.108M,-7.325M,65.63M,984.54M,340.50M,1.716B,5.039B,104.85M,2.830B,1.073B,3.323B,2.209B,2.250B,441.45M,330.05M,805.29M
HAS,2019-03,-282.34M,1.197B,319.88M,13.41M,0,0.21,0.21,1.168B,879.82M,412.64M,2019-03,491.75M,26.73M,-14.63M,-14.63M,395.62M,0,1.695B,36.13M,935.32M,29.60M,2.868M,56.26M,732.51M,301.86M,1.655B,4.935B,104.85M,2.632B,948.72M,3.280B,2.303B,2.332B,376.51M,234.26M,638.42M
HAS,2018-12,-294.51M,1.182B,712.29M,9.74M,0,0.07,0.07,1.180B,719.18M,676.88M,2018-12,443.38M,8.766M,-17.30M,-17.30M,256.47M,0,1.695B,10.55M,1.088B,-5.128M,-13.89M,63.12M,1.389B,583.90M,1.754B,5.263B,104.85M,3.083B,1.274B,3.509B,2.180B,2.234B,666.33M,488.96M,1.188B
HAS,2018-09,-296.74M,907.11M,760.86M,20.31M,0,2.08,2.06,1.305B,707.15M,808.82M,2018-09,610.92M,263.86M,-18.11M,-18.11M,255.15M,0,1.695B,313.34M,1.302B,295.79M,31.93M,65.81M,1.570B,406.75M,1.887B,5.495B,104.85M,3.192B,1.322B,3.608B,2.303B,2.286B,495.49M,458.81M,1.391B
HAS,2018-06,-295.08M,1.159B,404.35M,20.12M,0,0.48,0.48,1.314B,710.40M,500.11M,2018-06,610.25M,60.30M,-16.50M,-16.50M,265.90M,0,1.694B,87.59M,1.032B,68.12M,7.825M,59.86M,904.46M,340.81M,1.767B,5.114B,104.85M,2.828B,1.052B,3.347B,2.286B,2.295B,412.52M,339.86M,739.27M
HAS,2018-03,-292.40M,1.599B,324.84M,21.61M,0,-0.9,-0.9,784.48M,699.02M,391.50M,2018-03,517.44M,-112.49M,-16.56M,-16.56M,262.42M,0,1.694B,-80.42M,830.92M,-88.39M,24.10M,57.38M,716.34M,396.02M,1.571B,4.729B,104.85M,3.022B,852.53M,3.158B,1.707B,2.305B,471.92M,256.43M,612.70M
HAS,2017-12,-239.42M,1.581B,751.46M,154.96M,0,-0.04,-0.04,790.44M,681.76M,844.66M,2017-12,433.29M,-5.298M,-18.40M,-18.40M,259.71M,0,1.694B,271.09M,1.086B,278.59M,283.88M,76.26M,1.596B,471.10M,1.830B,5.290B,104.85M,3.634B,1.252B,3.460B,1.656B,2.208B,573.57M,476.57M,1.405B
HAS,2017-09,-234.79M,1.245B,869.88M,189.01M,0,2.12,2.09,796.46M,680.86M,921.62M,2017-09,629.12M,265.58M,-19.71M,-19.71M,263.86M,0,1.693B,360.94M,1.296B,349.84M,84.26M,67.39M,1.792B,481.41M,1.956B,5.545B,104.85M,3.762B,1.485B,3.588B,1.782B,2.104B,560.68M,525.85M,1.656B
HAS,2017-06,-226.61M,1.434B,447.38M,536.78M,0,0.54,0.53,802.33M,677.17M,525.12M,2017-06,557.51M,67.72M,-19.11M,-19.11M,268.97M,0,1.199B,99.98M,935.47M,86.89M,19.16M,62.79M,972.51M,349.28M,1.832B,4.913B,104.85M,3.095B,1.472B,3.080B,1.818B,1.608B,425.14M,368.31M,846.55M
HAS,2017-03,-197.17M,1.463B,370.46M,415.11M,0,0.55,0.54,809.01M,662.92M,479.20M,2017-03,416.23M,68.60M,-18.89M,-18.89M,270.02M,0,1.199B,78.34M,786.71M,70.84M,2.238M,62.59M,849.66M,324.82M,1.852B,4.646B,104.85M,2.800B,1.202B,2.794B,1.846B,1.592B,400.86M,241.21M,676.94M
HAS,2016-12,-194.57M,1.282B,770.42M,522.30M,0,1.54,1.52,816.50M,651.11M,859.52M,2016-12,387.68M,192.72M,-22.24M,-22.24M,267.40M,0,1.199B,255.16M,1.096B,219.93M,39.33M,75.46M,1.630B,501.78M,1.863B,5.091B,104.85M,3.228B,1.618B,3.229B,1.864B,1.611B,604.36M,383.03M,1.320B
