Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HBAN,2021-03,-56.00M,28.02B,219.00M,0.49,0.48,2.47B,1.723B,2021-03,532.00M,80.06B,747.00M,0,7.21B,0,634.00M,102.00M,1.367B,605.00M,13.60B,125.77B,2.686B,28.02B,219.00M,112.17B,114.55B,109.39B,615.00M,0,0
HBAN,2020-12,192.00M,7.016B,112.00M,0.28,0.27,2.418B,1.723B,2020-12,316.00M,81.07B,757.00M,0,8.352B,0,375.00M,59.00M,1.234B,559.00M,12.99B,123.04B,2.201B,7.016B,183.00M,110.04B,113.75B,107.30B,569.00M,0,0
HBAN,2020-09,257.00M,6.729B,222.00M,0.27,0.27,2.409B,1.705B,2020-09,303.00M,80.66B,752.00M,0,9.174B,0,358.00M,55.00M,1.247B,566.00M,12.92B,120.12B,2.201B,6.729B,222.00M,107.20B,111.16B,104.33B,576.00M,0,0
HBAN,2020-06,290.00M,6.712B,146.00M,0.13,0.13,2.401B,0,2020-06,150.00M,79.60B,751.00M,0,9.753B,0,181.00M,31.00M,1.183B,522.00M,12.31B,118.42B,1.707B,6.712B,146.00M,106.11B,109.49B,103.44B,532.00M,0,0
HBAN,2020-03,227.00M,2.159B,2.826B,0.03,0.03,2.407B,0,2020-03,48.00M,77.53B,743.00M,0,9.796B,0,58.00M,10.00M,1.151B,498.00M,11.77B,113.90B,1.213B,2.159B,2.826B,102.13B,109.44B,96.63B,509.00M,0,0
HBAN,2019-12,-256.00M,1.501B,1.565B,0.29,0.28,2.465B,0,2019-12,317.00M,75.50B,763.00M,0,9.849B,0,372.00M,55.00M,1.152B,534.00M,11.80B,109.00B,1.213B,1.501B,2.606B,97.21B,105.19B,92.20B,546.00M,0,0
HBAN,2019-09,-175.00M,2.049B,2.173B,0.34,0.34,2.445B,0,2019-09,372.00M,75.17B,775.00M,0,9.874B,0,439.00M,67.00M,1.188B,511.00M,11.91B,108.74B,1.213B,2.049B,2.173B,96.83B,104.44B,92.27B,523.00M,0,0
HBAN,2019-06,-273.00M,2.058B,4.161B,0.33,0.33,2.471B,0,2019-06,364.00M,75.04B,774.00M,0,8.973B,0,427.00M,63.00M,1.186B,536.00M,11.67B,108.25B,1.213B,2.058B,4.161B,96.58B,103.97B,89.86B,548.00M,0,0
HBAN,2019-03,-455.00M,1.737B,2.862B,0.32,0.32,2.503B,0,2019-03,358.00M,75.01B,784.00M,0,9.40B,0,421.00M,63.00M,1.141B,490.00M,11.43B,108.20B,1.214B,1.737B,2.862B,96.77B,104.20B,91.56B,503.00M,0,0
HBAN,2018-12,-609.00M,2.91B,13.00M,0.3,0.29,2.524B,0,2018-12,334.00M,74.93B,790.00M,0,8.625B,0,391.00M,57.00M,1.162B,506.00M,11.10B,108.78B,1.214B,2.91B,2.017B,97.68B,103.55B,93.40B,519.00M,0,0
HBAN,2018-09,-790.00M,15.07B,1.348B,0.33,0.33,2.55B,1.742B,2018-09,378.00M,73.40B,827.00M,0,9.385B,2.296B,440.00M,62.00M,1.144B,487.00M,10.93B,105.65B,1.214B,17.27B,3.644B,94.72B,99.62B,91.07B,500.00M,0,2.198B
HBAN,2018-06,-730.00M,15.49B,2.442B,0.3,0.3,2.56B,1.709B,2018-06,355.00M,72.37B,840.00M,0,9.726B,2.131B,412.00M,57.00M,1.12B,501.00M,11.47B,105.36B,1.214B,17.73B,4.573B,93.89B,99.21B,89.31B,514.00M,0,2.239B
