Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HCA,2021-03,-502.00M,1.03B,8.525B,234.00M,4.999B,4.223,4.14,8.575B,51.96B,5.452B,2021-03,2.068B,1.423B,-384.00M,-384.00M,25.27B,0,32.57B,2.334B,8.408B,1.973B,393.00M,13.98B,0,247.00M,47.28B,3.00M,12.04B,8.642B,44.80B,35.24B,36.15B,3.118B,3.524B,7.424B
HCA,2020-12,-515.00M,1.793B,8.699B,588.00M,0,4.201,4.13,8.578B,51.34B,5.594B,2020-12,2.025B,1.426B,-383.00M,-383.00M,25.22B,0,32.47B,2.45B,7.569B,2.072B,378.00M,14.29B,0,572.00M,47.49B,3.00M,12.33B,8.704B,44.60B,35.16B,35.89B,3.144B,3.878B,7.051B
HCA,2020-09,-562.00M,6.588B,8.225B,172.00M,0,1.97,1.95,8.57B,50.75B,5.086B,2020-09,1.95B,668.00M,-385.00M,-385.00M,24.91B,0,32.43B,1.319B,8.084B,988.00M,209.00M,13.31B,0,-974.00M,51.02B,3.00M,16.27B,14.38B,49.72B,34.75B,35.34B,3.767B,3.27B,6.433B
HCA,2020-06,-571.00M,4.638B,7.078B,163.00M,0,3.2,3.16,8.578B,50.35B,3.99B,2020-06,1.834B,1.079B,-388.00M,-388.00M,24.93B,0,32.31B,1.974B,7.694B,1.56B,344.00M,11.07B,0,-1.786B,48.71B,3.00M,14.03B,12.86B,48.14B,34.68B,35.28B,2.016B,2.882B,6.139B
HCA,2020-03,-460.00M,731.00M,8.241B,162.00M,0,1.72,1.69,8.587B,49.69B,4.62B,2020-03,1.953B,581.00M,-428.00M,-428.00M,24.81B,0,36.20B,1.519B,6.857B,810.00M,112.00M,12.86B,0,-2.962B,45.42B,3.00M,11.02B,7.019B,46.12B,34.40B,39.10B,3.101B,2.75B,6.89B
HCA,2019-12,-461.00M,621.00M,8.337B,495.00M,0,3.164,3.09,8.269B,49.07B,5.186B,2019-12,1.849B,1.071B,-438.00M,-438.00M,24.55B,0,35.08B,2.024B,6.734B,1.607B,334.00M,13.52B,0,-2.808B,45.06B,3.00M,11.20B,7.757B,45.62B,33.86B,37.87B,3.162B,3.23B,7.38B
HCA,2019-09,-431.00M,559.00M,8.061B,148.00M,0,1.8,1.76,8.16B,48.06B,4.633B,2019-09,1.769B,612.00M,-448.00M,-448.00M,23.77B,0,35.54B,1.634B,6.976B,979.00M,215.00M,12.69B,0,-3.565B,43.91B,3.00M,10.77B,7.124B,45.36B,33.14B,38.24B,2.999B,2.61B,7.131B
HCA,2019-06,-374.00M,2.43B,7.955B,2.073B,0,2.29,2.25,8.14B,47.16B,4.647B,2019-06,1.826B,783.00M,-477.00M,-477.00M,23.25B,0,35.58B,1.649B,6.888B,1.198B,271.00M,12.60B,0,-3.902B,45.45B,3.00M,12.87B,8.961B,47.22B,32.58B,38.26B,2.998B,2.609B,7.219B
HCA,2019-03,-381.00M,531.00M,7.688B,3.796B,0,3.03,2.97,8.159B,46.40B,4.829B,2019-03,1.778B,1.039B,-461.00M,-461.00M,22.94B,0,32.51B,1.911B,6.735B,1.46B,279.00M,12.52B,0,-4.354B,43.38B,3.00M,11.11B,10.53B,45.63B,32.27B,35.10B,2.918B,2.693B,7.42B
HCA,2018-12,0,502.00M,7.487B,788.00M,0,3.103,3.01,7.953B,42.96B,4.787B,2018-12,1.732B,1.064B,-446.00M,-446.00M,19.76B,0,32.03B,1.923B,6.322B,1.489B,244.00M,12.27B,0,-4.95B,39.21B,0,10.21B,7.569B,42.12B,28.99B,34.56B,2.864B,2.885B,6.789B
HCA,2018-09,-266.00M,578.00M,7.267B,191.00M,0,2.2,2.15,7.759B,41.98B,4.184B,2018-09,1.634B,759.00M,-442.00M,-442.00M,19.04B,0,32.92B,1.505B,6.04B,1.069B,173.00M,11.45B,0,-5.605B,38.04B,3.00M,10.01B,6.231B,41.77B,28.03B,35.54B,2.679B,2.414B,6.532B
HCA,2018-06,-261.00M,868.00M,7.191B,1.692B,0,2.35,2.31,7.459B,41.14B,4.338B,2018-06,1.636B,820.00M,-436.00M,-436.00M,18.54B,0,31.50B,1.658B,5.933B,1.238B,272.00M,11.53B,0,-5.989B,37.74B,3.00M,10.39B,7.625B,41.87B,27.35B,34.24B,2.68B,2.457B,6.592B
HCA,2018-03,-197.00M,1.086B,7.204B,1.697B,0,3.26,3.18,7.471B,40.31B,4.219B,2018-03,1.677B,1.144B,-431.00M,-431.00M,18.12B,0,31.59B,1.556B,5.781B,1.539B,257.00M,11.42B,0,-6.244B,37.30B,4.00M,10.39B,7.478B,41.73B,26.91B,34.26B,2.663B,2.538B,6.332B
HCA,2017-12,-278.00M,732.00M,7.128B,200.00M,0,1.354,1.3,7.394B,40.08B,4.434B,2017-12,1.573B,474.00M,-433.00M,-433.00M,17.90B,0,32.86B,1.803B,5.891B,1.377B,736.00M,11.56B,0,-6.806B,36.59B,4.00M,9.977B,6.158B,41.59B,26.62B,35.43B,2.631B,2.905B,6.501B
HCA,2017-09,-268.00M,718.00M,6.858B,202.00M,0,1.18,1.15,7.357B,39.26B,3.838B,2017-09,1.546B,426.00M,-427.00M,-427.00M,17.33B,0,32.75B,1.224B,5.409B,778.00M,248.00M,10.70B,0,-6.78B,35.73B,4.00M,9.448B,5.611B,40.80B,26.28B,35.19B,2.614B,2.314B,5.98B
HCA,2017-06,-293.00M,705.00M,6.691B,213.00M,0,1.79,1.75,6.771B,38.31B,4.042B,2017-06,1.544B,657.00M,-411.00M,-411.00M,16.77B,0,31.45B,1.556B,5.558B,1.16B,365.00M,10.73B,0,-6.792B,34.57B,4.00M,9.337B,5.771B,39.64B,25.23B,33.87B,2.486B,2.245B,5.782B
HCA,2017-03,-320.00M,753.00M,6.698B,212.00M,0,1.78,1.74,6.754B,37.59B,3.925B,2017-03,1.501B,659.00M,-419.00M,-419.00M,16.46B,0,31.30B,1.474B,5.251B,1.066B,289.00M,10.62B,0,-7.017B,33.80B,4.00M,9.037B,5.463B,39.15B,24.76B,33.69B,2.451B,2.233B,5.664B
HCA,2016-12,-338.00M,646.00M,6.566B,216.00M,0,2.483,2.39,6.704B,37.06B,4.075B,2016-12,1.503B,920.00M,-432.00M,-432.00M,16.35B,0,31.16B,1.693B,5.618B,1.565B,480.00M,10.64B,0,-7.302B,33.76B,4.00M,9.086B,5.834B,39.39B,24.67B,33.56B,2.382B,2.601B,5.826B
HCA,2016-09,-341.00M,677.00M,6.439B,216.00M,0,1.63,1.59,6.691B,36.45B,3.831B,2016-09,1.503B,618.00M,-432.00M,-432.00M,15.88B,0,31.22B,1.44B,4.939B,1.018B,273.00M,10.27B,0,-7.763B,33.13B,4.00M,8.843B,5.155B,39.29B,24.28B,34.14B,2.391B,1.95B,5.503B
HCA,2016-06,-344.00M,691.00M,6.409B,224.00M,0,1.7,1.65,6.694B,35.87B,3.91B,2016-06,1.481B,658.00M,-427.00M,-427.00M,15.62B,0,31.23B,1.553B,5.172B,1.132B,341.00M,10.32B,0,-8.107B,33.20B,4.00M,9.095B,5.396B,39.70B,24.11B,34.31B,2.357B,1.934B,5.669B
HCA,2016-03,-294.00M,852.00M,6.416B,226.00M,0,1.75,1.69,6.713B,34.98B,3.844B,2016-03,1.415B,694.00M,-416.00M,-416.00M,15.06B,0,30.33B,1.512B,5.172B,1.095B,284.00M,10.26B,0,-7.556B,32.78B,4.00M,9.201B,5.398B,38.78B,23.58B,33.38B,2.332B,1.944B,5.88B
HCA,2015-12,-265.00M,741.00M,6.292B,233.00M,0,1.46,1.4,6.731B,34.61B,3.957B,2015-12,1.439B,582.00M,-410.00M,-410.00M,15.01B,0,30.26B,1.643B,5.283B,1.052B,314.00M,10.25B,0,-7.599B,32.74B,4.00M,9.232B,5.516B,38.79B,23.51B,33.27B,2.314B,2.447B,5.889B
HCA,2015-09,-309.00M,588.00M,6.263B,1.377B,0,1.08,1.05,6.54B,34.21B,3.593B,2015-09,1.379B,449.00M,-411.00M,-411.00M,14.70B,0,28.38B,1.324B,4.936B,843.00M,270.00M,9.856B,0,-7.294B,31.90B,4.00M,9.221B,6.313B,37.71B,22.68B,31.40B,2.269B,1.877B,5.827B
HCA,2015-06,-290.00M,673.00M,6.162B,1.374B,0,1.22,1.18,6.484B,33.80B,3.735B,2015-06,1.348B,507.00M,-425.00M,-425.00M,14.56B,0,28.36B,1.529B,4.936B,984.00M,319.00M,9.897B,0,-7.406B,31.71B,4.00M,9.293B,6.31B,37.66B,22.42B,31.36B,2.206B,1.884B,5.804B
HCA,2015-03,-344.00M,586.00M,6.036B,2.037B,0,1.41,1.36,6.415B,33.29B,3.64B,2015-03,1.287B,591.00M,-419.00M,-419.00M,14.39B,0,27.41B,1.469B,5.135B,1.078B,358.00M,9.676B,0,-7.62B,31.29B,4.00M,9.13B,7.172B,37.51B,22.16B,30.34B,2.171B,1.973B,5.928B
HCA,2014-12,-323.00M,566.00M,5.941B,338.00M,0,1.253,1.19,6.416B,32.98B,3.695B,2014-12,1.279B,527.00M,-429.00M,-429.00M,14.36B,0,29.09B,1.486B,5.142B,968.00M,292.00M,9.636B,0,-7.894B,30.98B,4.00M,8.93B,5.48B,37.48B,22.05B,32.00B,2.209B,2.29B,5.694B
HCA,2014-09,-206.00M,515.00M,5.75B,1.044B,0,1.2,1.16,5.899B,32.30B,3.47B,2014-09,1.258B,518.00M,-427.00M,-427.00M,13.88B,0,27.43B,1.354B,4.588B,929.00M,318.00M,9.22B,0,-7.384B,29.82B,4.00M,8.527B,5.632B,35.84B,21.30B,30.21B,2.116B,1.787B,5.524B
HCA,2014-06,-199.00M,658.00M,5.63B,1.046B,0,1.1,1.07,5.909B,31.84B,3.60B,2014-06,1.211B,483.00M,-427.00M,-427.00M,13.72B,0,27.94B,1.537B,4.849B,904.00M,272.00M,9.23B,0,-7.99B,29.82B,4.00M,8.772B,5.895B,36.41B,21.05B,30.52B,2.063B,1.717B,5.472B
HCA,2014-03,-232.00M,850.00M,5.582B,1.041B,0,0.78,0.76,5.91B,31.37B,3.25B,2014-03,1.187B,347.00M,-460.00M,-460.00M,13.61B,0,27.88B,1.188B,4.85B,680.00M,226.00M,8.832B,0,-7.828B,29.81B,4.00M,8.877B,5.891B,36.28B,20.93B,30.38B,2.062B,1.735B,5.489B
HCA,2013-12,-257.00M,414.00M,5.529B,786.00M,0,0.9645,0.92,5.903B,31.07B,3.307B,2013-12,1.179B,424.00M,-456.00M,-456.00M,13.62B,0,27.59B,1.253B,4.909B,800.00M,246.00M,8.836B,0,-8.27B,28.83B,4.00M,8.037B,5.695B,35.76B,20.79B,30.06B,2.054B,2.055B,5.208B
HCA,2013-09,-374.00M,484.00M,5.373B,988.00M,0,0.82,0.79,5.832B,30.47B,3.083B,2013-09,1.135B,365.00M,-458.00M,-458.00M,13.32B,1.86B,27.39B,1.151B,4.431B,701.00M,234.00M,8.456B,3.333B,-8.376B,28.39B,4.00M,7.771B,5.419B,35.44B,20.62B,30.02B,1.932B,1.582B,4.924B
HCA,2013-06,-426.00M,462.00M,5.318B,1.456B,0,0.95,0.91,5.534B,30.08B,3.132B,2013-06,1.152B,423.00M,-462.00M,-462.00M,13.23B,1.857B,26.74B,1.252B,4.564B,806.00M,269.00M,8.45B,3.32B,-8.823B,27.93B,4.00M,7.791B,6.02B,35.42B,20.14B,29.40B,1.88B,1.657B,4.915B
HCA,2013-03,-475.00M,594.00M,5.396B,1.438B,0,0.77,0.74,5.541B,29.76B,3.044B,2013-03,1.104B,344.00M,-472.00M,-472.00M,13.14B,1.757B,27.17B,1.136B,4.553B,639.00M,201.00M,8.44B,0,-9.323B,27.88B,4.00M,7.787B,5.991B,35.89B,20.10B,29.90B,1.908B,1.691B,4.877B
HCA,2012-12,-457.00M,705.00M,5.366B,1.435B,0,0.7085,0.68,5.539B,29.53B,3.068B,2012-12,1.086B,314.00M,-462.00M,-462.00M,13.18B,1.683B,27.50B,1.171B,4.737B,555.00M,128.00M,8.434B,0,-9.66B,28.08B,4.00M,7.763B,6.172B,36.42B,20.31B,30.24B,1.897B,2.003B,4.672B
HCA,2012-09,-440.00M,472.00M,5.156B,1.751B,0,0.82,0.78,5.46B,29.14B,2.906B,2012-09,1.052B,360.00M,-446.00M,-446.00M,12.96B,1.515B,25.18B,1.11B,3.083B,677.00M,222.00M,8.062B,0,-7.859B,27.30B,4.00M,7.272B,5.861B,33.86B,20.03B,28.00B,1.796B,1.585B,4.598B
HCA,2012-06,-449.00M,518.00M,5.129B,1.309B,0,0.89,0.85,5.431B,28.74B,2.983B,2012-06,1.055B,391.00M,-448.00M,-448.00M,12.85B,0,25.73B,1.14B,3.168B,699.00M,214.00M,8.112B,0,-8.243B,27.13B,4.00M,7.137B,5.447B,34.08B,20.00B,28.63B,1.843B,1.517B,4.485B
HCA,2012-03,-411.00M,471.00M,5.155B,1.841B,0,1.23,1.18,5.398B,28.35B,3.25B,2012-03,1.046B,540.00M,-442.00M,-442.00M,12.79B,0,26.06B,1.395B,3.774B,963.00M,324.00M,8.405B,0,-8.613B,27.14B,4.00M,7.282B,5.615B,34.46B,19.86B,28.85B,1.855B,1.412B,4.878B
HCA,2011-12,-440.00M,373.00M,14.79B,1.407B,0,4.09,3.93,5.251B,28.08B,-7.017B,2011-12,1.054B,1.935B,-465.00M,-465.00M,12.83B,0,25.64B,994.00M,4.147B,2.454B,412.00M,7.769B,0,-8.258B,26.90B,4.00M,7.233B,5.554B,33.91B,19.66B,28.36B,-8.011B,1.829B,4.533B
HCA,2011-09,-424.00M,359.00M,1.263B,725.00M,0,0.12,0.11,2.701B,26.65B,5.995B,2011-09,891.00M,61.00M,-519.00M,-519.00M,11.64B,0,25.87B,1.05B,3.546B,123.00M,-23.00M,7.258B,0,-10.19B,23.76B,4.00M,6.693B,4.271B,32.82B,17.06B,28.55B,4.945B,1.334B,3.925B
HCA,2011-06,-339.00M,539.00M,1.295B,689.00M,0,0.44,0.43,2.719B,26.34B,5.954B,2011-06,887.00M,229.00M,-520.00M,-520.00M,11.58B,0,24.63B,1.062B,3.589B,467.00M,147.00M,7.249B,0,-8.681B,23.88B,5.00M,6.891B,4.278B,31.41B,16.99B,27.13B,4.892B,1.297B,3.946B
