Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HES,2020-12,-755.00M,1.739B,831.00M,91.00M,0,-0.316,-0.3179,360.00M,31.11B,490.00M,2020-12,378.00M,-97.00M,-118.00M,-118.00M,14.71B,342.00M,8.984B,67.00M,1.532B,45.00M,72.00M,1.321B,363.00M,5.366B,18.82B,307.00M,3.081B,1.623B,12.49B,15.74B,10.86B,423.00M,281.00M,860.00M
HES,2020-09,-363.00M,1.285B,860.00M,107.00M,0,-0.8,-0.8,360.00M,30.66B,299.00M,2020-09,422.00M,-243.00M,-118.00M,-118.00M,14.73B,316.00M,8.838B,-77.00M,1.319B,-178.00M,5.00M,1.159B,305.00M,5.916B,18.97B,307.00M,3.136B,1.426B,12.09B,15.83B,10.66B,376.00M,245.00M,699.00M
HES,2020-06,-187.00M,1.646B,819.00M,113.00M,0,-1.05,-1.05,360.00M,32.74B,14.00M,2020-06,360.00M,-320.00M,-119.00M,-119.00M,15.35B,319.00M,8.783B,-162.00M,1.451B,-272.00M,-9.00M,833.00M,145.00M,6.395B,19.55B,307.00M,3.115B,1.564B,12.18B,16.43B,10.62B,176.00M,341.00M,596.00M
HES,2020-03,239.00M,2.08B,906.00M,149.00M,0,-8,-8,360.00M,32.28B,448.00M,2020-03,230.00M,-2.433B,-113.00M,-113.00M,15.38B,328.00M,8.781B,-221.00M,1.798B,-2.445B,-79.00M,1.354B,480.00M,7.20B,20.72B,307.00M,4.27B,1.947B,12.54B,16.45B,10.59B,669.00M,464.00M,794.00M
HES,2019-12,-699.00M,1.545B,1.003B,199.00M,0,-0.728,-0.73,360.00M,36.57B,680.00M,2019-12,261.00M,-222.00M,-95.00M,-95.00M,17.56B,415.00M,7.733B,15.00M,2.311B,-64.00M,119.00M,1.683B,559.00M,8.732B,21.78B,305.00M,3.156B,2.51B,12.08B,18.63B,9.566B,665.00M,508.00M,1.17B
HES,2019-09,-776.00M,1.863B,912.00M,274.00M,0,-0.7,-0.7,360.00M,35.79B,668.00M,2019-09,289.00M,-212.00M,-90.00M,-90.00M,17.28B,411.00M,7.14B,105.00M,2.07B,-50.00M,116.00M,1.58B,513.00M,8.908B,21.63B,305.00M,3.398B,2.344B,11.45B,18.23B,9.11B,563.00M,500.00M,1.122B
HES,2019-06,-648.00M,2.208B,825.00M,343.00M,0,-0.02,-0.02,360.00M,35.04B,835.00M,2019-06,278.00M,-6.00M,-97.00M,-97.00M,17.04B,418.00M,7.152B,226.00M,1.989B,166.00M,132.00M,1.66B,566.00M,9.294B,21.70B,304.00M,3.684B,2.332B,11.16B,18.01B,8.832B,609.00M,448.00M,1.06B
HES,2019-03,-650.00M,2.30B,803.00M,414.00M,0,0.09,0.09,360.00M,34.49B,769.00M,2019-03,274.00M,32.00M,-98.00M,-98.00M,16.94B,420.00M,7.236B,240.00M,1.857B,169.00M,94.00M,1.572B,495.00M,9.342B,21.72B,304.00M,3.834B,2.271B,11.16B,17.88B,8.892B,529.00M,488.00M,1.116B
HES,2018-12,-306.00M,2.694B,868.00M,67.00M,0,-0.0549,-0.0549,360.00M,33.22B,782.00M,2018-12,245.00M,-4.00M,-99.00M,-99.00M,16.08B,421.00M,6.605B,128.00M,2.136B,61.00M,27.00M,1.65B,563.00M,9.629B,21.43B,292.00M,4.459B,2.203B,10.54B,16.97B,8.342B,654.00M,576.00M,1.001B
HES,2018-09,-502.00M,3.004B,802.00M,85.00M,0,-0.18,-0.18,360.00M,32.62B,991.00M,2018-09,263.00M,-42.00M,-99.00M,-99.00M,16.01B,425.00M,6.609B,188.00M,1.873B,124.00M,121.00M,1.793B,634.00M,9.65B,21.47B,297.00M,4.501B,1.958B,10.42B,16.97B,8.463B,803.00M,479.00M,1.182B
