Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HFC,2020-12,13.46M,1.368B,2.362B,97.94M,0,-0.73,-0.73,2.629B,7.650B,539.14M,2020-12,1.173B,-117.75M,-39.56M,-39.56M,4.924B,713.70M,3.429B,2.138M,1.277B,-138.19M,-43.64M,2.901B,76.04M,5.168B,11.51B,2.56M,3.311B,1.375B,5.785B,8.196B,4.410B,537.00M,1.003B,721.38M
HFC,2020-09,10.10M,1.525B,2.314B,98.79M,0,-0.01,-0.01,3.019B,7.538B,505.01M,2020-09,1.138B,-2.401M,-29.58M,-29.58M,4.893B,728.90M,3.477B,-27.22M,1.138B,27.92M,4.573M,2.819B,74.45M,5.336B,11.58B,2.56M,3.319B,1.237B,5.703B,8.261B,4.466B,532.23M,831.72M,621.92M
HFC,2020-06,2.225M,902.51M,1.307B,102.34M,0,-1.09,-1.09,3.025B,7.443B,755.84M,2020-06,1.174B,-176.68M,-31.19M,-31.19M,4.876B,765.57M,2.800B,246.93M,1.231B,-181.32M,-30.91M,2.063B,75.37M,5.383B,11.06B,2.56M,2.804B,1.333B,5.149B,8.260B,3.816B,508.91M,889.45M,671.11M
HFC,2020-03,-12.15M,909.13M,3.254B,102.60M,0,-1.88,-1.88,3.017B,7.692B,146.36M,2020-03,943.64M,-304.62M,-18.57M,-18.57M,5.205B,723.58M,2.831B,-410.30M,1.206B,-455.45M,-162.17M,3.401B,87.74M,5.594B,11.22B,2.56M,2.509B,1.309B,5.111B,8.713B,3.802B,556.66M,858.44M,575.40M
HFC,2019-12,14.77M,885.16M,3.641B,104.42M,0,0.38,0.37,2.747B,7.704B,740.65M,2019-12,1.474B,60.60M,-31.37M,-31.37M,5.290B,889.27M,2.820B,129.18M,1.582B,100.36M,19.29M,4.382B,93.26M,5.978B,12.16B,2.56M,3.306B,1.686B,5.655B,8.859B,3.969B,611.47M,1.244B,885.16M
HFC,2019-09,17.22M,981.86M,3.438B,99.62M,0,1.6,1.58,3.003B,7.587B,987.00M,2019-09,1.637B,261.81M,-29.86M,-29.86M,5.251B,916.52M,2.781B,426.78M,1.606B,401.00M,103.02M,4.425B,87.63M,6.020B,12.19B,2.56M,3.533B,1.705B,5.650B,8.659B,3.945B,560.22M,1.249B,863.42M
HFC,2019-06,30.20M,914.64M,3.753B,93.99M,0,1.16,1.15,3.013B,7.516B,1.030B,2019-06,1.637B,196.92M,-29.68M,-29.68M,5.253B,877.46M,2.788B,484.45M,1.570B,306.15M,89.34M,4.783B,85.32M,6.013B,12.10B,2.56M,3.466B,1.664B,5.573B,8.638B,3.909B,545.48M,1.225B,863.94M
HFC,2019-03,27.40M,496.14M,2.967B,87.67M,0,1.48,1.47,3.169B,7.427B,930.39M,2019-03,1.668B,253.06M,-30.27M,-30.27M,5.244B,844.57M,2.773B,389.34M,1.582B,363.99M,87.50M,3.897B,88.03M,6.064B,12.12B,2.56M,3.321B,1.669B,5.529B,8.802B,3.860B,541.05M,1.232B,1.080B
HFC,2018-12,13.62M,1.155B,3.575B,0,0,0.82,0.81,2.429B,6.781B,769.46M,2018-12,1.354B,141.90M,-27.68M,-27.68M,4.683B,722.58M,2.412B,217.65M,1.168B,191.82M,28.50M,4.344B,85.96M,5.919B,10.99B,2.56M,3.296B,1.168B,4.536B,7.698B,3.367B,551.81M,890.26M,705.74M
HFC,2018-09,25.91M,1.076B,3.770B,0,0,1.95,1.93,2.691B,6.704B,1.001B,2018-09,1.862B,342.47M,-27.26M,-27.26M,4.673B,755.56M,2.409B,503.52M,1.541B,478.39M,116.26M,4.771B,71.13M,6.012B,11.50B,2.56M,3.858B,1.541B,4.932B,7.637B,3.391B,497.21M,1.255B,862.48M
HFC,2018-06,11.91M,979.87M,3.489B,0,0,1.96,1.94,2.664B,6.616B,982.25M,2018-06,1.817B,345.51M,-29.39M,-29.39M,4.661B,705.07M,2.388B,506.98M,1.556B,480.36M,117.45M,4.471B,68.68M,5.840B,11.28B,2.56M,3.702B,1.556B,4.878B,7.579B,3.322B,475.27M,1.318B,843.12M
HFC,2018-03,19.86M,781.47M,3.243B,0,0,1.51,1.5,2.676B,6.558B,885.14M,2018-03,1.592B,268.09M,-30.13M,-30.13M,4.673B,679.90M,2.383B,395.85M,1.465B,373.90M,85.04M,4.128B,64.66M,5.581B,10.91B,2.56M,3.293B,1.465B,4.754B,7.619B,3.289B,489.29M,1.230B,864.41M
HFC,2017-12,29.87M,630.76M,3.091B,0,0,2.94,2.92,2.444B,6.524B,901.38M,2017-12,1.630B,521.08M,-30.40M,-30.40M,4.713B,647.78M,2.499B,364.82M,1.423B,371.26M,-185.97M,3.993B,80.42M,5.371B,10.69B,2.56M,3.063B,1.423B,4.795B,7.629B,3.373B,536.55M,1.224B,765.07M
HFC,2017-09,31.44M,630.74M,2.777B,0,0,1.53,1.53,2.676B,6.175B,941.83M,2017-09,1.420B,272.01M,-27.66M,-27.66M,4.437B,842.12M,2.237B,448.41M,1.401B,446.10M,158.39M,3.719B,68.25M,4.849B,10.15B,2.56M,2.797B,1.401B,4.683B,7.351B,3.282B,493.41M,1.166B,714.35M
HFC,2017-06,18.78M,460.33M,2.837B,0,0,0.33,0.33,2.654B,6.119B,621.42M,2017-06,1.192B,57.77M,-29.47M,-29.47M,4.444B,745.05M,2.228B,140.08M,1.220B,106.07M,32.00M,3.459B,59.80M,4.614B,9.643B,2.56M,2.294B,1.220B,4.401B,7.349B,3.181B,481.35M,1.034B,603.78M
HFC,2017-03,8.124M,129.51M,2.653B,0,0,-0.26,-0.26,2.654B,6.059B,427.48M,2017-03,1.317B,-45.47M,-26.34M,-26.34M,4.454B,737.17M,2.232B,-33.54M,1.142B,-54.57M,-16.79M,3.080B,57.26M,4.593B,9.542B,2.56M,2.169B,1.142B,4.319B,7.374B,3.178B,461.02M,954.22M,688.50M
HFC,2016-12,10.61M,1.135B,2.453B,0,0,0.3,0.3,2.059B,5.547B,501.85M,2016-12,1.136B,53.16M,-25.19M,-25.19M,4.008B,620.41M,2.235B,109.60M,1.083B,83.42M,12.95M,2.955B,37.66M,4.681B,9.436B,2.56M,2.851B,1.083B,4.134B,6.585B,3.050B,392.26M,935.39M,547.57M
HFC,2016-09,7.627M,478.16M,2.342B,0,0,0.42,0.42,2.359B,5.461B,505.12M,2016-09,1.091B,74.50M,-18.77M,-18.77M,3.984B,546.91M,1.666B,124.76M,966.82M,109.87M,22.20M,2.847B,32.99M,4.662B,8.596B,2.56M,2.031B,966.82M,3.376B,6.565B,2.409B,380.36M,803.03M,438.62M
HFC,2016-06,5.853M,533.32M,2.110B,0,0,-2.33,-2.33,2.359B,5.368B,604.96M,2016-06,1.021B,-409.37M,-13.72M,-13.72M,3.954B,532.66M,1.678B,233.54M,1.049B,-430.52M,-38.04M,2.715B,29.66M,4.636B,8.660B,2.56M,2.118B,1.049B,3.462B,6.542B,2.413B,371.41M,913.46M,531.51M
HFC,2016-03,-4.566M,111.02M,1.569B,0,0,0.12,0.12,2.635B,5.625B,449.68M,2016-03,891.94M,21.25M,-12.01M,-12.01M,4.196B,544.31M,1.308B,83.60M,885.61M,65.70M,22.31M,2.019B,25.62M,5.087B,8.594B,2.56M,1.499B,885.61M,2.951B,7.095B,2.065B,366.08M,731.27M,463.73M
HFC,2015-12,-4.155M,210.55M,2.590B,0,69.28M,-0.24,-0.24,2.370B,5.490B,353.49M,2015-12,841.87M,-43.92M,-10.67M,-10.67M,4.116B,497.91M,1.040B,-56.71M,860.62M,-64.67M,-40.72M,2.944B,34.41M,5.253B,8.388B,2.56M,1.448B,860.62M,2.579B,6.940B,1.718B,410.20M,724.63M,351.98M
