Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HII,2020-12,-1.547B,512.00M,2.21B,88.00M,585.00M,6.13,6.13,2.129B,5.194B,547.00M,2020-12,137.00M,249.00M,-46.00M,-46.00M,3.17B,0,1.843B,292.00M,460.00M,303.00M,54.00M,2.757B,256.00M,1.901B,8.157B,1.00M,2.444B,2.226B,6.256B,5.713B,4.03B,255.00M,460.00M,1.617B
HII,2020-09,-1.357B,744.00M,1.878B,0,604.00M,5.47,5.45,2.104B,5.103B,436.00M,2020-09,152.00M,222.00M,-27.00M,-27.00M,3.094B,0,2.431B,216.00M,429.00M,226.00M,4.00M,2.314B,220.00M,1.88B,8.445B,1.00M,2.881B,2.233B,6.565B,5.564B,4.332B,220.00M,429.00M,1.789B
HII,2020-06,-1.376B,631.00M,1.763B,0,573.00M,1.3,1.3,2.118B,5.028B,264.00M,2020-06,160.00M,53.00M,-25.00M,-25.00M,3.053B,0,2.423B,50.00M,437.00M,65.00M,12.00M,2.027B,214.00M,1.678B,8.233B,1.00M,2.739B,2.114B,6.555B,5.494B,4.441B,214.00M,437.00M,1.732B
HII,2020-03,-1.394B,28.00M,1.84B,0,387.00M,4.23,4.23,2.129B,4.972B,423.00M,2020-03,154.00M,172.00M,-16.00M,-16.00M,3.033B,0,1.82B,209.00M,536.00M,216.00M,44.00M,2.263B,214.00M,1.643B,7.615B,1.00M,2.137B,2.08B,5.972B,5.478B,3.892B,214.00M,536.00M,1.737B
HII,2019-12,-1.409B,75.00M,1.98B,0,373.00M,3.6,3.6,1.865B,4.994B,432.00M,2019-12,136.00M,149.00M,-18.00M,-18.00M,3.033B,0,1.45B,208.00M,497.00M,172.00M,23.00M,2.412B,224.00M,1.588B,7.031B,1.00M,1.785B,1.89B,5.443B,5.246B,3.553B,224.00M,497.00M,1.455B
HII,2019-09,-1.232B,32.00M,1.802B,0,344.00M,3.74,3.74,1.908B,4.843B,417.00M,2019-09,139.00M,154.00M,-18.00M,-18.00M,2.908B,0,1.721B,208.00M,616.00M,198.00M,44.00M,2.219B,209.00M,1.705B,7.184B,1.00M,2.025B,1.95B,5.479B,5.159B,3.529B,209.00M,616.00M,1.707B
HII,2019-06,-1.251B,29.00M,1.834B,0,338.00M,3.07,3.07,1.921B,4.738B,354.00M,2019-06,126.00M,128.00M,-18.00M,-18.00M,2.842B,0,1.877B,170.00M,616.00M,164.00M,36.00M,2.188B,184.00M,1.628B,7.23B,1.00M,2.123B,1.902B,5.602B,5.107B,3.70B,184.00M,616.00M,1.823B
HII,2019-03,-1.269B,51.00M,1.752B,0,360.00M,2.85,2.85,1.932B,4.651B,328.00M,2019-03,127.00M,118.00M,-16.00M,-16.00M,2.789B,0,1.68B,157.00M,618.00M,149.00M,31.00M,2.08B,171.00M,1.563B,7.00B,1.00M,1.922B,1.96B,5.437B,5.078B,3.477B,171.00M,618.00M,1.625B
HII,2018-12,-1.288B,240.00M,1.729B,0,331.00M,4.94,4.94,1.755B,4.346B,470.00M,2018-12,128.00M,212.00M,-14.00M,-14.00M,2.517B,0,1.283B,208.00M,562.00M,219.00M,7.00M,2.199B,262.00M,1.516B,6.383B,1.00M,1.745B,1.829B,4.867B,4.638B,3.038B,262.00M,562.00M,1.349B
HII,2018-09,-1.07B,68.00M,1.593B,0,267.00M,5.29,5.29,1.697B,4.128B,490.00M,2018-09,180.00M,229.00M,-14.00M,-14.00M,2.332B,0,1.282B,282.00M,407.00M,295.00M,66.00M,2.083B,208.00M,1.825B,6.199B,1.00M,1.859B,1.631B,4.374B,4.34B,2.743B,208.00M,407.00M,1.511B
HII,2018-06,-1.085B,398.00M,1.568B,0,210.00M,5.41,5.4,1.707B,4.033B,452.00M,2018-06,174.00M,239.00M,-15.00M,-15.00M,2.258B,0,1.281B,255.00M,378.00M,262.00M,23.00M,2.02B,209.00M,1.699B,6.375B,1.00M,2.152B,1.509B,4.676B,4.223B,3.167B,197.00M,378.00M,1.442B
HII,2018-03,-1.098B,528.00M,1.495B,0,190.00M,3.48,3.48,1.716B,4.025B,379.00M,2018-03,188.00M,156.00M,-15.00M,-15.00M,2.219B,0,1.28B,189.00M,344.00M,195.00M,39.00M,1.874B,192.00M,1.718B,6.376B,1.00M,2.21B,1.463B,4.658B,4.166B,3.195B,190.00M,344.00M,1.407B
HII,2017-12,-900.00M,701.00M,1.549B,0,146.00M,1.42,1.42,1.725B,3.985B,447.00M,2017-12,183.00M,64.00M,-41.00M,-41.00M,2.215B,0,1.279B,229.00M,375.00M,187.00M,123.00M,1.996B,218.00M,1.758B,6.374B,1.00M,2.195B,1.391B,4.616B,4.179B,3.225B,218.00M,375.00M,1.188B
HII,2017-09,-949.00M,499.00M,1.448B,0,92.00M,3.28,3.27,1.735B,3.823B,415.00M,2017-09,183.00M,149.00M,-18.00M,-18.00M,2.093B,0,1.282B,234.00M,318.00M,220.00M,71.00M,1.863B,181.00M,1.712B,6.172B,1.00M,1.939B,1.275B,4.46B,4.233B,3.185B,181.00M,318.00M,1.20B
HII,2017-06,-919.00M,553.00M,1.436B,0,94.00M,3.22,3.21,1.746B,3.733B,422.00M,2017-06,204.00M,147.00M,-17.00M,-17.00M,2.034B,0,1.281B,240.00M,325.00M,218.00M,71.00M,1.858B,182.00M,1.65B,6.19B,1.00M,2.033B,1.247B,4.54B,4.157B,3.293B,182.00M,325.00M,1.201B
HII,2017-03,-935.00M,608.00M,1.38B,0,88.00M,2.57,2.56,1.771B,3.647B,344.00M,2017-03,230.00M,119.00M,-18.00M,-18.00M,1.986B,0,1.28B,166.00M,333.00M,147.00M,28.00M,1.724B,178.00M,1.638B,6.234B,1.00M,2.063B,1.273B,4.596B,4.171B,3.323B,178.00M,333.00M,1.178B
HII,2016-12,-951.00M,720.00M,1.317B,0,166.00M,4.24,4.21,1.782B,3.613B,605.00M,2016-12,210.00M,197.00M,-18.00M,-18.00M,1.986B,0,1.278B,287.00M,316.00M,251.00M,54.00M,1.922B,333.00M,1.653B,6.352B,1.00M,2.142B,1.343B,4.699B,4.21B,3.356B,318.00M,316.00M,1.164B
HII,2016-09,-808.00M,957.00M,1.367B,0,99.00M,2.28,2.27,1.435B,3.433B,316.00M,2016-09,268.00M,107.00M,-19.00M,-19.00M,1.841B,0,1.277B,169.00M,293.00M,157.00M,50.00M,1.683B,147.00M,1.652B,6.008B,1.00M,2.344B,1.228B,4.356B,3.664B,3.128B,147.00M,293.00M,1.046B
HII,2016-06,-821.00M,852.00M,1.333B,0,100.00M,2.83,2.8,1.441B,3.368B,367.00M,2016-06,280.00M,133.00M,-18.00M,-18.00M,1.813B,0,1.276B,216.00M,252.00M,199.00M,66.00M,1.70B,151.00M,1.612B,5.859B,1.00M,2.197B,1.141B,4.247B,3.663B,3.106B,151.00M,252.00M,1.022B
HII,2016-03,-833.00M,793.00M,1.428B,0,72.00M,2.89,2.87,1.446B,3.328B,335.00M,2016-03,283.00M,136.00M,-19.00M,-19.00M,1.809B,0,1.275B,198.00M,252.00M,177.00M,41.00M,1.763B,137.00M,1.521B,5.896B,1.00M,2.203B,1.155B,4.375B,3.693B,3.22B,137.00M,252.00M,1.086B
HII,2015-12,-845.00M,894.00M,1.55B,374.00M,125.00M,1.1,1.08,1.451B,3.316B,355.00M,2015-12,285.00M,50.00M,-64.00M,-64.00M,1.827B,118.00M,1.273B,159.00M,317.00M,80.00M,30.00M,1.905B,196.00M,1.49B,6.024B,1.00M,2.284B,1.274B,4.534B,3.74B,3.26B,196.00M,317.00M,1.074B
HII,2015-09,-826.00M,671.00M,1.456B,108.00M,141.00M,2.31,2.29,1.501B,3.203B,344.00M,2015-09,308.00M,111.00M,-25.00M,-25.00M,1.75B,112.00M,1.305B,194.00M,296.00M,175.00M,64.00M,1.80B,150.00M,1.49B,6.042B,1.00M,2.419B,1.294B,4.552B,3.623B,3.258B,150.00M,296.00M,1.278B
HII,2015-06,-836.00M,960.00M,1.246B,108.00M,117.00M,3.22,3.2,1.507B,3.173B,499.00M,2015-06,319.00M,156.00M,-25.00M,-25.00M,1.757B,92.00M,1.305B,326.00M,269.00M,244.00M,88.00M,1.745B,173.00M,1.485B,6.312B,1.00M,2.694B,1.589B,4.827B,3.618B,3.238B,173.00M,269.00M,1.244B
HII,2015-03,-849.00M,904.00M,1.265B,93.00M,78.00M,1.8,1.79,1.572B,3.156B,305.00M,2015-03,336.00M,87.00M,-23.00M,-23.00M,1.768B,83.00M,1.592B,155.00M,307.00M,133.00M,46.00M,1.57B,150.00M,1.38B,6.319B,1.00M,2.628B,1.332B,4.939B,3.691B,3.607B,150.00M,307.00M,1.219B
HII,2014-12,-862.00M,990.00M,1.52B,86.00M,74.00M,1.08,1.06,1.573B,3.143B,407.00M,2014-12,339.00M,52.00M,-66.00M,-66.00M,1.792B,0,1.562B,190.00M,269.00M,79.00M,27.00M,1.927B,217.00M,1.365B,6.239B,1.00M,2.417B,1.312B,4.874B,3.822B,3.562B,217.00M,269.00M,1.038B
HII,2014-09,-506.00M,769.00M,1.364B,79.00M,53.00M,1.97,1.96,1.637B,3.377B,353.00M,2014-09,272.00M,96.00M,-27.00M,-27.00M,1.852B,0,1.65B,164.00M,268.00M,144.00M,48.00M,1.717B,189.00M,1.662B,6.125B,1.00M,2.38B,1.234B,4.463B,3.745B,3.229B,189.00M,268.00M,1.144B
HII,2014-06,-509.00M,592.00M,1.369B,79.00M,58.00M,2.05,2.04,1.646B,3.342B,350.00M,2014-06,294.00M,100.00M,-29.00M,-29.00M,1.85B,0,1.679B,180.00M,297.00M,152.00M,52.00M,1.719B,170.00M,1.569B,6.08B,1.00M,2.327B,1.267B,4.511B,3.753B,3.244B,170.00M,297.00M,1.216B
HII,2014-03,-515.00M,742.00M,1.287B,65.00M,78.00M,1.83,1.81,1.45B,3.312B,307.00M,2014-03,315.00M,90.00M,-27.00M,-27.00M,1.856B,0,1.70B,157.00M,263.00M,132.00M,42.00M,1.594B,150.00M,1.561B,6.107B,1.00M,2.544B,1.24B,4.546B,3.563B,3.306B,150.00M,263.00M,1.299B
HII,2013-12,-521.00M,1.043B,1.567B,0,115.00M,1.84,1.81,1.409B,3.301B,371.00M,2013-12,311.00M,91.00M,-31.00M,-31.00M,1.897B,0,1.70B,173.00M,337.00M,143.00M,52.00M,1.938B,198.00M,1.521B,6.225B,1.00M,2.676B,1.392B,4.704B,3.549B,3.312B,198.00M,337.00M,1.123B
