Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HLT,2020-12,-860.00M,3.218B,764.00M,226.00M,370.00M,-0.81,-0.81,10.92B,1.604B,126.00M,2020-12,0,-224.00M,-113.00M,-113.00M,1.118B,1.769B,11.40B,-70.00M,224.00M,-349.00M,-124.00M,890.00M,122.00M,-1.49B,16.76B,3.00M,4.202B,2.431B,18.24B,12.55B,15.81B,196.00M,224.00M,771.00M
HLT,2020-09,-853.00M,3.405B,736.00M,51.00M,245.00M,-0.29,-0.29,10.99B,1.118B,197.00M,2020-09,0,-79.00M,-116.00M,-116.00M,1.118B,2.068B,11.39B,20.00M,1.387B,-114.00M,-33.00M,933.00M,66.00M,-1.324B,17.13B,3.00M,4.584B,2.299B,18.45B,12.54B,16.15B,177.00M,303.00M,890.00M
HLT,2020-06,-881.00M,3.503B,649.00M,45.00M,242.00M,-1.55,-1.55,11.03B,1.095B,-85.00M,2020-06,0,-430.00M,-106.00M,-106.00M,1.095B,2.114B,11.36B,-249.00M,1.372B,-444.00M,-12.00M,564.00M,63.00M,-1.299B,17.13B,3.00M,4.577B,2.306B,18.42B,12.55B,16.11B,164.00M,283.00M,827.00M
HLT,2020-03,-899.00M,1.734B,1.575B,41.00M,242.00M,0.06,0.06,11.10B,1.126B,345.00M,2020-03,0,18.00M,-94.00M,-94.00M,1.126B,1.679B,10.42B,180.00M,1.46B,-17.00M,-35.00M,1.92B,60.00M,-914.00M,15.79B,3.00M,3.149B,2.22B,16.69B,12.64B,14.47B,165.00M,1.376B,1.111B
HLT,2019-12,-840.00M,538.00M,1.791B,170.00M,332.00M,0.62,0.61,11.24B,1.756B,578.00M,2019-12,0,175.00M,-110.00M,-110.00M,1.247B,1.74B,8.993B,348.00M,303.00M,243.00M,67.00M,2.369B,114.00M,-482.00M,14.96B,3.00M,2.093B,2.871B,15.43B,12.86B,12.56B,230.00M,0,1.261B
HLT,2019-09,-848.00M,719.00M,1.753B,38.00M,290.00M,1.01,1,11.20B,1.219B,642.00M,2019-09,0,288.00M,-105.00M,-105.00M,1.219B,1.707B,8.771B,438.00M,1.784B,421.00M,131.00M,2.395B,107.00M,-208.00M,15.07B,3.00M,2.255B,2.90B,15.27B,12.81B,12.37B,204.00M,0,1.193B
HLT,2019-06,-806.00M,635.00M,1.792B,37.00M,298.00M,0.9,0.89,11.25B,1.309B,692.00M,2019-06,0,260.00M,-101.00M,-101.00M,1.309B,1.683B,8.838B,478.00M,1.657B,362.00M,101.00M,2.484B,113.00M,-30.00M,15.14B,3.00M,2.215B,2.78B,15.16B,12.92B,12.38B,214.00M,0,1.19B
HLT,2019-03,-798.00M,382.00M,1.681B,35.00M,323.00M,0.54,0.54,11.28B,1.328B,523.00M,2019-03,0,158.00M,-98.00M,-98.00M,1.328B,1.68B,8.433B,312.00M,1.679B,218.00M,59.00M,2.204B,107.00M,100.00M,14.85B,3.00M,1.876B,2.794B,14.74B,12.98B,11.95B,211.00M,0,1.102B
HLT,2018-12,-782.00M,403.00M,1.713B,16.00M,350.00M,0.76,0.75,11.32B,848.00M,575.00M,2018-12,0,224.00M,-94.00M,-94.00M,367.00M,1.837B,7.266B,362.00M,283.00M,266.00M,41.00M,2.288B,115.00M,551.00M,14.00B,3.00M,1.983B,2.615B,13.44B,12.01B,10.82B,213.00M,0,1.15B
HLT,2018-09,-746.00M,621.00M,1.668B,15.00M,299.00M,0.55,0.54,11.36B,0,585.00M,2018-09,0,162.00M,-99.00M,-99.00M,361.00M,1.794B,7.559B,385.00M,1.376B,293.00M,129.00M,2.253B,109.00M,574.00M,14.14B,3.00M,2.035B,2.413B,13.56B,12.11B,11.15B,200.00M,0,1.09B
