Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HON,2021-03,-3.184B,12.66B,5.709B,5.203B,2.932B,2.05,2.03,20.78B,14.34B,2.745B,2021-03,4.607B,1.427B,-71.00M,-71.00M,5.547B,2.309B,16.12B,1.509B,12.75B,1.861B,413.00M,8.454B,1.236B,17.99B,63.56B,958.00M,25.59B,17.95B,45.31B,37.97B,27.36B,1.236B,5.792B,6.675B
HON,2020-12,-3.377B,15.22B,5.976B,6.229B,2.49B,1.94,1.91,19.62B,13.71B,2.924B,2020-12,4.489B,1.359B,-74.00M,-74.00M,5.57B,3.469B,16.98B,1.676B,8.084B,1.71B,331.00M,8.90B,1.248B,17.55B,64.59B,958.00M,28.18B,19.20B,46.80B,36.41B,27.60B,1.248B,6.338B,6.827B
HON,2020-09,-3.436B,15.01B,5.383B,4.535B,2.403B,1.08,1.07,19.16B,13.41B,2.414B,2020-09,4.705B,758.00M,-81.00M,-81.00M,5.419B,1.474B,17.69B,1.311B,12.65B,1.148B,367.00M,7.797B,1.103B,18.07B,63.46B,958.00M,28.20B,17.18B,45.15B,35.26B,27.96B,1.103B,5.27B,6.878B
HON,2020-06,-3.31B,15.13B,5.276B,4.498B,0,1.54,1.53,19.07B,0,2.201B,2020-06,4.753B,1.081B,-68.00M,-68.00M,5.327B,1.461B,17.59B,1.018B,12.84B,1.219B,120.00M,7.477B,1.183B,18.15B,63.60B,958.00M,28.32B,17.34B,45.24B,35.28B,27.90B,1.183B,5.366B,6.717B
HON,2020-03,-3.353B,8.791B,5.534B,4.57B,0,2.23,2.21,18.86B,0,2.929B,2020-03,4.584B,1.581B,-29.00M,-29.00M,5.214B,1.67B,11.54B,1.691B,12.81B,1.935B,329.00M,8.463B,1.238B,17.64B,57.42B,958.00M,22.61B,17.38B,39.56B,34.81B,22.18B,1.238B,5.676B,7.452B
HON,2019-12,-3.197B,10.42B,6.328B,5.063B,0,2.19,2.16,19.30B,0,3.168B,2019-12,4.421B,1.562B,-30.00M,-30.00M,5.325B,2.98B,11.64B,1.695B,8.198B,1.768B,178.00M,9.496B,1.473B,18.49B,58.68B,958.00M,24.30B,18.10B,39.97B,34.38B,21.88B,1.473B,6.222B,7.493B
HON,2019-09,-3.295B,12.36B,6.038B,7.51B,0,2.26,2.23,19.21B,0,3.048B,2019-09,4.601B,1.624B,-32.00M,-32.00M,5.24B,1.366B,11.10B,1.752B,12.40B,1.967B,319.00M,9.086B,1.296B,18.11B,60.10B,958.00M,26.19B,19.92B,41.80B,33.92B,21.88B,1.296B,5.522B,7.583B
HON,2019-06,-3.453B,9.943B,6.094B,7.575B,0,2.13,2.1,19.51B,0,3.149B,2019-06,4.60B,1.541B,-22.00M,-22.00M,5.26B,1.722B,8.608B,1.762B,12.32B,1.982B,426.00M,9.243B,1.387B,17.87B,57.75B,958.00M,23.77B,19.89B,39.69B,33.98B,19.80B,1.387B,5.602B,7.407B
HON,2019-03,-3.245B,10.68B,5.879B,7.514B,0,1.94,1.92,19.59B,0,3.005B,2019-03,4.548B,1.416B,-18.00M,-18.00M,5.276B,1.85B,8.598B,1.642B,12.08B,1.842B,406.00M,8.884B,1.363B,18.77B,58.56B,958.00M,24.33B,19.59B,39.60B,34.23B,20.01B,1.363B,5.582B,7.307B
HON,2018-12,-3.437B,10.91B,6.685B,6.458B,0,2.34,2.31,19.68B,0,3.044B,2018-12,4.326B,1.721B,-27.00M,-27.00M,5.296B,2.977B,9.756B,1.52B,7.931B,1.72B,-20.00M,9.729B,1.524B,18.18B,57.77B,958.00M,24.36B,18.92B,39.42B,33.41B,20.49B,1.524B,6.007B,7.508B
HON,2018-09,-2.125B,11.65B,7.556B,4.192B,2.198B,3.15,3.11,22.39B,15.19B,3.206B,2018-09,5.061B,2.338B,-44.00M,-44.00M,5.966B,1.905B,14.06B,1.682B,13.71B,1.858B,-498.00M,10.76B,1.524B,18.24B,61.93B,958.00M,26.63B,17.90B,43.51B,35.30B,25.61B,1.524B,7.05B,8.568B
HON,2018-06,-2.222B,9.85B,7.614B,4.58B,2.151B,1.7,1.68,22.40B,14.51B,3.305B,2018-06,4.792B,1.267B,-46.00M,-46.00M,5.968B,2.751B,12.50B,1.777B,13.44B,1.998B,718.00M,10.92B,1.528B,17.60B,59.86B,958.00M,24.78B,18.02B,42.09B,35.08B,24.07B,1.528B,6.808B,8.60B
HON,2018-03,-2.174B,10.28B,7.191B,5.549B,0,1.92,1.89,22.98B,14.61B,3.201B,2018-03,4.766B,1.439B,-33.00M,-33.00M,6.083B,2.782B,12.74B,1.726B,13.21B,1.911B,459.00M,10.39B,1.475B,17.60B,60.95B,958.00M,25.59B,18.76B,43.17B,35.36B,24.42B,1.475B,6.641B,8.778B
HON,2017-12,-2.235B,10.82B,7.54B,5.309B,0,-3.18,-3.18,22.77B,0,3.303B,2017-12,4.613B,-2.519B,-36.00M,-36.00M,5.926B,2.74B,12.57B,1.619B,9.051B,1.667B,4.174B,10.84B,1.684B,16.50B,59.47B,958.00M,26.00B,18.86B,42.80B,33.47B,23.94B,1.684B,6.995B,8.866B
