Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HRL,2021-01,-360.87M,1.769B,2.011B,258.69M,0,0.41,0.41,3.691B,3.802B,450.17M,2021-01,1.087B,222.28M,9.064M,9.064M,1.898B,224.48M,1.043B,253.79M,925.95M,277.08M,54.69M,2.461B,196.38M,6.551B,9.958B,7.908M,3.602B,1.417B,3.402B,6.356B,1.985B,196.38M,604.42M,715.65M
HRL,2020-10,-395.25M,1.732B,1.962B,258.69M,0,0.43,0.43,3.689B,3.767B,457.76M,2020-10,1.073B,234.36M,2.036M,2.036M,1.898B,218.78M,1.045B,266.97M,967.36M,278.73M,44.21M,2.420B,190.80M,6.426B,9.908B,7.909M,3.579B,1.504B,3.478B,6.329B,1.974B,190.80M,667.09M,743.87M
HRL,2020-07,-431.88M,1.747B,1.959B,258.69M,0,0.38,0.37,3.696B,3.637B,422.43M,2020-07,982.36M,203.12M,9.789M,9.789M,1.800B,170.32M,1.047B,241.34M,925.66M,259.36M,56.10M,2.381B,181.08M,6.267B,9.600B,7.902M,3.410B,1.427B,3.329B,6.191B,1.902B,181.08M,587.27M,649.56M
HRL,2020-04,-447.91M,622.91M,1.945B,258.30M,0,0.42,0.42,3.707B,3.549B,477.35M,2020-04,1.049B,227.73M,-6.971M,-6.971M,1.750B,165.25M,56.86M,283.44M,861.63M,286.49M,58.87M,2.422B,193.91M,6.162B,8.395B,7.896M,2.249B,1.325B,2.229B,6.146B,904.38M,193.91M,556.90M,536.35M
HRL,2020-01,-393.28M,739.23M,1.916B,8.259M,0,0.45,0.45,3.516B,3.459B,468.42M,2020-01,1.057B,242.87M,9.674M,9.674M,1.695B,176.11M,308.97M,272.90M,822.78M,290.16M,47.21M,2.384B,195.52M,6.092B,8.290B,7.873M,2.395B,1.023B,2.194B,5.895B,1.171B,195.52M,520.53M,562.67M
HRL,2019-10,-399.50M,687.64M,2.008B,374.88M,0,0.48,0.47,3.516B,3.355B,493.72M,2019-10,1.042B,255.50M,2.698M,2.698M,1.629B,176.57M,250.00M,309.93M,867.26M,323.69M,68.13M,2.502B,183.80M,5.921B,8.109B,7.83M,2.361B,1.105B,2.183B,5.748B,1.078B,183.80M,596.24M,594.32M
HRL,2019-07,-275.20M,574.26M,1.857B,0,0,0.37,0.37,3.525B,3.215B,433.44M,2019-07,1.109B,199.45M,4.343M,4.343M,1.516B,145.15M,250.00M,253.27M,854.52M,261.00M,61.57M,2.291B,180.17M,5.887B,7.955B,7.818M,2.246B,1.073B,2.063B,5.709B,990.15M,180.17M,547.75M,529.25M
HRL,2019-04,-278.14M,646.00M,1.876B,0,0,0.53,0.52,3.527B,3.172B,469.15M,2019-04,1.031B,282.43M,5.682M,5.682M,1.495B,142.43M,250.00M,299.07M,844.02M,318.05M,35.41M,2.345B,170.08M,5.897B,7.936B,7.854M,2.251B,1.052B,2.034B,5.685B,982.28M,170.08M,545.83M,537.74M
HRL,2019-01,-292.34M,512.69M,1.872B,0,0,0.45,0.44,3.922B,3.130B,488.33M,2019-01,994.43M,241.42M,0.727M,0.727M,1.484B,179.67M,250.00M,294.79M,875.48M,306.98M,65.46M,2.360B,193.54M,5.702B,8.155B,7.826M,2.101B,1.436B,2.450B,6.055B,1.014B,193.54M,569.41M,565.21M
HRL,2018-10,-243.50M,459.14M,1.991B,0,0,0.49,0.48,3.921B,3.202B,533.33M,2018-10,963.53M,261.41M,1.928M,1.928M,1.513B,197.09M,624.84M,328.04M,889.58M,321.50M,60.01M,2.525B,205.29M,5.601B,8.142B,7.825M,2.050B,1.139B,2.537B,6.092B,1.399B,205.29M,621.32M,604.43M
HRL,2018-07,-259.21M,268.98M,1.904B,95.00M,0,0.4,0.39,3.971B,3.074B,455.05M,2018-07,1.001B,210.24M,1.042M,1.042M,1.410B,139.19M,624.80M,243.55M,773.19M,257.73M,47.38M,2.359B,211.50M,5.392B,7.895B,7.781M,1.854B,1.097B,2.500B,6.041B,1.403B,211.50M,491.35M,563.82M
HRL,2018-04,-235.75M,261.57M,1.838B,185.00M,0,0.45,0.44,3.983B,2.987B,492.80M,2018-04,1.011B,237.38M,-4.857M,-4.857M,1.354B,125.42M,624.76M,288.25M,757.63M,296.88M,59.36M,2.331B,204.55M,5.287B,7.830B,7.766M,1.851B,1.148B,2.538B,5.979B,1.390B,204.55M,467.00M,554.32M
HRL,2018-01,-242.18M,385.78M,1.833B,255.00M,0,0.57,0.56,3.981B,2.893B,498.30M,2018-01,973.22M,303.11M,3.21M,3.21M,1.293B,114.69M,624.73M,278.42M,881.09M,305.16M,1.954M,2.331B,219.87M,5.151B,7.859B,7.764M,1.948B,1.324B,2.703B,5.911B,1.380B,219.87M,579.08M,569.28M
HRL,2017-10,-248.08M,444.12M,1.988B,145.00M,0,0.41,0.41,3.147B,2.777B,505.03M,2017-10,921.02M,218.15M,4.366M,4.366M,1.203B,98.41M,250.00M,313.61M,822.06M,330.01M,111.65M,2.493B,191.42M,4.936B,6.976B,7.741M,2.027B,1.058B,2.036B,4.949B,978.00M,191.42M,553.24M,640.70M
HRL,2017-07,-291.96M,633.34M,1.755B,0,0,0.35,0.34,2.705B,2.622B,452.41M,2017-07,1.013B,182.51M,-1.681M,-1.681M,1.054B,9.571M,250.00M,275.75M,664.60M,278.02M,95.47M,2.207B,176.66M,4.750B,6.508B,7.732M,2.217B,877.77M,1.755B,4.291B,877.01M,176.66M,423.16M,549.01M
HRL,2017-04,-299.15M,548.90M,1.700B,0,0,0.4,0.39,2.707B,2.589B,486.92M,2017-04,988.41M,210.93M,-0.205M,-0.205M,1.044B,7.52M,250.00M,305.91M,628.24M,315.83M,104.94M,2.187B,181.01M,4.683B,6.386B,7.743M,2.126B,824.59M,1.699B,4.260B,874.69M,181.01M,374.03M,567.35M
