Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HSIC,2020-12,-108.08M,421.18M,2.306B,247.92M,0,1,1,2.984B,1.157B,859.71M,2020-12,1.512B,142.63M,-9.607M,-9.607M,630.85M,30.06M,754.50M,185.58M,2.035B,169.93M,29.41M,3.166B,674.13M,3.348B,7.773B,1.425M,3.791B,2.283B,3.788B,3.981B,1.505B,674.13M,1.144B,1.425B
HSIC,2020-09,-171.33M,533.50M,2.086B,680.30M,0,1,0.99,2.999B,584.85M,754.30M,2020-09,1.463B,141.70M,-8.817M,-8.817M,584.85M,32.41M,715.97M,194.66M,1.924B,177.16M,29.00M,2.840B,559.64M,3.155B,7.810B,1.425M,3.869B,2.604B,4.018B,3.941B,1.414B,559.64M,1.145B,1.408B
HSIC,2020-06,-199.25M,296.11M,1.230B,674.48M,0,-0.08,-0.08,2.999B,547.37M,454.29M,2020-06,1.407B,-10.80M,-8.489M,-8.489M,547.37M,56.92M,679.14M,8.501M,1.633B,-16.21M,-0.95M,1.684B,445.79M,2.991B,7.318B,1.424M,3.409B,2.307B,3.697B,3.909B,1.389B,445.79M,945.40M,1.101B
HSIC,2020-03,-227.65M,617.37M,1.683B,554.56M,0,0.91,0.91,3.025B,543.16M,746.04M,2020-03,1.328B,130.26M,-4.622M,-4.622M,543.16M,73.22M,1.029B,178.65M,1.651B,169.02M,37.91M,2.429B,567.39M,2.975B,7.519B,1.424M,3.619B,2.206B,3.913B,3.900B,1.708B,567.39M,951.06M,1.199B
HSIC,2019-12,-167.37M,106.10M,1.858B,199.17M,0,2.27,2.24,3.035B,1.030B,810.60M,2019-12,1.429B,329.86M,-5.944M,-5.944M,561.31M,64.99M,799.18M,195.28M,1.839B,189.48M,42.19M,2.669B,615.32M,2.998B,7.151B,1.434M,3.227B,2.038B,3.521B,3.925B,1.483B,615.32M,1.045B,1.246B
HSIC,2019-09,-195.43M,75.26M,1.748B,284.40M,0,0.96,0.95,3.044B,551.25M,761.17M,2019-09,1.357B,140.56M,-8.43M,-8.43M,551.25M,68.64M,1.055B,186.40M,1.624B,178.59M,41.96M,2.509B,574.77M,2.830B,7.097B,1.463M,3.116B,1.909B,3.638B,3.981B,1.729B,574.77M,965.71M,1.279B
HSIC,2019-06,-139.94M,84.92M,1.680B,320.21M,0,0.77,0.77,3.062B,551.54M,767.43M,2019-06,1.368B,114.53M,-9.131M,-9.131M,551.54M,72.18M,1.151B,174.21M,1.505B,151.74M,35.88M,2.448B,593.22M,2.827B,7.112B,1.478M,3.109B,1.825B,3.666B,4.004B,1.841B,593.22M,854.21M,1.204B
HSIC,2019-03,-149.88M,88.12M,1.609B,377.49M,0,0.73,0.73,3.068B,563.52M,751.69M,2019-03,1.370B,109.78M,-11.53M,-11.53M,563.52M,76.85M,1.161B,177.08M,1.501B,160.49M,39.48M,2.360B,574.61M,2.797B,7.145B,1.49M,3.109B,1.879B,3.730B,4.036B,1.851B,574.61M,857.69M,1.193B
HSIC,2018-12,-248.77M,56.88M,1.722B,959.74M,0,0.88,0.87,2.458B,905.10M,750.93M,2018-12,1.416B,132.97M,-17.06M,-17.06M,314.22M,27.22M,980.34M,192.65M,1.681B,139.46M,20.78M,2.473B,558.28M,2.961B,8.501B,1.514M,4.175B,3.219B,4.959B,4.325B,1.740B,558.28M,940.37M,1.169B
HSIC,2018-09,-219.65M,119.74M,1.633B,1.157B,0,0.8,0.79,3.304B,0,722.36M,2018-09,1.933B,121.48M,-16.50M,-16.50M,374.05M,45.95M,1.000B,170.31M,2.072B,106.18M,16.63M,2.356B,552.05M,2.973B,8.390B,1.524M,4.194B,3.230B,4.974B,4.196B,1.744B,552.05M,1.316B,1.628B
HSIC,2018-06,-211.39M,111.32M,1.598B,1.192B,0,0.92,0.92,2.869B,990.50M,718.33M,2018-06,1.930B,141.21M,-13.51M,-13.51M,368.60M,48.13M,985.38M,165.60M,1.961B,143.16M,33.88M,2.316B,552.72M,2.914B,7.810B,1.532M,4.062B,3.153B,4.887B,3.748B,1.734B,552.72M,1.291B,1.561B
HSIC,2018-03,-97.89M,99.24M,1.554B,968.30M,0,0.92,0.91,2.967B,864.74M,719.13M,2018-03,2.015B,140.22M,-13.45M,-13.45M,377.00M,54.45M,1.001B,164.92M,1.888B,148.04M,36.14M,2.273B,554.21M,2.902B,7.915B,1.54M,4.121B,2.856B,5.003B,3.794B,2.147B,554.21M,1.235B,1.576B
HSIC,2017-12,-130.07M,174.66M,-508.57M,758.31M,0,-0.06,-0.06,2.972B,0,248.52M,2017-12,1.934B,-8.535M,-14.78M,-14.78M,375.00M,50.43M,907.76M,51.58M,2.071B,34.98M,152.70M,-260.05M,196.93M,2.811B,7.864B,1.537M,4.086B,2.829B,5.040B,3.778B,2.211B,196.93M,1.342B,1.523B
HSIC,2017-09,-154.47M,79.88M,2.325B,649.11M,0,0.88,0.87,2.892B,0,836.05M,2017-09,1.692B,138.03M,-8.635M,-8.635M,361.71M,91.79M,907.59M,213.55M,1.788B,204.72M,59.34M,3.161B,622.51M,3.012B,7.487B,1.57M,3.783B,2.437B,4.466B,3.704B,2.029B,622.51M,1.178B,1.545B
HSIC,2017-06,-209.53M,74.65M,2.220B,594.72M,0,0.86,0.86,2.809B,0,839.17M,2017-06,1.567B,136.06M,-8.091M,-8.091M,351.38M,89.76M,807.62M,210.66M,1.635B,203.30M,58.31M,3.059B,628.51M,2.926B,7.097B,0.792M,3.464B,2.230B,4.163B,3.634B,1.933B,628.51M,1.035B,1.409B
HSIC,2017-03,-281.82M,62.89M,2.100B,690.33M,0,0.89,0.88,2.658B,0,822.92M,2017-03,1.624B,140.75M,-7.126M,-7.126M,336.46M,79.11M,708.42M,193.97M,1.595B,186.80M,38.63M,2.923B,628.95M,2.787B,6.845B,0.795M,3.392B,2.285B,4.049B,3.452B,1.764B,628.95M,1.012B,1.363B
