Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HST,2020-12,-74.00M,2.335B,344.00M,2.471B,0,-0.09,-0.09,597.00M,-77.00M,2020-12,0,-64.00M,-49.00M,-49.00M,597.00M,0,3.68B,-271.00M,135.00M,-130.00M,-64.00M,267.00M,27.00M,6.321B,12.89B,7.00M,2.357B,2.606B,6.564B,10.53B,3.958B,194.00M,135.00M,22.00M
HST,2020-09,-79.00M,2.43B,327.00M,2.482B,0,-0.44,-0.44,600.00M,-129.00M,2020-09,0,-313.00M,-66.00M,-66.00M,600.00M,0,3.768B,-318.00M,168.00M,-389.00M,-73.00M,198.00M,23.00M,6.402B,13.07B,7.00M,2.502B,2.65B,6.664B,10.57B,4.014B,189.00M,168.00M,19.00M
HST,2020-06,-74.00M,1.578B,265.00M,1.736B,0,-0.5,-0.5,595.00M,-162.00M,2020-06,0,-352.00M,-38.00M,-38.00M,595.00M,0,3.414B,-353.00M,68.00M,-402.00M,-46.00M,103.00M,23.00M,6.717B,12.19B,7.00M,1.584B,1.804B,5.468B,10.61B,3.664B,191.00M,68.00M,6.00M
HST,2020-03,-72.00M,2.796B,844.00M,2.489B,0,-0.0042,-0.0042,598.00M,208.00M,2020-03,0,-3.00M,-31.00M,-31.00M,598.00M,0,3.415B,-11.00M,222.00M,-40.00M,-37.00M,1.052B,55.00M,7.064B,13.45B,7.00M,2.833B,2.711B,6.376B,10.61B,3.665B,219.00M,222.00M,37.00M
HST,2019-12,-56.00M,1.573B,905.00M,989.00M,0,0.11,0.11,595.00M,429.00M,2019-12,0,80.00M,-75.00M,-75.00M,595.00M,0,3.411B,165.00M,263.00M,89.00M,8.00M,1.334B,89.00M,7.319B,12.30B,7.00M,1.636B,1.252B,4.98B,10.67B,3.728B,264.00M,263.00M,63.00M
HST,2019-09,-62.00M,2.03B,886.00M,989.00M,0,0.51,0.51,549.00M,376.00M,2019-09,0,368.00M,-38.00M,-38.00M,549.00M,0,4.011B,133.00M,277.00M,376.00M,4.00M,1.262B,78.00M,7.499B,13.13B,7.00M,2.483B,1.304B,5.627B,10.65B,4.323B,243.00M,277.00M,104.00M
HST,2019-06,-56.00M,1.107B,941.00M,1.052B,0,0.39,0.39,590.00M,542.00M,2019-06,0,286.00M,-36.00M,-36.00M,590.00M,0,3.411B,280.00M,248.00M,306.00M,16.00M,1.483B,96.00M,7.467B,12.52B,7.00M,1.542B,1.313B,5.051B,10.98B,3.738B,262.00M,248.00M,163.00M
HST,2019-03,-59.00M,1.082B,921.00M,1.051B,0,0.25,0.25,616.00M,469.00M,2019-03,0,186.00M,-35.00M,-35.00M,616.00M,0,3.436B,216.00M,240.00M,191.00M,2.00M,1.39B,83.00M,7.513B,12.58B,7.00M,1.258B,1.291B,5.057B,11.32B,3.766B,253.00M,240.00M,145.00M
HST,2018-12,-59.00M,1.542B,933.00M,1.049B,0,0.41,0.41,0,428.00M,2018-12,0,303.00M,-35.00M,-35.00M,0,0,2.788B,181.00M,293.00M,393.00M,87.00M,1.361B,82.00M,7.494B,12.09B,7.00M,1.894B,1.342B,4.524B,10.20B,3.182B,247.00M,293.00M,71.00M
HST,2018-09,-65.00M,1.269B,899.00M,1.292B,0,0.43,0.43,0,400.00M,2018-09,0,322.00M,-42.00M,-42.00M,0,0,2.787B,-92.00M,265.00M,420.00M,42.00M,1.299B,80.00M,7.322B,12.16B,7.00M,1.684B,1.557B,4.76B,10.47B,3.203B,492.00M,265.00M,141.00M
HST,2018-06,-68.00M,646.00M,963.00M,1.442B,0,0.28,0.28,0,555.00M,2018-06,0,209.00M,-43.00M,-43.00M,0,0,2.786B,263.00M,242.00M,228.00M,17.00M,1.518B,103.00M,7.138B,12.08B,7.00M,970.00M,1.684B,4.909B,11.10B,3.225B,292.00M,242.00M,161.00M
HST,2018-03,-55.00M,323.00M,915.00M,1.481B,0,0.34,0.34,0,431.00M,2018-03,0,253.00M,-41.00M,-41.00M,0,0,2.785B,171.00M,233.00M,260.00M,4.00M,1.346B,82.00M,7.099B,12.06B,7.00M,650.00M,1.714B,4.936B,11.41B,3.222B,260.00M,233.00M,146.00M
HST,2017-12,-60.00M,913.00M,921.00M,1.17B,0,0.12,0.12,0,423.00M,2017-12,0,92.00M,-40.00M,-40.00M,0,0,2.784B,125.00M,283.00M,110.00M,17.00M,1.344B,81.00M,6.973B,11.69B,7.00M,1.243B,1.453B,4.691B,10.45B,3.238B,298.00M,283.00M,79.00M
HST,2017-09,-57.00M,789.00M,875.00M,1.184B,0,0.14,0.14,0,379.00M,2017-09,0,104.00M,-41.00M,-41.00M,0,0,2.777B,126.00M,250.00M,147.00M,42.00M,1.254B,77.00M,7.079B,11.77B,7.00M,972.00M,1.434B,4.663B,10.80B,3.229B,253.00M,250.00M,116.00M
HST,2017-06,-77.00M,644.00M,926.00M,1.215B,0,0.28,0.28,0,515.00M,2017-06,0,210.00M,-42.00M,-42.00M,0,0,2.777B,242.00M,221.00M,239.00M,27.00M,1.441B,95.00M,7.101B,11.85B,7.00M,864.00M,1.511B,4.713B,10.99B,3.202B,273.00M,221.00M,120.00M
HST,2017-03,-78.00M,411.00M,915.00M,1.211B,0,0.21,0.21,0,433.00M,2017-03,0,158.00M,-38.00M,-38.00M,0,0,2.777B,169.00M,218.00M,155.00M,-6.00M,1.348B,84.00M,7.026B,11.78B,7.00M,684.00M,1.503B,4.71B,11.09B,3.207B,264.00M,218.00M,133.00M
HST,2016-12,-83.00M,372.00M,921.00M,1.206B,0,0.17,0.17,0,416.00M,2016-12,0,126.00M,-37.00M,-37.00M,0,0,2.443B,150.00M,278.00M,126.00M,-2.00M,1.337B,83.00M,6.994B,11.41B,7.00M,579.00M,1.484B,4.375B,10.83B,2.891B,266.00M,278.00M,55.00M
HST,2016-09,-79.00M,340.00M,899.00M,1.306B,0,0.14,0.14,0,396.00M,2016-09,0,107.00M,-38.00M,-38.00M,0,0,2.446B,132.00M,242.00M,127.00M,19.00M,1.295B,82.00M,7.091B,11.54B,7.00M,453.00M,1.548B,4.412B,11.09B,2.864B,264.00M,242.00M,106.00M
HST,2016-06,-71.00M,266.00M,949.00M,1.255B,0,0.47,0.47,0,510.00M,2016-06,0,347.00M,-39.00M,-39.00M,0,0,2.46B,239.00M,228.00M,383.00M,32.00M,1.459B,93.00M,7.175B,11.59B,7.00M,418.00M,1.487B,4.378B,11.17B,2.891B,271.00M,228.00M,114.00M
HST,2016-03,-94.00M,234.00M,926.00M,1.401B,0,0.24,0.24,0,413.00M,2016-03,0,182.00M,-38.00M,-38.00M,0,0,2.56B,148.00M,215.00M,175.00M,-9.00M,1.339B,84.00M,7.02B,11.69B,7.00M,414.00M,1.618B,4.629B,11.28B,3.011B,265.00M,215.00M,135.00M
HST,2015-12,-107.00M,221.00M,920.00M,1.291B,0,0.22,0.22,0,406.00M,2015-12,0,163.00M,-68.00M,-68.00M,0,0,2.576B,145.00M,243.00M,161.00M,-4.00M,1.326B,81.00M,7.064B,11.66B,8.00M,347.00M,1.534B,4.552B,11.31B,3.018B,261.00M,243.00M,56.00M
HST,2015-09,-119.00M,265.00M,905.00M,1.009B,0,0.11,0.11,0,378.00M,2015-09,0,85.00M,-46.00M,-46.00M,0,0,3.269B,129.00M,248.00M,96.00M,9.00M,1.283B,72.00M,6.96B,11.98B,7.00M,433.00M,1.257B,4.992B,11.55B,3.735B,249.00M,248.00M,130.00M
HST,2015-06,-84.00M,262.00M,948.00M,770.00M,0,0.28,0.28,0,491.00M,2015-06,0,212.00M,-50.00M,-50.00M,0,0,3.283B,224.00M,230.00M,227.00M,13.00M,1.439B,89.00M,7.23B,12.04B,7.00M,400.00M,1.00B,4.779B,11.64B,3.779B,267.00M,230.00M,135.00M
HST,2015-03,-87.00M,485.00M,920.00M,685.00M,0,0.13,0.13,0,382.00M,2015-03,0,98.00M,-48.00M,-48.00M,0,0,3.283B,127.00M,224.00M,90.00M,-9.00M,1.302B,82.00M,7.289B,12.01B,8.00M,634.00M,909.00M,4.687B,11.38B,3.778B,255.00M,224.00M,149.00M
HST,2014-12,-50.00M,684.00M,911.00M,697.00M,0,0.34,0.33,0,376.00M,2014-12,0,254.00M,-44.00M,-44.00M,0,0,3.26B,125.00M,298.00M,249.00M,-3.00M,1.287B,82.00M,7.336B,12.17B,8.00M,754.00M,995.00M,4.804B,11.42B,3.809B,251.00M,298.00M,70.00M
HST,2014-09,-32.00M,387.00M,904.00M,712.00M,0,0.19,0.19,0,390.00M,2014-09,0,144.00M,-50.00M,-50.00M,0,0,3.30B,134.00M,244.00M,151.00M,6.00M,1.294B,78.00M,7.315B,12.14B,8.00M,648.00M,956.00M,4.785B,11.49B,3.829B,256.00M,244.00M,156.00M
HST,2014-06,3.00M,440.00M,937.00M,722.00M,0,0.21,0.21,0,494.00M,2014-06,0,155.00M,-52.00M,-52.00M,0,0,3.308B,226.00M,202.00M,174.00M,15.00M,1.431B,94.00M,7.348B,12.22B,8.00M,602.00M,924.00M,4.831B,11.61B,3.907B,268.00M,202.00M,129.00M
HST,2014-03,-2.00M,392.00M,922.00M,718.00M,0,0.24,0.24,0,387.00M,2014-03,0,179.00M,-54.00M,-54.00M,0,0,3.375B,138.00M,185.00M,181.00M,-4.00M,1.309B,77.00M,7.311B,12.21B,8.00M,536.00M,903.00M,4.86B,11.67B,3.957B,249.00M,185.00M,111.00M
HST,2013-12,-9.00M,861.00M,925.00M,946.00M,0,0.16,0.16,0,406.00M,2013-12,0,123.00M,-82.00M,-82.00M,0,0,3.813B,154.00M,214.00M,60.00M,2.00M,1.331B,75.00M,7.228B,12.81B,8.00M,945.00M,1.16B,5.552B,11.87B,4.392B,252.00M,214.00M,52.00M
HST,2013-09,0,354.00M,880.00M,729.00M,0,0.03,0.03,0,331.00M,2013-09,0,19.00M,-61.00M,-61.00M,0,0,3.831B,79.00M,193.00M,13.00M,11.00M,1.211B,77.00M,7.226B,12.56B,8.00M,517.00M,922.00M,5.301B,12.05B,4.379B,252.00M,193.00M,85.00M
HST,2013-06,-12.00M,393.00M,921.00M,702.00M,0,0.16,0.16,18.04B,478.00M,2013-06,0,119.00M,-70.00M,-70.00M,11.73B,0,4.022B,205.00M,175.00M,131.00M,15.00M,1.399B,102.00M,7.179B,12.66B,7.00M,558.00M,877.00M,5.451B,12.11B,4.574B,273.00M,175.00M,130.00M
HST,2013-03,14.00M,1.075B,888.00M,658.00M,0,0.08,0.08,17.50B,336.00M,2013-03,0,56.00M,-75.00M,-75.00M,11.35B,0,4.876B,90.00M,165.00M,27.00M,-7.00M,1.224B,73.00M,7.071B,13.34B,7.00M,1.206B,823.00M,6.227B,12.13B,5.404B,246.00M,165.00M,96.00M
HST,2012-12,12.00M,417.00M,1.176B,763.00M,0,0.02,0.02,17.35B,468.00M,2012-12,0,15.00M,-80.00M,-80.00M,11.34B,0,4.648B,106.00M,194.00M,28.00M,21.00M,1.644B,94.00M,6.825B,12.99B,7.00M,533.00M,957.00M,6.135B,12.46B,5.178B,362.00M,194.00M,80.00M
HST,2012-09,9.00M,254.00M,868.00M,117.00M,0,-0.05,-0.05,17.16B,290.00M,2012-09,0,-34.00M,-89.00M,-89.00M,11.44B,0,5.495B,61.00M,105.00M,-29.00M,11.00M,1.158B,74.00M,6.898B,13.04B,7.00M,387.00M,446.00M,6.108B,12.66B,5.662B,229.00M,175.00M,98.00M
HST,2012-06,-7.00M,465.00M,920.00M,0,0,0.11,0.11,17.21B,406.00M,2012-06,0,82.00M,-91.00M,-91.00M,11.64B,0,5.226B,177.00M,95.00M,92.00M,12.00M,1.326B,76.00M,6.941B,12.74B,7.00M,570.00M,373.00M,5.759B,12.17B,5.386B,229.00M,0,77.00M
HST,2012-03,18.00M,1.312B,732.00M,0,0,0,0,16.92B,220.00M,2012-03,0,-2.00M,-82.00M,-82.00M,11.48B,0,6.137B,16.00M,152.00M,-68.00M,-13.00M,952.00M,55.00M,6.822B,13.59B,7.00M,1.787B,419.00M,6.727B,11.80B,6.308B,204.00M,0,54.00M
