Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HSY,2020-12,-338.08M,1.144B,1.223B,549.45M,0,1.44,1.39,3.471B,5.189B,962.07M,2020-12,964.21M,291.39M,-37.78M,-37.78M,2.510B,229.03M,4.272B,424.09M,1.342B,263.40M,-27.93M,2.185B,537.98M,2.234B,9.132B,221.55M,2.978B,1.892B,6.894B,6.154B,5.002B,537.98M,597.11M,615.23M
HSY,2020-09,-352.31M,1.206B,1.140B,869.20M,0,2.21,2.14,3.460B,5.068B,1.080B,2020-09,958.48M,447.28M,-37.26M,-37.26M,2.413B,211.27M,4.281B,611.41M,1.359B,562.51M,115.25M,2.220B,468.61M,2.066B,9.255B,221.55M,3.207B,2.228B,7.186B,6.048B,4.958B,468.61M,663.24M,829.51M
HSY,2020-06,-367.19M,1.165B,914.78M,1.018B,0,1.33,1.29,3.462B,5.028B,792.55M,2020-06,999.38M,268.90M,-38.08M,-38.08M,2.388B,205.11M,4.276B,383.60M,1.197B,334.08M,66.04M,1.707B,408.95M,1.754B,8.911B,221.55M,2.903B,2.215B,7.155B,6.008B,4.940B,408.95M,584.13M,540.40M
HSY,2020-03,-365.74M,1.095B,1.171B,1.654B,0,1.33,1.29,3.464B,4.968B,866.62M,2020-03,832.19M,271.14M,-36.26M,-36.26M,2.370B,197.04M,3.637B,391.24M,1.239B,335.01M,66.23M,2.037B,475.38M,1.671B,8.855B,221.55M,2.855B,2.893B,7.181B,6.001B,4.288B,475.38M,593.20M,705.64M
HSY,2019-12,-323.97M,493.26M,1.156B,764.88M,0,1.02,0.98,3.481B,4.955B,911.91M,2019-12,815.25M,207.19M,-37.44M,-37.44M,2.374B,200.02M,3.715B,394.71M,1.244B,214.32M,9.903M,2.068B,517.20M,1.739B,8.140B,221.55M,2.117B,2.009B,6.395B,6.023B,4.387B,517.20M,570.75M,568.51M
HSY,2019-09,-324.14M,302.64M,1.191B,1.657B,0,1.59,1.54,3.579B,4.878B,943.32M,2019-09,969.07M,325.31M,-35.46M,-35.46M,2.326B,200.16M,3.081B,461.96M,1.325B,407.36M,82.18M,2.134B,481.36M,1.753B,8.464B,359.90M,2.375B,2.982B,6.703B,6.089B,3.720B,481.36M,627.65M,849.22M
HSY,2019-06,-336.74M,365.96M,892.47M,1.269B,0,1.54,1.48,3.201B,4.851B,874.74M,2019-06,957.95M,312.84M,-33.78M,-33.78M,2.339B,197.10M,3.083B,420.95M,1.118B,363.17M,49.90M,1.767B,453.79M,1.675B,7.794B,359.90M,2.094B,2.387B,6.109B,5.700B,3.722B,453.79M,496.54M,538.75M
HSY,2019-03,-348.52M,465.96M,1.124B,1.203B,0,1.49,1.45,3.205B,4.791B,892.50M,2019-03,791.29M,304.36M,-37.46M,-37.46M,2.327B,181.38M,3.416B,438.93M,1.195B,395.93M,92.05M,2.016B,453.57M,1.415B,7.857B,359.90M,2.217B,2.398B,6.434B,5.640B,4.036B,453.57M,575.20M,694.14M
HSY,2018-12,-356.78M,588.00M,1.044B,1.203B,0,1.65,1.6,3.206B,4.582B,944.35M,2018-12,784.88M,336.79M,-37.63M,-37.63M,2.130B,176.86M,3.254B,458.32M,1.215B,343.97M,12.37M,1.988B,486.04M,1.399B,7.703B,359.90M,2.239B,2.419B,6.296B,5.464B,3.877B,486.04M,536.09M,594.14M
HSY,2018-09,-335.95M,823.79M,1.216B,1.452B,0,1.29,1.25,2.806B,4.584B,863.49M,2018-09,880.67M,263.71M,-36.92M,-36.92M,2.093B,144.98M,3.254B,409.57M,1.306B,356.85M,91.44M,2.080B,453.92M,1.235B,7.836B,359.90M,2.794B,2.759B,6.587B,5.042B,3.828B,453.92M,642.51M,814.92M
