Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
IBM,2021-03,-28.26B,11.13B,9.526B,6.535B,14.20B,1.07,1.06,73.52B,13.94B,8.204B,2021-03,1.828B,955.00M,-280.00M,-280.00M,13.94B,4.153B,54.58B,1.547B,6.78B,905.00M,-51.00M,1.63B,17.73B,5.174B,21.39B,148.63B,56.79B,34.04B,36.54B,127.12B,114.59B,90.57B,6.657B,6.78B,16.07B
IBM,2020-12,-29.34B,13.81B,9.844B,8.54B,12.83B,1.52,1.51,73.41B,37.86B,10.52B,2020-12,1.839B,1.355B,-302.00M,-302.00M,14.73B,9.773B,57.93B,1.96B,15.06B,1.289B,24.00M,1.611B,20.37B,6.97B,20.60B,155.97B,56.56B,39.16B,39.87B,135.24B,116.80B,95.38B,8.563B,8.209B,18.74B
IBM,2020-09,-28.58B,15.59B,9.13B,11.62B,11.68B,1.9,1.89,72.32B,37.15B,8.43B,2020-09,1.949B,1.697B,-308.00M,-308.00M,14.67B,3.82B,58.76B,2.403B,11.09B,1.827B,128.00M,1.515B,17.56B,4.372B,21.21B,154.13B,56.37B,39.84B,37.99B,132.79B,114.28B,94.80B,6.027B,6.36B,17.87B
IBM,2020-06,-28.76B,14.10B,9.423B,10.63B,12.47B,1.53,1.52,72.10B,36.44B,8.70B,2020-06,1.869B,1.361B,-300.00M,-300.00M,14.48B,3.787B,59.13B,2.073B,11.86B,1.571B,209.00M,1.582B,18.12B,4.894B,20.55B,154.20B,56.14B,39.95B,38.44B,133.51B,114.25B,95.07B,6.627B,7.346B,19.45B
IBM,2020-03,-29.28B,11.86B,9.649B,12.97B,13.38B,1.32,1.31,72.18B,35.96B,7.922B,2020-03,1.786B,1.175B,-275.00M,-275.00M,14.50B,3.769B,56.48B,459.00M,11.30B,-49.00M,-1.226B,1.625B,17.57B,5.614B,20.00B,153.40B,56.09B,38.93B,40.67B,133.28B,114.47B,92.60B,7.463B,6.52B,20.67B
IBM,2019-12,-28.60B,8.868B,10.68B,10.18B,12.03B,4.14,4.11,73.46B,37.02B,11.10B,2019-12,1.619B,3.67B,-306.00M,-306.00M,15.00B,9.081B,57.98B,4.317B,12.09B,3.993B,324.00M,1.596B,21.78B,5.103B,20.84B,152.19B,55.90B,38.42B,37.70B,131.20B,113.77B,93.50B,6.783B,7.735B,23.80B
IBM,2019-09,-29.09B,10.82B,9.692B,9.907B,11.22B,1.89,1.87,73.56B,36.57B,8.336B,2019-09,1.712B,1.672B,-369.00M,-369.00M,14.96B,3.382B,61.59B,1.924B,10.43B,1.522B,-151.00M,1.553B,18.03B,4.735B,17.96B,149.62B,55.81B,38.12B,35.07B,131.52B,111.50B,96.46B,6.412B,6.196B,20.96B
IBM,2019-06,-28.84B,46.27B,10.15B,15.91B,11.26B,2.82,2.81,38.01B,36.84B,9.01B,2019-06,1.745B,2.498B,-181.00M,-181.00M,15.20B,3.474B,62.39B,2.369B,11.62B,2.768B,269.00M,1.407B,19.16B,5.344B,17.64B,154.65B,55.40B,77.52B,42.35B,136.88B,77.14B,94.52B,6.641B,7.163B,24.74B
IBM,2019-03,-29.18B,18.01B,10.14B,11.56B,12.13B,1.79,1.78,39.24B,37.33B,8.043B,2019-03,1.771B,1.591B,-140.00M,-140.00M,15.31B,3.481B,43.32B,2.021B,12.15B,1.883B,289.00M,1.433B,18.18B,4.573B,16.48B,130.93B,55.29B,52.70B,38.87B,114.32B,78.22B,75.45B,6.022B,8.195B,27.94B
IBM,2018-12,-29.49B,12.00B,11.07B,10.21B,11.16B,2.17,2.15,39.35B,32.46B,10.69B,2018-12,1.682B,1.951B,-380.00M,-380.00M,10.79B,7.141B,35.60B,4.756B,13.54B,4.434B,2.481B,1.358B,21.76B,5.086B,16.80B,123.38B,55.15B,49.15B,38.23B,106.45B,74.24B,68.22B,5.931B,9.604B,30.56B
IBM,2018-09,-27.82B,14.50B,9.953B,10.93B,10.70B,2.95,2.94,39.66B,32.48B,8.803B,2018-09,1.893B,2.694B,-121.00M,-121.00M,10.95B,3.507B,35.99B,3.467B,11.59B,2.996B,304.00M,1.252B,18.76B,4.249B,19.78B,121.99B,54.99B,48.26B,36.82B,102.07B,73.73B,65.25B,5.336B,7.886B,27.09B
IBM,2018-06,-28.29B,11.71B,10.80B,7.646B,11.75B,2.63,2.61,39.83B,32.23B,9.199B,2018-06,1.742B,2.403B,-126.00M,-126.00M,11.02B,3.718B,37.85B,3.268B,12.36B,2.776B,373.00M,1.364B,20.00B,4.708B,18.52B,121.62B,54.83B,46.80B,35.44B,102.97B,74.83B,67.53B,5.931B,8.298B,28.34B
IBM,2018-03,-28.58B,12.84B,10.82B,5.976B,13.06B,1.82,1.81,40.25B,32.78B,8.247B,2018-03,1.753B,1.679B,-94.00M,-94.00M,11.28B,3.852B,40.41B,1.727B,13.41B,1.136B,-540.00M,1.405B,19.07B,5.322B,18.17B,125.28B,54.71B,49.12B,35.73B,107.00B,76.16B,71.26B,6.52B,8.654B,29.23B
IBM,2017-12,-26.59B,12.58B,11.49B,6.986B,11.55B,-1.14,-1.14,40.53B,32.33B,11.05B,2017-12,1.583B,-1.055B,-266.00M,-266.00M,11.12B,4.291B,39.84B,4.966B,15.18B,4.469B,5.522B,1.378B,22.54B,5.435B,17.59B,125.36B,54.57B,49.74B,37.36B,107.63B,75.62B,70.27B,6.083B,10.67B,31.63B
IBM,2017-09,-27.52B,11.52B,10.17B,4.299B,10.65B,2.93,2.92,40.76B,31.94B,8.981B,2017-09,1.711B,2.726B,-130.00M,-130.00M,11.06B,3.579B,41.33B,3.399B,12.83B,3.065B,339.00M,1.291B,19.15B,4.474B,19.63B,121.64B,54.40B,44.74B,31.70B,101.88B,76.90B,70.18B,5.582B,8.48B,27.13B
IBM,2017-06,-28.19B,12.30B,10.32B,8.061B,11.54B,2.49,2.48,40.70B,31.29B,8.968B,2017-06,1.604B,2.331B,-113.00M,-113.00M,10.90B,3.617B,37.61B,2.881B,12.50B,2.443B,111.00M,1.436B,19.29B,4.889B,18.42B,120.50B,54.24B,45.01B,35.97B,101.95B,75.48B,65.98B,6.087B,7.905B,26.96B
IBM,2017-03,-28.71B,10.70B,10.21B,8.34B,12.35B,1.86,1.85,40.74B,30.68B,7.944B,2017-03,1.609B,1.75B,-105.00M,-105.00M,10.86B,3.557B,34.44B,1.894B,12.59B,1.424B,-329.00M,1.484B,18.16B,4.881B,18.33B,117.50B,54.10B,42.89B,36.48B,99.05B,74.61B,62.57B,6.05B,8.071B,25.87B
