Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ICE,2020-12,-192.00M,583.00M,901.00M,2.411B,158.00M,0.94,0.93,35.70B,3.464B,1.332B,2020-12,526.00M,-111.00M,-111.00M,1.713B,3.563B,14.45B,795.00M,1.192B,674.00M,146.00M,2.233B,280.00M,19.50B,126.20B,6.00M,87.22B,88.00B,106.67B,38.98B,18.67B,537.00M,846.00M,1.23B
ICE,2020-09,-273.00M,610.00M,817.00M,2.463B,267.00M,0.71,0.71,35.75B,3.042B,1.113B,2020-09,390.00M,-88.00M,-88.00M,1.693B,3.567B,15.18B,703.00M,921.00M,583.00M,189.00M,1.93B,230.00M,19.02B,128.08B,6.00M,89.14B,89.69B,109.03B,38.94B,19.34B,410.00M,647.00M,1.31B
ICE,2020-06,-321.00M,880.00M,844.00M,705.00M,383.00M,0.96,0.95,23.68B,2.507B,1.122B,2020-06,523.00M,-82.00M,-82.00M,1.51B,2.317B,7.977B,746.00M,1.035B,673.00M,145.00M,1.966B,219.00M,16.95B,124.06B,6.00M,97.44B,96.19B,107.07B,26.62B,10.87B,376.00M,836.00M,1.279B
ICE,2020-03,-333.00M,583.00M,834.00M,3.071B,504.00M,1.18,1.17,23.74B,0,1.281B,2020-03,650.00M,-66.00M,-66.00M,1.503B,2.312B,5.524B,894.00M,840.00M,836.00M,178.00M,2.115B,230.00M,16.94B,138.90B,6.00M,112.25B,113.53B,121.94B,26.65B,8.41B,387.00M,713.00M,1.569B
ICE,2019-12,-243.00M,841.00M,643.00M,2.569B,129.00M,0.81,0.8,23.60B,0,1.024B,2019-12,448.00M,-63.00M,-63.00M,1.536B,2.314B,5.531B,623.00M,934.00M,587.00M,134.00M,1.667B,212.00M,17.26B,94.49B,6.00M,67.98B,68.82B,77.21B,26.51B,8.391B,401.00M,643.00M,988.00M
ICE,2019-09,-348.00M,655.00M,588.00M,1.329B,247.00M,0.95,0.94,23.64B,0,1.075B,2019-09,529.00M,-64.00M,-64.00M,1.505B,2.281B,6.783B,706.00M,805.00M,640.00M,103.00M,1.663B,211.00M,17.16B,95.34B,6.00M,68.87B,68.53B,78.15B,26.47B,9.62B,369.00M,577.00M,1.056B
ICE,2019-06,-309.00M,837.00M,595.00M,1.303B,360.00M,0.84,0.84,23.75B,0,1.039B,2019-06,472.00M,-61.00M,-61.00M,1.525B,2.296B,6.792B,681.00M,862.00M,628.00M,150.00M,1.634B,201.00M,17.12B,90.93B,6.00M,64.37B,64.13B,73.78B,26.56B,9.653B,358.00M,685.00M,1.062B
ICE,2019-03,-290.00M,653.00M,561.00M,1.005B,479.00M,0.85,0.85,23.50B,0,1.022B,2019-03,484.00M,-62.00M,-62.00M,1.538B,2.308B,6.798B,665.00M,704.00M,626.00M,134.00M,1.583B,199.00M,17.11B,93.86B,6.00M,67.48B,67.04B,76.73B,26.37B,9.692B,357.00M,579.00M,1.181B
ICE,2018-12,-315.00M,724.00M,631.00M,951.00M,135.00M,1.07,1.07,23.55B,0,1.046B,2018-12,611.00M,-64.00M,-64.00M,1.241B,2.337B,6.49B,677.00M,906.00M,738.00M,119.00M,1.677B,212.00M,17.20B,92.79B,6.00M,66.69B,66.11B,75.56B,26.10B,9.452B,369.00M,626.00M,953.00M
ICE,2018-09,-274.00M,515.00M,514.00M,1.198B,249.00M,0.8,0.79,23.38B,0,949.00M,2018-09,458.00M,-60.00M,-60.00M,1.206B,2.275B,6.488B,608.00M,724.00M,554.00M,89.00M,1.463B,193.00M,16.83B,87.24B,6.00M,61.30B,61.06B,70.39B,25.95B,9.323B,341.00M,507.00M,1.02B
ICE,2018-06,-265.00M,532.00M,551.00M,2.645B,372.00M,0.79,0.78,22.71B,2.276B,1.005B,2018-06,455.00M,-50.00M,-50.00M,1.22B,2.284B,4.271B,670.00M,764.00M,611.00M,149.00M,1.556B,192.00M,16.80B,82.85B,6.00M,57.56B,58.89B,66.01B,25.29B,7.113B,335.00M,614.00M,1.049B
ICE,2018-03,-190.00M,523.00M,595.00M,2.623B,468.00M,0.8,0.79,22.84B,1.936B,985.00M,2018-03,464.00M,-48.00M,-48.00M,1.235B,2.292B,4.269B,662.00M,700.00M,617.00M,143.00M,1.58B,185.00M,16.98B,82.06B,6.00M,56.63B,57.95B,65.06B,25.43B,7.11B,323.00M,596.00M,1.167B
ICE,2017-12,-223.00M,535.00M,524.00M,1.833B,125.00M,2.1,2.08,22.48B,0,917.00M,2017-12,1.233B,-42.00M,-42.00M,1.246B,2.298B,4.267B,601.00M,817.00M,671.00M,-568.00M,1.441B,185.00M,16.96B,78.26B,6.00M,53.56B,54.18B,61.28B,24.70B,7.104B,316.00M,590.00M,903.00M
ICE,2017-09,-322.00M,435.00M,523.00M,1.197B,228.00M,0.63,0.63,22.07B,0,912.00M,2017-09,371.00M,-47.00M,-47.00M,1.192B,2.989B,4.865B,600.00M,643.00M,563.00M,186.00M,1.435B,184.00M,15.99B,79.12B,6.00M,55.24B,54.60B,63.10B,23.88B,8.499B,312.00M,459.00M,897.00M
ICE,2017-06,-367.00M,415.00M,552.00M,2.023B,338.00M,0.71,0.71,22.10B,0,944.00M,2017-06,419.00M,-45.00M,-45.00M,1.161B,2.915B,3.874B,618.00M,736.00M,567.00M,140.00M,1.496B,184.00M,15.90B,80.32B,6.00M,56.45B,56.82B,64.39B,23.88B,7.572B,326.00M,596.00M,912.00M
ICE,2017-03,-427.00M,381.00M,552.00M,2.376B,440.00M,0.85,0.84,22.66B,0,919.00M,2017-03,503.00M,-45.00M,-45.00M,1.132B,2.985B,3.872B,596.00M,645.00M,725.00M,214.00M,1.471B,189.00M,15.76B,79.46B,6.00M,55.07B,56.01B,63.68B,24.39B,7.67B,323.00M,541.00M,999.00M
ICE,2016-12,-344.00M,430.00M,591.00M,2.493B,114.00M,0.59,0.59,22.71B,0,906.00M,2016-12,360.00M,-41.00M,-41.00M,1.129B,2.958B,3.871B,582.00M,749.00M,544.00M,177.00M,1.497B,184.00M,15.72B,82.00B,6.00M,57.13B,58.62B,66.25B,24.87B,7.632B,324.00M,519.00M,777.00M
ICE,2016-09,-316.00M,482.00M,574.00M,1.585B,217.00M,0.58,0.57,22.37B,0,842.00M,2016-09,344.00M,-44.00M,-44.00M,1.08B,2.841B,4.72B,488.00M,598.00M,443.00M,93.00M,1.416B,173.00M,15.51B,76.30B,1.00M,51.84B,52.35B,60.75B,24.45B,8.398B,354.00M,416.00M,789.00M
ICE,2016-06,-258.00M,414.00M,611.00M,1.811B,330.00M,0.6,0.6,22.54B,0,893.00M,2016-06,357.00M,-44.00M,-44.00M,1.048B,2.903B,4.719B,571.00M,694.00M,516.00M,153.00M,1.504B,176.00M,15.29B,75.22B,1.00M,50.63B,51.44B,59.89B,24.59B,8.456B,322.00M,545.00M,862.00M
ICE,2016-03,-208.00M,493.00M,636.00M,2.048B,429.00M,0.62,0.62,22.73B,0,918.00M,2016-03,369.00M,-46.00M,-46.00M,1.018B,2.893B,4.718B,611.00M,603.00M,540.00M,163.00M,1.554B,164.00M,15.05B,79.16B,1.00M,54.55B,55.64B,64.08B,24.61B,8.444B,307.00M,496.00M,941.00M
ICE,2015-12,-188.00M,656.00M,510.00M,2.591B,98.00M,0.662,0.658,22.84B,1.623B,709.00M,2015-12,370.00M,-30.00M,-30.00M,1.037B,2.837B,4.717B,472.00M,729.00M,391.00M,18.00M,1.219B,139.00M,14.81B,77.99B,6.00M,53.31B,54.74B,63.15B,24.67B,8.404B,237.00M,514.00M,700.00M
ICE,2015-09,-191.00M,708.00M,521.00M,1.253B,186.00M,0.554,0.552,16.16B,1.301B,666.00M,2015-09,306.00M,-21.00M,-21.00M,904.00M,1.87B,2.247B,448.00M,458.00M,423.00M,113.00M,1.187B,124.00M,12.34B,65.86B,1.00M,48.05B,48.46B,53.49B,17.80B,5.028B,218.00M,328.00M,490.00M
ICE,2015-06,-68.00M,700.00M,443.00M,1.016B,294.00M,0.51,0.508,16.23B,1.175B,653.00M,2015-06,283.00M,-23.00M,-23.00M,911.00M,1.902B,2.247B,437.00M,613.00M,398.00M,109.00M,1.096B,123.00M,12.41B,63.10B,1.00M,45.13B,45.58B,50.66B,17.97B,5.081B,216.00M,492.00M,541.00M
ICE,2015-03,-153.00M,1.825B,481.00M,1.946B,367.00M,0.562,0.56,16.23B,0,699.00M,2015-03,315.00M,-23.00M,-23.00M,879.00M,1.913B,2.247B,481.00M,596.00M,441.00M,118.00M,1.18B,129.00M,12.30B,66.43B,1.00M,48.49B,48.80B,54.10B,17.94B,5.305B,218.00M,484.00M,608.00M
