Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
IDXX,2020-12,-53.62M,383.93M,311.44M,67.72M,42.57M,2.04,2.01,295.89M,1.233B,409.50M,2020-12,209.87M,174.79M,-7.659M,-7.659M,646.34M,57.87M,935.53M,185.10M,304.82M,177.44M,2.478M,38.78M,720.94M,185.63M,632.09M,2.295B,10.65M,1.063B,582.76M,1.662B,1.232B,1.079B,224.41M,117.23M,374.74M
IDXX,2020-09,-61.92M,175.59M,299.18M,66.58M,42.60M,1.71,1.69,291.57M,632.36M,422.61M,2020-09,217.60M,146.22M,-7.902M,-7.902M,632.36M,75.82M,923.97M,171.86M,284.63M,163.95M,17.63M,37.52M,721.79M,213.23M,440.58M,2.047B,10.63M,868.68M,526.84M,1.606B,1.179B,1.079B,250.75M,111.95M,382.00M
IDXX,2020-06,-57.03M,105.29M,258.25M,138.07M,36.32M,1.75,1.72,291.04M,633.30M,379.34M,2020-06,229.38M,148.94M,-9.426M,-9.426M,633.30M,94.36M,968.16M,193.25M,260.01M,183.82M,34.83M,31.64M,637.59M,154.45M,272.96M,1.961B,10.60M,779.61M,540.58M,1.687B,1.181B,1.147B,186.09M,129.59M,354.95M
IDXX,2020-03,-55.25M,81.40M,266.75M,502.32M,38.03M,1.31,1.29,291.16M,624.77M,359.59M,2020-03,211.64M,111.83M,-7.552M,-7.552M,624.77M,87.95M,762.71M,144.32M,234.33M,136.77M,24.92M,33.31M,626.34M,181.96M,107.67M,1.886B,10.59M,721.35M,846.24M,1.778B,1.165B,931.95M,215.26M,107.56M,333.80M
IDXX,2019-12,-46.18M,90.33M,274.30M,304.05M,41.46M,1.05,1.04,298.19M,1.133B,331.15M,2019-12,195.02M,90.50M,-7.125M,-7.125M,614.45M,81.77M,766.38M,115.63M,252.66M,108.51M,17.96M,35.16M,605.45M,180.36M,177.47M,1.832B,10.57M,679.64M,725.34M,1.655B,1.153B,929.31M,215.52M,103.28M,307.49M
IDXX,2019-09,-45.56M,104.00M,260.35M,244.30M,42.99M,1.26,1.24,247.83M,575.56M,344.95M,2019-09,204.89M,108.84M,-7.004M,-7.004M,575.56M,82.08M,762.98M,139.80M,240.98M,132.80M,23.96M,34.26M,605.30M,170.89M,202.42M,1.751B,10.56M,703.38M,626.63M,1.549B,1.048B,922.13M,205.15M,101.88M,304.07M
IDXX,2019-06,-40.58M,110.84M,262.25M,266.53M,43.45M,1.46,1.43,253.15M,551.54M,357.85M,2019-06,196.88M,125.71M,-8.153M,-8.153M,551.54M,84.54M,769.88M,164.28M,222.87M,156.12M,30.42M,32.26M,620.10M,161.32M,171.25M,1.724B,10.55M,712.30M,618.91M,1.553B,1.012B,933.78M,193.58M,93.23M,321.91M
IDXX,2019-03,-40.02M,116.62M,244.46M,360.93M,43.35M,1.19,1.17,254.02M,529.70M,331.60M,2019-03,189.47M,102.68M,-8.346M,-8.346M,529.70M,88.63M,768.29M,133.14M,224.99M,124.79M,22.08M,31.51M,576.06M,166.94M,51.56M,1.681B,10.54M,697.65M,689.62M,1.629B,983.32M,939.48M,198.46M,106.47M,306.64M
IDXX,2018-12,-41.79M,123.79M,249.02M,398.94M,41.29M,0.99,0.98,256.31M,906.00M,300.36M,2018-12,173.30M,85.64M,-8.302M,-8.302M,437.27M,89.96M,601.35M,115.35M,220.73M,107.04M,21.37M,30.14M,549.39M,154.88M,-9.513M,1.537B,10.51M,654.17M,770.44M,1.547B,883.18M,776.14M,185.01M,96.14M,272.62M
IDXX,2018-09,-42.19M,146.88M,239.80M,414.50M,41.15M,1.07,1.05,258.47M,0,305.64M,2018-09,179.68M,93.25M,-8.311M,-8.311M,409.98M,102.45M,602.42M,117.35M,216.70M,109.04M,15.82M,29.19M,545.45M,159.10M,-1.604M,1.545B,10.50M,704.20M,759.54M,1.546B,840.33M,786.36M,188.29M,93.54M,295.69M
