Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
INCY,2020-12,-15.36M,1.801B,36.30M,14.96M,0,0.68,0.68,327.88M,732.45M,753.21M,2020-12,16.42M,149.85M,-0.428M,-0.428M,588.08M,0,32.57M,167.84M,320.68M,168.10M,18.25M,405.94M,789.51M,167.00M,2.611B,3.561B,0.219M,2.360B,631.20M,949.65M,1.201B,318.46M,585.37M,98.77M,481.99M
INCY,2020-09,-9.748M,1.735B,34.30M,24.59M,0,-0.07,-0.07,333.27M,664.61M,586.34M,2020-09,17.01M,-15.20M,-0.544M,-0.544M,527.46M,0,32.85M,12.44M,310.17M,-3.508M,11.70M,438.11M,620.64M,120.80M,2.391B,3.307B,0.219M,2.159B,606.20M,916.60M,1.148B,310.40M,573.90M,122.51M,356.18M
INCY,2020-06,-12.42M,1.589B,33.40M,29.84M,0,1.33,1.32,338.65M,612.35M,654.64M,2020-06,16.34M,290.30M,-0.60M,-0.60M,481.91M,0,31.92M,236.79M,263.91M,307.26M,16.97M,286.60M,688.04M,118.00M,2.345B,3.212B,0.218M,2.078B,556.51M,867.72M,1.135B,311.20M,417.85M,90.91M,420.25M
INCY,2020-03,-13.11M,1.303B,27.32M,28.46M,0,-3.33,-3.33,344.04M,566.99M,541.19M,2020-03,13.98M,-720.64M,-0.602M,-0.602M,438.66M,0,31.96M,-657.38M,211.98M,-704.08M,16.57M,1.085B,568.51M,111.15M,1.938B,2.752B,0.217M,1.716B,503.41M,814.70M,1.036B,311.29M,1.199B,60.94M,351.52M
INCY,2019-12,-15.54M,2.118B,32.20M,28.31M,0,0.51,0.51,349.42M,528.50M,547.19M,2019-12,11.40M,111.00M,-0.607M,-0.607M,406.62M,0,31.92M,98.12M,245.58M,126.00M,15.00M,312.87M,579.39M,136.20M,2.598B,3.427B,0.216M,2.481B,513.34M,828.34M,945.26M,315.00M,449.07M,83.65M,308.81M
INCY,2019-09,-8.614M,1.986B,30.00M,11.14M,0,0.6,0.59,354.80M,503.46M,521.58M,2019-09,7.365M,128.27M,-0.597M,-0.597M,376.94M,0,49.81M,137.64M,217.24M,148.02M,19.75M,281.34M,551.58M,102.60M,2.423B,3.215B,0.215M,2.320B,461.68M,792.29M,895.22M,330.61M,383.94M,95.38M,276.12M
INCY,2019-06,-8.965M,1.696B,29.40M,0.791M,0,0.49,0.48,360.19M,485.88M,500.53M,2019-06,6.527M,105.32M,-0.316M,-0.316M,369.47M,0,49.50M,105.27M,165.55M,108.67M,3.353M,289.36M,529.93M,105.90M,2.247B,2.948B,0.215M,2.059B,367.10M,700.44M,889.01M,333.34M,395.26M,66.18M,302.68M
INCY,2019-03,-9.247M,1.581B,22.59M,0,0,0.48,0.47,365.57M,451.79M,475.27M,2019-03,7.129M,102.31M,-0.335M,-0.335M,338.33M,0,17.65M,80.74M,156.40M,104.10M,1.785M,270.54M,497.86M,123.98M,2.086B,2.754B,0.214M,1.904B,364.52M,668.59M,849.66M,304.08M,394.53M,70.36M,244.08M
INCY,2018-12,-10.16M,1.438B,26.37M,18.70M,0,0.32,0.32,370.96M,422.98M,502.04M,2018-12,6.967M,69.06M,-0.355M,-0.355M,319.75M,0,17.43M,89.44M,227.55M,70.72M,1.654M,304.24M,528.40M,108.36M,1.926B,2.646B,0.213M,1.832B,425.28M,719.80M,813.51M,294.52M,412.60M,103.83M,307.60M
INCY,2018-09,-9.522M,1.375B,24.80M,7.648M,0,0.14,0.14,376.34M,396.66M,424.89M,2018-09,5.993M,29.18M,-0.405M,-0.405M,300.77M,0,17.22M,35.84M,327.15M,30.98M,1.80M,292.53M,449.68M,96.52M,1.803B,2.520B,0.213M,1.700B,422.49M,717.05M,819.59M,294.56M,389.05M,95.48M,247.74M
INCY,2018-06,-9.809M,1.198B,24.86M,7.554M,2.868M,0.25,0.24,381.72M,355.37M,496.66M,2018-06,5.869M,52.39M,-0.398M,-0.398M,267.59M,0,17.02M,90.54M,289.48M,54.01M,1.614M,298.09M,521.52M,108.03M,1.733B,2.397B,0.212M,1.598B,368.24M,664.23M,799.07M,296.00M,406.12M,75.56M,316.31M
