Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
INFO,2021-02,45.80M,172.00M,415.20M,540.10M,1.050B,0.38,0.37,13.17B,966.90M,704.70M,2021-02,149.30M,-55.40M,-55.40M,966.90M,492.60M,4.936B,247.50M,575.50M,178.00M,30.30M,1.120B,302.20M,8.691B,16.67B,4.80M,2.250B,2.361B,7.978B,14.42B,5.617B,457.20M,70.00M,981.90M
INFO,2020-11,-107.90M,125.60M,400.30M,331.60M,886.20M,0.38,0.38,13.75B,2.110B,706.90M,2020-11,151.10M,-57.50M,-57.50M,1.022B,543.40M,4.939B,266.60M,554.90M,115.60M,-35.60M,1.107B,295.00M,8.529B,16.14B,4.80M,1.233B,1.979B,7.606B,14.90B,5.627B,440.30M,77.30M,891.70M
INFO,2020-08,-107.40M,156.80M,385.60M,318.20M,887.20M,0.41,0.41,13.85B,1.037B,687.60M,2020-08,162.90M,-57.50M,-57.50M,1.037B,660.40M,5.018B,282.00M,485.50M,203.70M,39.90M,1.073B,258.70M,8.593B,16.23B,4.80M,1.226B,1.838B,7.641B,15.01B,5.802B,405.60M,48.20M,859.70M
INFO,2020-05,-412.20M,207.80M,388.30M,316.40M,945.90M,0.18,0.18,13.67B,1.035B,638.30M,2020-05,71.70M,-59.80M,-59.80M,1.035B,651.80M,5.461B,232.00M,433.50M,75.40M,4.70M,1.027B,258.10M,8.108B,16.13B,4.80M,1.302B,1.791B,8.020B,14.83B,6.229B,406.30M,20.50M,876.10M
INFO,2020-02,-292.20M,143.90M,415.80M,310.40M,1.030B,1.23,1.2,13.88B,1.046B,665.00M,2020-02,485.00M,-60.80M,-60.80M,1.046B,682.60M,5.297B,576.30M,497.90M,488.60M,4.30M,1.081B,316.20M,8.369B,16.38B,4.80M,1.338B,1.922B,8.011B,15.04B,6.089B,88.70M,57.00M,979.70M
INFO,2019-11,-261.60M,111.50M,409.50M,251.10M,879.70M,0.51,0.5,14.01B,1.579B,710.90M,2019-11,203.10M,-63.50M,-63.50M,658.20M,667.20M,4.874B,256.00M,597.30M,181.40M,-21.30M,1.120B,308.90M,8.416B,16.09B,4.80M,1.308B,1.969B,7.671B,14.78B,5.702B,454.90M,118.20M,890.70M
INFO,2019-08,-458.60M,124.10M,419.70M,1.20M,896.50M,0.1,0.1,13.99B,623.90M,692.60M,2019-08,40.10M,-62.60M,-62.60M,623.90M,770.50M,5.051B,367.30M,598.60M,280.00M,240.60M,1.112B,295.40M,8.235B,15.90B,4.80M,1.189B,1.663B,7.669B,14.71B,6.005B,325.30M,160.70M,880.50M
INFO,2019-05,-342.30M,109.50M,428.00M,364.30M,938.70M,0.37,0.37,14.05B,615.10M,707.50M,2019-05,149.80M,-65.20M,-65.20M,615.10M,677.30M,4.894B,261.80M,471.80M,173.30M,24.20M,1.136B,293.30M,8.386B,16.03B,4.80M,1.261B,1.920B,7.647B,14.77B,5.727B,445.70M,56.80M,868.30M
INFO,2019-02,-164.70M,133.20M,399.80M,484.90M,1.026B,0.2744,0.2744,14.36B,596.40M,646.60M,2019-02,109.70M,-66.50M,-66.50M,596.40M,701.00M,5.111B,206.00M,479.40M,108.20M,-0.90M,1.046B,300.30M,8.332B,16.38B,4.80M,1.326B,2.087B,8.051B,15.06B,5.964B,440.60M,62.40M,995.60M
INFO,2018-11,-298.90M,120.00M,409.10M,789.90M,886.80M,0.21,0.2,14.32B,1.364B,658.70M,2018-11,81.80M,-66.80M,-66.80M,579.60M,699.90M,4.889B,201.80M,429.50M,92.40M,11.30M,1.068B,315.60M,8.020B,16.06B,4.70M,1.099B,2.320B,8.042B,14.96B,5.722B,456.90M,50.20M,792.90M
INFO,2018-08,-220.60M,154.40M,375.30M,1.166B,897.00M,0.26,0.26,14.44B,591.90M,625.70M,2018-08,104.50M,-55.80M,-55.80M,591.90M,666.00M,4.894B,202.40M,344.80M,111.60M,7.90M,1.001B,287.70M,7.892B,16.21B,4.70M,1.114B,2.563B,8.315B,15.09B,5.751B,423.30M,50.10M,778.80M
INFO,2018-05,-143.60M,159.00M,368.40M,105.80M,872.00M,0.29,0.28,11.69B,508.90M,639.90M,2018-05,114.70M,-54.40M,-54.40M,508.90M,594.40M,4.354B,206.70M,402.20M,126.20M,12.00M,1.008B,299.20M,7.769B,14.47B,4.70M,2.207B,1.562B,6.697B,12.26B,5.135B,433.20M,55.10M,734.10M
INFO,2018-02,-29.70M,156.00M,342.90M,90.90M,919.30M,0.61,0.59,12.94B,539.70M,589.20M,2018-02,241.30M,-45.60M,-45.60M,539.70M,691.00M,4.186B,167.10M,410.50M,94.10M,-146.60M,932.10M,290.10M,8.162B,14.70B,4.70M,1.166B,1.480B,6.534B,13.53B,5.054B,422.10M,58.60M,837.10M
INFO,2017-11,-85.00M,133.80M,342.10M,576.00M,790.80M,0.27,0.26,12.97B,1.158B,602.60M,2017-11,105.70M,-42.70M,-42.70M,531.30M,869.80M,3.617B,183.00M,381.90M,96.50M,-8.60M,944.70M,281.10M,8.004B,14.55B,4.70M,1.015B,1.906B,6.55B,13.54B,4.644B,419.60M,58.90M,725.40M
