Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
INTC,2021-03,-1.103B,22.40B,8.819B,2.647B,0,0.83,0.82,35.38B,137.11B,10.85B,2021-03,8.487B,3.361B,-153.00M,-153.00M,57.33B,3.50B,33.24B,5.903B,18.75B,3.906B,545.00M,3.623B,19.67B,1.328B,79.81B,150.62B,26.27B,45.77B,24.15B,70.82B,104.85B,46.66B,4.951B,5.434B,7.208B
INTC,2020-12,-751.00M,23.90B,8.63B,2.504B,0,1.43,1.42,36.00B,134.23B,11.35B,2020-12,8.427B,5.857B,-105.00M,-105.00M,56.58B,5.21B,33.90B,5.936B,18.25B,7.488B,1.631B,3.655B,19.98B,1.757B,81.04B,153.09B,25.56B,47.25B,24.75B,72.05B,105.84B,47.30B,5.412B,5.581B,6.782B
INTC,2020-09,-940.00M,18.25B,8.592B,504.00M,0,1.02,1.02,36.84B,139.29B,9.741B,2020-09,9.273B,4.276B,-107.00M,-107.00M,59.20B,4.376B,36.06B,5.034B,18.41B,5.041B,765.00M,3.272B,18.33B,1.435B,74.55B,145.26B,23.34B,36.78B,22.11B,70.71B,108.48B,48.60B,4.707B,5.159B,7.14B
INTC,2020-06,-1.152B,25.82B,9.221B,2.254B,0,1.2,1.19,37.25B,136.02B,10.51B,2020-06,8.969B,5.105B,-103.00M,-103.00M,58.04B,4.052B,36.09B,5.706B,17.39B,5.935B,830.00M,3.354B,19.73B,1.447B,82.01B,152.54B,25.52B,44.39B,22.48B,70.53B,108.15B,48.05B,4.801B,5.045B,7.441B
INTC,2020-03,-1.541B,20.80B,7.812B,3.464B,0,1.33,1.31,36.70B,132.46B,12.02B,2020-03,9.246B,5.661B,-42.00M,-42.00M,56.77B,3.38B,36.46B,7.20B,18.07B,6.614B,953.00M,3.275B,19.83B,1.541B,76.35B,147.71B,25.25B,41.50B,23.90B,71.36B,106.21B,47.46B,4.816B,4.638B,8.455B
INTC,2019-12,-1.28B,13.12B,8.331B,3.693B,0,1.6,1.58,37.10B,128.71B,11.88B,2019-12,8.744B,6.905B,1.00M,1.00M,55.39B,3.412B,25.31B,6.902B,14.76B,8.068B,1.163B,3.384B,20.21B,1.592B,77.50B,136.52B,25.26B,31.24B,22.31B,59.02B,105.28B,36.71B,4.976B,4.128B,7.659B
INTC,2019-09,-722.00M,12.02B,7.895B,5.20B,0,1.36,1.35,35.75B,124.75B,11.30B,2019-09,8.638B,5.99B,7.00M,7.00M,53.56B,3.109B,23.71B,6.551B,16.64B,6.719B,729.00M,3.208B,19.19B,1.536B,74.24B,133.77B,25.29B,29.96B,25.06B,59.53B,103.81B,34.46B,4.744B,4.809B,6.88B
INTC,2019-06,-622.00M,11.94B,6.627B,3.726B,0,0.94,0.92,35.83B,120.60B,9.878B,2019-06,8.696B,4.179B,-10.00M,-10.00M,51.38B,3.341B,25.09B,4.801B,13.42B,4.724B,545.00M,3.438B,16.50B,1.639B,74.95B,130.76B,25.14B,29.24B,19.70B,55.81B,101.52B,36.11B,5.077B,4.682B,6.233B
INTC,2019-03,-813.00M,12.03B,6.972B,2.75B,0,0.88,0.87,35.98B,117.48B,9.089B,2019-03,7.765B,3.974B,-3.00M,-3.00M,50.04B,3.296B,25.74B,4.174B,14.18B,4.547B,573.00M,3.332B,16.06B,1.583B,73.66B,129.46B,25.35B,29.06B,18.91B,55.80B,100.40B,36.89B,4.915B,4.059B,6.957B
INTC,2018-12,-974.00M,11.65B,7.43B,1.261B,0,1.14,1.12,36.35B,114.32B,11.23B,2018-12,7.253B,5.195B,-1.00M,-1.00M,48.98B,3.714B,25.10B,6.224B,11.74B,5.635B,440.00M,3.433B,18.66B,1.72B,74.56B,127.96B,25.36B,28.79B,16.63B,53.40B,99.18B,36.77B,5.003B,3.824B,6.722B
