Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
IP,2020-12,-4.342B,5.445B,3.659B,4.249B,0.39,0.39,3.632B,34.05B,1.58B,2020-12,2.05B,153.00M,-99.00M,-99.00M,12.68B,2.743B,10.47B,394.00M,2.786B,123.00M,34.00M,5.239B,812.00M,7.854B,31.72B,449.00M,11.24B,8.284B,23.85B,20.48B,15.57B,1.186B,2.32B,3.419B
IP,2020-09,-5.132B,5.528B,3.541B,4.399B,0.52,0.52,3.63B,12.83B,1.582B,2020-09,2.007B,204.00M,-112.00M,-112.00M,12.83B,2.639B,10.91B,481.00M,2.679B,282.00M,50.00M,5.123B,737.00M,7.093B,31.84B,449.00M,11.29B,8.476B,24.74B,20.55B,16.27B,1.101B,2.226B,3.422B
IP,2020-06,-5.149B,847.00M,3.427B,4.253B,0.67,0.67,3.641B,13.01B,1.439B,2020-06,2.01B,266.00M,-116.00M,-116.00M,13.01B,2.654B,11.82B,389.00M,2.612B,261.00M,67.00M,4.866B,697.00M,7.057B,32.52B,449.00M,6.599B,8.33B,25.46B,25.92B,17.13B,1.05B,2.206B,3.461B
IP,2020-03,-5.255B,1.239B,3.746B,4.884B,-0.36,-0.36,3.654B,13.11B,1.606B,2020-03,2.002B,-141.00M,-117.00M,-117.00M,13.11B,2.662B,11.94B,414.00M,2.734B,-16.00M,94.00M,5.352B,825.00M,6.857B,33.22B,449.00M,7.215B,9.342B,26.35B,26.00B,17.01B,1.192B,2.379B,3.649B
IP,2019-12,-4.739B,511.00M,3.666B,4.388B,0.42,0.42,3.715B,33.95B,1.832B,2019-12,2.208B,165.00M,-113.00M,-113.00M,13.44B,2.633B,11.99B,610.00M,2.889B,400.00M,263.00M,5.498B,837.00M,7.713B,33.47B,449.00M,6.639B,8.646B,25.75B,26.83B,17.11B,1.222B,2.423B,3.673B
IP,2019-09,-5.014B,697.00M,3.772B,402.00M,0.88,0.87,3.773B,13.27B,1.796B,2019-09,2.194B,344.00M,-123.00M,-123.00M,13.27B,2.643B,16.55B,645.00M,2.791B,452.00M,137.00M,5.568B,782.00M,7.441B,33.85B,449.00M,7.051B,4.729B,26.39B,26.80B,21.66B,1.151B,2.349B,3.693B
IP,2019-06,-4.87B,787.00M,3.901B,676.00M,0.74,0.73,3.815B,13.37B,1.766B,2019-06,2.224B,292.00M,-122.00M,-122.00M,13.37B,2.624B,16.63B,616.00M,2.902B,334.00M,128.00M,5.667B,786.00M,7.482B,34.35B,449.00M,7.388B,5.049B,26.85B,26.96B,21.80B,1.15B,2.498B,3.876B
IP,2019-03,-4.975B,641.00M,3.929B,809.00M,1.06,1.05,3.775B,13.49B,1.714B,2019-03,2.301B,424.00M,-133.00M,-133.00M,13.49B,2.634B,16.55B,554.00M,2.872B,418.00M,106.00M,5.643B,802.00M,7.446B,34.18B,449.00M,7.062B,4.953B,26.71B,27.12B,21.76B,1.16B,2.518B,3.903B
IP,2018-12,-4.50B,589.00M,3.798B,639.00M,0.79,0.78,3.767B,33.56B,2.153B,2018-12,2.241B,316.00M,-135.00M,-135.00M,13.07B,2.60B,16.31B,927.00M,2.948B,382.00M,143.00M,5.951B,847.00M,7.362B,33.58B,449.00M,6.996B,4.694B,26.19B,26.58B,21.50B,1.226B,2.413B,3.916B
IP,2018-09,-4.887B,1.026B,3.887B,555.00M,1.38,1.37,3.777B,13.09B,2.014B,2018-09,2.13B,562.00M,-133.00M,-133.00M,13.09B,2.512B,17.00B,833.00M,4.048B,553.00M,83.00M,5.901B,802.00M,7.04B,33.80B,449.00M,7.318B,4.603B,26.74B,26.48B,22.14B,1.181B,2.51B,3.963B
