Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
IPGP,2020-12,-146.06M,1.391B,189.75M,9.588M,71.25M,0.92,0.92,103.48M,1.085B,146.88M,2020-12,364.99M,49.34M,0.173M,0.173M,597.53M,92.85M,34.16M,70.43M,70.96M,65.60M,15.92M,31.77M,336.63M,44.69M,2.593B,2.936B,0.006M,2.148B,214.58M,341.59M,787.62M,127.01M,76.45M,34.03M,264.32M
IPGP,2020-09,-193.83M,1.302B,165.65M,9.365M,57.03M,0.67,0.66,102.73M,1.010B,152.79M,2020-09,370.34M,35.60M,1.168M,1.168M,576.40M,87.30M,35.12M,74.71M,77.78M,42.52M,6.992M,31.71M,318.44M,46.37M,2.470B,2.795B,0.006M,2.032B,201.44M,323.86M,763.28M,122.41M,78.08M,41.18M,240.35M
IPGP,2020-06,-184.50M,1.249B,159.96M,8.913M,54.59M,0.72,0.71,149.91M,878.58M,136.45M,2020-06,367.17M,38.23M,1.856M,1.856M,585.64M,90.07M,36.07M,61.14M,78.25M,49.51M,11.15M,31.58M,296.41M,43.72M,2.436B,2.759B,0.006M,1.951B,195.29M,321.43M,808.21M,126.14M,75.31M,43.28M,203.57M
IPGP,2020-03,-220.08M,1.195B,146.37M,8.723M,62.50M,0.69,0.68,152.46M,0,102.88M,2020-03,363.38M,36.40M,3.073M,3.073M,580.98M,91.75M,37.02M,25.23M,78.53M,48.06M,11.29M,31.84M,249.24M,45.81M,2.355B,2.680B,0.006M,1.875B,195.43M,324.20M,805.61M,128.77M,77.64M,43.00M,200.65M
IPGP,2019-12,-146.92M,1.183B,182.42M,9.04M,59.53M,-0.08,-0.08,156.36M,0,124.20M,2019-12,380.79M,-4.45M,2.501M,2.501M,600.85M,98.12M,37.97M,49.82M,74.45M,2.96M,7.263M,30.47M,306.63M,43.91M,2.402B,2.730B,0.005M,1.897B,191.90M,327.99M,833.80M,136.09M,74.38M,38.38M,238.48M
IPGP,2019-09,-174.31M,1.079B,176.28M,9.037M,49.36M,1.08,1.07,195.52M,0,152.86M,2019-09,417.16M,57.25M,3.734M,3.734M,596.14M,105.77M,38.91M,74.95M,89.23M,77.36M,20.23M,32.16M,329.14M,45.74M,2.380B,2.731B,0.005M,1.866B,205.56M,350.24M,865.39M,144.68M,77.90M,50.41M,252.93M
IPGP,2019-06,-143.94M,1.043B,183.53M,9.352M,61.51M,1.36,1.34,200.77M,0,180.24M,2019-06,426.00M,72.27M,4.051M,4.051M,600.98M,107.98M,39.85M,96.16M,96.13M,95.80M,23.28M,34.87M,363.77M,49.20M,2.367B,2.737B,0.005M,1.863B,222.23M,370.06M,874.33M,147.83M,84.07M,57.31M,273.70M
IPGP,2019-03,-157.75M,1.030B,166.14M,8.689M,55.24M,1.04,1.02,203.63M,0,148.91M,2019-03,417.82M,55.16M,3.952M,3.952M,570.76M,109.85M,40.78M,69.93M,94.01M,72.26M,17.34M,32.50M,315.05M,46.49M,2.268B,2.629B,0.005M,1.792B,209.82M,360.45M,836.64M,150.63M,78.98M,52.98M,231.85M
IPGP,2018-12,-162.90M,1.045B,163.30M,3.671M,52.61M,1.42,1.4,187.86M,0,166.75M,2018-12,403.58M,75.56M,4.132M,4.132M,543.07M,80.73M,41.71M,91.39M,129.39M,100.86M,25.40M,31.50M,330.05M,43.86M,2.206B,2.574B,0.005M,1.805B,245.77M,368.22M,769.03M,122.44M,75.36M,87.46M,255.51M
IPGP,2018-09,-144.41M,1.122B,161.16M,3.654M,48.27M,1.88,1.84,102.61M,0,195.18M,2018-09,397.41M,100.52M,3.884M,3.884M,529.16M,94.68M,42.63M,125.55M,109.02M,128.17M,27.42M,30.91M,356.35M,38.72M,2.206B,2.562B,0.005M,1.882B,217.98M,355.29M,679.81M,137.31M,69.63M,77.27M,251.61M
IPGP,2018-06,-129.36M,1.126B,178.64M,3.637M,46.99M,2.27,2.21,106.86M,743.92M,234.98M,2018-06,376.02M,121.62M,0.729M,0.729M,514.77M,104.49M,43.55M,164.51M,105.80M,163.51M,41.89M,31.81M,413.61M,38.65M,2.172B,2.530B,0.005M,1.836B,210.28M,358.32M,694.44M,148.04M,70.47M,72.33M,242.13M
IPGP,2018-03,-50.69M,1.176B,156.50M,3.621M,50.34M,1.98,1.93,104.99M,606.61M,203.36M,2018-03,356.38M,106.33M,0.311M,0.311M,483.91M,112.61M,44.47M,135.80M,88.10M,141.85M,35.52M,28.55M,359.86M,39.01M,2.145B,2.498B,0.005M,1.865B,195.56M,352.64M,633.12M,157.08M,67.56M,56.19M,235.48M
IPGP,2017-12,-77.34M,1.116B,152.26M,3.604M,47.32M,0.99,0.96,107.05M,0,208.79M,2017-12,307.71M,52.96M,0.086M,0.086M,460.21M,100.65M,45.38M,147.17M,84.77M,148.42M,95.47M,26.59M,361.06M,35.03M,2.022B,2.367B,0.005M,1.754B,198.90M,344.93M,613.24M,146.03M,61.62M,50.88M,237.28M
IPGP,2017-09,-89.30M,1.046B,168.06M,3.576M,43.42M,2.16,2.11,100.81M,0,224.56M,2017-09,282.50M,115.60M,-0.125M,-0.125M,441.49M,58.48M,46.30M,164.14M,74.65M,160.56M,44.96M,25.54M,392.62M,34.88M,1.959B,2.246B,0.005M,1.643B,182.19M,286.97M,603.53M,104.78M,60.42M,44.33M,226.76M
IPGP,2017-06,-119.17M,930.42M,163.08M,1.188M,44.70M,1.95,1.91,61.02M,0,206.30M,2017-06,260.66M,104.12M,0.468M,0.468M,389.85M,48.02M,21.38M,148.32M,67.54M,141.63M,37.53M,25.96M,369.37M,32.01M,1.804B,2.031B,0.005M,1.511B,156.78M,226.18M,519.77M,69.40M,57.97M,39.10M,237.33M
IPGP,2017-03,-151.63M,862.80M,128.58M,3.188M,43.21M,1.4,1.38,47.72M,0,157.27M,2017-03,261.89M,74.94M,0.308M,0.308M,395.86M,41.73M,36.84M,105.93M,73.73M,101.26M,26.33M,22.78M,285.85M,28.55M,1.666B,1.903B,0.005M,1.391B,157.74M,236.30M,511.56M,78.56M,51.33M,48.81M,180.23M
IPGP,2016-12,-178.58M,830.63M,124.79M,3.188M,34.57M,1.42,1.39,48.62M,0,155.34M,2016-12,239.01M,75.13M,0.469M,0.469M,379.38M,36.36M,37.64M,103.38M,76.76M,106.28M,31.15M,22.11M,280.12M,29.85M,1.558B,1.790B,0.005M,1.301B,158.28M,232.28M,489.04M,74.00M,51.96M,52.60M,155.90M
IPGP,2016-09,-148.43M,772.53M,121.23M,3.188M,36.77M,1.3,1.29,48.51M,0,144.79M,2016-09,242.37M,69.24M,0.373M,0.373M,367.47M,30.22M,38.43M,96.99M,76.50M,94.65M,25.43M,20.54M,266.02M,27.26M,1.503B,1.727B,0.005M,1.276B,155.63M,224.28M,450.80M,68.66M,47.80M,52.02M,162.72M
IPGP,2016-06,-156.45M,714.08M,115.08M,3.188M,30.08M,1.26,1.25,49.86M,0,137.70M,2016-06,241.28M,67.06M,0.27M,0.27M,350.43M,31.94M,39.23M,93.45M,71.05M,95.42M,28.39M,18.41M,252.79M,25.84M,1.423B,1.629B,0.005M,1.197B,134.98M,206.14M,432.06M,71.17M,44.25M,47.10M,151.48M
IPGP,2016-03,-152.99M,739.96M,92.84M,2.00M,27.18M,0.93,0.92,11.57M,0,114.41M,2016-03,226.91M,49.33M,0.192M,0.192M,309.21M,35.26M,17.17M,74.99M,95.06M,70.22M,20.89M,17.49M,207.25M,21.94M,1.346B,1.550B,0.005M,1.198B,150.67M,203.10M,352.46M,52.43M,39.42M,73.93M,146.50M
IPGP,2015-12,-181.48M,689.12M,101.58M,2.00M,21.52M,1.15,1.14,12.41M,475.40M,122.04M,2015-12,203.74M,60.70M,0.034M,0.034M,288.60M,33.31M,17.67M,80.92M,84.65M,82.55M,21.87M,17.77M,223.63M,23.36M,1.260B,1.453B,0.005M,1.103B,141.79M,192.76M,350.84M,50.97M,41.13M,64.12M,150.48M
IPGP,2015-09,-155.80M,651.22M,110.24M,2.248M,27.40M,1.19,1.18,13.25M,439.05M,133.30M,2015-09,197.64M,62.79M,-0.04M,-0.04M,286.51M,25.30M,18.17M,94.69M,86.23M,89.65M,26.90M,16.22M,243.54M,22.40M,1.215B,1.408B,0.005M,1.078B,148.85M,192.32M,330.13M,43.47M,38.62M,65.95M,154.81M
IPGP,2015-06,-139.26M,571.51M,106.44M,3.60M,26.10M,1.16,1.15,14.53M,403.73M,128.70M,2015-06,190.85M,61.30M,-0.112M,-0.112M,288.55M,26.35M,18.67M,90.61M,69.19M,87.49M,26.25M,15.11M,235.14M,22.98M,1.162B,1.335B,0.005M,1.002B,125.77M,170.79M,332.17M,45.02M,38.09M,50.23M,169.83M
IPGP,2015-03,-150.54M,541.47M,91.13M,13.52M,28.58M,1.09,1.08,15.43M,0,107.83M,2015-03,174.14M,57.36M,-0.184M,-0.184M,274.14M,26.44M,19.17M,73.27M,58.61M,81.92M,24.58M,14.23M,198.96M,20.33M,1.079B,1.249B,0.005M,931.03M,123.13M,168.74M,318.23M,45.61M,34.56M,41.52M,149.78M
