Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ISRG,2021-03,11.40M,4.558B,389.50M,0,370.80M,3.61,3.51,431.70M,2.335B,902.60M,2021-03,576.80M,426.30M,32.00M,32.00M,1.593B,31.10M,0,416.80M,339.00M,448.80M,13.60M,159.80M,1.292B,326.00M,10.15B,11.54B,0.10M,6.066B,904.60M,1.350B,5.474B,445.60M,485.80M,153.80M,733.30M
ISRG,2020-12,24.90M,5.172B,433.30M,0,360.70M,3.11,3.02,414.10M,1.836B,895.80M,2020-12,601.50M,365.20M,20.70M,20.70M,1.577B,32.10M,0,415.80M,369.50M,436.50M,72.90M,149.80M,1.329B,330.20M,9.732B,11.17B,0.10M,6.626B,965.20M,1.410B,4.543B,444.60M,480.00M,128.80M,726.60M
ISRG,2020-09,16.20M,4.718B,353.40M,0,366.80M,2.68,2.6,425.20M,1.248B,724.30M,2020-09,662.90M,313.90M,84.80M,84.80M,1.510B,30.30M,0,270.40M,352.70M,355.20M,38.40M,155.00M,1.078B,298.90M,9.258B,10.62B,0.10M,6.300B,894.70M,1.331B,4.317B,436.10M,453.90M,151.30M,588.60M
ISRG,2020-06,22.30M,4.488B,349.20M,0,384.90M,0.58,0.57,437.80M,0,502.90M,2020-06,645.50M,68.00M,26.60M,26.60M,1.450B,28.40M,0,80.60M,371.20M,107.20M,37.00M,143.20M,852.10M,279.10M,8.740B,10.10B,0.10M,5.899B,924.80M,1.337B,4.205B,412.40M,422.30M,146.60M,508.80M
ISRG,2020-03,8.90M,3.253B,361.30M,0,378.70M,2.69,2.62,823.00M,0,738.20M,2020-03,620.30M,313.50M,25.10M,25.10M,1.369B,28.80M,0,283.00M,410.70M,308.10M,-8.10M,147.10M,1.100B,308.10M,8.507B,9.891B,0.10M,4.692B,945.90M,1.361B,5.200B,414.70M,455.20M,168.00M,527.60M
ISRG,2019-12,12.40M,3.222B,381.70M,0,373.50M,3.09,2.99,419.30M,0,896.00M,2019-12,595.50M,357.70M,34.10M,34.10M,1.273B,27.40M,0,397.60M,405.10M,431.70M,69.00M,156.60M,1.278B,341.80M,8.264B,9.733B,0.10M,4.663B,1.030B,1.448B,5.071B,418.30M,498.40M,161.40M,708.30M
ISRG,2019-09,17.80M,2.898B,342.60M,0,367.40M,3.44,3.33,720.40M,0,785.60M,2019-09,579.60M,396.80M,33.30M,33.30M,1.137B,27.90M,0,365.70M,376.10M,399.00M,0.30M,135.90M,1.128B,284.00M,7.761B,9.131B,0.10M,4.317B,930.90M,1.354B,4.814B,423.30M,419.90M,158.60M,639.00M
ISRG,2019-06,16.10M,2.718B,339.90M,0,306.80M,2.76,2.67,628.70M,0,759.00M,2019-06,512.80M,318.30M,32.80M,32.80M,1.032B,31.70M,0,359.00M,340.20M,391.80M,75.40M,120.80M,1.099B,279.20M,7.265B,8.532B,0.10M,4.072B,807.50M,1.252B,4.46B,444.50M,400.00M,153.90M,633.40M
ISRG,2019-03,-0.70M,2.809B,304.10M,0,298.40M,2.67,2.56,626.20M,0,669.60M,2019-03,468.30M,306.50M,27.50M,27.50M,935.40M,30.80M,0,252.20M,316.70M,279.70M,-24.30M,144.00M,973.70M,273.40M,7.024B,8.235B,0.10M,4.025B,740.20M,1.194B,4.210B,454.30M,417.40M,150.60M,547.60M
ISRG,2018-12,-13.30M,3.063B,310.80M,0,298.90M,2.55,2.45,307.30M,0,735.70M,2018-12,409.00M,292.50M,26.80M,26.80M,812.00M,33.00M,0,332.00M,327.90M,358.80M,67.50M,119.90M,1.046B,283.80M,6.679B,7.847B,0.10M,4.333B,820.60M,1.159B,3.514B,338.60M,403.70M,139.80M,682.30M
ISRG,2018-09,-16.70M,3.136B,278.60M,0,281.00M,2.57,2.45,473.50M,960.10M,642.30M,2018-09,370.10M,292.50M,21.90M,21.90M,746.40M,26.10M,0,313.30M,276.20M,335.20M,43.40M,107.60M,920.90M,221.40M,6.281B,7.319B,0.10M,4.253B,703.30M,1.030B,3.066B,326.80M,329.00M,119.20M,580.40M
