Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
IT,2020-12,-99.23M,712.58M,351.43M,104.51M,1.975B,1.34,1.33,3.753B,1.324B,761.33M,2020-12,119.61M,-26.37M,-26.37M,984.05M,199.99M,2.738B,178.97M,833.55M,156.16M,36.55M,1.113B,525.98M,1.090B,7.316B,0.082M,2.323B,2.947B,6.226B,4.993B,3.278B,582.36M,508.18M,1.242B
IT,2020-09,-130.21M,553.72M,329.77M,20.51M,1.711B,0.19,0.19,3.760B,984.70M,664.85M,2020-09,16.96M,-30.54M,-30.54M,984.70M,26.05M,2.743B,89.37M,790.26M,14.17M,-2.797M,994.62M,521.51M,1.038B,6.841B,0.082M,1.865B,2.522B,5.803B,4.975B,3.282B,575.48M,431.19M,972.85M
IT,2020-06,-142.18M,356.63M,322.55M,38.02M,1.765B,0.62,0.61,3.783B,1.012B,650.58M,2020-06,55.08M,-30.30M,-30.30M,1.012B,214.22M,2.739B,101.81M,736.04M,58.96M,3.879M,973.14M,494.84M,991.22M,6.810B,0.082M,1.767B,2.539B,5.819B,5.043B,3.280B,548.78M,383.09M,1.071B
IT,2020-03,-168.97M,227.85M,341.28M,149.00M,1.847B,0.84,0.83,3.792B,1.025B,677.61M,2020-03,75.10M,-26.35M,-26.35M,1.025B,235.88M,2.849B,126.28M,533.95M,96.85M,21.76M,1.019B,496.64M,890.28M,6.800B,0.082M,1.773B,2.530B,5.910B,5.028B,3.380B,551.34M,0,1.149B
IT,2019-12,-77.94M,280.84M,450.87M,216.23M,1.928B,0.76,0.75,3.863B,1.339B,752.62M,2019-12,67.70M,-26.14M,-26.14M,1.047B,0,2.876B,141.45M,712.28M,110.58M,42.88M,1.203B,557.52M,938.59M,7.151B,0.082M,2.019B,2.857B,6.213B,5.133B,3.356B,611.18M,0,1.326B
IT,2019-09,-81.26M,306.73M,365.06M,130.43M,1.803B,0.46,0.46,3.876B,952.88M,635.45M,2019-09,41.39M,-24.07M,-24.07M,952.88M,0,2.828B,70.89M,593.70M,53.10M,11.71M,1.001B,512.16M,919.66M,6.737B,0.082M,1.707B,2.527B,5.818B,5.031B,3.290B,564.56M,0,1.028B
IT,2019-06,-73.48M,218.45M,388.00M,121.15M,1.796B,1.15,1.13,3.904B,928.98M,682.88M,2019-06,103.41M,-24.75M,-24.75M,928.98M,0,2.827B,115.64M,564.67M,91.01M,-12.40M,1.071B,514.98M,963.80M,6.730B,0.082M,1.691B,2.482B,5.766B,5.039B,3.284B,567.24M,0,1.113B
IT,2019-03,-61.57M,149.27M,346.64M,204.86M,1.838B,0.23,0.23,3.923B,905.59M,623.80M,2019-03,20.80M,-24.85M,-24.85M,905.59M,0,2.864B,51.57M,526.55M,21.05M,0.258M,970.44M,518.77M,856.90M,6.715B,0.082M,1.716B,2.569B,5.858B,4.999B,3.289B,572.23M,0,1.179B
IT,2018-12,-39.87M,156.37M,407.84M,165.58M,1.745B,0.93,0.92,3.966B,514.36M,681.04M,2018-12,84.02M,-24.56M,-24.56M,267.66M,0,2.281B,140.46M,710.11M,110.97M,26.95M,1.089B,488.06M,850.76M,6.201B,0.082M,1.812B,2.621B,5.351B,4.390B,2.730B,540.58M,0,1.255B
IT,2018-09,-22.68M,211.00M,336.11M,93.29M,1.651B,0.13,0.13,3.997B,0,585.56M,2018-09,11.75M,-26.98M,-26.98M,246.06M,0,2.077B,69.84M,599.66M,37.95M,26.20M,921.67M,447.54M,941.55M,5.945B,0.082M,1.535B,2.344B,5.003B,4.409B,2.660B,515.72M,0,979.18M
