Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ITW,2020-12,-1.642B,2.564B,2.00B,405.00M,222.00M,2.03,2.02,5.471B,5.809B,1.475B,2020-12,1.189B,642.00M,-35.00M,-35.00M,1.993B,588.00M,7.905B,883.00M,1.613B,824.00M,182.00M,3.475B,557.00M,3.181B,15.61B,6.00M,6.523B,2.589B,12.43B,9.089B,9.841B,592.00M,955.00M,2.621B
ITW,2020-09,-1.837B,2.169B,1.91B,353.00M,188.00M,1.84,1.83,5.405B,5.433B,1.397B,2020-09,1.149B,582.00M,-52.00M,-52.00M,1.736B,671.00M,7.592B,789.00M,2.187B,739.00M,157.00M,3.307B,560.00M,2.696B,14.94B,6.00M,6.031B,2.54B,12.24B,8.909B,9.703B,608.00M,924.00M,2.494B
ITW,2020-06,-1.909B,1.812B,1.594B,4.00M,215.00M,1.01,1.01,5.244B,5.233B,970.00M,2020-06,1.167B,319.00M,-51.00M,-51.00M,1.711B,676.00M,7.765B,449.00M,1.998B,406.00M,87.00M,2.564B,486.00M,2.357B,14.26B,6.00M,5.609B,2.042B,11.90B,8.654B,9.863B,521.00M,892.00M,2.156B
ITW,2020-03,-1.983B,1.43B,1.871B,4.00M,0,1.78,1.77,5.237B,0,1.357B,2020-03,1.185B,566.00M,-51.00M,-51.00M,1.704B,695.00M,7.69B,761.00M,1.986B,735.00M,169.00M,3.228B,560.00M,2.283B,14.15B,6.00M,5.506B,2.032B,11.86B,8.643B,9.833B,596.00M,881.00M,2.424B
ITW,2019-12,-1.705B,1.981B,2.022B,55.00M,0,2,1.99,5.343B,0,1.447B,2019-12,1.164B,641.00M,-22.00M,-22.00M,1.935B,668.00M,7.882B,824.00M,1.491B,831.00M,190.00M,3.469B,586.00M,3.026B,15.07B,6.00M,6.253B,2.154B,12.04B,8.815B,9.884B,623.00M,862.00M,2.611B
ITW,2019-09,-1.798B,1.825B,2.007B,1.76B,0,2.05,2.04,5.32B,0,1.472B,2019-09,1.209B,660.00M,-52.00M,-52.00M,1.693B,716.00M,7.643B,868.00M,2.127B,842.00M,182.00M,3.479B,566.00M,2.966B,14.96B,6.00M,6.245B,2.223B,11.99B,8.715B,9.767B,604.00M,898.00M,2.499B
ITW,2019-06,-1.697B,1.677B,2.099B,1.351B,0,1.92,1.91,5.431B,0,1.51B,2019-06,1.256B,623.00M,-55.00M,-55.00M,1.717B,683.00M,7.809B,871.00M,2.095B,825.00M,202.00M,3.609B,598.00M,3.091B,15.19B,6.00M,6.289B,2.188B,12.09B,8.898B,9.904B,639.00M,888.00M,2.629B
ITW,2019-03,-1.642B,1.755B,2.059B,1.35B,0,1.82,1.81,5.665B,0,1.493B,2019-03,1.346B,597.00M,-63.00M,-63.00M,1.765B,727.00M,5.981B,839.00M,2.201B,790.00M,193.00M,3.552B,611.00M,3.196B,15.33B,6.00M,6.075B,3.961B,12.13B,9.251B,8.165B,654.00M,973.00M,2.715B
ITW,2018-12,-1.677B,1.504B,2.096B,0,0,1.84,1.83,5.717B,0,1.484B,2018-12,1.318B,607.00M,-28.00M,-28.00M,1.791B,707.00M,6.029B,860.00M,1.569B,816.00M,209.00M,3.58B,578.00M,3.254B,14.87B,6.00M,5.778B,3.542B,11.61B,9.092B,8.07B,624.00M,920.00M,2.799B
ITW,2018-09,-1.589B,1.589B,2.096B,0,0,1.91,1.9,5.785B,0,1.517B,2018-09,1.338B,638.00M,-64.00M,-64.00M,1.799B,707.00M,6.054B,889.00M,2.313B,835.00M,197.00M,3.613B,581.00M,3.542B,15.32B,6.00M,5.94B,3.663B,11.77B,9.379B,8.11B,628.00M,1.045B,2.777B
ITW,2018-06,-1.53B,1.628B,2.231B,1.35B,205.00M,1.98,1.97,5.852B,5.161B,1.60B,2018-06,1.32B,666.00M,-64.00M,-64.00M,1.783B,704.00M,6.069B,932.00M,2.197B,894.00M,228.00M,3.831B,620.00M,3.785B,15.52B,6.00M,6.119B,3.547B,11.74B,9.404B,8.188B,668.00M,973.00M,2.878B
ITW,2018-03,-1.24B,1.94B,2.181B,660.00M,180.00M,1.92,1.9,6.021B,4.783B,1.563B,2018-03,1.335B,652.00M,-66.00M,-66.00M,1.829B,689.00M,6.889B,903.00M,2.265B,849.00M,197.00M,3.744B,612.00M,4.159B,16.16B,6.00M,6.423B,2.925B,12.00B,9.74B,9.075B,660.00M,1.015B,2.874B
ITW,2017-12,-1.287B,3.094B,2.124B,850.00M,0,-0.22,-0.22,6.024B,0,1.505B,2017-12,1.22B,-76.00M,-21.00M,-21.00M,1.778B,164.00M,7.478B,846.00M,1.571B,796.00M,872.00M,3.629B,609.00M,4.585B,16.78B,6.00M,7.278B,3.053B,12.19B,9.502B,9.138B,659.00M,945.00M,2.819B
ITW,2017-09,-1.407B,2.785B,2.092B,698.00M,0,1.86,1.85,6.051B,0,1.523B,2017-09,1.225B,640.00M,-65.00M,-65.00M,1.759B,112.00M,7.439B,880.00M,2.169B,906.00M,266.00M,3.615B,592.00M,5.023B,16.31B,6.00M,6.912B,2.867B,11.29B,9.402B,8.421B,643.00M,938.00M,2.672B
