Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
IVZ,2020-12,-404.50M,1.710B,486.90M,0,0.46,0.46,16.22B,1.570B,1.143B,2020-12,0,270.30M,-15.30M,-15.30M,563.80M,1.582B,9.116B,392.90M,9.539B,399.70M,68.90M,1.630B,750.30M,14.36B,36.50B,4.124B,2.885B,9.643B,21.70B,33.62B,12.05B,750.30M,8.406B,1.026B
IVZ,2020-09,-647.90M,2.090B,444.50M,0,0.42,0.41,16.04B,1.503B,1.053B,2020-09,0,250.90M,-31.20M,-31.20M,551.10M,1.527B,8.699B,339.50M,9.998B,386.60M,91.90M,1.498B,713.60M,13.93B,36.04B,4.124B,3.404B,10.71B,21.69B,32.63B,10.97B,713.60M,9.998B,1.182B
IVZ,2020-06,-816.00M,1.980B,454.60M,0,0.09,0.09,15.93B,1.274B,964.40M,2020-06,0,99.70M,-32.40M,-32.40M,555.10M,1.507B,8.655B,188.80M,10.02B,105.40M,43.40M,1.419B,775.60M,13.60B,35.58B,4.124B,3.183B,10.59B,21.61B,32.40B,11.02B,775.60M,10.02B,1.074B
IVZ,2020-03,-905.50M,1.230B,421.90M,0,0.18,0.18,15.87B,0,1.177B,2020-03,0,140.70M,-29.90M,-29.90M,562.80M,1.501B,8.762B,392.50M,11.27B,177.40M,57.40M,1.599B,784.50M,13.50B,37.01B,4.124B,2.628B,11.75B,23.07B,34.38B,11.32B,784.50M,11.27B,1.274B
IVZ,2019-12,-587.30M,1.701B,460.10M,0,0.4,0.39,15.87B,0,1.283B,2019-12,0,239.00M,-20.60M,-20.60M,583.50M,1.575B,8.680B,451.10M,13.26B,323.00M,80.40M,1.743B,831.60M,13.86B,39.42B,4.124B,3.036B,13.26B,25.10B,36.38B,11.84B,831.60M,12.02B,1.191B
IVZ,2019-09,-804.30M,1.534B,446.00M,0,0.36,0.36,15.67B,0,1.275B,2019-09,0,231.50M,-29.10M,-29.10M,552.30M,1.523B,7.781B,460.60M,12.62B,316.60M,74.00M,1.721B,814.00M,13.57B,37.89B,4.124B,13.31B,13.47B,23.93B,24.59B,10.46B,814.00M,12.62B,1.191B
IVZ,2019-06,-671.40M,1.435B,421.90M,0,0.09,0.09,15.77B,0,1.018B,2019-06,0,40.10M,-29.10M,-29.10M,567.80M,1.539B,7.270B,323.20M,13.70B,76.50M,14.50M,1.439B,694.30M,13.93B,38.50B,4.124B,14.21B,14.43B,24.20B,24.29B,9.771B,694.30M,13.70B,1.160B
IVZ,2019-03,-673.60M,1.268B,381.30M,0,0.44,0.44,9.379B,0,833.30M,2019-03,0,177.70M,-28.40M,-28.40M,462.80M,367.60M,7.727B,246.30M,13.80B,256.80M,66.20M,1.215B,587.00M,8.669B,32.21B,98.10M,14.70B,14.14B,23.20B,17.50B,9.058B,587.00M,13.80B,1.215B
IVZ,2018-12,-735.00M,1.805B,349.30M,0,0.28,0.28,9.333B,0,906.60M,2018-12,0,114.20M,-18.90M,-18.90M,468.70M,387.70M,7.635B,292.20M,12.55B,148.00M,53.20M,1.256B,614.40M,8.579B,30.98B,98.10M,2.839B,13.20B,22.04B,28.14B,8.847B,614.40M,12.19B,906.10M
IVZ,2018-09,-585.80M,2.558B,380.70M,0,0.65,0.65,9.468B,0,961.10M,2018-09,0,269.60M,-25.60M,-25.60M,469.20M,304.30M,7.635B,355.20M,13.95B,342.30M,61.10M,1.342B,605.90M,8.987B,32.50B,98.10M,16.42B,14.51B,23.18B,16.08B,8.678B,605.90M,13.95B,1.466B
IVZ,2018-06,-563.70M,1.834B,379.20M,0,0.59,0.59,9.466B,1.220B,981.40M,2018-06,0,245.10M,-26.70M,-26.70M,475.70M,303.50M,7.970B,354.80M,13.95B,314.20M,72.30M,1.361B,626.60M,8.817B,32.46B,98.10M,15.84B,14.40B,23.32B,16.62B,8.923B,626.60M,13.95B,1.684B
IVZ,2018-03,-331.40M,2.122B,385.20M,0,0.62,0.62,8.164B,1.106B,970.60M,2018-03,0,253.90M,-19.00M,-19.00M,484.40M,313.40M,6.579B,339.60M,14.53B,333.60M,68.40M,1.356B,631.00M,8.895B,31.62B,98.10M,16.74B,14.91B,22.43B,14.88B,7.523B,631.00M,14.53B,1.590B
IVZ,2017-12,-391.20M,2.518B,347.80M,0,1,0.99,8.149B,0,1.028B,2017-12,0,408.20M,-17.20M,-17.20M,490.70M,335.90M,6.876B,444.40M,14.01B,399.40M,-23.20M,1.376B,583.40M,8.696B,31.67B,98.10M,16.63B,14.70B,22.71B,15.03B,8.011B,583.40M,13.70B,1.548B
IVZ,2017-09,-448.50M,2.202B,388.10M,0,0.65,0.65,8.135B,0,949.60M,2017-09,0,267.50M,-21.10M,-21.10M,483.00M,351.50M,6.399B,360.30M,13.82B,397.70M,123.10M,1.338B,589.30M,8.314B,30.37B,98.10M,15.88B,14.42B,21.82B,14.50B,7.400B,589.30M,13.82B,1.448B
IVZ,2017-06,-594.20M,1.974B,366.20M,0,0.58,0.58,7.666B,0,888.20M,2017-06,0,239.60M,-22.00M,-22.00M,482.20M,366.50M,6.004B,318.30M,12.51B,342.20M,92.60M,1.254B,569.90M,7.972B,28.25B,98.10M,14.46B,12.98B,20.07B,13.78B,7.092B,569.90M,12.51B,1.655B
IVZ,2017-03,-743.70M,1.933B,397.50M,0,0.52,0.52,7.569B,0,795.10M,2017-03,0,212.00M,-21.10M,-21.10M,467.90M,390.30M,6.366B,257.90M,10.92B,289.90M,75.70M,1.193B,537.20M,7.663B,26.60B,98.10M,12.89B,11.31B,18.77B,13.70B,7.455B,537.20M,10.92B,1.613B
IVZ,2016-12,-809.30M,2.070B,329.60M,0,0.55,0.55,7.529B,0,865.10M,2016-12,0,226.50M,-20.00M,-20.00M,464.70M,397.40M,6.506B,339.20M,9.53B,311.00M,92.90M,1.195B,525.90M,7.504B,25.73B,98.10M,11.73B,10.18B,18.12B,14.00B,7.938B,525.90M,9.249B,1.323B
IVZ,2016-09,-573.70M,1.896B,345.10M,0,0.58,0.58,7.650B,0,856.50M,2016-09,0,241.20M,-21.30M,-21.30M,444.60M,341.00M,5.933B,306.30M,8.918B,345.70M,89.80M,1.202B,550.20M,7.737B,24.14B,98.10M,10.68B,9.424B,16.31B,13.46B,6.889B,550.20M,8.918B,1.263B
IVZ,2016-06,-513.90M,1.704B,350.30M,0,0.54,0.54,7.719B,0,839.10M,2016-06,0,225.50M,-19.60M,-19.60M,432.10M,390.10M,5.602B,301.50M,8.742B,320.20M,83.70M,1.189B,537.60M,7.656B,23.50B,98.10M,10.35B,9.154B,15.77B,13.15B,6.619B,537.60M,8.742B,1.901B
IVZ,2016-03,-348.70M,1.622B,344.40M,0,0.38,0.38,7.654B,0,804.30M,2016-03,0,161.00M,-20.30M,-20.30M,428.90M,374.40M,5.134B,274.40M,8.267B,229.70M,71.90M,1.149B,529.90M,7.904B,22.66B,98.10M,9.939B,8.598B,14.70B,12.72B,6.098B,529.90M,8.267B,1.611B
IVZ,2015-12,-446.00M,2.534B,349.80M,35.70M,0.48,0.48,7.530B,1.03B,889.90M,2015-12,0,201.90M,-17.50M,-17.50M,426.90M,358.10M,7.510B,303.60M,7.323B,281.70M,86.90M,1.240B,586.30M,7.885B,25.07B,98.10M,9.974B,7.985B,16.38B,15.10B,8.393B,586.30M,6.995B,1.268B
IVZ,2015-09,-328.30M,2.504B,337.60M,0,0.58,0.58,7.627B,979.60M,935.90M,2015-09,0,249.30M,-18.00M,-18.00M,415.90M,316.30M,7.359B,352.70M,7.345B,341.70M,100.40M,1.274B,583.20M,8.093B,24.96B,98.10M,9.775B,7.917B,16.11B,15.19B,8.190B,583.20M,7.345B,1.645B
IVZ,2015-06,-94.80M,2.102B,347.20M,0,0.6,0.6,7.810B,900.20M,970.90M,2015-06,0,257.30M,-17.00M,-17.00M,410.30M,367.00M,7.030B,364.00M,5.446B,353.40M,109.40M,1.318B,606.90M,8.328B,22.90B,98.10M,7.451B,5.921B,13.81B,15.45B,7.892B,606.90M,5.446B,1.756B
