Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
JBHT,2021-03,0,552.97M,2.223B,250.71M,0,1.387,1.37,212.17M,5.953B,395.23M,2021-03,23.80M,146.61M,-12.02M,-12.02M,3.651B,723.02M,1.301B,207.65M,1.166B,195.63M,49.02M,2.618B,92.07M,2.722B,6.163B,1.671M,2.132B,1.166B,3.441B,4.031B,2.274B,187.58M,641.89M,1.219B
JBHT,2020-12,0,313.30M,2.340B,0,0,1.458,1.44,192.65M,5.909B,398.00M,2020-12,21.11M,154.01M,-10.34M,-10.34M,3.689B,692.02M,1.305B,207.69M,1.085B,197.35M,43.34M,2.738B,93.04M,2.600B,5.928B,1.671M,1.842B,1.085B,3.328B,4.086B,2.243B,190.31M,587.51M,1.310B
JBHT,2020-09,0,318.55M,2.111B,0,0,1.19,1.18,196.04M,5.842B,361.29M,2020-09,21.98M,125.50M,-11.90M,-11.90M,3.682B,711.30M,1.303B,175.50M,1.095B,163.61M,38.11M,2.473B,85.98M,2.487B,5.779B,1.671M,1.729B,1.095B,3.292B,4.050B,2.196B,185.78M,603.52M,1.122B
JBHT,2020-06,0,274.65M,1.794B,0,0,1.15,1.14,199.44M,5.731B,351.38M,2020-06,0,121.70M,-12.82M,-12.82M,3.626B,699.70M,1.307B,175.18M,970.68M,162.36M,40.67M,2.146B,83.50M,2.391B,5.554B,1.671M,1.545B,970.68M,3.163B,4.009B,2.192B,176.20M,513.52M,950.64M
JBHT,2020-03,0,48.45M,1.942B,0,0,0.99,0.98,202.83M,5.683B,339.21M,2020-03,0,104.83M,-12.04M,-12.04M,3.618B,714.55M,1.303B,154.74M,909.38M,142.70M,37.87M,2.281B,85.56M,2.282B,5.380B,1.671M,1.398B,909.38M,3.098B,3.982B,2.188B,184.47M,497.65M,978.28M
JBHT,2019-12,0,35.00M,2.054B,0,0,1.362,1.35,189.90M,5.641B,396.00M,2019-12,0,144.68M,-12.78M,-12.78M,3.621B,699.08M,1.296B,205.08M,1.036B,192.30M,47.62M,2.450B,92.95M,2.267B,5.471B,0,1.481B,1.036B,3.204B,3.990B,2.168B,190.93M,602.60M,1.242B
JBHT,2019-09,0,75.13M,1.993B,0,0,1.11,1.1,193.40M,5.615B,370.84M,2019-09,0,118.41M,-12.36M,-12.36M,3.650B,644.10M,1.293B,167.86M,1.075B,155.50M,37.10M,2.364B,101.67M,2.194B,5.386B,0,1.383B,1.075B,3.193B,4.003B,2.118B,202.98M,654.96M,1.051B
JBHT,2019-06,0,6.875M,1.864B,0,0,1.24,1.23,196.94M,5.636B,398.05M,2019-06,0,133.63M,-14.76M,-14.76M,3.678B,676.06M,1.372B,193.09M,1.062B,178.33M,44.70M,2.262B,107.13M,2.135B,5.421B,0,1.384B,1.062B,3.285B,4.036B,2.224B,204.96M,640.32M,1.040B
JBHT,2019-03,0,52.36M,1.748B,0,0,1.1,1.09,105.19M,5.454B,341.36M,2019-03,0,119.60M,-13.03M,-13.03M,3.540B,668.49M,1.285B,167.80M,998.24M,154.76M,35.16M,2.090B,82.23M,2.204B,5.327B,0,1.438B,998.24M,3.124B,3.889B,2.125B,173.56M,594.70M,1.002B
JBHT,2018-12,0,7.60M,2.018B,0,0,0.82,0.8,0,5.329B,299.78M,2018-12,0,88.68M,-11.23M,-11.23M,3.445B,643.46M,898.40M,122.74M,1.102B,111.50M,22.82M,2.318B,85.80M,2.101B,5.092B,0,1.503B,1.352B,2.990B,3.589B,1.638B,177.04M,709.74M,1.326B
