Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
JNJ,2021-03,-15.24B,25.18B,7.063B,2.631B,2.354,2.32,89.80B,46.80B,15.26B,2021-03,9.344B,6.197B,-48.00M,-48.00M,18.77B,7.214B,32.64B,6.648B,36.38B,7.429B,1.232B,3.178B,22.32B,5.432B,63.28B,174.89B,3.12B,51.24B,42.49B,111.62B,123.66B,69.12B,8.61B,10.90B,13.58B
JNJ,2020-12,-14.94B,30.78B,7.814B,5.078B,0.6602,0.65,81.31B,45.16B,14.66B,2020-12,9.599B,1.738B,-74.00M,-74.00M,17.86B,5.615B,32.68B,4.172B,30.76B,1.647B,-91.00M,4.032B,22.48B,6.457B,64.47B,170.69B,3.12B,57.58B,38.85B,106.22B,113.12B,67.37B,10.49B,8.71B,14.58B
JNJ,2020-09,-15.53B,19.14B,6.972B,5.332B,1.35,1.33,81.30B,44.06B,14.11B,2020-09,9.424B,3.554B,-32.00M,-32.00M,17.60B,5.532B,25.06B,5.839B,29.13B,4.401B,847.00M,2.84B,21.08B,5.431B,62.98B,158.38B,3.12B,45.89B,36.77B,95.40B,112.49B,58.63B,8.271B,8.397B,14.64B
JNJ,2020-06,-16.24B,18.02B,6.579B,2.19B,1.38,1.36,80.81B,43.25B,11.76B,2020-06,8.868B,3.626B,-26.00M,-26.00M,17.40B,5.766B,25.39B,4.057B,29.33B,3.94B,314.00M,2.707B,18.34B,4.993B,61.29B,155.02B,3.12B,44.23B,33.69B,93.72B,110.79B,60.03B,7.70B,9.341B,14.87B
JNJ,2020-03,-15.89B,19.29B,7.062B,1.202B,2.2,2.17,81.28B,43.33B,13.63B,2020-03,9.02B,5.796B,42.00M,42.00M,17.66B,5.958B,26.49B,5.846B,31.41B,6.509B,713.00M,2.58B,20.69B,5.203B,59.47B,157.73B,3.12B,45.27B,35.96B,98.26B,112.45B,62.29B,7.783B,10.81B,14.48B
JNJ,2019-12,-15.53B,17.94B,7.134B,2.299B,1.523,1.5,81.14B,42.62B,13.61B,2019-12,9.173B,4.01B,-4.00M,-4.00M,17.05B,6.526B,26.92B,4.342B,29.98B,4.218B,208.00M,3.232B,20.75B,6.039B,58.21B,155.52B,3.12B,44.33B,35.16B,97.31B,111.19B,62.15B,9.271B,9.996B,14.80B
JNJ,2019-09,-14.97B,15.28B,6.867B,1.719B,0.67,0.66,82.99B,42.90B,13.86B,2019-09,9.263B,1.753B,41.00M,41.00M,17.25B,7.725B,27.70B,5.889B,27.34B,1.647B,-106.00M,2.599B,20.73B,5.374B,60.78B,155.12B,3.12B,41.80B,31.35B,94.33B,113.32B,62.98B,7.973B,8.613B,14.65B
JNJ,2019-06,-15.52B,15.34B,6.94B,1.708B,2.11,2.08,78.35B,42.26B,13.62B,2019-06,9.086B,5.607B,5.00M,5.00M,17.00B,7.394B,27.66B,5.41B,25.42B,7.041B,1.434B,2.666B,20.56B,5.546B,58.96B,150.03B,3.12B,41.99B,29.11B,91.07B,108.04B,61.96B,8.212B,7.948B,14.12B
JNJ,2019-03,-15.22B,19.69B,6.615B,2.796B,1.41,1.39,78.06B,41.85B,13.41B,2019-03,8.599B,3.749B,-3.00M,-3.00M,17.04B,7.506B,27.68B,5.329B,25.34B,4.422B,673.00M,2.858B,20.02B,5.219B,59.75B,152.95B,3.12B,46.03B,31.23B,93.20B,106.92B,61.97B,8.077B,8.355B,14.10B
JNJ,2018-12,-14.65B,19.36B,6.961B,1.773B,1.12,1.12,79.34B,41.52B,13.43B,2018-12,8.678B,3.042B,-54.00M,-54.00M,16.63B,7.711B,29.48B,4.218B,22.82B,3.122B,80.00M,3.224B,20.39B,5.991B,64.63B,155.70B,3.12B,47.19B,27.44B,91.08B,108.51B,63.64B,9.215B,8.096B,14.05B
JNJ,2018-09,-14.78B,18.14B,6.589B,2.678B,1.47,1.44,80.40B,41.29B,13.76B,2018-09,8.81B,3.934B,-68.00M,-68.00M,16.63B,7.666B,29.40B,5.708B,22.56B,4.423B,489.00M,2.508B,20.35B,5.543B,62.89B,155.36B,3.12B,45.44B,27.49B,92.48B,109.93B,64.99B,8.051B,7.444B,14.11B
JNJ,2018-06,-12.61B,15.20B,6.927B,2.696B,1.47,1.45,83.51B,42.00B,13.90B,2018-06,9.014B,3.954B,-127.00M,-127.00M,17.04B,8.057B,29.84B,5.521B,22.49B,4.973B,1.019B,2.639B,20.83B,5.743B,63.26B,156.62B,3.12B,42.77B,27.08B,93.37B,113.86B,66.29B,8.382B,8.002B,14.17B
JNJ,2018-03,-13.20B,18.30B,6.614B,3.906B,1.63,1.6,85.13B,41.47B,13.40B,2018-03,8.765B,4.367B,-145.00M,-145.00M,17.00B,8.368B,30.68B,5.728B,23.68B,5.481B,1.114B,2.404B,20.01B,5.263B,60.16B,157.30B,3.12B,43.09B,30.54B,97.14B,114.22B,66.61B,7.667B,9.164B,13.49B
JNJ,2017-12,-12.75B,16.23B,7.259B,8.491B,-3.99,-3.99,85.88B,40.93B,12.94B,2017-12,9.521B,-10.71B,-189.00M,-189.00M,16.63B,4.41B,26.68B,3.248B,20.42B,2.56B,13.27B,3.643B,20.20B,6.045B,73.98B,155.66B,3.12B,41.83B,31.81B,81.68B,113.83B,49.87B,9.688B,7.573B,13.16B
JNJ,2017-09,-13.23B,12.85B,6.925B,7.209B,1.4,1.37,86.18B,40.08B,12.72B,2017-09,9.699B,3.764B,-155.00M,-155.00M,16.46B,4.846B,27.36B,4.717B,19.29B,4.79B,1.026B,2.585B,19.65B,5.423B,71.92B,152.81B,3.12B,38.79B,28.87B,80.88B,114.02B,52.01B,8.008B,6.894B,13.28B
JNJ,2017-06,-14.52B,39.34B,5.846B,5.355B,1.42,1.4,54.31B,38.70B,12.99B,2017-06,8.878B,3.827B,-122.00M,-122.00M,16.19B,3.308B,27.02B,5.408B,17.93B,4.748B,921.00M,2.296B,18.84B,5.289B,70.34B,144.92B,3.12B,63.35B,25.12B,74.58B,81.57B,49.46B,7.585B,7.215B,12.30B
JNJ,2017-03,-14.90B,41.91B,5.409B,4.684B,1.63,1.61,49.68B,37.77B,12.36B,2017-03,8.144B,4.422B,-83.00M,-83.00M,15.91B,2.91B,22.44B,5.524B,18.93B,5.575B,1.153B,2.07B,17.77B,4.763B,70.42B,141.21B,3.12B,65.03B,26.29B,70.79B,76.18B,44.50B,6.833B,7.889B,11.70B
JNJ,2016-12,-12.72B,40.43B,5.638B,3.443B,1.402,1.38,50.81B,38.37B,12.47B,2016-12,8.488B,3.814B,-84.00M,-84.00M,16.10B,3.193B,23.55B,4.349B,17.23B,4.324B,510.00M,2.688B,18.11B,5.431B,72.77B,140.37B,3.12B,63.32B,23.23B,67.60B,77.05B,44.37B,8.119B,6.769B,11.80B
JNJ,2016-09,-12.71B,42.58B,5.486B,1.708B,1.56,1.53,47.80B,37.78B,12.33B,2016-09,8.523B,4.272B,-95.00M,-95.00M,15.97B,2.849B,24.54B,5.384B,17.66B,5.281B,1.009B,2.178B,17.82B,4.772B,72.47B,139.81B,3.12B,66.29B,21.54B,67.34B,73.52B,45.80B,6.95B,6.751B,12.06B
