Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
JNPR,2020-12,55.60M,1.774B,505.60M,421.50M,867.30M,0.09,0.09,3.936B,2.264B,717.00M,2020-12,210.20M,30.80M,-12.60M,-12.60M,946.90M,418.50M,1.869B,151.20M,601.60M,39.20M,8.40M,242.50M,1.223B,323.30M,4.544B,9.378B,0,3.271B,2.161B,4.835B,6.107B,2.674B,565.80M,277.00M,964.10M
JNPR,2020-09,15.20M,1.841B,480.40M,299.50M,750.20M,0.44,0.43,3.489B,941.30M,657.80M,2020-09,166.40M,145.40M,-13.00M,-13.00M,941.30M,383.80M,1.885B,126.30M,554.40M,111.60M,-33.80M,242.40M,1.138B,289.10M,4.561B,8.695B,0,3.038B,1.502B,4.134B,5.656B,2.632B,531.50M,269.60M,754.00M
JNPR,2020-06,-22.90M,1.858B,466.70M,349.90M,834.50M,0.18,0.18,3.498B,955.80M,619.60M,2020-06,118.00M,61.20M,-10.00M,-10.00M,955.80M,377.10M,1.882B,95.30M,546.10M,86.10M,24.90M,241.00M,1.086B,283.30M,4.464B,8.742B,0,3.001B,1.596B,4.277B,5.740B,2.681B,524.30M,238.00M,754.70M
JNPR,2020-03,-59.20M,1.922B,418.70M,349.70M,854.70M,0.06,0.06,3.508B,968.70M,579.30M,2020-03,97.30M,20.40M,-5.10M,-5.10M,968.70M,400.10M,1.866B,48.30M,515.90M,28.30M,7.90M,232.50M,998.00M,298.50M,4.391B,8.610B,0,2.973B,1.536B,4.219B,5.637B,2.682B,531.00M,236.40M,675.10M
JNPR,2019-12,-18.50M,1.954B,488.80M,0,812.90M,0.5,0.49,3.523B,2.216B,719.30M,2019-12,90.60M,168.40M,-4.30M,-4.30M,1.001B,410.50M,1.855B,178.30M,502.00M,174.00M,5.60M,239.60M,1.208B,301.40M,4.611B,8.838B,0,3.210B,1.544B,4.227B,5.628B,2.683B,541.00M,219.50M,879.70M
JNPR,2019-09,-26.80M,2.246B,454.70M,0,741.60M,0.29,0.29,3.534B,1.021B,678.40M,2019-09,90.10M,99.30M,-2.40M,-2.40M,1.021B,377.10M,1.85B,137.40M,504.40M,118.10M,18.80M,244.50M,1.133B,296.50M,4.642B,8.754B,0,3.188B,1.423B,4.111B,5.566B,2.688B,541.00M,229.00M,635.80M
JNPR,2019-06,-11.30M,2.800B,465.70M,0,820.00M,0.13,0.13,3.544B,1.047B,636.80M,2019-06,92.10M,46.20M,-2.20M,-2.20M,1.047B,381.40M,1.658B,103.80M,439.20M,77.80M,31.60M,244.00M,1.102B,289.00M,4.591B,8.903B,0,3.759B,1.766B,4.312B,5.145B,2.546B,533.00M,183.30M,659.40M
JNPR,2019-03,-10.90M,3.383B,419.40M,0,860.10M,0.09,0.09,3.223B,1.077B,582.30M,2019-03,92.40M,31.10M,-0.70M,-0.70M,1.077B,370.80M,1.966B,58.00M,462.20M,44.50M,13.40M,227.60M,1.002B,296.70M,4.851B,9.138B,0,4.310B,1.489B,4.287B,4.828B,2.798B,524.30M,219.10M,645.40M
JNPR,2018-12,-18.20M,3.559B,470.10M,0,829.30M,0.56,0.55,3.227B,2.124B,710.90M,2018-12,80.60M,192.20M,-2.60M,-2.60M,951.70M,384.30M,1.789B,201.80M,442.30M,188.40M,-3.80M,231.20M,1.181B,277.90M,4.823B,9.363B,0,4.582B,1.842B,4.540B,4.782B,2.698B,509.10M,208.80M,754.60M
JNPR,2018-09,-24.50M,3.389B,468.80M,0,814.10M,0.65,0.64,3.209B,0,711.00M,2018-09,74.10M,223.80M,-6.90M,-6.90M,967.60M,351.20M,1.789B,164.50M,399.50M,152.00M,-71.80M,253.80M,1.180B,292.70M,4.651B,9.100B,0,4.291B,1.740B,4.449B,4.810B,2.709B,546.50M,184.70M,648.30M
JNPR,2018-06,-16.40M,3.123B,503.20M,349.50M,872.10M,0.33,0.33,3.216B,2.223B,700.90M,2018-06,79.50M,116.50M,-9.90M,-9.90M,987.10M,365.10M,1.788B,159.60M,387.30M,150.90M,34.40M,248.80M,1.204B,292.50M,4.418B,9.121B,0,4.105B,1.808B,4.703B,5.016B,2.895B,541.30M,183.20M,702.20M
JNPR,2018-03,12.50M,2.932B,464.20M,349.30M,888.20M,0.1,0.1,3.22B,2.157B,618.40M,2018-03,92.60M,34.40M,-11.10M,-11.10M,1.014B,368.70M,1.788B,53.60M,419.70M,41.40M,7.00M,269.40M,1.083B,295.40M,4.325B,9.078B,0,3.921B,1.83B,4.754B,5.158B,2.924B,564.80M,189.20M,679.90M
JNPR,2017-12,-5.40M,3.033B,488.30M,0,1.030B,-0.4,-0.4,3.224B,0,751.20M,2017-12,93.80M,-148.10M,-9.70M,-9.70M,1.021B,509.00M,2.136B,238.90M,521.90M,200.20M,348.30M,227.90M,1.240B,284.40M,4.681B,9.834B,0,4.184B,1.738B,5.153B,5.649B,3.415B,512.30M,217.60M,852.00M
JNPR,2017-09,-6.40M,3.286B,485.40M,0,977.40M,0.44,0.43,3.229B,0,772.40M,2017-09,84.90M,165.70M,-10.60M,-10.60M,1.008B,485.50M,2.136B,232.90M,441.70M,225.80M,60.10M,236.40M,1.258B,303.10M,5.158B,9.744B,0,4.283B,1.585B,4.586B,5.461B,3.001B,539.50M,205.40M,724.30M
JNPR,2017-06,-16.50M,3.145B,507.00M,0,998.00M,0.47,0.47,3.201B,0,801.90M,2017-06,87.60M,179.80M,-13.00M,-13.00M,1.026B,503.00M,2.135B,266.20M,468.80M,245.20M,65.40M,240.20M,1.309B,295.50M,5.086B,9.753B,0,4.145B,1.673B,4.667B,5.608B,2.994B,535.70M,210.70M,750.40M
JNPR,2017-03,-21.60M,2.984B,474.40M,0,992.50M,0.29,0.28,3.205B,0,746.60M,2017-03,94.80M,108.80M,-14.90M,-14.90M,1.050B,500.50M,2.134B,175.70M,412.70M,140.60M,31.80M,276.20M,1.221B,294.70M,5.018B,9.638B,0,3.994B,1.583B,4.620B,5.644B,3.037B,570.90M,201.90M,670.90M
JNPR,2016-12,-37.30M,2.586B,527.90M,0,1.032B,0.52,0.51,3.212B,0,857.70M,2016-12,91.40M,188.90M,-15.20M,-15.20M,1.064B,449.10M,2.134B,287.30M,470.30M,272.10M,83.20M,263.00M,1.386B,307.40M,4.962B,9.656B,0,3.972B,1.736B,4.694B,5.685B,2.958B,570.40M,221.00M,1.054B
JNPR,2016-09,-13.40M,2.322B,485.80M,0,918.50M,0.45,0.45,3.162B,0,799.50M,2016-09,99.70M,172.40M,-16.00M,-16.00M,1.067B,385.60M,2.133B,250.80M,415.60M,236.60M,64.20M,251.80M,1.285B,296.90M,4.772B,9.145B,0,3.429B,1.508B,4.373B,5.716B,2.864B,548.70M,208.40M,753.60M
JNPR,2016-06,-4.40M,2.344B,464.90M,0,933.00M,0.37,0.36,3.077B,0,756.40M,2016-06,104.90M,140.00M,-16.50M,-16.50M,1.067B,362.60M,2.132B,206.20M,449.60M,192.20M,52.20M,247.90M,1.221B,302.30M,4.676B,9.063B,0,3.454B,1.582B,4.387B,5.609B,2.805B,550.20M,228.40M,750.30M
JNPR,2016-03,-7.50M,2.245B,407.00M,0,893.30M,0.24,0.23,3.019B,0,690.90M,2016-03,90.90M,91.40M,-14.60M,-14.60M,1.047B,366.70M,2.132B,148.70M,441.50M,126.50M,35.10M,251.00M,1.098B,291.20M,4.638B,8.918B,0,3.274B,1.515B,4.280B,5.644B,2.764B,542.20M,233.00M,783.90M
JNPR,2015-12,-19.20M,1.948B,477.20M,299.90M,822.90M,0.52,0.51,3.015B,1.976B,842.40M,2015-12,91.40M,197.80M,-15.90M,-15.90M,1.021B,345.20M,1.638B,279.00M,409.60M,260.60M,62.80M,247.20M,1.320B,316.20M,4.574B,8.608B,0,2.912B,1.802B,4.034B,5.696B,2.232B,563.40M,159.30M,780.70M
