Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
JPM,2021-03,1.041B,1.091T,54.98B,4.51,4.5,54.59B,2021-03,14.30B,988.31B,26.93B,410.34B,345.51B,17.70B,3.397B,32.27B,13.87B,280.71B,3.689T,35.67B,1.551T,704.50B,3.409T,2.338T,2.688T,13.87B,345.51B,187.87B
JPM,2020-12,7.986B,883.56B,45.21B,3.8,3.79,53.43B,2020-12,12.14B,984.52B,27.11B,381.24B,295.52B,15.06B,2.929B,29.22B,11.28B,279.35B,3.386T,34.17B,1.270T,555.94B,3.107T,2.311T,2.526T,11.28B,295.52B,90.50B
JPM,2020-09,8.94B,842.82B,41.99B,2.93,2.92,51.59B,2020-09,9.443B,958.93B,26.67B,384.01B,291.91B,11.66B,2.218B,29.15B,11.66B,271.11B,3.246T,34.17B,1.240T,570.35B,2.975T,2.219T,2.385T,11.66B,291.91B,76.94B
JPM,2020-06,8.789B,951.14B,48.01B,1.39,1.38,51.67B,2020-06,4.687B,946.43B,26.30B,424.74B,288.39B,5.565B,878.00M,32.98B,12.58B,264.47B,3.213T,34.17B,1.280T,572.05B,2.949T,2.247T,2.356T,12.58B,288.39B,72.26B
JPM,2020-03,7.418B,750.51B,51.91B,0.79,0.78,51.87B,2020-03,2.865B,992.13B,25.88B,418.45B,318.96B,3.116B,251.00M,28.25B,12.33B,261.26B,3.139T,34.17B,1.121T,604.08B,2.878T,2.261T,2.254T,12.33B,318.96B,122.06B
JPM,2019-12,1.569B,604.00B,40.92B,2.58,2.57,53.34B,2019-12,8.52B,984.50B,25.81B,367.07B,247.72B,10.56B,2.045B,28.28B,11.52B,261.33B,2.687T,31.10B,926.02B,472.31B,2.426T,1.962T,1.929T,11.52B,247.72B,72.86B
JPM,2019-09,1.80B,610.02B,48.89B,2.69,2.68,53.08B,2019-09,9.08B,931.98B,25.12B,387.02B,272.85B,11.40B,2.325B,29.29B,11.97B,264.35B,2.765T,32.47B,956.40B,569.51B,2.500T,2.023T,1.912T,11.97B,272.85B,88.99B
JPM,2019-06,1.114B,544.40B,59.89B,2.83,2.82,53.30B,2019-06,9.652B,943.72B,24.66B,395.03B,257.62B,11.34B,1.69B,28.75B,11.70B,263.22B,2.727T,31.10B,900.66B,519.19B,2.464T,1.972T,1.919T,11.70B,257.62B,88.40B
JPM,2019-03,-558.00M,539.12B,71.30B,2.65,2.65,54.17B,2019-03,9.179B,942.71B,24.16B,408.80B,255.18B,11.23B,2.054B,29.12B,12.18B,259.84B,2.737T,31.10B,910.50B,549.16B,2.477T,1.940T,1.902T,12.18B,255.18B,72.24B
JPM,2018-12,-1.507B,509.19B,69.28B,1.99,1.98,54.35B,2018-12,7.066B,971.11B,14.93B,385.04B,232.68B,8.841B,1.775B,25.86B,10.82B,256.52B,2.623T,30.17B,903.98B,484.28B,2.366T,1.837T,1.856T,10.82B,232.68B,73.20B
