Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
K,2020-12,-1.732B,435.00M,2.279B,846.00M,0.6,0.59,8.29B,10.18B,1.185B,2020-12,1.284B,205.00M,-85.00M,-85.00M,4.371B,562.00M,7.266B,385.00M,3.683B,270.00M,55.00M,3.464B,800.00M,3.112B,18.00B,105.00M,3.482B,5.238B,14.36B,14.51B,9.122B,800.00M,2.529B,1.537B
K,2020-09,-1.757B,1.579B,2.228B,1.653B,1.02,1.01,8.278B,9.757B,1.201B,2020-09,1.263B,348.00M,-63.00M,-63.00M,4.141B,587.00M,7.523B,411.00M,3.601B,418.00M,65.00M,3.429B,790.00M,3.044B,18.92B,105.00M,4.753B,6.034B,15.34B,14.17B,9.302B,790.00M,2.478B,1.626B
K,2020-06,-1.717B,1.247B,2.268B,1.632B,1.02,1.02,8.254B,9.583B,1.197B,2020-06,1.23B,351.00M,-69.00M,-69.00M,4.098B,597.00M,7.461B,506.00M,3.486B,467.00M,109.00M,3.465B,691.00M,2.87B,18.55B,105.00M,4.492B,5.856B,15.14B,14.06B,9.289B,691.00M,2.539B,1.692B
K,2020-03,-1.727B,1.016B,2.268B,1.395B,1.01,1.01,8.275B,9.421B,1.144B,2020-03,1.189B,347.00M,-64.00M,-64.00M,4.036B,592.00M,7.637B,459.00M,3.285B,446.00M,94.00M,3.412B,685.00M,2.674B,18.24B,105.00M,4.29B,5.595B,15.03B,13.95B,9.433B,685.00M,2.428B,1.748B
K,2019-12,-1.448B,397.00M,2.135B,841.00M,0.43,0.42,8.437B,9.592B,1.088B,2019-12,1.226B,145.00M,-63.00M,-63.00M,4.153B,596.00M,7.628B,360.00M,3.36B,238.00M,84.00M,3.223B,728.00M,2.747B,17.56B,105.00M,3.431B,4.778B,14.25B,14.13B,9.472B,728.00M,2.429B,1.576B
K,2019-09,-1.483B,453.00M,2.372B,296.00M,0.73,0.72,8.414B,9.268B,1.00B,2019-09,1.20B,247.00M,-72.00M,-72.00M,3.957B,589.00M,8.049B,263.00M,3.534B,341.00M,91.00M,3.372B,737.00M,2.727B,17.50B,105.00M,3.492B,4.389B,14.21B,14.01B,9.822B,737.00M,2.632B,1.643B
K,2019-06,-1.469B,340.00M,2.275B,1.179B,0.84,0.84,8.458B,9.229B,1.186B,2019-06,1.234B,286.00M,-75.00M,-75.00M,3.941B,778.00M,8.583B,397.00M,3.257B,367.00M,74.00M,3.461B,789.00M,2.65B,18.67B,105.00M,3.504B,4.989B,15.46B,15.16B,10.47B,789.00M,2.411B,1.643B
K,2019-03,-1.467B,272.00M,2.415B,1.222B,0.82,0.82,9.403B,9.717B,1.107B,2019-03,1.319B,282.00M,-74.00M,-74.00M,4.171B,755.00M,8.522B,381.00M,3.186B,359.00M,72.00M,3.522B,726.00M,2.533B,18.46B,105.00M,3.373B,4.978B,15.37B,15.09B,10.39B,726.00M,2.399B,1.633B
K,2018-12,-1.50B,321.00M,2.228B,686.00M,-0.24,-0.24,9.411B,9.173B,1.089B,2018-12,1.33B,-84.00M,-74.00M,-74.00M,3.731B,730.00M,8.207B,326.00M,3.341B,-107.00M,-25.00M,3.317B,763.00M,2.601B,17.78B,105.00M,3.157B,4.529B,14.62B,14.62B,10.09B,763.00M,2.475B,1.375B
K,2018-09,-1.512B,309.00M,2.293B,208.00M,1.1,1.09,9.427B,9.134B,1.176B,2018-09,1.319B,380.00M,-72.00M,-72.00M,3.639B,752.00M,8.715B,396.00M,3.254B,454.00M,69.00M,3.469B,780.00M,3.048B,18.11B,105.00M,3.403B,4.03B,14.50B,14.71B,10.47B,780.00M,2.40B,1.612B
K,2018-06,-1.501B,257.00M,2.151B,331.00M,1.72,1.71,9.463B,9.063B,1.209B,2018-06,1.291B,596.00M,-72.00M,-72.00M,3.638B,714.00M,8.737B,474.00M,3.133B,471.00M,70.00M,3.36B,735.00M,2.838B,17.90B,105.00M,3.267B,3.966B,14.50B,14.63B,10.53B,735.00M,2.338B,1.53B
K,2018-03,-1.407B,370.00M,2.149B,877.00M,1.28,1.27,8.164B,9.471B,1.252B,2018-03,1.214B,444.00M,-69.00M,-69.00M,3.713B,357.00M,7.881B,510.00M,3.091B,511.00M,67.00M,3.401B,742.00M,2.538B,16.70B,105.00M,3.32B,4.515B,14.15B,13.38B,9.633B,742.00M,2.295B,1.601B
K,2017-12,-1.457B,281.00M,2.043B,779.00M,1.24,1.23,8.143B,9.366B,1.142B,2017-12,1.217B,417.00M,-68.00M,-68.00M,3.716B,355.00M,7.836B,389.00M,3.192B,579.00M,164.00M,3.185B,753.00M,2.178B,16.35B,105.00M,3.036B,4.522B,14.16B,13.32B,9.635B,753.00M,2.299B,1.389B
K,2017-09,-1.466B,267.00M,2.074B,982.00M,0.83,0.83,7.577B,9.265B,1.172B,2017-09,1.195B,288.00M,-64.00M,-64.00M,3.629B,411.00M,7.216B,333.00M,3.007B,386.00M,101.00M,3.246B,839.00M,1.927B,15.64B,105.00M,3.172B,4.647B,13.70B,12.47B,9.051B,839.00M,2.178B,1.512B
K,2017-06,-1.495B,334.00M,1.95B,1.135B,0.81,0.8,7.55B,9.143B,1.225B,2017-06,1.201B,283.00M,-63.00M,-63.00M,3.613B,401.00M,7.123B,385.00M,2.886B,385.00M,102.00M,3.175B,840.00M,1.834B,15.54B,105.00M,3.167B,4.688B,13.68B,12.37B,8.997B,840.00M,2.105B,1.427B
K,2017-03,-1.488B,298.00M,2.088B,1.261B,0.76,0.75,7.526B,8.973B,1.16B,2017-03,1.195B,266.00M,-61.00M,-61.00M,3.576B,456.00M,6.715B,280.00M,2.851B,307.00M,43.00M,3.248B,880.00M,2.006B,15.43B,105.00M,3.146B,4.732B,13.40B,12.28B,8.673B,880.00M,2.136B,1.464B
K,2016-12,-1.575B,280.00M,1.993B,1.069B,-0.15,-0.15,7.535B,8.849B,1.055B,2016-12,1.238B,-48.00M,-63.00M,-63.00M,3.569B,525.00M,6.698B,186.00M,2.815B,-27.00M,20.00M,3.048B,869.00M,1.91B,15.11B,105.00M,2.94B,4.474B,13.18B,12.17B,8.711B,869.00M,2.061B,1.231B
