Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,2011-09,2011-06,2011-03
KHC,2020-12,-1.967B,3.417B,4.416B,236.00M,0.84,0.84,79.76B,10.44B,2.523B,2020-12,2.554B,1.032B,-301.00M,-301.00M,6.876B,11.46B,28.07B,1.55B,5.608B,1.286B,252.00M,6.939B,973.00M,50.10B,99.83B,12.00M,10.82B,8.061B,49.59B,89.01B,41.53B,973.00M,4.304B,2.063B,,,,,
KHC,2020-09,-2.258B,2.72B,4.097B,535.00M,0.49,0.49,79.28B,10.24B,2.344B,2020-09,2.661B,597.00M,-314.00M,-314.00M,6.558B,11.46B,27.88B,1.447B,5.386B,906.00M,308.00M,6.441B,897.00M,49.22B,98.12B,12.00M,10.06B,7.694B,48.78B,88.06B,41.09B,897.00M,4.052B,1.979B,,,,,
KHC,2020-06,-2.296B,2.812B,4.196B,763.00M,-1.35,-1.35,80.51B,9.662B,2.452B,2020-06,2.815B,-1.651B,-434.00M,-434.00M,6.777B,11.37B,28.10B,1.534B,5.196B,-1.703B,-51.00M,6.648B,918.00M,49.04B,98.31B,12.00M,8.776B,8.05B,49.14B,89.53B,41.09B,918.00M,3.88B,2.045B,,,3.11B,3.195B,2.888B
KHC,2020-03,-2.426B,5.403B,4.299B,1.248B,0.31,0.31,83.32B,0,1.858B,2020-03,2.831B,378.00M,-301.00M,-301.00M,6.813B,11.84B,31.53B,996.00M,5.011B,541.00M,160.00M,6.157B,862.00M,51.01B,104.07B,12.00M,11.71B,7.934B,52.95B,92.36B,45.02B,862.00M,3.956B,2.321B,,,,,
KHC,2019-12,-1.886B,2.279B,4.429B,1.028B,0.15,0.15,84.20B,0,2.107B,2019-12,2.721B,182.00M,-290.00M,-290.00M,7.055B,11.88B,28.22B,1.27B,5.034B,327.00M,144.00M,6.536B,837.00M,51.62B,101.45B,12.00M,8.097B,7.875B,49.70B,93.35B,41.83B,837.00M,4.003B,1.973B,,,0.7,0.9036,0.824
KHC,2019-09,-2.126B,2.315B,4.129B,2.56B,0.74,0.74,84.54B,0,1.947B,2019-09,3.158B,899.00M,-398.00M,-398.00M,6.926B,12.01B,28.11B,1.185B,4.892B,1.162B,264.00M,6.076B,762.00M,51.67B,102.82B,12.00M,9.125B,9.112B,51.02B,93.70B,41.91B,762.00M,4.156B,2.078B,,,0.7,0.874,0.7971
KHC,2019-06,-1.807B,1.452B,4.324B,1.299B,0.37,0.37,84.93B,0,2.082B,2019-06,3.074B,449.00M,-308.00M,-308.00M,7.023B,12.13B,29.83B,1.332B,5.045B,551.00M,103.00M,6.406B,750.00M,51.54B,103.20B,12.00M,9.168B,7.797B,51.53B,94.03B,43.73B,750.00M,4.153B,2.154B,,,,,
KHC,2019-03,-1.684B,1.096B,3.948B,1.307B,0.33,0.33,85.64B,0,2.011B,2019-03,3.118B,405.00M,-315.00M,-315.00M,7.031B,12.16B,29.80B,1.182B,5.083B,621.00M,217.00M,5.959B,829.00M,51.70B,103.56B,12.00M,8.835B,7.972B,51.73B,94.73B,43.76B,829.00M,4.184B,2.095B,,,,,
KHC,2018-12,-1.943B,1.13B,4.675B,398.00M,-10.34,-10.34,85.97B,0,2.216B,2018-12,2.667B,-12.57B,-290.00M,-290.00M,7.078B,12.20B,30.77B,1.349B,5.283B,-14.47B,-1.846B,6.891B,867.00M,51.66B,103.46B,12.00M,9.075B,7.503B,51.69B,94.39B,44.18B,867.00M,4.153B,2.281B,,,1.364B,1.546B,1.517B
KHC,2018-09,-1.732B,1.366B,4.289B,1.378B,0.51,0.5,103.04B,0,2.094B,2018-09,3.287B,619.00M,-326.00M,-326.00M,7.216B,14.22B,31.00B,1.291B,5.225B,819.00M,201.00M,6.383B,803.00M,65.38B,119.73B,12.00M,7.59B,7.581B,54.16B,112.14B,46.58B,803.00M,4.416B,2.227B,,,2011-09,2011-06,2011-03
