Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KMB,2021-03,-3.327B,320.00M,3.154B,1.274B,1.73,1.72,2.625B,18.20B,1.589B,2021-03,1.956B,584.00M,-62.00M,-62.00M,7.887B,698.00M,7.548B,770.00M,5.42B,702.00M,147.00M,0,4.743B,815.00M,518.00M,17.23B,473.00M,5.143B,6.694B,16.48B,12.08B,9.786B,819.00M,3.537B,2.199B
KMB,2020-12,-3.172B,303.00M,3.172B,619.00M,1.59,1.58,2.727B,18.33B,1.664B,2020-12,1.903B,539.00M,-62.00M,-62.00M,8.042B,723.00M,7.878B,749.00M,5.824B,674.00M,166.00M,0,4.836B,996.00M,626.00M,17.52B,473.00M,5.174B,6.443B,16.65B,12.35B,10.21B,915.00M,4.027B,2.235B
KMB,2020-09,-3.482B,1.518B,3.093B,517.00M,1.38,1.38,1.418B,17.97B,1.59B,2020-09,1.787B,472.00M,-60.00M,-60.00M,7.497B,500.00M,7.851B,666.00M,5.585B,566.00M,114.00M,0,4.683B,919.00M,335.00M,16.53B,473.00M,6.075B,6.102B,15.95B,10.46B,9.852B,924.00M,3.355B,2.125B
KMB,2020-06,-3.513B,1.448B,2.835B,850.00M,2,1.99,1.401B,17.74B,1.777B,2020-06,1.825B,681.00M,-63.00M,-63.00M,7.366B,527.00M,7.223B,925.00M,5.644B,856.00M,199.00M,0,4.612B,844.00M,268.00M,16.17B,473.00M,5.904B,6.494B,15.68B,10.27B,9.184B,852.00M,3.392B,2.024B
KMB,2020-03,-3.615B,979.00M,3.218B,1.238B,1.93,1.92,1.361B,17.39B,1.791B,2020-03,1.539B,660.00M,-59.00M,-59.00M,7.226B,512.00M,7.21B,904.00M,5.245B,834.00M,197.00M,0,5.009B,873.00M,-167.00M,15.68B,473.00M,5.646B,6.483B,15.63B,10.03B,9.148B,887.00M,3.237B,2.519B
KMB,2019-12,-3.294B,442.00M,3.017B,1.664B,1.6,1.59,1.496B,17.84B,1.566B,2019-12,1.79B,547.00M,-60.00M,-60.00M,7.45B,511.00M,6.213B,751.00M,5.255B,633.00M,109.00M,0,4.583B,859.00M,-33.00M,15.28B,473.00M,5.057B,6.919B,15.09B,10.23B,8.17B,815.00M,3.638B,2.263B
KMB,2019-09,-3.412B,416.00M,3.085B,1.555B,1.95,1.94,1.438B,17.62B,1.555B,2019-09,1.779B,671.00M,-63.00M,-63.00M,7.158B,506.00M,6.198B,915.00M,5.227B,841.00M,192.00M,0,4.64B,815.00M,-141.00M,15.03B,473.00M,5.064B,6.782B,14.94B,9.969B,8.163B,640.00M,3.296B,2.306B
KMB,2019-06,-3.269B,534.00M,3.108B,1.291B,1.41,1.4,1.478B,17.97B,1.486B,2019-06,1.856B,485.00M,-65.00M,-65.00M,7.207B,513.00M,6.701B,670.00M,5.294B,594.00M,132.00M,0,4.594B,811.00M,-178.00M,15.35B,473.00M,5.321B,6.585B,15.30B,10.03B,8.712B,816.00M,3.348B,2.397B
KMB,2019-03,-3.299B,491.00M,3.205B,1.90B,1.32,1.31,1.476B,17.82B,1.428B,2019-03,1.857B,454.00M,-62.00M,-62.00M,7.139B,496.00M,5.99B,655.00M,5.297B,582.00M,143.00M,0,4.633B,769.00M,-305.00M,15.20B,473.00M,5.255B,7.197B,15.29B,9.949B,8.089B,773.00M,3.381B,2.377B
KMB,2018-12,0,539.00M,3.167B,1.208B,1.19,1.18,1.474B,17.71B,1.402B,2018-12,1.813B,411.00M,-62.00M,-62.00M,7.159B,458.00M,6.247B,639.00M,5.328B,489.00M,91.00M,0,4.569B,768.00M,-287.00M,14.52B,0,5.041B,6.536B,14.56B,9.477B,8.028B,763.00M,3.795B,2.164B
KMB,2018-09,-2.919B,494.00M,3.166B,1.786B,1.3,1.29,1.48B,17.50B,1.416B,2018-09,1.77B,451.00M,-62.00M,-62.00M,7.03B,504.00M,5.739B,669.00M,5.019B,577.00M,138.00M,0,4.582B,749.00M,-133.00M,14.58B,473.00M,5.108B,6.805B,14.47B,9.475B,7.666B,747.00M,3.284B,2.308B
KMB,2018-06,-3.474B,484.00M,3.149B,1.741B,1.3,1.3,1.504B,17.46B,1.455B,2018-06,1.75B,455.00M,-65.00M,-65.00M,7.046B,467.00M,5.746B,674.00M,4.914B,573.00M,138.00M,0,4.604B,771.00M,-57.00M,14.56B,473.00M,5.028B,6.655B,14.39B,9.536B,7.731B,781.00M,3.15B,2.286B
KMB,2018-03,0,626.00M,3.407B,1.599B,0.27,0.26,1.576B,17.96B,1.324B,2018-03,1.778B,93.00M,-64.00M,-64.00M,7.328B,421.00M,6.081B,247.00M,5.075B,174.00M,104.00M,0,4.731B,1.079B,317.00M,15.30B,0,5.372B,6.674B,14.75B,9.931B,8.074B,1.077B,3.176B,2.47B
KMB,2017-12,0,616.00M,2.995B,953.00M,1.76,1.75,1.576B,17.92B,1.608B,2017-12,1.79B,617.00M,-69.00M,-69.00M,7.436B,395.00M,6.472B,828.00M,4.86B,743.00M,143.00M,0,4.603B,753.00M,629.00M,15.15B,0,5.211B,5.858B,14.27B,9.94B,8.411B,780.00M,3.424B,2.315B
KMB,2017-09,0,655.00M,2.998B,589.00M,1.61,1.6,1.581B,17.62B,1.667B,2017-09,1.748B,567.00M,-75.00M,-75.00M,7.317B,434.00M,7.057B,868.00M,4.823B,779.00M,224.00M,0,4.665B,807.00M,259.00M,15.05B,0,5.226B,5.412B,14.55B,9.823B,9.139B,799.00M,3.071B,2.36B
KMB,2017-06,0,1.051B,2.924B,1.246B,1.5,1.49,1.527B,17.39B,1.652B,2017-06,1.738B,531.00M,-83.00M,-83.00M,7.246B,441.00M,6.777B,814.00M,4.643B,716.00M,202.00M,0,4.576B,835.00M,102.00M,15.07B,0,5.39B,5.889B,14.74B,9.68B,8.85B,838.00M,2.972B,2.221B
KMB,2017-03,0,835.00M,2.844B,1.328B,1.58,1.57,1.528B,17.19B,1.66B,2017-03,1.728B,563.00M,-81.00M,-81.00M,7.251B,457.00M,6.425B,848.00M,4.536B,753.00M,207.00M,0,4.504B,807.00M,136.00M,14.76B,0,5.112B,5.864B,14.40B,9.646B,8.532B,812.00M,2.916B,2.224B
KMB,2016-12,0,923.00M,2.911B,1.133B,1.41,1.4,1.48B,16.85B,1.718B,2016-12,1.679B,505.00M,-79.00M,-79.00M,7.169B,532.00M,6.439B,905.00M,4.669B,760.00M,271.00M,0,4.629B,795.00M,-102.00M,14.60B,0,5.115B,5.846B,14.48B,9.487B,8.639B,813.00M,3.197B,2.176B
KMB,2016-09,0,884.00M,2.924B,1.205B,1.53,1.52,1.518B,16.93B,1.67B,2016-09,1.736B,550.00M,-79.00M,-79.00M,7.198B,594.00M,6.443B,836.00M,4.515B,757.00M,227.00M,0,4.594B,833.00M,299.00M,14.90B,0,5.26B,5.72B,14.35B,9.639B,8.628B,834.00M,2.784B,2.222B
KMB,2016-06,0,656.00M,2.924B,772.00M,1.57,1.56,1.507B,16.79B,1.664B,2016-06,1.807B,566.00M,-78.00M,-78.00M,7.188B,626.00M,6.905B,838.00M,4.456B,760.00M,217.00M,0,4.588B,847.00M,196.00M,14.77B,0,5.114B,5.228B,14.35B,9.656B,9.118B,826.00M,2.779B,2.249B
KMB,2016-03,-3.278B,635.00M,2.837B,999.00M,1.51,1.5,1.498B,16.76B,1.639B,2016-03,1.902B,545.00M,-72.00M,-72.00M,7.188B,594.00M,6.904B,804.00M,4.392B,732.00M,207.00M,0,4.476B,825.00M,109.00M,14.82B,473.00M,5.151B,5.391B,14.49B,9.669B,9.10B,835.00M,2.774B,2.255B
KMB,2015-12,-3.312B,619.00M,2.913B,1.669B,0.92,0.91,1.54B,16.55B,1.626B,2015-12,1.909B,333.00M,-71.00M,-71.00M,7.104B,766.00M,6.106B,630.00M,4.644B,559.00M,252.00M,0,4.539B,857.00M,-174.00M,14.84B,536.00M,5.426B,6.349B,14.80B,9.416B,8.453B,996.00M,3.259B,2.281B
KMB,2015-09,-2.242B,643.00M,3.036B,1.46B,1.42,1.41,1.435B,16.48B,1.682B,2015-09,1.883B,517.00M,-70.00M,-70.00M,7.066B,626.00M,6.125B,779.00M,4.741B,709.00M,217.00M,0,4.718B,868.00M,54.00M,14.93B,536.00M,5.442B,6.201B,14.65B,9.486B,8.451B,903.00M,2.838B,2.284B
KMB,2015-06,0,603.00M,2.986B,2.055B,-0.84,-0.84,1.553B,16.76B,1.657B,2015-06,1.948B,-305.00M,-69.00M,-69.00M,7.251B,698.00M,5.544B,-544.00M,4.71B,-613.00M,-281.00M,0,4.643B,869.00M,516.00M,15.35B,0,5.518B,6.765B,14.60B,9.828B,7.837B,2.201B,2.92B,2.286B
KMB,2015-03,0,587.00M,3.032B,1.612B,1.28,1.27,1.538B,16.51B,1.659B,2015-03,1.893B,468.00M,-68.00M,-68.00M,7.16B,663.00M,6.119B,748.00M,4.574B,680.00M,230.00M,0,4.691B,849.00M,193.00M,15.05B,0,5.383B,6.186B,14.64B,9.67B,8.455B,911.00M,2.823B,2.244B
KMB,2014-12,0,789.00M,3.275B,1.326B,-0.22,-0.22,1.737B,16.78B,1.553B,2014-12,1.892B,-83.00M,-64.00M,-64.00M,7.359B,587.00M,5.63B,158.00M,4.787B,94.00M,175.00M,0,4.828B,971.00M,729.00M,15.53B,0,5.559B,6.226B,14.53B,9.967B,8.301B,1.395B,3.256B,2.223B
KMB,2014-09,0,1.431B,3.291B,773.00M,1.51,1.5,3.344B,17.56B,1.765B,2014-09,2.281B,562.00M,-67.00M,-67.00M,7.692B,902.00M,5.633B,877.00M,4.981B,810.00M,260.00M,0,5.056B,904.00M,4.265B,18.88B,0,6.921B,6.26B,14.33B,11.96B,8.068B,888.00M,2.91B,2.542B
KMB,2014-06,0,1.369B,3.253B,591.00M,1.35,1.35,3.462B,17.79B,1.70B,2014-06,2.358B,509.00M,-67.00M,-67.00M,7.847B,926.00M,5.964B,775.00M,4.953B,708.00M,225.00M,0,4.953B,938.00M,4.614B,19.38B,0,7.072B,6.05B,14.48B,12.30B,8.431B,925.00M,2.975B,2.595B
KMB,2014-03,0,1.165B,3.222B,927.00M,1.42,1.41,3.442B,17.72B,1.665B,2014-03,2.285B,538.00M,-68.00M,-68.00M,7.841B,894.00M,5.385B,711.00M,4.826B,643.00M,196.00M,0,4.887B,896.00M,4.668B,19.00B,0,6.648B,6.259B,14.08B,12.35B,7.818B,954.00M,2.871B,2.618B
KMB,2013-12,0,1.054B,2.532B,375.00M,1.41,1.4,3.424B,17.68B,1.182B,2013-12,2.233B,539.00M,-67.00M,-67.00M,7.948B,817.00M,5.386B,517.00M,4.923B,450.00M,143.00M,0,3.714B,670.00M,4.856B,18.92B,0,6.55B,5.848B,13.78B,12.37B,7.931B,665.00M,3.243B,2.545B
KMB,2013-09,-2.059B,1.179B,3.457B,1.087B,1.43,1.42,3.48B,17.56B,1.805B,2013-09,2.245B,546.00M,-67.00M,-67.00M,7.871B,488.00M,5.388B,807.00M,4.693B,740.00M,224.00M,0,5.262B,990.00M,4.667B,19.36B,536.00M,6.894B,5.78B,14.39B,12.47B,8.608B,998.00M,2.67B,2.898B
