Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KMI,2021-03,-487.00M,1.377B,2.55B,2.173B,0,0.62,0.62,22.25B,53.65B,2.661B,2021-03,389.00M,1.409B,-377.00M,-377.00M,35.60B,0,31.06B,1.882B,1.477B,1.776B,351.00M,5.211B,156.00M,32.19B,71.21B,23.00M,3.734B,4.618B,38.60B,67.47B,33.99B,779.00M,1.173B,1.425B
KMI,2020-12,-407.00M,1.184B,1.314B,2.558B,0,0.27,0.27,22.30B,53.37B,1.801B,2020-12,348.00M,607.00M,-381.00M,-381.00M,35.84B,0,32.13B,927.00M,1.629B,800.00M,177.00M,3.115B,187.00M,31.44B,71.97B,23.00M,3.203B,5.074B,40.14B,68.77B,35.06B,874.00M,1.104B,1.293B
KMI,2020-09,-255.00M,632.00M,1.194B,2.057B,0,0.2,0.2,22.36B,53.26B,1.725B,2020-09,317.00M,455.00M,-383.00M,-383.00M,35.96B,0,32.66B,829.00M,1.46B,612.00M,140.00M,2.919B,153.00M,31.56B,71.82B,23.00M,2.672B,4.376B,39.88B,69.15B,35.50B,896.00M,1.109B,1.142B
KMI,2020-06,-199.00M,526.00M,973.00M,3.006B,0,-0.28,-0.28,22.42B,0,1.587B,2020-06,336.00M,-637.00M,-395.00M,-395.00M,36.03B,0,31.44B,723.00M,1.534B,-520.00M,104.00M,2.56B,155.00M,31.75B,71.78B,23.00M,2.49B,5.202B,39.66B,69.29B,34.46B,864.00M,1.033B,1.073B
KMI,2020-03,-62.00M,360.00M,1.228B,3.54B,0,-0.14,-0.14,23.47B,0,1.878B,2020-03,307.00M,-306.00M,-436.00M,-436.00M,36.04B,0,31.40B,1.014B,1.384B,-231.00M,60.00M,3.106B,153.00M,33.11B,73.53B,23.00M,3.096B,5.608B,40.07B,70.43B,34.46B,864.00M,1.047B,1.186B
KMI,2019-12,-333.00M,1.11B,1.437B,2.377B,0,0.27,0.27,24.13B,0,1.915B,2019-12,371.00M,610.00M,-442.00M,-442.00M,36.42B,0,31.92B,1.003B,1.826B,1.082B,455.00M,3.352B,134.00M,33.74B,74.16B,23.00M,3.238B,5.10B,40.07B,70.92B,34.97B,912.00M,1.278B,1.379B
KMI,2019-09,-384.00M,241.00M,1.34B,4.406B,0,0.22,0.22,24.69B,0,1.874B,2019-09,405.00M,506.00M,-447.00M,-447.00M,37.93B,0,32.11B,949.00M,1.66B,668.00M,151.00M,3.214B,154.00M,33.63B,76.93B,23.00M,2.365B,6.826B,42.46B,74.57B,35.63B,925.00M,1.30B,1.273B
KMI,2019-06,-448.00M,213.00M,1.356B,3.054B,0,0.23,0.23,24.75B,0,1.858B,2019-06,450.00M,518.00M,-452.00M,-452.00M,37.84B,0,33.00B,961.00M,1.729B,676.00M,148.00M,3.214B,148.00M,33.64B,76.70B,23.00M,2.30B,5.659B,42.21B,74.40B,36.55B,897.00M,1.198B,1.227B
KMI,2019-03,-508.00M,221.00M,1.541B,2.502B,0,0.24,0.24,24.79B,0,1.888B,2019-03,429.00M,556.00M,-460.00M,-460.00M,37.78B,0,33.33B,1.018B,2.507B,739.00M,172.00M,3.429B,154.00M,33.61B,76.29B,23.00M,2.262B,5.009B,41.84B,74.03B,36.83B,870.00M,1.301B,1.31B
KMI,2018-12,-330.00M,3.28B,1.786B,3.388B,0,0.21,0.21,24.84B,0,1.995B,2018-12,385.00M,494.00M,-461.00M,-461.00M,37.90B,0,33.94B,1.162B,3.275B,775.00M,273.00M,3.781B,110.00M,33.68B,78.87B,23.00M,5.722B,7.557B,44.34B,73.14B,36.78B,833.00M,2.696B,1.498B
KMI,2018-09,-495.00M,3.459B,1.704B,2.337B,0,0.31,0.31,24.90B,54.33B,1.813B,2018-09,383.00M,732.00M,-473.00M,-473.00M,37.80B,0,35.27B,927.00M,3.063B,1.201B,196.00M,3.517B,154.00M,33.49B,79.06B,22.00M,5.766B,5.489B,43.80B,73.30B,38.31B,886.00M,1.307B,1.545B
KMI,2018-06,-690.00M,271.00M,1.639B,2.132B,0,-0.08,-0.08,25.14B,51.01B,1.789B,2018-06,420.00M,-141.00M,-516.00M,-516.00M,39.90B,0,35.37B,923.00M,2.941B,-176.00M,-46.00M,3.428B,164.00M,33.04B,78.32B,22.00M,2.634B,5.379B,43.82B,75.68B,38.44B,866.00M,1.269B,1.52B
KMI,2018-03,-667.00M,294.00M,1.589B,2.494B,0,0.22,0.22,25.20B,0,1.829B,2018-03,442.00M,524.00M,-467.00M,-467.00M,40.33B,0,35.54B,949.00M,2.628B,706.00M,164.00M,3.418B,173.00M,33.67B,79.01B,22.00M,2.628B,5.429B,43.88B,76.38B,38.45B,880.00M,1.221B,1.512B
KMI,2017-12,-541.00M,264.00M,1.771B,2.828B,0,-0.47,-0.47,25.26B,0,1.861B,2017-12,424.00M,-1.006B,-445.00M,-445.00M,40.16B,0,35.02B,807.00M,3.062B,324.00M,1.316B,3.632B,179.00M,33.64B,79.06B,22.00M,2.715B,6.181B,43.93B,76.34B,37.75B,1.054B,1.596B,1.613B
KMI,2017-09,-469.00M,539.00M,1.569B,3.156B,0,0.15,0.15,25.32B,0,1.712B,2017-09,428.00M,373.00M,-459.00M,-459.00M,39.87B,0,35.12B,833.00M,2.741B,547.00M,160.00M,3.281B,168.00M,35.22B,80.35B,22.00M,2.613B,6.174B,43.83B,77.74B,37.65B,879.00M,1.358B,1.214B
KMI,2017-06,-483.00M,452.00M,1.647B,3.224B,0,0.15,0.15,25.37B,0,1.721B,2017-06,438.00M,376.00M,-463.00M,-463.00M,39.42B,0,35.10B,917.00M,2.804B,599.00M,216.00M,3.368B,157.00M,35.15B,80.20B,22.00M,2.726B,6.363B,43.99B,77.48B,37.63B,804.00M,1.353B,1.353B
KMI,2017-03,-593.00M,396.00M,1.619B,3.928B,0,0.18,0.18,25.42B,0,1.805B,2017-03,380.00M,440.00M,-465.00M,-465.00M,39.02B,0,35.46B,984.00M,2.497B,691.00M,246.00M,3.424B,184.00M,34.64B,79.79B,22.00M,2.675B,6.689B,44.79B,77.12B,38.10B,821.00M,1.214B,1.44B
KMI,2016-12,-661.00M,684.00M,1.532B,2.696B,0,0.08,0.08,25.47B,0,1.857B,2016-12,357.00M,209.00M,-422.00M,-422.00M,38.70B,0,37.35B,979.00M,2.967B,388.00M,173.00M,3.389B,153.00M,34.43B,80.30B,22.00M,3.229B,5.924B,45.50B,77.08B,39.58B,878.00M,1.257B,1.55B
KMI,2016-09,-557.00M,357.00M,1.52B,2.944B,0,-0.1,-0.1,25.55B,0,1.81B,2016-09,325.00M,-188.00M,-472.00M,-472.00M,38.78B,0,38.52B,957.00M,2.687B,194.00M,377.00M,3.33B,171.00M,34.61B,81.60B,22.00M,3.363B,6.044B,46.64B,78.24B,40.59B,853.00M,1.47B,1.282B
KMI,2016-06,-554.00M,180.00M,1.304B,3.419B,0,0.15,0.15,27.24B,0,1.84B,2016-06,361.00M,372.00M,-471.00M,-471.00M,41.20B,0,40.20B,938.00M,2.742B,588.00M,213.00M,3.144B,189.00M,35.11B,84.32B,22.00M,2.47B,6.566B,48.84B,81.85B,42.28B,902.00M,1.087B,1.278B
KMI,2016-03,-414.00M,175.00M,1.282B,1.702B,0,0.12,0.12,27.30B,51.40B,1.913B,2016-03,364.00M,315.00M,-441.00M,-441.00M,41.04B,4.605B,42.10B,1.05B,2.418B,468.00M,154.00M,3.195B,190.00M,35.18B,84.23B,22.00M,2.481B,4.396B,48.68B,81.75B,44.29B,863.00M,1.017B,1.203B
KMI,2015-12,-461.00M,229.00M,1.362B,821.00M,0,-0.29,-0.29,27.34B,46.93B,2.274B,2015-12,407.00M,-695.00M,-527.00M,-527.00M,40.55B,4.554B,42.41B,1.338B,2.946B,-693.00M,43.00M,3.636B,150.00M,35.12B,84.10B,22.00M,2.824B,4.065B,48.70B,81.28B,44.64B,936.00M,1.192B,1.355B
KMI,2015-09,-328.00M,179.00M,1.723B,3.003B,0,0.08,0.08,28.57B,42.60B,1.984B,2015-09,445.00M,186.00M,-540.00M,-540.00M,40.61B,4.599B,41.63B,1.104B,2.866B,291.00M,108.00M,3.707B,160.00M,35.51B,85.68B,22.00M,3.067B,6.191B,49.84B,82.61B,43.64B,880.00M,1.226B,1.404B
KMI,2015-06,-291.00M,163.00M,1.655B,3.154B,0,0.15,0.15,28.64B,0,1.808B,2015-06,474.00M,333.00M,-472.00M,-472.00M,40.59B,4.651B,41.40B,938.00M,2.994B,531.00M,189.00M,3.463B,164.00M,35.17B,85.61B,22.00M,2.936B,6.499B,50.10B,82.67B,43.61B,870.00M,1.293B,1.349B
KMI,2015-03,-193.00M,259.00M,1.628B,3.435B,0,0.2,0.2,28.67B,0,1.969B,2015-03,453.00M,429.00M,-512.00M,-512.00M,40.29B,0,41.82B,1.133B,2.95B,643.00M,224.00M,3.597B,216.00M,35.03B,86.16B,22.00M,3.289B,6.784B,50.80B,82.88B,44.02B,836.00M,1.393B,1.42B
KMI,2014-12,-17.00M,315.00M,1.905B,2.717B,0,0.08,0.08,26.96B,0,2.046B,2014-12,459.00M,126.00M,-478.00M,-478.00M,38.56B,0,40.10B,1.228B,3.262B,590.00M,24.00M,3.951B,149.00M,34.08B,83.05B,21.00M,3.752B,6.362B,48.62B,79.30B,42.26B,818.00M,1.588B,1.641B
KMI,2014-09,-50.00M,472.00M,2.162B,2.307B,0,0.32,0.32,26.98B,0,2.129B,2014-09,461.00M,329.00M,-432.00M,-432.00M,38.10B,0,35.64B,1.332B,3.094B,1.025B,246.00M,4.291B,135.00M,12.54B,77.12B,10.00M,3.486B,6.085B,48.35B,73.63B,42.26B,797.00M,1.543B,1.696B
KMI,2014-06,-68.00M,363.00M,2.112B,2.623B,0,0.27,0.27,27.02B,0,1.825B,2014-06,460.00M,284.00M,-440.00M,-440.00M,37.61B,0,34.52B,1.02B,3.212B,675.00M,178.00M,3.937B,154.00M,12.62B,76.36B,10.00M,3.367B,6.487B,47.71B,73.00B,41.22B,805.00M,1.501B,1.633B
KMI,2014-03,-62.00M,513.00M,2.139B,2.412B,0,0.28,0.28,26.97B,0,1.908B,2014-03,417.00M,287.00M,-448.00M,-448.00M,36.95B,0,34.80B,1.143B,3.023B,801.00M,200.00M,4.047B,172.00M,12.80B,76.05B,10.00M,3.662B,6.068B,47.62B,72.39B,41.55B,765.00M,1.575B,1.838B
KMI,2013-12,-24.00M,598.00M,1.965B,2.306B,0,0.33,0.33,26.94B,0,1.907B,2013-12,430.00M,338.00M,-428.00M,-428.00M,35.85B,0,33.89B,1.142B,3.185B,773.00M,67.00M,3.872B,132.00M,13.09B,75.18B,10.00M,3.868B,6.075B,46.90B,71.32B,40.82B,765.00M,1.676B,1.721B
KMI,2013-09,-97.00M,816.00M,2.01B,2.973B,98.00M,0.27,0.27,26.97B,36.27B,1.746B,2013-09,435.00M,286.00M,-418.00M,-418.00M,35.28B,4.314B,33.04B,976.00M,3.442B,722.00M,171.00M,3.756B,158.00M,13.26B,74.58B,10.00M,3.591B,6.415B,46.27B,70.98B,39.86B,770.00M,1.427B,1.42B
KMI,2013-06,-148.00M,1.017B,1.699B,3.964B,109.00M,0.27,0.27,26.98B,21.84B,1.683B,2013-06,428.00M,277.00M,-427.00M,-427.00M,34.60B,4.113B,31.58B,755.00M,3.286B,1.006B,225.00M,3.382B,183.00M,13.65B,74.12B,10.00M,3.772B,7.333B,45.58B,70.35B,38.25B,928.00M,1.326B,1.488B
KMI,2013-03,-157.00M,1.106B,1.385B,2.876B,108.00M,0.28,0.28,24.72B,0,1.675B,2013-03,389.00M,292.00M,-402.00M,-402.00M,31.20B,4.219B,31.51B,1.018B,2.602B,937.00M,279.00M,3.06B,140.00M,13.68B,68.31B,10.00M,3.686B,5.582B,44.00B,64.62B,38.42B,657.00M,1.111B,1.29B
KMI,2012-12,-118.00M,714.00M,1.395B,2.401B,92.10M,0.34,0.34,24.80B,0,1.684B,2012-12,374.00M,220.00M,-406.00M,-406.00M,31.00B,4.071B,32.00B,974.00M,2.713B,450.00M,-26.00M,3.079B,113.00M,13.87B,68.24B,10.00M,3.674B,5.228B,44.14B,64.57B,38.92B,710.00M,1.248B,1.333B
KMI,2012-09,-56.00M,775.00M,1.257B,4.015B,96.40M,0.19,0.19,24.75B,0,1.613B,2012-09,379.00M,200.00M,-523.00M,-523.00M,30.88B,3.92B,32.48B,848.00M,2.603B,446.00M,60.00M,2.87B,186.00M,14.15B,70.05B,11.00M,5.122B,6.86B,46.16B,64.93B,39.30B,765.00M,1.306B,1.296B
