Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KMX,2021-02,-118.69M,132.32M,4.523B,483.53M,0,1.29,1.27,4.901B,641.37M,2021-02,3.157B,209.94M,167.93M,167.93M,3.487B,0,15.04B,85.32M,1.215B,262.25M,52.30M,5.164B,556.05M,4.365B,21.54B,81.59M,4.117B,1.699B,17.18B,17.42B,15.48B,556.05M,799.55M,239.07M
KMX,2020-11,-152.92M,236.64M,4.554B,476.86M,0,1.44,1.42,4.869B,631.43M,2020-11,2.780B,235.30M,156.98M,156.98M,3.482B,0,14.91B,152.63M,960.92M,310.50M,75.20M,5.185B,478.80M,4.128B,20.93B,81.52M,3.737B,1.438B,16.80B,17.20B,15.37B,478.80M,588.50M,168.98M
KMX,2020-08,-160.43M,711.56M,4.620B,506.30M,0,1.82,1.79,4.831B,752.14M,2020-08,2.825B,296.70M,124.73M,124.73M,3.489B,0,15.33B,261.94M,1.093B,388.34M,91.64M,5.372B,490.21M,3.983B,21.25B,82.08M,4.328B,1.599B,17.26B,16.92B,15.66B,490.21M,748.45M,203.16M
KMX,2020-05,-165.40M,658.02M,2.875B,470.77M,0,0.03,0.03,4.807B,354.18M,2020-05,1.899B,4.978M,26.99M,26.99M,3.508B,0,14.85B,-19.53M,680.24M,4.164M,-0.814M,3.229B,373.72M,3.578B,19.97B,81.38M,3.284B,1.151B,16.39B,16.69B,15.24B,373.72M,390.16M,145.02M
KMX,2020-02,-150.07M,58.21M,4.290B,464.44M,0,1.32,1.3,4.785B,672.86M,2020-02,2.846B,214.93M,89.60M,89.60M,3.518B,0,15.38B,188.13M,1.070B,276.63M,61.70M,4.962B,484.73M,3.769B,21.08B,81.54M,3.664B,1.535B,17.31B,17.42B,15.78B,484.73M,738.53M,191.09M
KMX,2019-11,-82.01M,56.58M,4.176B,442.15M,0,1.05,1.04,4.731B,613.65M,2019-11,2.683B,173.16M,92.19M,92.19M,3.491B,0,15.13B,128.80M,978.89M,227.56M,54.40M,4.790B,484.85M,3.698B,20.49B,81.90M,3.450B,1.421B,16.79B,17.04B,15.37B,484.85M,642.93M,142.74M
KMX,2019-08,-91.63M,40.74M,4.508B,465.30M,0,1.41,1.4,4.637B,693.45M,2019-08,2.605B,233.60M,93.06M,93.06M,3.438B,0,14.83B,212.62M,931.40M,305.54M,71.94M,5.201B,480.83M,3.612B,20.14B,82.44M,3.385B,1.397B,16.53B,16.76B,15.13B,480.83M,629.90M,141.09M
KMX,2019-05,-81.21M,42.20M,4.624B,462.16M,0,1.6,1.59,3.393B,742.38M,2019-05,2.551B,266.74M,98.18M,98.18M,3.393B,0,14.49B,252.72M,1.023B,351.26M,84.51M,5.366B,489.66M,3.453B,19.71B,82.70M,3.284B,1.485B,16.26B,16.43B,14.78B,489.66M,735.10M,133.88M
KMX,2019-02,-68.01M,46.94M,3.719B,396.35M,0,1.14,1.13,4.125B,599.38M,2019-02,2.519B,192.56M,82.73M,82.73M,2.828B,0,13.78B,170.41M,915.16M,255.83M,63.27M,4.319B,428.97M,3.357B,18.72B,83.74M,3.214B,1.312B,15.36B,15.50B,14.05B,428.97M,596.96M,139.85M
KMX,2018-11,-54.14M,35.05M,3.727B,384.81M,0,1.09,1.09,4.063B,569.24M,2018-11,2.425B,190.31M,90.91M,90.91M,2.800B,0,13.49B,159.72M,840.06M,247.81M,57.50M,4.296B,409.52M,3.435B,18.40B,85.89M,3.057B,1.225B,14.96B,15.34B,13.74B,409.52M,559.96M,111.16M
