Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KO,2021-03,-14.13B,12.59B,3.505B,4.813B,0,0.52,0.52,28.79B,19.70B,5.515B,2021-03,3.356B,2.245B,-376.00M,-376.00M,10.67B,2.447B,40.17B,2.722B,11.67B,2.763B,508.00M,9.02B,2.669B,20.36B,89.99B,1.76B,21.93B,16.49B,67.66B,68.06B,51.18B,2.793B,11.67B,3.762B
KO,2020-12,-14.60B,10.91B,3.578B,2.668B,0,0.34,0.34,28.55B,19.54B,5.033B,2020-12,3.266B,1.456B,-234.00M,-234.00M,10.78B,1.833B,40.12B,3.165B,11.32B,2.361B,887.00M,8.611B,2.589B,19.30B,87.30B,1.76B,19.24B,14.60B,66.01B,68.06B,51.41B,1.868B,5.885B,3.144B
KO,2020-09,-15.45B,21.13B,3.471B,13.36B,0,0.4,0.4,27.92B,19.23B,5.181B,2020-09,3.264B,1.737B,-578.00M,-578.00M,10.67B,1.945B,39.50B,2.298B,13.53B,2.181B,441.00M,8.652B,2.511B,18.61B,97.18B,1.76B,30.41B,26.89B,76.87B,66.77B,49.98B,2.883B,13.53B,3.827B
KO,2020-06,-16.46B,19.82B,3.013B,14.60B,0,0.41,0.41,27.45B,19.28B,4.137B,2020-06,3.501B,1.779B,-174.00M,-174.00M,10.70B,1.969B,37.73B,1.981B,12.24B,2.197B,438.00M,7.15B,1.983B,17.48B,94.69B,1.76B,29.37B,26.85B,75.50B,65.32B,48.65B,2.156B,12.24B,3.849B
KO,2020-03,-15.70B,17.67B,3.371B,19.30B,0,0.65,0.64,27.84B,18.92B,5.23B,2020-03,3.558B,2.775B,-81.00M,-81.00M,10.99B,1.856B,31.09B,2.38B,13.10B,3.01B,215.00M,8.601B,2.648B,18.16B,94.01B,1.76B,28.23B,32.40B,74.18B,65.78B,41.78B,2.85B,13.10B,4.43B
KO,2019-12,-13.54B,11.18B,3.566B,15.25B,0,0.48,0.47,26.77B,19.79B,5.502B,2019-12,3.379B,2.042B,-100.00M,-100.00M,10.84B,2.284B,27.52B,2.611B,10.70B,2.42B,355.00M,9.068B,3.224B,18.98B,86.38B,1.76B,20.41B,26.97B,65.28B,65.97B,38.31B,2.891B,5.639B,3.971B
KO,2019-09,-13.71B,12.99B,3.767B,11.72B,0,0.61,0.6,26.33B,19.81B,5.74B,2019-09,3.266B,2.593B,-77.00M,-77.00M,11.53B,2.581B,32.09B,2.499B,13.38B,3.092B,503.00M,9.507B,3.116B,18.71B,87.43B,1.76B,23.12B,25.10B,66.75B,64.32B,41.65B,3.241B,13.38B,4.353B
KO,2019-06,-12.98B,13.36B,3.921B,16.06B,0,0.61,0.61,26.92B,18.14B,6.076B,2019-06,3.453B,2.607B,-94.00M,-94.00M,11.58B,2.687B,30.37B,2.988B,13.32B,3.049B,421.00M,9.997B,2.996B,18.18B,90.00B,1.76B,24.36B,29.38B,69.70B,65.64B,40.32B,3.088B,13.32B,4.888B
KO,2019-03,-12.32B,11.95B,3.365B,15.12B,0,0.39,0.39,22.74B,17.61B,5.329B,2019-03,3.178B,1.678B,-112.00M,-112.00M,10.11B,2.602B,30.42B,2.435B,10.99B,2.225B,522.00M,8.694B,2.767B,17.74B,88.35B,1.76B,28.54B,27.94B,68.54B,59.81B,40.60B,2.894B,10.99B,3.852B
KO,2018-12,-12.81B,16.12B,3.102B,18.84B,0,0.2,0.2,21.59B,0,4.704B,2018-12,3.071B,870.00M,-74.00M,-74.00M,9.598B,2.354B,25.38B,2.906B,9.026B,965.00M,38.00M,7.806B,2.716B,16.98B,83.22B,1.76B,24.93B,28.78B,64.16B,58.29B,35.38B,1.798B,3.492B,3.685B
KO,2018-09,-12.07B,18.85B,3.346B,19.31B,692.00M,0.44,0.44,16.86B,15.42B,5.429B,2018-09,2.627B,1.88B,-43.00M,-43.00M,7.404B,2.50B,25.52B,2.614B,10.63B,2.373B,555.00M,8.775B,2.66B,18.26B,86.88B,1.76B,33.41B,31.43B,66.70B,53.46B,35.27B,2.815B,10.63B,3.702B
