Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KR,2021-01,-630.00M,2.783B,23.69B,1.578B,0,-0.1,-0.1,4.073B,52.82B,7.046B,2021-01,7.063B,-77.00M,-106.00M,-106.00M,29.18B,1.542B,19.01B,-158.00M,8.092B,-110.00M,-34.00M,30.74B,6.53B,9.576B,48.66B,1.918B,12.50B,15.37B,39.11B,36.16B,23.75B,7.204B,6.679B,1.781B
KR,2020-10,-621.00M,3.282B,22.90B,2.264B,0,0.81,0.8,4.088B,28.74B,6.822B,2020-10,7.478B,631.00M,-129.00M,-129.00M,28.74B,1.682B,18.41B,792.00M,8.591B,834.00M,202.00M,29.72B,5.399B,10.07B,48.46B,1.918B,12.95B,15.52B,38.42B,35.52B,22.90B,6.03B,7.355B,1.61B
KR,2020-07,-651.00M,3.878B,23.55B,1.762B,0,1.04,1.03,4.105B,28.70B,6.938B,2020-07,6.344B,819.00M,-135.00M,-135.00M,28.70B,1.634B,18.86B,820.00M,8.138B,1.061B,241.00M,30.49B,5.501B,9.82B,47.54B,1.918B,12.29B,14.58B,37.75B,35.26B,23.17B,6.118B,6.871B,1.526B
KR,2020-04,-658.00M,3.868B,31.45B,1.764B,0,1.53,1.52,4.12B,28.62B,10.10B,2020-04,6.297B,1.212B,-174.00M,-174.00M,28.62B,1.532B,18.88B,1.326B,8.434B,1.585B,373.00M,41.55B,7.944B,9.356B,46.94B,1.918B,12.18B,14.67B,37.61B,34.77B,22.94B,8.769B,7.132B,1.552B
KR,2020-01,-640.00M,1.578B,22.51B,2.562B,0,0.4,0.4,4.142B,52.66B,6.386B,2020-01,7.084B,327.00M,-140.00M,-140.00M,28.68B,1.466B,18.62B,537.00M,7.517B,390.00M,71.00M,28.89B,5.194B,8.602B,45.26B,1.918B,10.89B,14.24B,36.68B,34.37B,22.44B,5.849B,6.349B,1.706B
KR,2019-10,-495.00M,1.579B,21.80B,2.09B,0,0.32,0.32,4.162B,28.65B,6.176B,2019-10,7.412B,263.00M,-137.00M,-137.00M,28.65B,1.517B,18.68B,254.00M,7.954B,222.00M,79.00M,27.97B,5.298B,8.915B,45.39B,1.918B,11.02B,14.12B,36.66B,34.37B,22.55B,5.922B,6.867B,1.60B
KR,2019-07,-537.00M,1.612B,22.01B,2.028B,0,0.37,0.37,4.198B,28.68B,6.161B,2019-07,6.526B,297.00M,-130.00M,-130.00M,28.68B,1.502B,18.59B,559.00M,7.367B,380.00M,93.00M,28.17B,5.011B,8.711B,44.46B,1.918B,10.14B,13.35B,35.81B,34.32B,22.46B,5.602B,6.268B,1.567B
KR,2019-04,-492.00M,1.475B,28.98B,2.135B,0,0.96,0.95,4.21B,28.48B,8.268B,2019-04,6.707B,772.00M,-197.00M,-197.00M,28.48B,1.484B,18.44B,901.00M,7.501B,989.00M,226.00M,37.25B,6.588B,8.581B,44.32B,1.918B,10.16B,13.58B,35.79B,34.16B,22.21B,7.367B,6.423B,1.56B
KR,2019-01,-346.00M,1.61B,21.96B,3.157B,0,0.32,0.32,4.345B,43.86B,6.33B,2019-01,6.846B,259.00M,-141.00M,-141.00M,21.64B,1.562B,12.07B,389.00M,7.286B,317.00M,66.00M,28.29B,5.36B,7.886B,38.12B,1.918B,10.80B,14.27B,30.28B,27.32B,16.01B,5.941B,6.059B,1.589B
KR,2018-10,-402.00M,1.527B,21.75B,3.371B,0,0.39,0.39,4.288B,21.52B,6.078B,2018-10,7.083B,317.00M,-142.00M,-142.00M,21.52B,1.738B,11.65B,647.00M,7.575B,399.00M,91.00M,27.83B,4.861B,7.652B,38.14B,1.918B,10.75B,14.80B,30.53B,27.39B,15.74B,5.431B,6.505B,1.51B
KR,2018-07,-450.00M,1.378B,21.98B,2.411B,0,0.63,0.62,4.305B,21.32B,6.038B,2018-07,6.241B,508.00M,-144.00M,-144.00M,21.32B,1.667B,12.12B,549.00M,7.041B,628.00M,127.00M,28.01B,4.915B,7.374B,36.96B,1.918B,9.746B,13.35B,29.62B,27.21B,16.27B,5.489B,5.933B,1.488B
KR,2018-04,-455.00M,1.744B,29.42B,2.242B,0,2.39,2.37,4.025B,21.20B,8.303B,2018-04,6.387B,2.026B,-192.00M,-192.00M,21.20B,1.59B,12.06B,1.029B,7.213B,2.634B,616.00M,37.72B,6.533B,6.97B,36.56B,1.918B,10.29B,13.48B,29.62B,26.28B,16.14B,7.274B,6.202B,1.583B
KR,2018-01,-471.00M,1.508B,24.39B,3.56B,0,0.97,0.96,4.025B,41.73B,7.26B,2018-01,6.533B,854.00M,-148.00M,-148.00M,21.07B,1.568B,12.03B,550.00M,6.957B,-104.00M,-957.00M,31.65B,6.145B,6.931B,37.20B,1.918B,11.12B,14.20B,30.29B,26.08B,16.10B,6.71B,5.858B,1.637B
KR,2017-10,-706.00M,1.515B,21.53B,1.729B,251.00M,0.44,0.44,4.148B,20.97B,6.217B,2017-10,6.917B,397.00M,-136.00M,-136.00M,20.97B,2.452B,13.12B,747.00M,7.381B,604.00M,215.00M,27.75B,4.897B,6.235B,37.03B,1.918B,10.92B,12.89B,30.82B,26.10B,17.93B,5.47B,6.307B,1.452B
KR,2017-07,-726.00M,1.796B,21.61B,948.00M,221.00M,0.39,0.39,4.183B,21.31B,5.988B,2017-07,6.363B,353.00M,-138.00M,-138.00M,21.31B,2.38B,13.10B,684.00M,7.083B,540.00M,189.00M,27.60B,4.742B,6.159B,36.60B,1.918B,10.15B,11.62B,30.46B,26.45B,18.84B,5.304B,6.003B,1.536B
KR,2017-04,-738.00M,1.308B,28.28B,1.854B,221.00M,0.33,0.32,4.172B,21.13B,8.004B,2017-04,6.359B,303.00M,-177.00M,-177.00M,21.13B,2.181B,11.59B,631.00M,7.213B,445.00M,148.00M,36.28B,6.637B,6.145B,35.80B,1.918B,9.538B,12.52B,29.66B,26.26B,17.15B,7.373B,6.078B,1.394B
KR,2017-01,-715.00M,1.232B,21.48B,2.252B,221.00M,0.54,0.53,4.184B,40.59B,6.128B,2017-01,6.561B,506.00M,-126.00M,-126.00M,21.02B,1.927B,11.82B,874.00M,7.052B,732.00M,230.00M,27.61B,4.682B,6.698B,36.50B,1.918B,10.34B,12.86B,29.80B,26.16B,16.94B,5.254B,5.818B,1.649B
KR,2016-10,-728.00M,1.417B,20.65B,3.019B,0,0.41,0.41,4.199B,20.97B,5.904B,2016-10,6.976B,391.00M,-124.00M,-124.00M,20.97B,1.759B,10.82B,713.00M,7.463B,589.00M,206.00M,26.56B,4.642B,6.612B,36.51B,1.918B,10.40B,14.12B,29.88B,26.10B,15.75B,5.191B,6.31B,1.488B
KR,2016-07,-782.00M,1.278B,20.70B,2.779B,0,0.4,0.4,3.788B,20.69B,5.868B,2016-07,6.12B,383.00M,-116.00M,-116.00M,20.69B,1.649B,9.641B,665.00M,6.937B,549.00M,171.00M,26.56B,4.678B,6.576B,34.66B,1.918B,9.244B,13.52B,28.06B,25.42B,14.54B,5.203B,5.723B,1.316B
KR,2016-04,-703.00M,1.283B,26.67B,2.676B,0,0.72,0.71,3.787B,20.16B,7.935B,2016-04,6.066B,696.00M,-155.00M,-155.00M,20.16B,1.739B,9.71B,1.20B,7.048B,1.045B,350.00M,34.60B,6.041B,6.406B,33.80B,1.918B,9.216B,13.14B,27.35B,24.58B,14.21B,6.735B,5.846B,1.314B
KR,2016-01,-680.00M,1.20B,20.19B,2.37B,221.00M,0.57,0.57,3.777B,37.67B,5.972B,2016-01,6.168B,559.00M,-113.00M,-113.00M,19.62B,1.752B,9.709B,928.00M,7.154B,815.00M,250.00M,26.16B,4.536B,6.82B,33.90B,1.918B,9.892B,12.97B,27.10B,24.00B,14.13B,5.044B,5.728B,1.734B
KR,2015-10,-749.00M,1.236B,19.48B,2.295B,286.00M,0.44,0.43,3.044B,18.93B,5.597B,2015-10,6.324B,428.00M,-107.00M,-107.00M,18.93B,1.096B,8.964B,772.00M,7.153B,665.00M,238.00M,25.08B,4.341B,6.271B,31.91B,1.918B,9.277B,12.95B,25.66B,22.63B,12.71B,4.825B,5.866B,1.253B
KR,2015-07,-759.00M,1.202B,20.06B,1.527B,286.00M,0.44,0.44,3.043B,18.57B,5.474B,2015-07,5.548B,433.00M,-114.00M,-114.00M,18.57B,1.157B,9.743B,774.00M,6.482B,660.00M,227.00M,25.54B,4.223B,5.904B,30.78B,1.918B,8.526B,11.36B,24.90B,22.26B,13.54B,4.70B,5.261B,1.319B
KR,2015-04,-773.00M,1.214B,25.76B,1.591B,286.00M,0.63,0.62,3.047B,18.21B,7.291B,2015-04,5.722B,619.00M,-148.00M,-148.00M,18.21B,1.18B,9.716B,1.102B,6.577B,954.00M,330.00M,33.05B,5.569B,5.557B,30.47B,959.00M,8.583B,11.32B,24.93B,21.88B,13.61B,6.189B,5.431B,1.218B
KR,2015-01,-812.00M,1.256B,19.55B,1.874B,287.00M,0.53,0.52,3.061B,34.54B,5.66B,2015-01,5.688B,518.00M,-115.00M,-115.00M,17.91B,1.209B,9.723B,912.00M,6.343B,797.00M,274.00M,25.21B,4.281B,5.412B,30.50B,1.918B,8.911B,11.39B,25.06B,21.59B,13.66B,4.748B,5.052B,1.266B
KR,2014-10,-435.00M,1.206B,19.76B,1.801B,248.00M,0.37,0.36,3.061B,17.59B,5.223B,2014-10,6.13B,362.00M,-114.00M,-114.00M,17.59B,1.256B,9.735B,651.00M,6.595B,537.00M,172.00M,24.99B,4.116B,5.319B,30.22B,959.00M,8.886B,11.68B,24.88B,21.34B,13.20B,4.572B,5.40B,1.154B
KR,2014-07,-449.00M,1.204B,20.14B,1.494B,248.00M,0.35,0.35,2.83B,17.26B,5.174B,2014-07,5.495B,347.00M,-112.00M,-112.00M,17.26B,1.28B,9.706B,644.00M,6.204B,532.00M,182.00M,25.31B,4.086B,4.997B,29.08B,959.00M,8.295B,10.84B,24.06B,20.78B,13.22B,4.53B,5.076B,1.174B
KR,2014-04,-457.00M,1.202B,26.06B,1.652B,248.00M,0.495,0.49,2.833B,17.03B,6.896B,2014-04,5.648B,501.00M,-147.00M,-147.00M,17.03B,1.325B,9.664B,930.00M,6.358B,783.00M,274.00M,32.96B,5.385B,4.749B,28.91B,959.00M,8.368B,10.92B,24.14B,20.54B,13.22B,5.966B,5.257B,1.108B
