Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
L,2020-12,581.00M,49.76B,37.00M,0,1.38,1.38,1.395B,2020-12,397.00M,1.165B,-111.00M,-111.00M,10.45B,5.088B,10.07B,92.00M,548.00M,111.00M,4.819B,0,17.86B,80.24B,3.00M,57.21B,129.00M,61.06B,68.15B,42.98B,1.199B,92.00M,7.452B
L,2020-09,238.00M,49.33B,35.00M,0,0.5,0.5,765.00M,2020-09,139.00M,1.176B,-137.00M,-137.00M,10.47B,4.864B,10.37B,466.00M,183.00M,21.00M,3.394B,0,17.37B,79.46B,3.00M,57.18B,501.00M,60.84B,67.03B,42.79B,1.169B,466.00M,7.85B
L,2020-06,5.00M,47.98B,47.00M,0,-2.96,-2.96,764.00M,2020-06,-835.00M,1.125B,-123.00M,-123.00M,10.48B,4.727B,9.958B,985.00M,-1.074B,-228.00M,3.521B,0,17.20B,78.44B,3.00M,56.41B,1.032B,60.03B,65.72B,41.95B,66.00M,985.00M,8.431B
L,2020-03,-1.093B,44.73B,2.46B,0,-2.2,-2.2,763.00M,2020-03,-632.00M,1.101B,-144.00M,-144.00M,14.75B,4.706B,9.508B,249.00M,-1.121B,-77.00M,3.099B,0,16.97B,79.25B,3.00M,52.86B,2.709B,60.08B,66.59B,40.83B,2.307B,249.00M,8.136B
L,2019-12,-68.00M,47.15B,77.00M,0,0.74,0.73,1.414B,2019-12,217.00M,1.072B,-142.00M,-142.00M,15.57B,4.947B,11.46B,108.00M,276.00M,65.00M,3.812B,0,19.12B,82.24B,3.00M,54.43B,185.00M,60.31B,70.73B,42.71B,1.617B,108.00M,7.28B
L,2019-09,17.00M,47.47B,87.00M,0,0.24,0.24,772.00M,2019-09,72.00M,995.00M,-144.00M,-144.00M,15.56B,4.848B,11.40B,242.00M,60.00M,21.00M,3.659B,0,19.42B,82.50B,3.00M,55.09B,329.00M,60.24B,71.00B,42.45B,1.512B,242.00M,7.622B
L,2019-06,3.00M,46.77B,87.00M,0,0.82,0.82,768.00M,2019-06,249.00M,985.00M,-164.00M,-164.00M,15.51B,4.822B,11.46B,576.00M,275.00M,50.00M,3.623B,0,19.51B,82.28B,3.00M,54.91B,663.00M,59.88B,70.33B,42.66B,1.494B,576.00M,8.144B
L,2019-03,-390.00M,45.43B,132.00M,0,1.27,1.27,682.00M,2019-03,394.00M,933.00M,-141.00M,-141.00M,15.41B,4.556B,11.23B,307.00M,508.00M,112.00M,3.757B,0,19.04B,80.45B,3.00M,53.44B,439.00M,58.55B,68.86B,42.04B,1.409B,307.00M,8.012B
L,2018-12,-880.00M,43.82B,17.00M,0,-0.51,-0.51,1.276B,2018-12,-165.00M,901.00M,-144.00M,-144.00M,15.51B,4.243B,11.36B,42.00M,-232.00M,-21.00M,3.265B,0,18.52B,78.32B,3.00M,51.38B,59.00M,56.93B,66.80B,41.77B,1.438B,42.00M,7.566B
L,2018-09,-758.00M,43.99B,149.00M,0,0.88,0.88,657.00M,2018-09,278.00M,983.00M,-146.00M,-146.00M,15.47B,911.00M,11.31B,217.00M,354.00M,65.00M,3.608B,0,18.95B,78.72B,3.00M,51.83B,366.00M,56.84B,69.66B,38.12B,1.459B,217.00M,7.836B
L,2018-06,-625.00M,44.67B,181.00M,0,0.72,0.72,658.00M,2018-06,230.00M,976.00M,-143.00M,-143.00M,15.47B,879.00M,11.29B,311.00M,307.00M,59.00M,3.59B,0,18.91B,80.73B,3.00M,52.88B,492.00M,58.87B,71.39B,38.57B,1.454B,311.00M,8.217B
L,2018-03,-417.00M,45.07B,213.00M,0,0.89,0.89,661.00M,2018-03,293.00M,974.00M,-141.00M,-141.00M,15.46B,734.00M,11.26B,280.00M,405.00M,25.00M,3.581B,0,18.53B,80.79B,3.00M,52.96B,493.00M,56.94B,71.78B,38.31B,1.40B,280.00M,7.893B
L,2017-12,-26.00M,46.60B,280.00M,0,1.43,1.43,1.297B,2017-12,481.00M,945.00M,-142.00M,-142.00M,15.43B,1.721B,11.25B,60.00M,461.00M,-70.00M,3.555B,0,19.20B,79.59B,3.00M,53.80B,340.00M,55.02B,70.66B,39.01B,1.388B,60.00M,7.20B
