Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LB,2021-01,83.00M,3.903B,2.511B,594.00M,361.00M,3.031,3.03,1.039B,8.762B,2.307B,2021-01,1.273B,860.00M,-116.00M,-116.00M,4.653B,234.00M,8.861B,1.273B,1.341B,1.155B,295.00M,4.818B,1.034B,-662.00M,11.57B,143.00M,5.579B,2.826B,12.23B,5.992B,9.406B,1.034B,863.00M,269.00M
LB,2020-10,48.00M,2.622B,1.696B,636.00M,330.00M,1.19,1.17,1.039B,8.87B,1.359B,2020-10,1.865B,331.00M,-121.00M,-121.00M,4.789B,191.00M,9.017B,581.00M,2.694B,410.00M,79.00M,3.055B,778.00M,-1.568B,11.16B,143.00M,4.927B,3.33B,12.72B,6.234B,9.395B,778.00M,1.215B,297.00M
LB,2020-07,49.00M,2.611B,1.608B,1.084B,316.00M,-0.18,-0.18,1.039B,8.911B,711.00M,2020-07,1.476B,-49.00M,-104.00M,-104.00M,4.927B,191.00M,8.967B,44.00M,2.349B,-60.00M,-11.00M,2.319B,667.00M,-1.908B,10.88B,143.00M,4.505B,3.433B,12.78B,6.375B,9.351B,667.00M,1.009B,268.00M
LB,2020-04,51.00M,957.00M,1.366B,1.058B,0,-1.07,-1.07,1.039B,9.124B,288.00M,2020-04,1.491B,-297.00M,-97.00M,-97.00M,5.246B,198.00M,7.979B,-318.00M,1.625B,-412.00M,-115.00M,1.654B,606.00M,-1.861B,9.439B,143.00M,2.849B,2.683B,11.30B,6.59B,8.614B,606.00M,799.00M,229.00M
LB,2020-01,52.00M,1.499B,2.914B,539.00M,0,-0.7,-0.7,1.039B,9.666B,1.793B,2020-01,1.287B,-192.00M,-92.00M,-92.00M,5.539B,219.00M,8.539B,801.00M,1.264B,-6.00M,186.00M,4.707B,992.00M,-1.499B,10.12B,142.00M,3.245B,2.372B,11.62B,6.88B,9.248B,992.00M,855.00M,306.00M
LB,2019-10,53.00M,340.00M,1.936B,535.00M,0,-0.91,-0.91,1.729B,9.579B,741.00M,2019-10,2.032B,-252.00M,-92.00M,-92.00M,5.701B,246.00M,8.585B,-151.00M,2.008B,-277.00M,-25.00M,2.677B,892.00M,-1.242B,10.63B,142.00M,2.926B,2.543B,11.87B,7.704B,9.325B,892.00M,1.028B,295.00M
LB,2019-07,49.00M,853.00M,1.919B,531.00M,0,0.14,0.14,1.759B,10.02B,983.00M,2019-07,1.329B,38.00M,-95.00M,-95.00M,5.965B,241.00M,8.64B,175.00M,1.685B,42.00M,4.00M,2.902B,808.00M,-933.00M,10.62B,142.00M,2.653B,2.216B,11.55B,7.965B,9.331B,808.00M,766.00M,283.00M
LB,2019-04,55.00M,1.146B,1.695B,515.00M,0,0.15,0.14,1.759B,10.02B,934.00M,2019-04,1.357B,40.00M,-99.00M,-99.00M,6.065B,238.00M,8.983B,153.00M,1.682B,60.00M,20.00M,2.629B,781.00M,-902.00M,11.00B,142.00M,2.947B,2.197B,11.90B,8.051B,9.699B,781.00M,810.00M,274.00M
LB,2019-01,59.00M,1.413B,2.884B,72.00M,0,-0.6954,-0.7,1.759B,6.733B,1.968B,2019-01,1.248B,540.00M,-93.00M,-93.00M,2.818B,226.00M,5.739B,899.00M,1.356B,711.00M,171.00M,4.852B,1.069B,-869.00M,8.09B,141.00M,3.26B,1.986B,8.955B,4.83B,6.969B,1.069B,910.00M,367.00M
LB,2018-10,11.00M,348.00M,1.847B,56.00M,0,-0.16,-0.16,1.759B,6.827B,928.00M,2018-10,1.963B,-43.00M,-96.00M,-96.00M,2.934B,234.00M,5.814B,54.00M,2.086B,-41.00M,2.00M,2.775B,874.00M,-1.314B,7.829B,142.00M,2.933B,2.142B,9.141B,4.896B,6.999B,874.00M,1.068B,321.00M
