Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LDOS,2020-12,-46.00M,524.00M,2.761B,100.00M,481.00M,1.39,1.37,7.529B,1.58B,491.00M,2020-12,276.00M,197.00M,-46.00M,-46.00M,1.185B,234.00M,5.208B,304.00M,1.997B,245.00M,48.00M,3.252B,187.00M,3.862B,12.51B,0,3.339B,2.907B,8.64B,9.172B,5.733B,187.00M,731.00M,2.144B
LDOS,2020-09,-98.00M,512.00M,2.774B,401.00M,400.00M,1.15,1.13,7.493B,1.158B,468.00M,2020-09,292.00M,163.00M,-44.00M,-44.00M,1.158B,216.00M,4.674B,268.00M,2.997B,214.00M,51.00M,3.242B,200.00M,3.706B,12.28B,0,3.199B,3.398B,8.57B,9.086B,5.172B,200.00M,2.279B,1.872B
LDOS,2020-06,-127.00M,588.00M,2.531B,854.00M,276.00M,1.08,1.06,7.526B,1.128B,383.00M,2020-06,294.00M,153.00M,-41.00M,-41.00M,1.128B,194.00M,4.677B,188.00M,2.575B,192.00M,38.00M,2.914B,195.00M,3.538B,12.14B,0,3.052B,3.429B,8.596B,9.091B,5.167B,195.00M,2.034B,1.789B
LDOS,2020-03,-185.00M,445.00M,2.494B,1.793B,0,0.81,0.8,6.669B,1.029B,395.00M,2020-03,72.00M,115.00M,-48.00M,-48.00M,1.029B,176.00M,2.944B,198.00M,2.497B,130.00M,15.00M,2.889B,197.00M,3.355B,10.99B,0,2.868B,4.29B,7.629B,8.12B,3.339B,197.00M,1.966B,1.793B
LDOS,2019-12,-70.00M,668.00M,2.527B,61.00M,0,1.27,1.26,5.442B,1.03B,427.00M,2019-12,456.00M,181.00M,-34.00M,-34.00M,687.00M,184.00M,3.251B,256.00M,1.669B,227.00M,46.00M,2.954B,171.00M,3.413B,9.367B,0,2.812B,2.333B,5.95B,6.555B,3.617B,171.00M,592.00M,1.74B
LDOS,2019-09,-108.00M,635.00M,2.45B,77.00M,0,1.13,1.11,5.46B,948.00M,385.00M,2019-09,0,161.00M,-28.00M,-28.00M,622.00M,196.00M,3.234B,208.00M,2.45B,214.00M,52.00M,2.835B,177.00M,3.246B,9.41B,0,2.924B,2.527B,6.16B,6.486B,3.633B,177.00M,2.004B,1.775B
LDOS,2019-06,-73.00M,660.00M,2.348B,65.00M,0,0.94,0.93,5.432B,921.00M,380.00M,2019-06,0,136.00M,-33.00M,-33.00M,599.00M,185.00M,3.239B,205.00M,2.181B,179.00M,41.00M,2.728B,175.00M,3.359B,9.327B,0,2.914B,2.246B,5.965B,6.413B,3.719B,175.00M,1.71B,1.842B
LDOS,2019-03,-35.00M,536.00M,2.221B,66.00M,0,1.3,1.29,5.484B,942.00M,356.00M,2019-03,0,189.00M,-38.00M,-38.00M,626.00M,194.00M,3.271B,190.00M,2.256B,246.00M,57.00M,2.577B,166.00M,3.294B,9.36B,0,2.86B,2.322B,6.063B,6.50B,3.741B,166.00M,1.893B,1.894B
LDOS,2018-12,-30.00M,327.00M,2.278B,72.00M,0,1.27,1.25,5.512B,586.00M,369.00M,2018-12,0,188.00M,-34.00M,-34.00M,237.00M,170.00M,3.052B,187.00M,1.44B,150.00M,-38.00M,2.647B,182.00M,3.308B,8.77B,0,2.839B,2.059B,5.459B,5.931B,3.40B,182.00M,547.00M,1.918B
LDOS,2018-09,13.00M,515.00M,2.174B,56.00M,0,0.97,0.96,5.583B,571.00M,401.00M,2018-09,0,147.00M,-35.00M,-35.00M,230.00M,232.00M,2.985B,207.00M,2.013B,170.00M,23.00M,2.575B,194.00M,3.454B,8.908B,0,2.881B,2.093B,5.451B,6.027B,3.358B,194.00M,1.603B,1.812B
LDOS,2018-06,23.00M,303.00M,2.152B,71.00M,293.00M,0.95,0.94,5.636B,550.00M,377.00M,2018-06,458.00M,144.00M,-35.00M,-35.00M,221.00M,211.00M,2.99B,203.00M,1.922B,165.00M,20.00M,2.529B,174.00M,3.416B,8.77B,0,2.639B,2.015B,5.352B,6.131B,3.337B,174.00M,1.476B,1.779B
LDOS,2018-03,56.00M,215.00M,2.086B,81.00M,246.00M,0.67,0.66,5.782B,553.00M,357.00M,2018-03,506.00M,102.00M,-34.00M,-34.00M,227.00M,221.00M,3.007B,179.00M,2.022B,125.00M,23.00M,2.443B,178.00M,3.431B,8.913B,0,2.635B,2.103B,5.479B,6.278B,3.376B,178.00M,1.643B,1.914B
LDOS,2017-12,33.00M,390.00M,2.179B,55.00M,0,0.75,0.74,5.83B,546.00M,337.00M,2017-12,487.00M,114.00M,-35.00M,-35.00M,232.00M,220.00M,3.056B,161.00M,1.609B,34.00M,-79.00M,2.516B,176.00M,3.37B,8.99B,0,2.674B,2.202B,5.607B,6.316B,3.405B,176.00M,578.00M,1.895B
