Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LEG,2020-12,-52.40M,348.90M,923.40M,93.30M,19.40M,0.76,0.76,2.090B,2.342B,258.60M,2020-12,645.50M,103.20M,-18.80M,-18.80M,946.40M,215.20M,1.971B,141.50M,828.50M,130.90M,27.70M,1.182B,103.80M,1.390B,4.754B,2.00M,1.612B,1.006B,3.364B,3.142B,2.358B,117.10M,714.40M,563.60M
LEG,2020-09,-87.40M,245.00M,940.80M,93.00M,11.90M,0.77,0.77,2.095B,2.317B,266.80M,2020-09,585.30M,104.80M,-20.40M,-20.40M,950.10M,204.60M,2.034B,152.00M,764.80M,126.90M,22.00M,1.208B,105.60M,1.300B,4.664B,2.00M,1.518B,947.40M,3.364B,3.146B,2.416B,114.80M,494.10M,642.30M
LEG,2020-06,-117.20M,208.80M,698.80M,92.90M,11.80M,-0.05,-0.05,2.104B,2.295B,146.30M,2020-06,574.10M,-6.10M,-20.40M,-20.40M,965.30M,212.20M,2.212B,32.80M,601.90M,2.40M,8.50M,845.10M,97.20M,1.214B,4.582B,2.00M,1.410B,775.50M,3.368B,3.172B,2.592B,113.50M,361.40M,577.30M
LEG,2020-03,-147.30M,505.80M,822.70M,90.80M,0,0.34,0.34,2.135B,2.263B,222.80M,2020-03,655.50M,45.70M,-20.00M,-20.00M,964.80M,197.10M,2.533B,88.60M,673.10M,60.70M,15.00M,1.046B,117.80M,1.238B,4.982B,2.00M,1.782B,854.70M,3.743B,3.20B,2.889B,134.20M,429.10M,568.20M
LEG,2019-12,-76.80M,247.60M,872.50M,90.40M,0,0.642,0.64,2.170B,2.314B,272.40M,2019-12,636.70M,86.80M,-20.30M,-20.30M,993.90M,236.90M,2.188B,138.80M,743.60M,114.80M,27.90M,1.145B,117.60M,1.312B,4.816B,2.00M,1.538B,928.10M,3.504B,3.278B,2.576B,133.60M,619.00M,591.90M
LEG,2019-09,-95.80M,242.00M,963.80M,89.20M,0,0.74,0.74,2.163B,2.266B,275.50M,2019-09,635.80M,99.60M,-21.10M,-21.10M,973.30M,217.10M,2.316B,144.00M,737.90M,123.00M,23.40M,1.239B,115.20M,1.255B,4.858B,2.00M,1.605B,920.80M,3.602B,3.253B,2.681B,131.50M,467.30M,677.30M
LEG,2019-06,-62.20M,289.70M,943.50M,89.80M,0,0.64,0.64,2.188B,2.278B,269.70M,2019-06,656.70M,86.20M,-21.90M,-21.90M,987.70M,218.80M,2.495B,134.50M,716.20M,114.10M,27.80M,1.213B,118.30M,1.238B,5.002B,2.00M,1.703B,900.30M,3.763B,3.299B,2.863B,135.20M,452.90M,700.30M
LEG,2019-03,-64.40M,263.30M,922.10M,89.50M,0,0.46,0.45,2.203B,2.234B,233.00M,2019-03,676.80M,61.20M,-20.00M,-20.00M,968.20M,216.10M,2.529B,100.30M,679.30M,78.20M,17.10M,1.155B,118.60M,1.195B,4.954B,2.00M,1.659B,867.00M,3.759B,3.295B,2.892B,132.70M,431.20M,665.30M
LEG,2018-12,-77.60M,268.10M,833.50M,1.20M,0,0.3955,0.39,1.012B,1.981B,213.20M,2018-12,633.90M,53.00M,-15.80M,-15.80M,728.50M,113.50M,1.168B,96.10M,717.30M,68.20M,15.10M,1.047B,111.90M,1.157B,3.382B,2.00M,1.525B,815.70M,2.224B,1.857B,1.409B,117.10M,606.70M,571.60M
LEG,2018-09,-58.70M,363.50M,864.40M,3.60M,0,0.67,0.67,1.029B,1.971B,227.10M,2018-09,634.00M,90.00M,-11.10M,-11.10M,723.00M,87.60M,1.353B,121.20M,698.20M,113.30M,23.30M,1.092B,100.70M,1.166B,3.549B,2.00M,1.667B,784.90M,2.383B,1.882B,1.598B,105.90M,428.70M,625.50M
LEG,2018-06,-48.70M,446.40M,871.50M,153.70M,12.70M,0.63,0.63,1.022B,1.940B,231.00M,2018-06,634.20M,85.00M,-13.60M,-13.60M,709.30M,89.00M,1.298B,118.10M,705.00M,107.50M,22.40M,1.102B,107.80M,1.128B,3.644B,2.00M,1.783B,936.90M,2.515B,1.861B,1.578B,112.90M,450.60M,649.80M
LEG,2018-03,9.90M,494.60M,811.40M,154.00M,14.40M,0.58,0.57,1.038B,1.946B,217.40M,2018-03,610.60M,77.90M,-12.00M,-12.00M,710.10M,92.70M,1.239B,107.70M,731.10M,95.40M,17.50M,1.029B,104.70M,1.196B,3.692B,2.00M,1.814B,978.10M,2.496B,1.878B,1.518B,109.70M,433.40M,658.20M
LEG,2017-12,-9.50M,526.10M,776.00M,153.80M,0,0.2677,0.2677,991.30M,1.877B,208.50M,2017-12,571.10M,36.30M,-9.90M,-9.90M,663.90M,112.40M,1.098B,109.50M,676.20M,110.60M,74.20M,984.50M,94.30M,1.190B,3.551B,2.00M,1.766B,976.20M,2.36B,1.784B,1.384B,99.00M,571.50M,595.10M
LEG,2017-09,-36.90M,342.90M,793.20M,153.30M,0,0.61,0.6,993.20M,1.840B,216.50M,2017-09,558.00M,82.60M,-8.50M,-8.50M,644.30M,63.00M,1.044B,114.90M,645.80M,100.70M,17.20M,1.010B,95.40M,1.172B,3.324B,2.00M,1.550B,891.50M,2.151B,1.774B,1.259B,101.60M,381.80M,585.80M
LEG,2017-06,-63.80M,335.10M,758.60M,3.40M,0,0.64,0.64,992.50M,1.830B,230.70M,2017-06,580.00M,87.60M,-8.90M,-8.90M,616.20M,57.00M,1.184B,121.30M,652.00M,113.40M,25.80M,989.30M,104.70M,1.133B,3.282B,2.00M,1.540B,741.70M,2.148B,1.741B,1.406B,109.40M,388.30M,577.70M
LEG,2017-03,-96.20M,268.60M,733.60M,3.40M,0,0.63,0.62,987.30M,1.775B,226.70M,2017-03,556.20M,86.10M,-8.60M,-8.60M,588.80M,51.90M,1.120B,115.50M,629.50M,107.30M,21.20M,960.30M,106.10M,1.064B,3.120B,2.00M,1.413B,716.60M,2.054B,1.706B,1.338B,111.20M,387.80M,555.40M
LEG,2016-12,-113.60M,281.90M,697.00M,3.60M,0,0.5943,0.59,956.20M,1.731B,206.70M,2016-12,519.60M,81.60M,-8.20M,-8.20M,565.50M,87.40M,956.20M,104.90M,588.20M,110.00M,27.00M,903.70M,97.00M,1.092B,2.984B,2.00M,1.325B,706.60M,1.890B,1.659B,1.184B,101.80M,494.50M,486.60M
LEG,2016-09,-77.20M,317.30M,721.50M,1.00M,0,0.68,0.67,978.20M,1.724B,227.40M,2016-09,518.60M,93.50M,-9.00M,-9.00M,554.10M,53.40M,1.055B,128.30M,599.10M,121.20M,27.60M,948.90M,93.90M,1.101B,3.070B,2.00M,1.413B,686.90M,1.967B,1.657B,1.280B,99.10M,334.90M,543.80M
LEG,2016-06,-77.00M,284.80M,724.90M,3.60M,0,0.88,0.87,975.30M,1.709B,234.00M,2016-06,523.40M,121.20M,-9.30M,-9.30M,553.10M,44.60M,1.044B,129.50M,606.70M,137.20M,37.70M,958.90M,99.70M,1.063B,3.032B,2.00M,1.380B,699.00M,1.966B,1.652B,1.267B,104.50M,339.80M,534.70M
LEG,2016-03,-61.50M,250.20M,704.80M,3.50M,0,0.64,0.63,997.30M,1.719B,233.60M,2016-03,522.10M,89.50M,-8.40M,-8.40M,554.70M,44.10M,1.032B,123.40M,588.40M,118.70M,27.70M,938.40M,105.10M,1.079B,3.024B,2.00M,1.342B,680.00M,1.933B,1.682B,1.253B,110.20M,332.10M,531.30M
