Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LHX,2020-12,-839.00M,1.276B,3.261B,10.00M,1.198B,0.92,0.91,26.78B,4.635B,1.399B,2020-12,973.00M,193.00M,-64.00M,-64.00M,2.868B,1.237B,7.642B,568.00M,2.523B,247.00M,63.00M,4.66B,831.00M,20.72B,36.96B,208.00M,6.667B,4.24B,16.12B,30.29B,11.88B,831.00M,1.455B,4.076B
LHX,2020-09,-590.00M,1.341B,3.152B,668.00M,1.089B,2,1.98,27.16B,4.614B,1.311B,2020-09,894.00M,426.00M,-62.00M,-62.00M,2.925B,1.402B,6.998B,494.00M,2.483B,518.00M,87.00M,4.463B,817.00M,21.31B,37.14B,210.00M,6.393B,4.666B,15.71B,30.75B,11.04B,817.00M,1.244B,3.741B
LHX,2020-06,-624.00M,1.947B,3.175B,668.00M,1.106B,1.31,1.3,27.35B,4.544B,1.27B,2020-06,859.00M,283.00M,-65.00M,-65.00M,2.905B,1.466B,7.046B,366.00M,2.369B,336.00M,58.00M,4.445B,904.00M,22.10B,37.85B,216.00M,6.926B,4.587B,15.63B,30.93B,11.04B,904.00M,1.151B,3.632B
LHX,2020-03,-651.00M,663.00M,3.298B,898.00M,1.138B,1,0.99,27.44B,4.371B,1.328B,2020-03,990.00M,217.00M,-63.00M,-63.00M,2.816B,1.402B,7.023B,513.00M,2.554B,221.00M,26.00M,4.626B,815.00M,21.90B,38.10B,216.00M,7.211B,5.123B,16.08B,30.89B,10.96B,815.00M,1.459B,3.95B
LHX,2019-09,-756.00M,1.001B,3.242B,659.00M,1.21B,1.93,1.9,28.26B,4.47B,1.189B,2019-09,1.339B,429.00M,-58.00M,-58.00M,3.007B,1.192B,7.138B,190.00M,2.328B,440.00M,5.00M,4.431B,999.00M,22.77B,38.95B,222.00M,7.027B,4.718B,16.02B,31.92B,11.30B,999.00M,1.447B,4.191B
LHX,2019-06,-707.00M,530.00M,1.223B,759.00M,496.00M,2.26,2.2,6.21B,2.287B,642.00M,2019-06,360.00M,268.00M,-39.00M,-39.00M,894.00M,12.00M,2.763B,293.00M,816.00M,302.00M,33.00M,1.865B,349.00M,3.363B,10.12B,119.00M,2.578B,2.268B,6.754B,7.539B,4.486B,349.00M,533.00M,1.455B
LHX,2019-03,-217.00M,334.00M,1.139B,109.00M,466.00M,2.06,2.02,6.273B,2.28B,589.00M,2019-03,433.00M,243.00M,-42.00M,-42.00M,904.00M,59.00M,3.412B,279.00M,855.00M,283.00M,40.00M,1.728B,310.00M,3.607B,9.792B,118.00M,2.285B,1.606B,6.185B,7.507B,4.579B,310.00M,539.00M,1.411B
LHX,2018-12,-211.00M,343.00M,1.095B,408.00M,479.00M,1.91,1.87,6.30B,2.233B,571.00M,2018-12,425.00M,225.00M,-43.00M,-43.00M,901.00M,60.00M,3.411B,267.00M,807.00M,271.00M,46.00M,1.666B,304.00M,3.412B,9.852B,118.00M,2.311B,1.822B,6.44B,7.541B,4.618B,304.00M,532.00M,1.425B
LHX,2018-09,-202.00M,305.00M,1.01B,599.00M,410.00M,1.81,1.77,6.333B,2.213B,532.00M,2018-09,413.00M,213.00M,-43.00M,-43.00M,898.00M,84.00M,3.41B,253.00M,822.00M,257.00M,41.00M,1.542B,279.00M,3.244B,9.889B,118.00M,2.288B,1.956B,6.645B,7.601B,4.689B,279.00M,501.00M,1.453B
LHX,2018-06,-202.00M,288.00M,1.097B,382.00M,372.00M,1.83,1.79,6.361B,2.183B,564.00M,2018-06,411.00M,213.00M,-45.00M,-45.00M,900.00M,79.00M,3.408B,272.00M,954.00M,247.00M,39.00M,1.661B,292.00M,3.278B,9.851B,118.00M,2.224B,1.85B,6.573B,7.627B,4.723B,292.00M,637.00M,1.422B
LHX,2018-03,-249.00M,443.00M,1.028B,828.00M,296.00M,1.65,1.62,6.396B,2.139B,534.00M,2018-03,963.00M,196.00M,-41.00M,-41.00M,879.00M,49.00M,3.391B,203.00M,870.00M,208.00M,10.00M,1.562B,331.00M,3.137B,10.07B,119.00M,2.414B,2.146B,6.933B,7.656B,4.787B,331.00M,516.00M,892.00M
LHX,2017-12,-254.00M,422.00M,1.022B,528.00M,290.00M,1.1,1.08,6.422B,2.108B,513.00M,2017-12,942.00M,131.00M,-41.00M,-41.00M,878.00M,34.00M,3.391B,222.00M,803.00M,225.00M,94.00M,1.535B,291.00M,2.994B,9.856B,119.00M,2.132B,1.741B,6.862B,7.724B,5.121B,291.00M,500.00M,666.00M
LHX,2017-09,-250.00M,388.00M,919.00M,602.00M,264.00M,1.33,1.31,6.453B,2.097B,491.00M,2017-09,896.00M,159.00M,-41.00M,-41.00M,890.00M,35.00M,3.395B,223.00M,922.00M,228.00M,63.00M,1.41B,268.00M,2.987B,10.10B,119.00M,2.127B,1.918B,7.112B,7.972B,5.194B,268.00M,580.00M,730.00M
LHX,2017-06,-276.00M,484.00M,1.079B,634.00M,252.00M,1.09,1.07,6.47B,2.071B,460.00M,2017-06,841.00M,121.00M,-41.00M,-41.00M,904.00M,34.00M,3.396B,95.00M,900.00M,218.00M,62.00M,1.539B,365.00M,2.928B,10.09B,120.00M,2.073B,1.926B,7.162B,8.017B,5.236B,365.00M,571.00M,647.00M
LHX,2017-03,-461.00M,302.00M,958.00M,354.00M,231.00M,0.7,0.69,6.503B,1.999B,531.00M,2017-03,894.00M,85.00M,-42.00M,-42.00M,895.00M,5.00M,3.859B,275.00M,782.00M,233.00M,69.00M,1.489B,256.00M,2.914B,11.11B,122.00M,2.876B,1.732B,8.193B,8.231B,6.461B,256.00M,436.00M,782.00M
LHX,2016-12,-523.00M,361.00M,920.00M,313.00M,260.00M,1.42,1.4,7.285B,2.048B,529.00M,2016-12,1.001B,177.00M,-43.00M,-43.00M,908.00M,4.00M,4.087B,277.00M,895.00M,235.00M,72.00M,1.449B,252.00M,3.157B,11.62B,124.00M,2.612B,1.665B,8.46B,9.006B,6.795B,252.00M,555.00M,773.00M
LHX,2016-09,-497.00M,284.00M,897.00M,399.00M,289.00M,1.29,1.27,7.495B,2.20B,523.00M,2016-09,962.00M,160.00M,-44.00M,-44.00M,988.00M,5.00M,4.087B,246.00M,996.00M,203.00M,58.00M,1.42B,277.00M,3.053B,11.78B,124.00M,2.425B,1.856B,8.724B,9.353B,6.868B,277.00M,557.00M,997.00M
LHX,2016-06,-495.00M,487.00M,937.00M,397.00M,294.00M,1.29,1.28,6.583B,1.933B,596.00M,2016-06,867.00M,160.00M,-43.00M,-43.00M,924.00M,4.00M,4.12B,250.00M,877.00M,217.00M,75.00M,1.533B,346.00M,3.056B,12.01B,125.00M,2.624B,1.981B,8.952B,9.385B,6.971B,346.00M,498.00M,749.00M
LHX,2016-03,-70.00M,302.00M,1.009B,474.00M,335.00M,1.35,1.34,7.516B,2.127B,541.00M,2016-03,992.00M,168.00M,-46.00M,-46.00M,1.007B,8.00M,4.319B,268.00M,930.00M,221.00M,62.00M,1.55B,273.00M,3.366B,11.90B,124.00M,2.866B,2.012B,8.533B,9.034B,6.521B,273.00M,543.00M,1.198B
LHX,2015-12,-66.00M,511.00M,1.203B,583.00M,366.00M,-1.23,-1.23,7.632B,2.299B,545.00M,2015-12,1.07B,-152.00M,-46.00M,-46.00M,1.102B,75.00M,4.443B,328.00M,988.00M,282.00M,85.00M,1.748B,217.00M,3.251B,12.10B,124.00M,2.835B,2.139B,8.845B,9.262B,6.706B,217.00M,566.00M,1.091B
LHX,2015-09,-48.00M,320.00M,1.22B,180.00M,434.00M,1.2,1.18,8.05B,2.322B,591.00M,2015-09,1.107B,148.00M,-47.00M,-47.00M,1.15B,81.00M,4.901B,262.00M,999.00M,216.00M,68.00M,1.811B,329.00M,3.462B,12.56B,124.00M,3.053B,1.871B,9.101B,9.511B,7.23B,329.00M,525.00M,1.108B
LHX,2015-06,-16.00M,481.00M,46.00M,163.00M,700.00M,-0.51,-0.51,8.123B,2.313B,291.00M,2015-06,1.015B,-56.00M,-51.00M,-51.00M,1.165B,12.00M,5.053B,11.00M,1.128B,-148.00M,-45.00M,337.00M,280.00M,3.397B,13.13B,124.00M,3.183B,2.274B,9.725B,9.944B,7.451B,280.00M,638.00M,1.255B
LHX,2015-03,-139.10M,487.70M,754.00M,27.30M,241.10M,1.21,1.2,1.872B,1.798B,433.00M,2015-03,635.70M,126.00M,-34.00M,-34.00M,705.50M,74.00M,1.576B,213.00M,600.80M,179.00M,53.00M,1.187B,220.00M,1.841B,4.834B,104.20M,2.022B,1.048B,2.994B,2.812B,1.946B,220.00M,299.00M,668.10M
