Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LKQ,2020-12,-99.01M,312.15M,1.784B,280.31M,0,0.6,0.6,5.406B,3.497B,1.170B,2020-12,2.415B,181.01M,-13.26M,-13.26M,2.602B,291.42M,4.011B,282.46M,1.476B,246.87M,68.71M,2.954B,814.99M,5.656B,12.36B,3.208M,4.034B,1.988B,6.689B,8.327B,4.701B,887.39M,932.41M,1.073B
LKQ,2020-09,-209.72M,421.38M,1.849B,316.51M,0,0.64,0.64,5.273B,2.488B,1.199B,2020-09,2.246B,193.48M,-25.18M,-25.18M,2.488B,304.90M,4.132B,315.99M,1.401B,268.33M,78.51M,3.048B,813.89M,5.388B,12.16B,3.208M,4.103B,1.926B,6.746B,8.059B,4.819B,882.55M,847.73M,1.175B
LKQ,2020-06,-279.76M,476.43M,1.615B,309.38M,0,0.39,0.39,5.176B,2.469B,1.011B,2020-06,2.288B,118.79M,-25.62M,-25.62M,2.469B,299.87M,4.270B,207.89M,1.469B,163.01M,41.87M,2.626B,737.37M,5.119B,12.04B,3.205M,4.107B,1.950B,6.887B,7.928B,4.938B,803.12M,1.031B,1.126B
LKQ,2020-03,-313.90M,332.78M,1.787B,309.96M,0,0.47,0.47,5.154B,2.472B,1.214B,2020-03,2.719B,145.14M,-25.93M,-25.93M,2.472B,300.12M,4.777B,248.57M,1.398B,206.79M,60.41M,3.001B,899.81M,4.958B,12.35B,3.204M,4.443B,1.939B,7.367B,7.911B,5.428B,965.31M,893.81M,1.169B
LKQ,2019-12,-200.88M,523.02M,1.814B,547.89M,0,0.46,0.46,5.257B,3.351B,1.196B,2019-12,2.773B,140.39M,19.99M,19.99M,2.543B,310.13M,4.853B,225.32M,1.412B,189.57M,50.21M,3.010B,893.28M,5.009B,12.78B,3.199M,4.688B,2.179B,7.731B,8.092B,5.553B,970.70M,942.80M,1.131B
LKQ,2019-09,-260.75M,433.39M,1.947B,353.72M,0,0.5,0.49,5.147B,2.487B,1.200B,2019-09,2.582B,152.26M,-32.10M,-32.10M,2.487B,296.20M,4.867B,236.69M,1.487B,205.33M,57.75M,3.148B,892.12M,4.818B,12.41B,3.196M,4.484B,2.054B,7.539B,7.928B,5.485B,963.64M,997.87M,1.223B
LKQ,2019-06,-188.55M,375.97M,2.001B,352.14M,0,0.48,0.48,5.290B,2.501B,1.247B,2019-06,2.650B,150.56M,-35.88M,-35.88M,2.501B,303.18M,5.042B,277.98M,1.513B,205.96M,55.82M,3.248B,898.37M,4.840B,12.70B,3.19M,4.632B,2.107B,7.794B,8.072B,5.688B,969.20M,1.032B,1.286B
LKQ,2019-03,-190.85M,316.07M,1.892B,352.46M,0,0.31,0.31,5.244B,2.486B,1.208B,2019-03,2.692B,98.05M,-36.09M,-36.09M,2.486B,305.77M,5.203B,240.73M,1.414B,190.16M,51.55M,3.100B,896.53M,4.799B,12.67B,3.189M,4.645B,1.971B,7.809B,8.021B,5.838B,967.53M,952.69M,1.353B
LKQ,2018-12,-174.95M,331.76M,1.841B,121.83M,0,0.12,0.12,5.310B,1.906B,1.162B,2018-12,2.836B,36.05M,-13.23M,-13.23M,1.220B,311.43M,4.189B,203.27M,1.403B,123.57M,34.97M,3.003B,880.65M,4.782B,11.39B,3.184M,4.521B,1.690B,6.555B,6.872B,4.864B,958.54M,942.40M,1.154B
LKQ,2018-09,-134.79M,341.35M,1.925B,118.36M,0,0.42,0.42,5.429B,1.892B,1.197B,2018-09,2.795B,134.10M,-40.86M,-40.86M,1.201B,325.54M,4.250B,241.35M,1.453B,200.83M,46.07M,3.122B,879.15M,4.840B,11.59B,3.182M,4.593B,1.736B,6.688B,6.992B,4.952B,955.85M,941.75M,1.256B
