Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LMT,2021-03,-16.01B,2.933B,14.04B,506.00M,7.255B,6.58,6.56,13.73B,18.15B,2.222B,2021-03,3.256B,1.837B,-140.00M,-140.00M,7.213B,0,11.66B,2.222B,4.683B,2.211B,374.00M,16.26B,6.312B,51.44B,278.00M,20.25B,14.72B,45.10B,31.18B,30.39B,-36.00M,4.683B,13.12B
LMT,2020-12,-16.12B,3.16B,14.82B,500.00M,7.545B,6.41,6.38,13.82B,16.98B,2.214B,2020-12,3.545B,1.792B,-149.00M,-149.00M,7.213B,0,11.67B,2.204B,4.043B,2.187B,395.00M,17.03B,6.015B,50.71B,279.00M,19.38B,13.93B,44.67B,31.33B,30.74B,127.00M,4.043B,11.52B
LMT,2020-09,-15.26B,3.585B,14.36B,1.00B,7.354B,6.08,6.05,13.60B,16.09B,2.136B,2020-09,3.293B,1.698B,-145.00M,-145.00M,6.803B,0,11.68B,2.136B,4.309B,2.056B,303.00M,16.50B,4.953B,50.77B,278.00M,20.29B,15.20B,45.79B,30.48B,30.59B,0,4.309B,12.87B
LMT,2020-06,-15.40B,2.855B,14.01B,500.00M,7.481B,5.81,5.79,13.66B,0,2.213B,2020-06,3.521B,1.626B,-149.00M,-149.00M,6.663B,0,12.17B,2.086B,3.941B,1.962B,336.00M,16.22B,3.751B,49.60B,278.00M,19.57B,14.89B,45.82B,30.03B,30.93B,-15.00M,3.941B,12.66B
LMT,2020-03,-15.54B,1.988B,13.56B,1.25B,7.205B,6.1,6.08,13.71B,0,2.091B,2020-03,3.539B,1.717B,-148.00M,-148.00M,6.605B,0,11.44B,2.091B,5.188B,2.03B,313.00M,15.65B,3.446B,49.25B,279.00M,19.22B,15.65B,45.76B,30.03B,30.11B,0,5.188B,13.08B
LMT,2019-12,-15.55B,1.514B,13.76B,1.25B,7.054B,5.32,5.29,13.82B,0,2.123B,2019-12,3.619B,1.498B,-157.00M,-157.00M,6.591B,0,11.40B,2.301B,3.747B,1.832B,334.00M,15.88B,3.127B,47.53B,280.00M,17.10B,13.97B,44.36B,30.43B,30.38B,0,3.747B,11.43B
LMT,2019-09,-13.65B,2.539B,13.11B,900.00M,6.777B,5.7,5.66,14.04B,0,2.063B,2019-09,3.474B,1.608B,-162.00M,-162.00M,6.24B,0,12.65B,2.063B,5.212B,1.781B,173.00M,15.17B,3.893B,49.28B,281.00M,19.80B,15.52B,45.34B,29.47B,29.82B,0,5.212B,13.39B
LMT,2019-06,-13.84B,1.167B,12.43B,900.00M,6.766B,5.03,5,14.13B,0,1.993B,2019-06,3.599B,1.42B,-163.00M,-163.00M,6.17B,0,12.64B,2.008B,4.688B,1.683B,263.00M,14.43B,2.85B,47.84B,281.00M,18.10B,15.13B,44.94B,29.74B,29.81B,0,4.688B,12.93B
LMT,2019-03,-14.09B,991.00M,12.15B,1.30B,6.796B,6.03,5.99,14.19B,0,2.188B,2019-03,3.285B,1.704B,-171.00M,-171.00M,6.14B,0,12.62B,2.188B,4.958B,1.945B,241.00M,14.34B,2.465B,47.68B,281.00M,18.03B,15.40B,45.16B,29.65B,29.76B,0,4.958B,13.33B
LMT,2018-12,-14.32B,772.00M,12.56B,1.50B,6.491B,4.43,4.39,14.26B,0,1.846B,2018-12,2.997B,1.253B,-171.00M,-171.00M,6.124B,0,12.60B,1.906B,4.524B,1.483B,230.00M,14.41B,1.394B,44.88B,281.00M,16.10B,14.40B,43.43B,28.77B,29.03B,0,4.524B,11.92B
LMT,2018-09,-14.08B,897.00M,12.40B,1.24B,6.489B,5.18,5.14,14.36B,15.36B,1.921B,2018-09,3.05B,1.473B,-177.00M,-177.00M,5.902B,0,13.49B,1.921B,4.856B,1.575B,102.00M,14.32B,943.00M,45.50B,283.00M,16.86B,15.20B,44.49B,28.64B,29.29B,0,4.856B,12.18B
LMT,2018-06,-14.40B,1.181B,11.55B,750.00M,6.413B,4.08,4.05,14.43B,14.88B,1.849B,2018-06,3.038B,1.163B,-165.00M,-165.00M,5.786B,0,13.48B,1.849B,4.726B,1.42B,257.00M,13.40B,416.00M,45.12B,283.00M,16.50B,13.88B,44.65B,28.62B,30.76B,-96.00M,4.726B,11.76B
LMT,2018-03,-14.59B,2.393B,9.977B,750.00M,6.55B,4.05,4.02,14.54B,0,1.658B,2018-03,3.196B,1.157B,-155.00M,-155.00M,5.749B,0,13.47B,1.658B,4.486B,1.36B,203.00M,11.64B,-182.00M,46.63B,284.00M,17.82B,13.97B,46.74B,28.82B,32.77B,0,4.486B,11.78B
LMT,2017-12,-12.54B,2.861B,12.14B,750.00M,7.028B,-2.25,-2.25,14.60B,0,1.709B,2017-12,2.878B,-744.00M,-174.00M,-174.00M,5.775B,0,13.51B,1.709B,3.252B,1.572B,2.389B,13.84B,-850.00M,46.62B,284.00M,17.50B,12.91B,47.40B,29.12B,34.48B,0,3.252B,10.26B
LMT,2017-09,-11.36B,2.941B,10.74B,502.00M,6.195B,3.35,3.32,14.69B,0,1.60B,2017-09,4.803B,963.00M,-162.00M,-162.00M,5.511B,0,14.27B,1.60B,4.743B,1.297B,334.00M,12.34B,2.098B,48.95B,285.00M,17.21B,13.08B,46.77B,31.74B,33.69B,0,4.743B,9.021B
LMT,2017-06,-11.64B,2.452B,10.91B,0,6.46B,3.31,3.28,14.72B,0,1.656B,2017-06,4.941B,955.00M,-160.00M,-160.00M,5.532B,0,14.28B,1.656B,4.35B,1.342B,387.00M,12.56B,1.265B,48.71B,286.00M,16.57B,13.64B,47.36B,32.14B,33.72B,0,4.35B,8.762B
LMT,2017-03,-11.89B,2.216B,9.806B,0,6.572B,2.72,2.69,14.79B,0,1.406B,2017-03,5.074B,789.00M,-155.00M,-155.00M,5.481B,0,14.28B,1.406B,4.365B,1.035B,246.00M,11.21B,1.483B,48.84B,288.00M,16.59B,13.60B,47.25B,32.25B,33.65B,0,4.365B,8.869B
LMT,2016-12,-12.10B,1.837B,12.10B,0,6.776B,3.39,3.35,14.86B,0,1.692B,2016-12,4.67B,859.00M,-171.00M,-171.00M,5.549B,0,14.28B,1.692B,3.417B,1.123B,256.00M,13.79B,1.511B,47.81B,289.00M,15.11B,12.54B,46.20B,32.70B,33.66B,0,3.417B,8.202B
LMT,2016-09,-10.99B,2.895B,10.17B,0,6.83B,8.02,7.93,15.00B,0,1.384B,2016-09,4.852B,2.395B,-162.00M,-162.00M,5.369B,0,14.30B,1.384B,4.696B,1.427B,338.00M,11.55B,2.323B,48.74B,291.00M,17.11B,14.42B,46.31B,31.63B,31.88B,0,4.696B,8.955B
LMT,2016-06,-11.10B,1.269B,10.35B,0,7.236B,3.37,3.32,17.67B,0,1.23B,2016-06,5.136B,1.021B,-165.00M,-165.00M,5.438B,0,14.31B,1.23B,4.79B,1.21B,311.00M,11.58B,2.997B,50.41B,301.00M,16.07B,15.60B,47.41B,34.34B,31.82B,0,4.79B,9.275B
LMT,2016-03,-11.25B,1.452B,9.193B,956.00M,6.856B,2.95,2.91,17.70B,14.27B,1.175B,2016-03,5.223B,898.00M,-165.00M,-165.00M,5.417B,0,14.32B,1.175B,4.678B,994.00M,188.00M,10.37B,3.177B,50.16B,303.00M,15.77B,14.91B,46.98B,34.39B,32.07B,-80.00M,4.678B,8.62B
LMT,2015-12,-11.44B,1.09B,10.32B,956.00M,6.703B,3.05,3.01,14.72B,13.49B,1.204B,2015-12,4.819B,933.00M,-142.00M,-142.00M,5.389B,0,14.30B,1.204B,3.452B,982.00M,165.00M,11.52B,3.097B,49.30B,303.00M,14.57B,13.92B,46.21B,34.73B,32.29B,-67.00M,3.452B,7.254B
LMT,2015-09,-11.32B,3.30B,8.948B,952.00M,5.339B,2.8,2.77,10.83B,13.37B,1.112B,2015-09,3.237B,865.00M,-104.00M,-104.00M,4.677B,0,7.46B,1.112B,4.162B,1.089B,333.00M,10.06B,2.813B,39.62B,306.00M,15.06B,12.98B,36.80B,24.56B,23.82B,-15.00M,4.162B,6.74B
LMT,2015-06,-11.46B,3.202B,10.27B,452.00M,5.549B,2.98,2.94,10.87B,0,1.371B,2015-06,3.032B,929.00M,-104.00M,-104.00M,4.64B,0,7.95B,1.371B,3.824B,1.343B,414.00M,11.64B,2.982B,39.85B,309.00M,15.29B,12.62B,36.87B,24.56B,24.24B,0,3.824B,7.064B
LMT,2015-03,-11.72B,3.486B,8.848B,0,5.548B,2.78,2.74,10.84B,0,1.263B,2015-03,3.087B,878.00M,-93.00M,-93.00M,4.654B,0,8.404B,1.263B,3.667B,1.266B,388.00M,10.11B,3.52B,39.75B,313.00M,15.22B,11.57B,36.23B,24.53B,24.66B,0,3.667B,6.545B
LMT,2014-12,-11.87B,1.446B,6.18B,0,5.775B,2.87,2.82,11.19B,0,696.00M,2014-12,2.804B,904.00M,-87.00M,-87.00M,4.751B,0,6.142B,696.00M,3.386B,677.00M,134.00M,6.876B,3.40B,37.05B,314.00M,12.32B,11.11B,33.65B,24.72B,22.53B,0,3.386B,5.877B
LMT,2014-09,-9.864B,2.963B,9.839B,0,5.904B,2.81,2.76,10.77B,0,1.275B,2014-09,2.898B,888.00M,-82.00M,-82.00M,4.59B,0,6.165B,1.275B,3.919B,1.311B,423.00M,11.11B,4.574B,36.93B,314.00M,13.68B,12.13B,32.36B,23.25B,20.23B,0,3.919B,6.081B
LMT,2014-06,-9.984B,3.436B,9.965B,0,6.199B,2.81,2.76,10.50B,0,1.341B,2014-06,2.646B,889.00M,-85.00M,-85.00M,4.559B,0,6.169B,1.341B,3.769B,1.341B,452.00M,11.31B,4.319B,37.25B,315.00M,14.16B,12.15B,32.93B,23.09B,20.78B,-366.00M,3.769B,6.434B
LMT,2014-03,-9.437B,3.264B,9.279B,0,6.197B,2.92,2.87,10.37B,0,1.371B,2014-03,2.949B,933.00M,-86.00M,-86.00M,4.612B,0,6.152B,1.371B,3.664B,1.348B,415.00M,10.65B,4.80B,36.92B,315.00M,14.23B,12.00B,32.12B,22.68B,20.12B,0,3.664B,6.255B
LMT,2013-12,-9.601B,2.617B,10.43B,0,6.349B,1.53,1.5,10.35B,0,1.104B,2013-12,2.977B,488.00M,-86.00M,-86.00M,4.706B,0,6.152B,1.104B,3.206B,746.00M,258.00M,11.53B,4.918B,36.19B,319.00M,13.33B,11.12B,31.27B,22.86B,20.15B,0,3.206B,5.834B
LMT,2013-09,-12.74B,2.661B,10.16B,150.00M,6.35B,2.72,2.66,10.53B,12.98B,1.184B,2013-09,2.92B,873.00M,-84.00M,-84.00M,4.598B,0,6.156B,1.184B,3.665B,1.173B,331.00M,11.35B,1.277B,38.91B,318.00M,14.12B,12.29B,37.63B,24.79B,25.34B,0,3.665B,6.919B
LMT,2013-06,-13.04B,2.845B,10.18B,150.00M,6.383B,2.68,2.64,10.35B,12.47B,1.224B,2013-06,2.895B,859.00M,-88.00M,-88.00M,4.594B,0,6.14B,1.224B,3.732B,1.211B,352.00M,11.41B,694.00M,38.95B,319.00M,14.38B,12.25B,38.25B,24.57B,26.00B,0,3.732B,6.826B
LMT,2013-03,-13.28B,3.065B,9.999B,150.00M,6.406B,2.37,2.33,10.36B,0,1.071B,2013-03,2.895B,761.00M,-92.00M,-92.00M,4.617B,0,6.154B,1.071B,3.833B,1.025B,264.00M,11.07B,304.00M,39.58B,318.00M,14.87B,12.62B,39.28B,24.71B,26.65B,-30.00M,3.833B,6.968B
LMT,2012-12,-13.49B,1.898B,11.08B,150.00M,6.503B,1.76,1.73,10.37B,0,1.02B,2012-12,2.937B,569.00M,-94.00M,-94.00M,4.675B,0,6.158B,1.02B,3.687B,958.00M,389.00M,12.10B,39.00M,38.66B,321.00M,13.86B,12.16B,38.62B,24.80B,26.46B,-25.00M,3.687B,6.563B
LMT,2012-09,-10.58B,4.652B,10.83B,500.00M,6.396B,2.25,2.21,10.18B,0,1.043B,2012-09,2.878B,727.00M,-97.00M,-97.00M,4.486B,0,6.374B,1.043B,2.184B,1.046B,319.00M,11.87B,2.442B,39.32B,321.00M,15.79B,12.67B,36.88B,23.53B,24.21B,-23.00M,2.184B,6.428B
LMT,2012-06,-10.86B,3.802B,10.75B,0,6.287B,2.41,2.38,10.16B,0,1.172B,2012-06,2.521B,781.00M,-96.00M,-96.00M,4.495B,0,6.343B,1.172B,2.359B,1.117B,336.00M,11.92B,2.204B,38.39B,322.00M,14.80B,12.27B,36.18B,23.59B,23.91B,0,2.359B,6.569B
LMT,2012-03,-11.03B,3.518B,10.28B,0,6.148B,2.06,2.03,10.17B,0,1.009B,2012-03,2.38B,668.00M,-96.00M,-96.00M,4.53B,0,6.472B,1.009B,2.384B,951.00M,283.00M,11.29B,1.573B,38.34B,322.00M,14.56B,12.21B,36.77B,23.78B,24.56B,0,2.384B,6.72B
LMT,2011-12,-11.26B,3.582B,11.05B,0,6.399B,2.11,2.08,10.15B,0,1.164B,2011-12,2.481B,683.00M,-96.00M,-96.00M,4.611B,0,6.46B,1.164B,3.933B,966.00M,268.00M,12.21B,1.001B,37.91B,321.00M,14.09B,12.13B,36.91B,23.81B,24.78B,-343.00M,3.933B,6.064B
LMT,2011-09,-8.567B,4.567B,11.12B,0,5.544B,2.12,2.1,9.606B,0,996.00M,2011-09,1.789B,700.00M,-89.00M,-89.00M,4.428B,0,6.538B,996.00M,2.328B,949.00M,284.00M,12.12B,2.943B,36.19B,321.00M,14.67B,12.14B,33.24B,21.52B,21.10B,0,2.328B,6.523B
LMT,2011-06,-8.671B,3.522B,10.64B,0,6.037B,2.16,2.14,9.615B,0,906.00M,2011-06,2.226B,742.00M,-84.00M,-84.00M,4.421B,0,5.031B,906.00M,2.219B,918.00M,170.00M,11.54B,3.288B,35.72B,333.00M,13.95B,12.06B,32.43B,21.76B,20.37B,0,2.219B,6.547B
