Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LNC,2020-12,8.931B,124.75B,250.00M,0.7435,0.74,1.778B,2020-12,143.00M,19.19B,-160.00M,-160.00M,0,1.00M,6.432B,6.222B,89.00M,-54.00M,4.136B,0,22.70B,365.95B,5.082B,144.84B,6.472B,343.25B,165.13B,8.77B,344.00M,6.222B,16.98B
LNC,2020-09,7.809B,120.85B,0,2.06,2.01,1.778B,2020-09,398.00M,19.07B,-66.00M,-66.00M,0,0,6.714B,6.435B,460.00M,62.00M,5.361B,0,21.55B,347.80B,5.093B,141.19B,6.435B,326.26B,160.06B,8.958B,20.00M,6.435B,17.11B
LNC,2020-06,7.323B,117.72B,0,-0.49,-0.49,1.778B,2020-06,-94.00M,19.13B,-84.00M,-84.00M,0,0,6.736B,7.031B,-161.00M,-67.00M,3.517B,0,20.73B,339.66B,5.081B,138.03B,7.031B,318.93B,155.60B,8.848B,14.00M,7.031B,17.36B
LNC,2020-03,3.004B,108.81B,0,0.27,0.15,1.778B,2020-03,52.00M,19.36B,-68.00M,-68.00M,0,0,6.748B,8.434B,34.00M,-18.00M,4.425B,0,16.58B,318.65B,5.071B,130.85B,8.434B,302.07B,144.63B,8.591B,12.00M,8.434B,17.48B
LNC,2019-12,5.673B,107.76B,550.00M,2.186,2.15,1.778B,2019-12,432.00M,18.82B,-160.00M,-160.00M,0,0,5.817B,5.082B,481.00M,49.00M,4.345B,0,19.69B,334.76B,5.162B,127.28B,5.632B,315.07B,147.28B,7.954B,362.00M,5.082B,17.61B
LNC,2019-09,6.248B,106.60B,300.00M,-0.81,-0.83,1.778B,2019-09,-161.00M,18.42B,-113.00M,-113.00M,0,0,6.07B,5.528B,-250.00M,-89.00M,4.638B,0,20.00B,325.28B,5.192B,126.59B,5.828B,305.28B,145.19B,8.226B,16.00M,5.528B,17.79B
LNC,2019-06,4.336B,103.05B,300.00M,1.8,1.79,1.778B,2019-06,363.00M,17.57B,-70.00M,-70.00M,0,0,5.621B,5.632B,421.00M,58.00M,4.31B,0,18.46B,322.26B,5.241B,122.59B,5.932B,303.80B,140.55B,7.727B,15.00M,5.632B,18.03B
LNC,2019-03,2.453B,99.64B,300.00M,1.23,1.22,1.778B,2019-03,252.00M,16.50B,-71.00M,-71.00M,0,0,5.572B,5.362B,268.00M,16.00M,3.965B,0,16.42B,314.30B,5.285B,118.89B,5.662B,297.88B,136.71B,7.511B,15.00M,5.362B,18.27B
LNC,2018-12,407.00M,96.37B,0,1.88,1.8,1.782B,2018-12,399.00M,15.77B,-153.00M,-153.00M,0,0,5.839B,4.805B,467.00M,68.00M,4.531B,0,14.35B,298.15B,5.392B,115.79B,4.805B,283.80B,129.89B,7.582B,340.00M,4.805B,18.32B
LNC,2018-09,836.00M,94.62B,0,2.27,2.24,1.757B,2018-09,490.00M,15.06B,-69.00M,-69.00M,0,0,5.804B,4.212B,532.00M,42.00M,4.264B,0,15.07B,303.85B,5.619B,114.19B,4.212B,288.78B,121.74B,7.558B,18.00M,4.212B,18.86B
