Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LOW,2021-01,-136.00M,4.69B,13.86B,1.653B,1.608B,1.33,1.32,311.00M,40.53B,6.456B,2021-01,16.19B,978.00M,-204.00M,-204.00M,22.99B,1.019B,24.56B,1.524B,12.12B,1.32B,342.00M,20.31B,4.541B,1.437B,46.74B,366.00M,22.33B,18.73B,45.30B,24.41B,26.57B,4.932B,11.87B,0
LOW,2020-10,-245.00M,8.249B,15.01B,1.139B,1.614B,0.92,0.91,303.00M,22.51B,7.30B,2020-10,15.71B,692.00M,-221.00M,-221.00M,22.51B,1.007B,25.09B,2.175B,12.76B,894.00M,202.00M,22.31B,4.77B,4.073B,50.88B,376.00M,26.92B,19.56B,46.81B,23.96B,27.24B,5.125B,12.76B,0
LOW,2020-07,-285.00M,11.64B,18.00B,2.129B,1.715B,3.74,3.74,303.00M,22.41B,9.304B,2020-07,13.83B,2.828B,-219.00M,-219.00M,22.41B,981.00M,24.06B,3.957B,12.92B,3.738B,910.00M,27.30B,5.02B,4.356B,51.76B,378.00M,27.72B,21.37B,47.41B,24.05B,26.04B,5.347B,12.92B,0
LOW,2020-04,-393.00M,5.955B,13.16B,2.11B,1.212B,1.76,1.76,303.00M,39.78B,6.513B,2020-04,14.28B,1.337B,-205.00M,-205.00M,22.38B,915.00M,24.12B,1.991B,10.84B,1.786B,449.00M,19.68B,4.196B,1.716B,45.83B,377.00M,21.93B,18.32B,44.12B,23.91B,25.79B,4.522B,10.84B,0
LOW,2020-01,-136.00M,716.00M,11.05B,3.039B,1.219B,0.67,0.66,303.00M,39.97B,4.981B,2020-01,13.18B,510.00M,-183.00M,-183.00M,22.66B,894.00M,20.71B,958.00M,8.572B,775.00M,265.00M,16.03B,3.685B,1.972B,39.47B,381.00M,15.32B,15.18B,37.50B,24.15B,22.32B,4.023B,8.351B,0
LOW,2019-10,-164.00M,794.00M,11.75B,1.71B,1.222B,1.36,1.36,303.00M,39.54B,5.64B,2019-10,13.72B,1.049B,-177.00M,-177.00M,22.24B,875.00M,20.58B,1.558B,8.822B,1.381B,332.00M,17.39B,3.772B,2.458B,39.76B,384.00M,15.66B,15.06B,37.31B,24.10B,22.24B,4.082B,8.822B,0
LOW,2019-07,-187.00M,1.796B,14.25B,1.501B,1.324B,2.14,2.14,1.272B,39.57B,6.74B,2019-07,13.73B,1.676B,-169.00M,-169.00M,22.17B,868.00M,20.59B,2.381B,9.499B,2.212B,536.00M,20.99B,4.048B,2.64B,40.70B,388.00M,16.80B,15.84B,38.06B,23.90B,22.22B,4.359B,9.499B,0
LOW,2019-04,-256.00M,2.973B,12.16B,1.508B,1.376B,1.31,1.31,0,39.38B,5.581B,2019-04,15.03B,1.046B,-162.00M,-162.00M,22.08B,837.00M,20.61B,1.417B,11.48B,1.255B,209.00M,17.74B,3.862B,3.236B,43.22B,397.00M,19.34B,17.78B,39.98B,23.88B,22.20B,4.164B,11.48B,0
LOW,2019-01,-209.00M,511.00M,10.75B,1.832B,1.299B,-1.03,-1.03,0,35.86B,4.899B,2019-01,12.56B,-824.00M,-157.00M,-157.00M,18.43B,827.00M,14.39B,-568.00M,9.135B,-725.00M,99.00M,15.65B,5.098B,3.644B,34.51B,401.00M,14.23B,14.50B,30.86B,20.28B,16.37B,5.467B,8.951B,0
LOW,2018-10,-165.00M,1.668B,12.04B,1.117B,1.356B,0.78,0.78,0,36.62B,5.377B,2018-10,12.36B,629.00M,-153.00M,-153.00M,18.92B,827.00M,14.46B,957.00M,9.283B,804.00M,175.00M,17.42B,3.997B,5.394B,36.71B,403.00M,15.14B,15.07B,31.32B,21.58B,16.25B,4.42B,9.283B,0
