Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LRCX,2021-03,-56.13M,5.789B,2.068B,825.43M,556.47M,7.51,7.41,1.633B,2.154B,1.780B,2021-03,2.552B,1.071B,-47.76M,-47.76M,1.280B,0,4.992B,1.195B,1.520B,1.160B,88.87M,381.12M,3.848B,203.70M,5.375B,15.28B,0.143M,11.32B,3.612B,9.910B,3.963B,6.298B,584.82M,1.062B,2.809B
LRCX,2020-12,-82.67M,6.042B,1.852B,832.85M,576.49M,6.04,5.96,1.641B,2.023B,1.604B,2020-12,2.349B,869.23M,-45.16M,-45.16M,1.208B,0,4.992B,1.010B,1.425B,979.78M,110.55M,375.17M,3.456B,218.90M,5.509B,15.37B,0.145M,11.47B,3.591B,9.862B,3.902B,6.271B,594.07M,1.021B,2.900B
LRCX,2020-09,-94.21M,6.658B,1.671B,834.14M,457.52M,5.67,5.59,1.646B,0,1.506B,2020-09,2.138B,823.45M,-39.91M,-39.91M,1.134B,0,4.993B,961.06M,1.345B,922.27M,98.82M,355.37M,3.177B,189.75M,5.425B,15.06B,0.145M,11.27B,3.407B,9.632B,3.782B,6.225B,545.12M,975.17M,2.318B
LRCX,2020-06,-112.68M,6.710B,1.512B,839.88M,539.60M,4.79,4.73,1.653B,0,1.280B,2020-06,1.900B,696.67M,-22.72M,-22.72M,1.071B,0,4.971B,755.72M,1.101B,748.17M,51.50M,338.81M,2.792B,185.80M,5.183B,14.56B,0.145M,10.85B,3.162B,9.376B,3.706B,6.213B,524.61M,779.07M,2.097B
LRCX,2020-03,-60.25M,5.393B,1.337B,42.41M,366.42M,3.96,3.88,1.667B,0,1.167B,2020-03,1.675B,574.78M,-17.16M,-17.16M,1.049B,0,5.044B,694.11M,1.059B,629.50M,54.71M,307.91M,2.504B,164.98M,4.549B,12.94B,0.142M,9.409B,2.106B,8.389B,3.530B,6.284B,472.89M,750.90M,2.191B
LRCX,2019-12,-72.56M,4.684B,1.404B,632.29M,406.68M,3.57,3.43,1.678B,0,1.180B,2019-12,1.529B,514.51M,-12.21M,-12.21M,1.047B,0,3.786B,686.51M,961.62M,672.59M,158.08M,318.86M,2.584B,174.27M,4.418B,11.91B,0.145M,8.455B,2.566B,7.496B,3.459B,4.931B,493.13M,697.82M,2.030B
LRCX,2019-09,-64.03M,5.591B,1.184B,645.16M,381.32M,3.22,3.09,1.691B,0,981.71M,2019-09,1.483B,465.79M,-10.37M,-10.37M,1.030B,0,3.788B,537.46M,859.18M,524.73M,58.94M,286.83M,2.166B,157.43M,4.979B,12.34B,0.144M,8.835B,2.458B,7.365B,3.509B,4.907B,444.26M,585.36M,1.636B
LRCX,2019-06,-62.66M,5.431B,1.280B,667.13M,378.40M,3.66,3.51,1.702B,0,1.081B,2019-06,1.540B,541.82M,-3.297M,-3.297M,1.059B,0,3.823B,617.08M,895.72M,609.42M,67.59M,295.58M,2.361B,168.23M,4.723B,12.00B,0.15M,8.560B,2.372B,7.278B,3.441B,4.906B,463.81M,670.32M,1.456B
LRCX,2019-03,-64.69M,6.141B,1.365B,964.11M,432.22M,3.62,3.47,1.708B,0,1.074B,2019-03,1.622B,547.39M,-1.975M,-1.975M,1.040B,0,3.802B,565.52M,896.30M,586.05M,38.66M,318.51M,2.439B,190.31M,5.341B,12.90B,0.154M,9.442B,2.806B,7.554B,3.453B,4.749B,508.82M,673.49M,1.522B
LRCX,2018-12,0,3.635B,1.378B,187.10M,0,3.67,3.51,1.736B,0,1.145B,2018-12,1.703B,568.86M,0,0,1.013B,0,1.813B,690.38M,0,659.73M,90.88M,285.56M,2.523B,169.10M,5.841B,10.77B,0,7.356B,2.167B,4.927B,3.413B,2.760B,454.65M,0,1.869B
LRCX,2018-09,-57.73M,3.619B,1.272B,550.37M,542.32M,3.43,3.23,1.768B,1.736B,1.058B,2018-09,1.874B,533.36M,-2.855M,-2.855M,951.38M,0,1.805B,591.75M,1.036B,591.37M,58.01M,291.67M,2.331B,174.78M,5.382B,10.96B,0.153M,7.516B,2.825B,5.576B,3.442B,2.751B,466.45M,805.62M,1.847B
LRCX,2018-06,-57.45M,4.950B,1.647B,610.03M,720.09M,6.35,5.82,1.803B,1.443B,1.479B,2018-06,1.876B,1.021B,-1.166M,-1.166M,902.55M,0,1.807B,955.20M,1.121B,958.15M,-63.00M,327.71M,3.126B,196.50M,6.580B,12.48B,0.157M,9.150B,3.150B,5.899B,3.330B,2.749B,524.21M,870.74M,2.177B
LRCX,2018-03,-65.43M,6.485B,1.561B,1.423B,748.90M,4.8,4.33,1.826B,1.361B,1.331B,2018-03,1.693B,778.80M,-3.973M,-3.973M,826.50M,0,1.782B,827.51M,1.138B,771.70M,-7.099M,305.41M,2.892B,197.79M,6.884B,13.66B,0.164M,10.43B,3.948B,6.779B,3.238B,2.831B,503.20M,892.07M,2.083B
LRCX,2017-12,-64.16M,5.700B,1.375B,1.402B,748.64M,-0.06,-0.06,1.866B,0,1.206B,2017-12,1.507B,-9.955M,-2.739M,-2.739M,807.34M,0,1.790B,737.37M,1.026B,734.22M,744.17M,281.31M,2.581B,186.88M,6.274B,12.91B,0.159M,9.666B,3.912B,6.639B,3.246B,2.727B,468.20M,812.34M,2.279B
LRCX,2017-09,-52.79M,6.182B,1.329B,639.91M,597.92M,3.64,3.21,1.904B,0,1.149B,2017-09,1.328B,590.69M,-3.696M,-3.696M,745.60M,0,1.793B,693.22M,871.88M,687.72M,97.03M,275.08M,2.478B,181.04M,7.408B,12.40B,0.162M,9.229B,2.789B,4.990B,3.170B,2.202B,456.12M,689.95M,1.531B
LRCX,2017-06,-61.70M,6.041B,1.276B,908.44M,607.67M,3.25,2.82,1.797B,0,1.069B,2017-06,1.233B,526.42M,-7.107M,-7.107M,685.60M,0,1.785B,607.94M,824.66M,603.50M,77.07M,285.71M,2.345B,175.31M,6.987B,12.12B,0.162M,9.142B,2.950B,5.135B,2.980B,2.185B,461.02M,632.51M,1.673B
LRCX,2017-03,-75.60M,5.884B,1.183B,905.29M,527.27M,3.52,3.1,1.835B,0,971.40M,2017-03,1.133B,574.71M,-8.407M,-8.407M,675.71M,0,1.777B,538.42M,817.31M,530.58M,-44.13M,265.99M,2.154B,167.00M,6.921B,11.88B,0.164M,8.876B,2.757B,4.954B,2.999B,2.197B,432.99M,609.66M,1.636B
