Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LUMN,2020-12,-2.813B,406.00M,2.231B,2.806B,753.00M,-2.12,-2.12,27.09B,57.93B,2.894B,2020-12,105.00M,-2.289B,-396.00M,-396.00M,26.34B,3.342B,29.41B,833.00M,2.747B,-2.208B,81.00M,5.125B,866.00M,11.16B,59.39B,1.097B,3.176B,6.634B,48.23B,56.22B,41.60B,2.061B,1.448B,2.035B
LUMN,2020-09,-2.795B,526.00M,2.236B,1.888B,738.00M,0.34,0.34,30.04B,57.21B,2.931B,2020-09,112.00M,366.00M,-409.00M,-409.00M,26.29B,3.232B,31.10B,888.00M,2.918B,480.00M,114.00M,5.167B,850.00M,13.69B,62.60B,1.097B,3.504B,5.879B,48.91B,59.10B,43.03B,2.043B,1.742B,2.184B
LUMN,2020-06,-2.902B,1.763B,2.232B,3.359B,759.00M,0.35,0.35,30.37B,56.41B,2.96B,2020-06,122.00M,377.00M,-414.00M,-414.00M,26.08B,3.094B,31.41B,903.00M,3.005B,513.00M,136.00M,5.192B,895.00M,13.46B,64.17B,1.097B,4.858B,7.472B,50.71B,59.31B,43.24B,2.057B,1.785B,2.284B
LUMN,2020-03,-2.955B,1.564B,2.235B,1.545B,788.00M,0.29,0.29,30.70B,57.44B,2.993B,2020-03,119.00M,314.00M,-449.00M,-449.00M,27.62B,2.957B,34.80B,980.00M,3.001B,433.00M,119.00M,5.228B,853.00M,13.29B,64.06B,1.098B,4.69B,5.703B,50.76B,59.37B,45.06B,2.013B,1.935B,2.281B
LUMN,2019-12,-2.68B,1.69B,2.257B,2.716B,804.00M,0.21,0.21,31.10B,55.42B,3.049B,2019-12,105.00M,223.00M,-484.00M,-484.00M,26.08B,2.918B,32.39B,847.00M,3.352B,349.00M,126.00M,5.306B,992.00M,13.47B,64.74B,1.09B,4.768B,7.258B,51.27B,59.97B,44.01B,2.202B,2.035B,2.336B
LUMN,2019-09,-2.499B,1.404B,2.334B,2.163B,798.00M,0.28,0.28,31.39B,56.36B,3.016B,2019-09,137.00M,302.00M,-496.00M,-496.00M,27.60B,2.91B,34.73B,950.00M,3.31B,410.00M,108.00M,5.35B,831.00M,13.67B,64.73B,1.09B,4.589B,6.589B,51.05B,60.14B,44.46B,2.066B,2.10B,2.346B
LUMN,2019-06,-2.419B,410.00M,2.243B,2.083B,852.00M,0.35,0.35,31.73B,55.80B,3.132B,2019-06,151.00M,371.00M,-518.00M,-518.00M,27.70B,2.826B,34.66B,976.00M,3.223B,502.00M,131.00M,5.375B,960.00M,13.69B,64.51B,1.09B,3.878B,6.495B,50.82B,60.63B,44.32B,2.156B,2.008B,2.59B
LUMN,2019-03,-2.429B,441.00M,2.30B,1.193B,841.00M,-5.77,-5.77,32.04B,55.13B,3.127B,2019-03,154.00M,-6.165B,-523.00M,-523.00M,27.74B,2.701B,36.36B,1.007B,3.042B,-6.027B,138.00M,5.427B,932.00M,13.54B,64.79B,1.09B,3.82B,5.373B,51.24B,60.97B,45.87B,2.12B,1.867B,2.474B
LUMN,2018-12,-2.461B,488.00M,1.794B,652.00M,832.00M,-2.26,-2.26,38.81B,53.27B,3.121B,2018-12,120.00M,-2.412B,-539.00M,-539.00M,26.41B,2.527B,35.41B,885.00M,3.735B,-2.365B,47.00M,4.915B,974.00M,19.83B,70.26B,1.08B,3.82B,5.531B,50.43B,66.44B,44.90B,2.236B,2.27B,2.532B
LUMN,2018-09,-2.454B,390.00M,2.672B,778.00M,983.00M,0.25,0.25,41.94B,52.66B,3.146B,2018-09,131.00M,272.00M,-557.00M,-557.00M,26.17B,2.502B,35.75B,894.00M,3.414B,329.00M,57.00M,5.818B,967.00M,22.80B,73.37B,1.081B,4.114B,5.286B,50.57B,69.26B,45.28B,2.252B,1.847B,2.903B
