Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LUV,2021-03,-60.00M,14.35B,1.39B,517.00M,4.906B,0.2,0.19,970.00M,29.41B,662.00M,2021-03,448.00M,116.00M,-101.00M,-101.00M,17.68B,4.486B,12.27B,199.00M,2.759B,146.00M,30.00M,2.052B,0,9.093B,35.49B,888.00M,16.10B,8.182B,26.40B,19.39B,18.22B,463.00M,1.094B,937.00M
LUV,2020-12,-105.00M,13.33B,2.66B,526.00M,4.39B,-1.54,-1.54,1.265B,29.47B,-647.00M,2020-12,414.00M,-908.00M,-100.00M,-100.00M,17.72B,5.33B,11.67B,-1.168B,1.868B,-1.331B,-423.00M,2.013B,0,8.876B,34.59B,888.00M,15.17B,7.506B,25.71B,19.42B,18.21B,521.00M,1.015B,1.13B
LUV,2020-09,-102.00M,14.56B,2.716B,1.036B,3.952B,-1.96,-1.96,970.00M,29.27B,-923.00M,2020-09,426.00M,-1.157B,-96.00M,-96.00M,17.82B,5.253B,11.56B,-1.411B,1.91B,-1.542B,-385.00M,1.793B,0,9.769B,35.60B,888.00M,16.13B,7.804B,25.84B,19.47B,18.03B,488.00M,1.055B,897.00M
LUV,2020-06,-130.00M,14.46B,1.915B,1.031B,5.945B,-1.63,-1.63,970.00M,29.26B,-907.00M,2020-06,422.00M,-915.00M,-80.00M,-80.00M,18.09B,4.32B,10.39B,-1.127B,1.833B,-1.239B,-324.00M,1.008B,0,10.88B,35.60B,888.00M,15.87B,9.361B,24.72B,19.72B,15.36B,220.00M,1.042B,770.00M
LUV,2020-03,-186.00M,5.545B,3.646B,3.125B,5.036B,-0.18,-0.18,970.00M,29.18B,588.00M,2020-03,518.00M,-94.00M,-6.00M,-6.00M,18.27B,3.739B,3.224B,-110.00M,1.832B,-144.00M,-50.00M,4.234B,0,9.075B,26.88B,808.00M,7.028B,10.24B,17.81B,19.86B,7.569B,698.00M,1.11B,709.00M
LUV,2019-12,-61.00M,4.072B,4.299B,1.172B,4.457B,0.98,0.98,1.266B,29.06B,1.431B,2019-12,529.00M,513.00M,1.00M,1.00M,18.37B,3.73B,2.824B,665.00M,2.462B,666.00M,153.00M,5.73B,0,9.832B,25.90B,808.00M,5.974B,8.952B,16.06B,19.92B,7.111B,766.00M,1.653B,1.086B
LUV,2019-09,-63.00M,4.016B,4.058B,969.00M,4.93B,1.24,1.23,970.00M,29.64B,1.581B,2019-09,528.00M,659.00M,3.00M,3.00M,19.19B,3.679B,3.412B,819.00M,2.138B,819.00M,160.00M,5.639B,0,9.931B,26.47B,808.00M,5.65B,8.629B,16.54B,20.82B,7.907B,762.00M,1.344B,867.00M
LUV,2019-06,30.00M,3.986B,4.173B,1.004B,4.962B,1.37,1.37,970.00M,29.32B,1.736B,2019-06,510.00M,741.00M,2.00M,2.00M,19.16B,3.801B,3.521B,968.00M,2.194B,968.00M,227.00M,5.909B,0,9.94B,26.37B,808.00M,5.554B,8.611B,16.43B,20.82B,7.823B,768.00M,1.403B,777.00M
LUV,2019-03,96.00M,3.861B,3.914B,932.00M,5.029B,0.7,0.7,1.283B,29.16B,1.235B,2019-03,484.00M,387.00M,1.00M,1.00M,19.28B,3.737B,3.752B,505.00M,2.469B,504.00M,117.00M,5.149B,0,9.791B,26.46B,808.00M,5.483B,8.723B,16.67B,20.98B,7.945B,730.00M,1.577B,784.00M
LUV,2018-12,20.00M,3.689B,4.128B,606.00M,4.134B,1.17,1.17,1.369B,29.26B,1.576B,2018-12,461.00M,654.00M,-1.00M,-1.00M,19.52B,3.61B,2.771B,820.00M,2.419B,817.00M,163.00M,5.704B,0,9.853B,26.24B,808.00M,5.028B,7.905B,16.39B,21.21B,8.485B,756.00M,1.484B,568.00M
LUV,2018-09,412.00M,3.82B,4.038B,346.00M,4.756B,1.08,1.08,1.373B,28.72B,1.537B,2018-09,483.00M,615.00M,-4.00M,-4.00M,19.28B,3.64B,3.10B,798.00M,2.143B,786.00M,171.00M,5.575B,0,10.15B,26.88B,808.00M,5.601B,7.843B,16.73B,21.28B,8.886B,739.00M,1.285B,784.00M
LUV,2018-06,298.00M,3.686B,4.039B,365.00M,4.652B,1.27,1.27,1.376B,28.23B,1.703B,2018-06,459.00M,733.00M,-8.00M,-8.00M,19.07B,3.539B,3.155B,972.00M,2.134B,960.00M,227.00M,5.742B,0,9.997B,26.46B,808.00M,5.408B,7.716B,16.47B,21.06B,8.752B,731.00M,1.41B,765.00M
