Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LVS,2021-03,-11.00M,2.074B,728.00M,72.00M,614.00M,-0.36,-0.36,20.00M,14.34B,468.00M,2021-03,23.00M,-278.00M,-153.00M,-153.00M,14.34B,179.00M,14.37B,-93.00M,1.622B,-266.00M,14.00M,9.00M,1.196B,274.00M,2.673B,20.54B,1.00M,5.63B,2.465B,17.36B,14.91B,14.90B,561.00M,315.00M,205.00M
LVS,2020-12,29.00M,2.121B,722.00M,76.00M,582.00M,-0.39,-0.39,25.00M,28.89B,424.00M,2020-12,32.00M,-299.00M,-149.00M,-149.00M,17.36B,532.00M,13.93B,-199.00M,1.619B,-368.00M,8.00M,0,1.146B,272.00M,2.973B,20.81B,1.00M,2.644B,2.309B,17.27B,18.16B,14.96B,623.00M,682.00M,338.00M
LVS,2020-09,-38.00M,2.381B,503.00M,72.00M,676.00M,-0.74,-0.74,28.00M,17.20B,83.00M,2020-09,34.00M,-565.00M,-134.00M,-134.00M,17.20B,529.00M,13.84B,-552.00M,2.183B,-748.00M,-17.00M,3.00M,586.00M,296.00M,3.199B,20.98B,1.00M,2.958B,2.255B,17.14B,18.02B,14.89B,635.00M,499.00M,382.00M
LVS,2020-06,-74.00M,3.016B,372.00M,71.00M,0,-1.07,-1.07,32.00M,17.10B,-274.00M,2020-06,37.00M,-820.00M,-114.00M,-114.00M,17.10B,515.00M,13.77B,-917.00M,2.304B,-1.039B,-54.00M,9.00M,98.00M,315.00M,3.72B,21.70B,1.00M,3.772B,2.375B,17.17B,17.92B,14.80B,643.00M,621.00M,567.00M
LVS,2020-03,-119.00M,2.602B,828.00M,69.00M,0,0,0,36.00M,16.88B,589.00M,2020-03,36.00M,-1.00M,-115.00M,-115.00M,16.88B,517.00M,12.25B,9.00M,2.35B,-70.00M,22.00M,6.00M,1.417B,288.00M,4.489B,21.17B,1.00M,3.493B,2.419B,15.71B,17.67B,13.29B,580.00M,657.00M,653.00M
LVS,2019-12,-3.00M,4.226B,1.717B,70.00M,0,0.82,0.82,42.00M,27.61B,1.792B,2019-12,37.00M,629.00M,-117.00M,-117.00M,17.12B,533.00M,12.42B,1.006B,2.572B,848.00M,65.00M,11.00M,3.509B,444.00M,5.187B,23.20B,1.00M,5.305B,3.224B,16.69B,17.89B,13.47B,786.00M,1.147B,844.00M
LVS,2019-09,-74.00M,3.817B,1.602B,66.00M,0,0.69,0.69,45.00M,16.83B,1.648B,2019-09,33.00M,533.00M,-117.00M,-117.00M,16.83B,535.00M,11.88B,910.00M,2.938B,751.00M,82.00M,4.00M,3.25B,423.00M,5.359B,22.43B,1.00M,4.808B,3.004B,15.91B,17.62B,12.91B,738.00M,714.00M,757.00M
LVS,2019-06,-19.00M,4.017B,1.689B,116.00M,0,1.24,1.24,51.00M,16.88B,1.645B,2019-06,33.00M,954.00M,-126.00M,-126.00M,16.88B,578.00M,11.91B,894.00M,2.915B,1.344B,236.00M,4.00M,3.334B,427.00M,5.56B,22.59B,1.00M,4.957B,3.031B,16.01B,17.64B,12.98B,751.00M,637.00M,767.00M
LVS,2019-03,-32.00M,4.134B,1.824B,111.00M,0,0.75,0.75,69.00M,16.43B,1.822B,2019-03,35.00M,582.00M,-121.00M,-121.00M,16.43B,583.00M,11.89B,978.00M,2.806B,829.00M,85.00M,5.00M,3.646B,521.00M,5.525B,22.31B,1.00M,5.055B,2.917B,15.87B,17.26B,12.96B,844.00M,617.00M,737.00M
LVS,2018-12,-40.00M,4.648B,1.792B,111.00M,0,-0.22,-0.22,72.00M,26.04B,1.683B,2018-12,35.00M,-170.00M,-115.00M,-115.00M,16.35B,592.00M,11.87B,910.00M,2.37B,742.00M,782.00M,3.00M,3.475B,462.00M,5.684B,22.55B,1.00M,5.566B,3.157B,15.80B,16.98B,12.64B,773.00M,1.014B,726.00M
LVS,2018-09,-36.00M,4.772B,1.722B,111.00M,572.00M,0.73,0.73,76.00M,25.43B,1.65B,2018-09,42.00M,571.00M,-104.00M,-104.00M,16.39B,591.00M,11.87B,926.00M,2.795B,782.00M,83.00M,4.00M,3.372B,421.00M,6.862B,23.34B,1.00M,5.614B,2.906B,15.54B,17.72B,12.64B,724.00M,598.00M,650.00M
LVS,2018-06,-44.00M,4.35B,1.706B,184.00M,508.00M,0.7,0.7,81.00M,25.30B,1.597B,2018-06,44.00M,556.00M,-84.00M,-84.00M,16.43B,597.00M,11.14B,902.00M,2.808B,757.00M,81.00M,2.00M,3.303B,401.00M,7.158B,22.86B,1.00M,5.075B,2.992B,14.89B,17.78B,11.90B,695.00M,608.00M,555.00M
LVS,2018-03,47.00M,2.628B,1.754B,144.00M,0,1.85,1.84,85.00M,25.46B,1.825B,2018-03,46.00M,1.456B,-84.00M,-84.00M,16.74B,610.00M,9.508B,1.163B,2.73B,1.045B,-571.00M,3.00M,3.579B,401.00M,7.363B,21.50B,1.00M,3.394B,2.874B,13.15B,18.11B,10.27B,662.00M,581.00M,587.00M
LVS,2017-12,14.00M,2.419B,1.675B,296.00M,0,1.53,1.53,89.00M,25.65B,1.716B,2017-12,37.00M,1.212B,-82.00M,-82.00M,16.75B,613.00M,9.344B,1.021B,2.088B,932.00M,-429.00M,5.00M,3.391B,403.00M,6.486B,20.69B,1.00M,3.197B,2.956B,13.06B,17.49B,10.10B,695.00M,951.00M,615.00M
