Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
LYV,2020-12,-177.01M,2.538B,203.27M,160.56M,1.879B,-2.04,-2.04,3.354B,4.128B,34.11M,2020-12,22.00M,-443.33M,-62.03M,-62.03M,2.526B,285.80M,6.301B,-388.41M,1.635B,-443.28M,20.54M,237.38M,281.04M,-471.77M,10.59B,2.145M,3.650B,3.797B,10.72B,6.940B,6.926B,422.52M,830.45M,501.29M
LYV,2020-09,-222.22M,2.625B,130.75M,166.52M,1.632B,-2.45,-2.45,3.316B,4.152B,53.27M,2020-09,16.11M,-528.90M,-63.28M,-63.28M,2.568B,177.89M,6.316B,-504.23M,1.735B,-559.36M,-16.90M,184.02M,405.93M,-99.43M,10.89B,2.138M,3.860B,3.583B,10.64B,7.026B,7.056B,557.50M,774.97M,564.87M
LYV,2020-06,-243.80M,3.290B,194.56M,183.36M,1.157B,-2.67,-2.67,3.318B,4.064B,-120.47M,2020-06,12.58M,-565.92M,-50.26M,-50.26M,2.542B,177.75M,6.243B,-587.51M,2.049B,-639.77M,-29.18M,74.08M,323.35M,341.92M,11.62B,2.125M,4.433B,3.492B,10.94B,7.189B,7.446B,467.04M,960.79M,618.58M
LYV,2020-03,-259.33M,3.270B,873.82M,158.02M,2.273B,-0.94,-0.94,3.275B,3.991B,491.87M,2020-03,0,-184.78M,-39.53M,-39.53M,2.533B,178.54M,5.031B,-172.54M,2.225B,-214.25M,-3.33M,1.366B,514.02M,859.35M,11.86B,2.118M,4.851B,4.730B,10.63B,7.010B,5.901B,664.41M,995.40M,759.43M
LYV,2019-12,-145.71M,2.470B,2.188B,159.74M,1.404B,-0.88,-0.88,3.238B,3.941B,701.71M,2019-12,0,-159.95M,-45.45M,-45.45M,2.520B,280.54M,4.646B,-84.74M,2.221B,-129.74M,6.904M,2.889B,624.58M,1.146B,10.98B,2.113M,4.193B,4.108B,9.512B,6.783B,5.404B,786.45M,1.106B,1.029B
LYV,2019-09,-181.05M,1.795B,2.800B,186.57M,1.116B,0.74,0.71,2.963B,3.576B,973.26M,2019-09,0,178.92M,-30.72M,-30.72M,2.194B,166.30M,3.787B,259.74M,2.617B,221.25M,27.28M,3.774B,542.55M,1.287B,9.967B,2.111M,3.850B,3.959B,8.444B,6.117B,4.485B,713.52M,1.105B,1.215B
LYV,2019-06,-148.79M,2.270B,2.327B,175.47M,1.891B,0.43,0.41,3.048B,3.557B,829.60M,2019-06,0,89.84M,-32.97M,-32.97M,2.212B,169.98M,3.848B,171.48M,2.500B,144.87M,28.75M,3.157B,513.50M,1.174B,10.53B,2.101M,4.285B,4.606B,9.122B,6.244B,4.516B,658.11M,1.160B,1.097B
LYV,2019-03,-148.12M,2.671B,1.152B,193.72M,2.069B,-0.31,-0.31,2.865B,3.374B,576.22M,2019-03,0,-52.44M,-33.97M,-33.97M,2.058B,142.71M,3.787B,-24.01M,2.368B,-51.28M,3.958M,1.728B,464.87M,1.043B,10.30B,2.099M,4.425B,4.689B,9.062B,5.878B,4.373B,600.23M,1.228B,920.04M
LYV,2018-12,-145.23M,2.372B,1.976B,82.14M,1.273B,-0.83,-0.83,2.853B,2.217B,625.47M,2018-12,0,-93.54M,-33.97M,-33.97M,946.59M,194.90M,2.733B,-90.47M,2.108B,-130.13M,5.051M,2.602B,561.32M,1.099B,8.497B,2.091M,3.848B,3.750B,7.154B,4.649B,3.404B,715.94M,1.127B,844.52M
LYV,2018-09,-134.92M,1.900B,2.924B,81.83M,890.78M,0.73,0.7,2.874B,2.144B,910.89M,2018-09,0,151.89M,-33.73M,-33.73M,913.36M,130.91M,2.732B,244.54M,2.570B,200.23M,17.03M,3.835B,524.65M,1.317B,8.512B,2.083M,3.881B,3.609B,6.961B,4.631B,3.352B,666.35M,1.161B,1.253B
LYV,2018-06,-125.84M,2.293B,2.135B,84.95M,1.846B,0.25,0.24,2.930B,2.080B,733.21M,2018-06,17.47M,69.36M,-32.81M,-32.81M,890.44M,134.97M,2.743B,134.83M,2.215B,95.16M,11.80M,2.868B,476.44M,1.163B,8.953B,2.079M,4.263B,4.207B,7.547B,4.689B,3.341B,598.38M,1.035B,949.42M
LYV,2018-03,-92.28M,2.942B,932.08M,119.41M,2.039B,-0.24,-0.24,2.901B,2.053B,550.30M,2018-03,15.11M,-33.91M,-31.50M,-31.50M,886.90M,138.52M,2.747B,-5.992M,2.221B,-34.14M,6.884M,1.482B,434.61M,1.138B,9.118B,2.076M,4.645B,4.439B,7.745B,4.473B,3.307B,556.29M,1.201B,783.81M
LYV,2017-12,-108.54M,1.825B,1.750B,347.59M,1.069B,-1.13,-1.13,2.853B,2.014B,570.22M,2017-12,0,-190.89M,-25.98M,-25.98M,885.94M,189.15M,1.952B,-202.48M,1.910B,-233.12M,-59.34M,2.320B,614.17M,1.181B,7.504B,2.069M,3.153B,3.577B,6.086B,4.352B,2.509B,772.70M,1.034B,746.58M
LYV,2017-09,-117.87M,1.801B,2.634B,71.67M,909.04M,0.56,0.53,2.890B,1.938B,806.37M,2017-09,0,136.39M,-25.16M,-25.16M,844.81M,202.05M,2.240B,201.38M,2.181B,174.46M,25.68M,3.440B,475.86M,1.379B,7.811B,2.06M,3.564B,3.213B,6.196B,4.247B,2.983B,604.98M,953.47M,991.22M
