Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MA,2020-12,-680.00M,10.60B,970.00M,649.00M,0,1.79,1.78,6.713B,3.292B,3.15B,2020-12,1.785B,-105.00M,-105.00M,1.902B,86.00M,12.02B,2.122B,8.274B,2.168B,383.00M,4.12B,878.00M,6.391B,33.58B,0,19.11B,11.85B,27.10B,14.47B,15.25B,1.028B,2.21B,4.352B
MA,2020-09,-880.00M,10.62B,940.00M,500.00M,0,1.51,1.51,5.666B,3.185B,2.897B,2020-09,1.513B,-105.00M,-105.00M,1.887B,86.00M,12.57B,2.128B,7.279B,1.915B,402.00M,3.837B,628.00M,5.796B,31.59B,0,18.47B,9.958B,25.74B,13.12B,15.78B,769.00M,1.73B,3.732B
MA,2020-06,-1.046B,11.53B,915.00M,500.00M,0,1.41,1.41,5.561B,3.096B,2.42B,2020-06,1.42B,-101.00M,-101.00M,1.872B,83.00M,12.50B,1.748B,7.279B,1.69B,270.00M,3.335B,527.00M,6.47B,32.13B,0,19.38B,9.923B,25.63B,12.75B,15.71B,672.00M,2.196B,3.929B
MA,2020-03,-1.079B,10.68B,962.00M,500.00M,0,1.68,1.68,5.517B,3.066B,3.047B,2020-03,1.693B,-69.00M,-69.00M,1.901B,82.00M,12.47B,2.165B,7.048B,1.987B,294.00M,4.009B,738.00M,5.398B,30.65B,0,18.12B,9.712B,25.22B,12.52B,15.51B,882.00M,1.725B,3.605B
MA,2019-12,-673.00M,7.676B,936.00M,0,0,2.08,2.07,5.438B,2.928B,3.478B,2019-12,2.10B,-64.00M,-64.00M,1.828B,85.00M,8.527B,2.419B,9.606B,2.475B,375.00M,4.414B,913.00M,5.893B,29.24B,0,16.90B,11.90B,23.32B,12.33B,11.42B,1.059B,3.535B,5.509B
MA,2019-09,-858.00M,5.852B,937.00M,0,0,2.08,2.07,5.034B,2.512B,3.53B,2019-09,2.108B,-63.00M,-63.00M,1.492B,97.00M,7.735B,2.653B,8.586B,2.534B,426.00M,4.467B,740.00M,4.949B,25.98B,0,14.85B,10.71B,21.01B,11.13B,10.29B,877.00M,3.125B,5.223B
MA,2019-06,-730.00M,6.50B,853.00M,0,0,2.01,2,4.756B,2.318B,3.26B,2019-06,2.048B,-51.00M,-51.00M,1.348B,95.00M,7.806B,2.41B,7.449B,2.519B,471.00M,4.113B,728.00M,5.008B,24.73B,0,14.16B,9.497B,19.70B,10.57B,10.20B,850.00M,2.12B,4.156B
MA,2019-03,-673.00M,7.174B,811.00M,0,0,1.81,1.8,3.969B,2.21B,3.078B,2019-03,1.862B,-46.00M,-46.00M,1.305B,61.00M,5.799B,2.214B,7.601B,2.203B,341.00M,3.889B,747.00M,5.168B,23.52B,0,14.40B,10.25B,18.33B,9.124B,8.084B,864.00M,1.988B,4.003B
MA,2018-12,-718.00M,8.378B,843.00M,0,0,0.87,0.87,3.895B,1.768B,2.964B,2018-12,899.00M,-47.00M,-47.00M,921.00M,67.00M,5.834B,1.984B,9.064B,1.215B,316.00M,3.807B,867.00M,5.395B,24.86B,0,16.17B,11.59B,19.44B,8.689B,7.849B,980.00M,2.884B,4.728B
MA,2018-09,-670.00M,8.493B,822.00M,0,0,1.83,1.82,3.973B,1.689B,3.076B,2018-09,1.899B,-48.00M,-48.00M,876.00M,50.00M,5.858B,2.318B,7.202B,2.264B,365.00M,3.898B,647.00M,5.775B,23.34B,0,15.06B,9.709B,17.54B,8.276B,7.835B,758.00M,1.873B,3.612B
MA,2018-06,-632.00M,7.745B,797.00M,0,0,1.5,1.5,4.017B,1.638B,2.868B,2018-06,1.569B,-48.00M,-48.00M,860.00M,58.00M,5.858B,2.102B,6.944B,1.922B,353.00M,3.665B,651.00M,5.257B,22.47B,0,14.30B,9.455B,17.19B,8.166B,7.737B,766.00M,1.89B,3.696B
MA,2018-03,-373.00M,8.268B,752.00M,0,0,1.42,1.41,4.222B,1.587B,2.828B,2018-03,1.492B,-43.00M,-43.00M,839.00M,64.00M,6.469B,1.97B,6.979B,1.803B,311.00M,3.58B,738.00M,5.703B,22.94B,0,14.71B,8.948B,17.21B,8.237B,8.265B,858.00M,2.024B,3.653B
MA,2017-12,-497.00M,7.782B,726.00M,0,0,0.21,0.21,4.155B,1.543B,2.586B,2017-12,227.00M,-41.00M,-41.00M,829.00M,106.00M,5.424B,1.535B,6.916B,1.484B,1.257B,3.312B,936.00M,5.468B,21.33B,0,13.80B,8.793B,15.83B,7.532B,7.039B,1.051B,2.47B,3.344B
MA,2017-09,-542.00M,7.423B,723.00M,0,0,1.34,1.34,4.162B,1.336B,2.675B,2017-09,1.43B,-35.00M,-35.00M,901.00M,139.00M,5.393B,1.964B,6.118B,1.932B,502.00M,3.398B,593.00M,6.442B,20.91B,0,13.23B,7.984B,14.45B,7.683B,6.462B,711.00M,2.08B,3.057B
MA,2017-06,-699.00M,6.959B,644.00M,0,0,1.1,1.1,3.885B,0,2.409B,2017-06,1.177B,-39.00M,-39.00M,845.00M,140.00M,5.326B,1.686B,5.802B,1.628B,451.00M,3.053B,612.00M,5.852B,19.84B,0,12.54B,7.583B,13.96B,7.297B,6.378B,723.00M,2.018B,2.979B
MA,2017-03,-863.00M,7.66B,594.00M,0,0,1,1,2.477B,0,2.14B,2017-03,1.081B,-39.00M,-39.00M,748.00M,83.00M,5.216B,1.558B,5.394B,1.478B,397.00M,2.734B,490.00M,5.611B,18.57B,0,12.88B,7.095B,12.93B,5.685B,5.837B,582.00M,1.854B,2.638B
MA,2016-12,-924.00M,8.335B,579.00M,0,0,0.86,0.86,2.478B,0,2.177B,2016-12,933.00M,-30.00M,-30.00M,733.00M,81.00M,5.18B,1.364B,5.595B,1.311B,378.00M,2.756B,721.00M,5.656B,18.68B,0,13.23B,7.206B,12.99B,5.447B,5.785B,813.00M,1.716B,2.509B
MA,2016-09,-717.00M,6.979B,575.00M,0,0,1.08,1.08,2.561B,0,2.305B,2016-09,1.184B,-23.00M,-23.00M,698.00M,82.00M,3.326B,1.682B,5.419B,1.633B,449.00M,2.88B,530.00M,6.219B,17.32B,0,11.78B,7.121B,11.07B,5.547B,3.953B,623.00M,1.651B,2.435B
MA,2016-06,-697.00M,6.447B,551.00M,0,0,0.89,0.89,2.596B,0,2.143B,2016-06,983.00M,-22.00M,-22.00M,680.00M,83.00M,3.306B,1.478B,4.843B,1.365B,382.00M,2.694B,572.00M,5.837B,16.28B,0,11.00B,6.462B,10.41B,5.284B,3.951B,665.00M,1.406B,2.208B
MA,2016-03,-620.00M,6.208B,520.00M,0,0,0.86,0.86,2.674B,0,1.926B,2016-03,959.00M,-20.00M,-20.00M,669.00M,76.00M,3.333B,1.388B,4.844B,1.337B,378.00M,2.446B,443.00M,5.479B,15.90B,0,10.61B,6.44B,10.39B,5.299B,3.954B,538.00M,1.612B,2.206B
MA,2015-12,-676.00M,6.738B,565.00M,0,0,0.79,0.79,2.694B,1.166B,1.952B,2015-12,890.00M,-12.00M,-12.00M,675.00M,79.00M,3.268B,1.105B,4.81B,1.025B,135.00M,2.517B,754.00M,6.028B,16.25B,0,10.98B,6.269B,10.19B,5.266B,3.919B,847.00M,1.481B,2.147B
MA,2015-09,-536.00M,5.109B,584.00M,0,0,0.86,0.86,2.727B,1.052B,1.946B,2015-09,977.00M,-15.00M,-15.00M,641.00M,95.00M,1.495B,1.357B,4.487B,1.352B,375.00M,2.53B,495.00M,6.267B,14.63B,0,9.625B,5.943B,8.336B,5.009B,2.393B,589.00M,1.422B,1.993B
MA,2015-06,-493.00M,5.077B,488.00M,0,0,0.81,0.81,2.802B,920.00M,1.902B,2015-06,921.00M,-17.00M,-17.00M,632.00M,101.00M,1.495B,1.332B,4.918B,1.241B,320.00M,2.39B,478.00M,6.404B,15.27B,0,10.22B,6.476B,8.836B,5.055B,2.36B,570.00M,1.936B,2.402B
MA,2015-03,-639.00M,5.796B,468.00M,0,0,0.89,0.89,2.117B,0,1.762B,2015-03,1.02B,-17.00M,-17.00M,602.00M,102.00M,1.495B,1.263B,4.507B,1.34B,320.00M,2.23B,412.00M,6.301B,14.63B,0,10.35B,5.937B,8.299B,4.285B,2.362B,499.00M,1.744B,2.142B
MA,2014-12,-260.00M,6.375B,618.00M,0,0,0.7,0.69,2.236B,0,1.793B,2014-12,801.00M,-16.00M,-16.00M,615.00M,115.00M,1.494B,1.008B,4.771B,1.007B,206.00M,2.411B,701.00M,6.79B,15.33B,0,11.00B,6.222B,8.505B,4.332B,2.283B,785.00M,1.666B,2.161B
MA,2014-09,-92.00M,6.319B,511.00M,0,0,0.88,0.87,2.161B,0,1.979B,2014-09,1.015B,-11.00M,-11.00M,553.00M,119.00M,1.494B,1.402B,4.432B,1.418B,403.00M,2.49B,494.00M,6.501B,14.66B,0,10.96B,5.849B,8.111B,3.703B,2.262B,577.00M,1.695B,2.259B
MA,2014-06,188.00M,5.714B,485.00M,0,0,0.8,0.8,2.286B,0,1.883B,2014-06,931.00M,-15.00M,-15.00M,539.00M,125.00M,1.494B,1.40B,4.457B,1.373B,442.00M,2.368B,402.00M,6.266B,14.38B,0,10.58B,5.79B,8.061B,3.798B,2.271B,483.00M,1.901B,2.477B
MA,2014-03,180.00M,6.562B,450.00M,0,0,0.73,0.73,2.009B,0,1.722B,2014-03,870.00M,-6.00M,-6.00M,528.00M,117.00M,1.494B,1.266B,4.658B,1.281B,411.00M,2.172B,383.00M,6.567B,14.80B,0,11.34B,5.994B,8.224B,3.46B,2.23B,456.00M,2.054B,2.471B
MA,2013-12,178.00M,6.295B,452.00M,0,0,0.052,0.052,1.794B,0,1.64B,2013-12,623.00M,-7.00M,-7.00M,526.00M,117.00M,0,1.016B,4.758B,911.00M,288.00M,2.092B,553.00M,7.484B,14.24B,0,10.95B,6.032B,6.747B,3.292B,715.00M,624.00M,1.866B,2.317B
MA,2013-09,120.00M,6.007B,452.00M,0,0,0.73,0.73,1.756B,0,1.766B,2013-09,879.00M,3.00M,3.00M,474.00M,93.00M,0,1.262B,4.229B,1.254B,375.00M,2.218B,440.00M,7.657B,13.73B,0,10.56B,5.42B,6.062B,3.171B,642.00M,504.00M,1.662B,2.323B
MA,2013-06,-15.00M,5.09B,398.00M,0,0,0.7,0.7,1.687B,858.00M,1.497B,2013-06,848.00M,-5.00M,-5.00M,471.00M,98.00M,0,1.228B,3.206B,1.233B,385.00M,2.096B,807.00M,7.018B,12.02B,0,8.962B,4.327B,4.992B,3.059B,665.00M,868.00M,1.012B,1.617B
MA,2013-03,-50.00M,5.02B,402.00M,0,0,0.62,0.62,1.679B,866.00M,1.516B,2013-03,766.00M,-5.00M,-5.00M,468.00M,99.00M,0,1.107B,3.313B,1.102B,336.00M,1.906B,737.00M,6.743B,11.81B,0,8.783B,4.414B,5.053B,3.026B,639.00M,799.00M,1.136B,1.611B
MA,2012-12,61.00M,5.003B,1.453B,0,0,0.488,0.486,1.764B,843.00M,275.00M,2012-12,605.00M,29.00M,29.00M,472.00M,104.00M,0,906.00M,3.895B,894.00M,289.00M,1.895B,529.00M,6.917B,12.46B,0,9.357B,4.906B,5.533B,3.105B,627.00M,591.00M,1.515B,2.042B
MA,2012-09,34.00M,5.639B,0,0,0,0.619,0.617,1.763B,835.00M,1.818B,2012-09,772.00M,-4.00M,-4.00M,465.00M,103.00M,0,1.079B,2.317B,1.066B,294.00M,1.918B,379.00M,6.912B,12.12B,0,9.072B,4.548B,5.196B,3.048B,648.00M,437.00M,1.321B,1.727B
MA,2012-06,-47.00M,4.956B,0,0,0,0.556,0.555,1.665B,819.00M,1.667B,2012-06,700.00M,-3.00M,-3.00M,458.00M,105.00M,0,994.00M,2.267B,973.00M,273.00M,1.82B,770.00M,6.265B,11.24B,0,8.283B,4.307B,4.964B,2.957B,657.00M,826.00M,1.268B,1.651B
MA,2012-03,78.00M,5.141B,0,0,0,0.538,0.536,1.724B,818.00M,1.501B,2012-03,682.00M,-6.00M,-6.00M,450.00M,112.00M,0,1.00B,3.085B,1.00B,318.00M,1.758B,704.00M,6.371B,11.13B,0,8.113B,4.092B,4.752B,3.018B,660.00M,758.00M,1.154B,1.466B
MA,2011-12,-2.00M,4.949B,0,0,0,0.015,0.015,1.679B,811.00M,0,2011-12,19.00M,-3.00M,-3.00M,449.00M,113.00M,0,747.00M,3.439B,-10.00M,-30.00M,1.728B,-524.00M,5.868B,10.69B,0,7.741B,4.217B,4.816B,2.952B,599.00M,-472.00M,1.141B,1.444B
MA,2011-09,104.00M,4.392B,0,0,0,0.565,0.563,1.709B,791.00M,0,2011-09,717.00M,11.00M,11.00M,450.00M,125.00M,0,1.002B,2.036B,1.03B,314.00M,1.818B,765.00M,5.972B,9.674B,0,6.753B,3.105B,3.692B,2.921B,587.00M,816.00M,1.042B,1.285B
MA,2011-06,247.00M,3.604B,0,0,0,0.477,0.476,1.768B,0,0,2011-06,608.00M,9.00M,9.00M,454.00M,130.00M,0,885.00M,2.175B,892.00M,284.00M,1.667B,733.00M,5.47B,9.025B,0,6.011B,2.964B,3.544B,3.014B,580.00M,782.00M,996.00M,1.196B
