Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MAR,2020-12,-135.00M,877.00M,1.784B,1.173B,0,-0.5,-0.5,18.16B,3.154B,388.00M,2020-12,0,-164.00M,-105.00M,-105.00M,2.266B,1.625B,10.03B,134.00M,2.81B,-314.00M,-150.00M,2.172B,183.00M,430.00M,24.70B,5.00M,2.825B,5.752B,24.27B,21.88B,18.52B,254.00M,527.00M,1.768B
MAR,2020-09,-446.00M,1.577B,1.817B,1.316B,0,0.31,0.31,17.59B,2.547B,437.00M,2020-09,0,100.00M,-107.00M,-107.00M,2.547B,1.761B,10.50B,253.00M,2.966B,127.00M,27.00M,2.254B,131.00M,229.00M,25.15B,5.00M,3.54B,6.006B,24.92B,21.61B,18.91B,184.00M,486.00M,1.791B
MAR,2020-06,-608.00M,2.283B,1.362B,1.665B,0,-0.72,-0.72,17.47B,2.577B,102.00M,2020-06,0,-234.00M,-119.00M,-119.00M,2.577B,1.786B,10.96B,-148.00M,2.973B,-298.00M,-64.00M,1.464B,178.00M,-79.00M,25.68B,5.00M,4.113B,6.118B,25.76B,21.57B,19.64B,250.00M,555.00M,1.621B
MAR,2020-03,-739.00M,1.76B,4.149B,1.664B,0,0.1,0.09,17.39B,2.636B,532.00M,2020-03,0,31.00M,-87.00M,-87.00M,2.636B,1.074B,11.42B,112.00M,3.302B,19.00M,-12.00M,4.681B,270.00M,-20.00M,25.55B,5.00M,4.049B,6.516B,25.57B,21.50B,19.05B,420.00M,828.00M,2.068B
MAR,2019-12,-361.00M,225.00M,4.704B,977.00M,0,0.85,0.85,17.69B,4.093B,667.00M,2019-12,0,279.00M,-89.00M,-89.00M,2.792B,1.13B,10.84B,221.00M,3.442B,326.00M,47.00M,5.371B,267.00M,703.00M,25.05B,5.00M,3.127B,6.677B,24.35B,21.92B,17.67B,446.00M,720.00M,2.395B
MAR,2019-09,-504.00M,276.00M,4.396B,227.00M,0,1.17,1.16,17.54B,2.915B,888.00M,2019-09,0,387.00M,-92.00M,-92.00M,2.915B,1.09B,11.42B,616.00M,3.326B,527.00M,140.00M,5.284B,220.00M,838.00M,24.81B,5.00M,2.90B,5.738B,23.97B,21.91B,18.24B,272.00M,813.00M,2.394B
MAR,2019-06,-326.00M,284.00M,4.438B,229.00M,0,0.7,0.69,17.68B,2.922B,867.00M,2019-06,0,232.00M,-96.00M,-96.00M,2.922B,1.127B,11.08B,582.00M,3.238B,314.00M,82.00M,5.305B,229.00M,1.24B,24.89B,5.00M,2.869B,5.624B,23.65B,22.02B,18.03B,285.00M,927.00M,2.328B
MAR,2019-03,-360.00M,258.00M,4.217B,231.00M,0,1.1,1.09,17.66B,2.94B,795.00M,2019-03,0,375.00M,-91.00M,-91.00M,2.94B,1.184B,10.91B,519.00M,2.992B,432.00M,57.00M,5.012B,222.00M,1.603B,24.75B,5.00M,2.735B,5.848B,23.14B,22.01B,17.30B,276.00M,745.00M,2.218B
MAR,2018-12,-391.00M,316.00M,4.472B,833.00M,0,0.93,0.92,17.42B,3.473B,817.00M,2018-12,0,317.00M,-88.00M,-88.00M,1.956B,1.216B,8.514B,513.00M,3.075B,345.00M,28.00M,5.289B,242.00M,2.225B,23.70B,5.00M,2.706B,6.437B,21.47B,20.99B,15.03B,304.00M,767.00M,2.133B
MAR,2018-09,-309.00M,373.00M,4.17B,617.00M,0,1.45,1.43,17.47B,0,881.00M,2018-09,0,503.00M,-81.00M,-81.00M,1.967B,1.183B,8.71B,608.00M,3.129B,594.00M,91.00M,5.051B,221.00M,2.324B,23.83B,5.00M,2.803B,6.051B,21.51B,21.03B,15.46B,273.00M,759.00M,2.175B
