Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MAS,2020-12,-142.00M,1.326B,1.20B,42.00M,62.00M,0.7552,0.74,920.00M,2.187B,660.00M,2020-12,876.00M,195.00M,-34.00M,-34.00M,1.074B,0,2.941B,307.00M,1.648B,275.00M,67.00M,1.86B,353.00M,195.00M,5.777B,258.00M,3.489B,1.934B,5.356B,2.288B,3.422B,353.00M,961.00M,1.138B
MAS,2020-09,-156.00M,1.326B,1.231B,5.00M,40.00M,1.05,1.05,781.00M,1.034B,752.00M,2020-09,811.00M,275.00M,-40.00M,-40.00M,1.034B,0,2.93B,424.00M,1.732B,380.00M,87.00M,1.983B,328.00M,141.00M,5.575B,261.00M,3.487B,1.737B,5.234B,2.088B,3.497B,328.00M,933.00M,1.262B
MAS,2020-06,-184.00M,1.089B,1.136B,407.00M,39.00M,0.85,0.85,780.00M,1.024B,628.00M,2020-06,750.00M,224.00M,-35.00M,-35.00M,1.024B,0,2.522B,339.00M,1.747B,302.00M,82.00M,1.764B,289.00M,-136.00M,5.302B,260.00M,3.225B,2.154B,5.265B,2.077B,3.111B,289.00M,845.00M,1.308B
MAS,2020-03,-199.00M,767.00M,1.034B,5.00M,0,1.93,1.92,782.00M,1.032B,547.00M,2020-03,756.00M,530.00M,-35.00M,-35.00M,1.032B,0,2.928B,225.00M,1.499B,174.00M,33.00M,1.581B,322.00M,-348.00M,4.84B,263.00M,2.745B,1.504B,5.005B,2.095B,3.501B,322.00M,743.00M,1.142B
MAS,2019-12,-179.00M,697.00M,1.074B,40.00M,0,1.644,1.59,768.00M,2.072B,565.00M,2019-12,754.00M,453.00M,-40.00M,-40.00M,1.054B,0,2.933B,255.00M,1.278B,217.00M,49.00M,1.639B,310.00M,-235.00M,5.027B,276.00M,2.711B,1.548B,5.083B,2.316B,3.535B,310.00M,752.00M,997.00M
MAS,2019-09,-118.00M,475.00M,1.105B,208.00M,0,0.44,0.44,951.00M,1.20B,611.00M,2019-09,924.00M,126.00M,-39.00M,-39.00M,1.20B,0,2.771B,289.00M,1.561B,241.00M,66.00M,1.716B,322.00M,-143.00M,5.52B,284.00M,2.792B,1.909B,5.497B,2.728B,3.588B,322.00M,879.00M,1.177B
MAS,2019-06,-117.00M,325.00M,1.166B,231.00M,0,0.82,0.82,1.278B,1.44B,673.00M,2019-06,975.00M,240.00M,-41.00M,-41.00M,1.44B,0,2.771B,347.00M,1.722B,303.00M,80.00M,1.839B,326.00M,-91.00M,5.653B,287.00M,2.843B,1.953B,5.582B,2.81B,3.629B,326.00M,1.023B,1.423B
MAS,2019-03,-123.00M,316.00M,991.00M,295.00M,0,0.39,0.39,1.281B,1.447B,522.00M,2019-03,1.011B,116.00M,-39.00M,-39.00M,1.447B,0,2.771B,206.00M,1.634B,153.00M,35.00M,1.513B,316.00M,-146.00M,5.602B,291.00M,2.758B,1.929B,5.56B,2.844B,3.631B,316.00M,954.00M,1.321B
MAS,2018-12,-127.00M,552.00M,495.00M,8.00M,0,0.6601,0.64,799.00M,1.842B,416.00M,2018-12,798.00M,194.00M,-39.00M,-39.00M,885.00M,0,2.971B,207.00M,1.302B,166.00M,33.00M,911.00M,209.00M,-111.00M,5.393B,294.00M,2.766B,1.684B,5.324B,2.627B,3.64B,209.00M,786.00M,990.00M
MAS,2018-09,-113.00M,569.00M,1.281B,2.00M,0,0.59,0.58,1.308B,0,623.00M,2018-09,1.005B,180.00M,-38.00M,-38.00M,1.211B,0,2.971B,286.00M,1.751B,248.00M,67.00M,1.904B,337.00M,36.00M,5.61B,303.00M,2.99B,1.753B,5.403B,2.62B,3.65B,337.00M,1.04B,1.298B
MAS,2018-06,-118.00M,384.00M,1.547B,2.00M,32.00M,0.69,0.68,1.307B,2.665B,750.00M,2018-06,1.017B,211.00M,-38.00M,-38.00M,1.187B,0,2.97B,358.00M,1.768B,312.00M,88.00M,2.297B,392.00M,-34.00M,5.565B,305.00M,2.962B,1.77B,5.439B,2.603B,3.669B,392.00M,1.093B,1.444B
MAS,2018-03,-84.00M,469.00M,1.301B,116.00M,0,0.48,0.47,1.32B,2.618B,619.00M,2018-03,1.05B,149.00M,-41.00M,-41.00M,1.183B,0,2.971B,244.00M,1.654B,200.00M,39.00M,1.92B,375.00M,-72.00M,5.63B,308.00M,2.993B,1.77B,5.447B,2.637B,3.677B,375.00M,1.008B,1.356B
MAS,2017-12,-65.00M,1.302B,13.00M,116.00M,0,0.2803,0.27,1.028B,0,212.00M,2017-12,784.00M,80.00M,-40.00M,-40.00M,1.129B,0,2.969B,91.00M,1.469B,-18.00M,-3.00M,225.00M,121.00M,-53.00M,5.534B,310.00M,3.263B,1.667B,5.351B,2.271B,3.684B,121.00M,884.00M,1.066B
MAS,2017-09,-127.00M,1.218B,1.288B,117.00M,0,0.48,0.48,957.00M,0,657.00M,2017-09,866.00M,152.00M,-43.00M,-43.00M,1.097B,0,2.969B,309.00M,1.591B,264.00M,100.00M,1.945B,348.00M,-159.00M,5.483B,311.00M,3.308B,1.708B,5.423B,2.175B,3.715B,348.00M,916.00M,1.128B
MAS,2017-06,-158.00M,1.136B,1.32B,117.00M,0,0.51,0.51,953.00M,0,746.00M,2017-06,850.00M,163.00M,-153.00M,-153.00M,1.08B,0,2.967B,372.00M,1.575B,262.00M,86.00M,2.066B,374.00M,-131.00M,5.489B,315.00M,3.306B,1.692B,5.419B,2.183B,3.727B,374.00M,960.00M,1.231B
MAS,2017-03,-214.00M,883.00M,1.173B,3.00M,0,0.43,0.43,989.00M,0,605.00M,2017-03,826.00M,138.00M,-43.00M,-43.00M,1.074B,0,2.996B,257.00M,1.421B,210.00M,62.00M,1.778B,348.00M,-268.00M,5.139B,316.00M,2.958B,1.424B,5.198B,2.181B,3.774B,348.00M,903.00M,1.144B
MAS,2016-12,-235.00M,1.191B,1.184B,2.00M,0,0.3082,0.3,986.00M,0,579.00M,2016-12,712.00M,100.00M,-43.00M,-43.00M,1.06B,0,2.995B,249.00M,1.406B,175.00M,67.00M,1.763B,330.00M,-298.00M,5.137B,318.00M,2.934B,1.46B,5.24B,2.203B,3.78B,330.00M,851.00M,917.00M
