Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MCHP,2020-12,-22.30M,372.70M,506.30M,1.533B,0,0.14,0.13,11.70B,3.038B,845.80M,2020-12,666.10M,36.20M,-86.30M,-86.30M,827.40M,9.90M,7.648B,249.90M,490.00M,16.80M,-19.40M,210.10M,1.352B,154.20M,5.297B,16.58B,0.30M,2.152B,2.522B,11.28B,14.42B,8.757B,595.90M,272.60M,893.80M
MCHP,2020-09,-20.90M,370.30M,501.60M,1.036B,0,0.29,0.27,11.92B,2.995B,807.90M,2020-09,661.40M,73.60M,-93.00M,-93.00M,822.10M,81.60M,8.181B,230.50M,436.00M,88.80M,15.20M,199.80M,1.310B,144.70M,5.444B,16.77B,0.30M,2.122B,1.975B,11.33B,14.65B,9.352B,577.40M,233.00M,903.70M
MCHP,2020-06,-21.10M,380.20M,511.40M,1.636B,0,0.5,0.48,12.15B,2.976B,798.30M,2020-06,657.20M,123.60M,-98.80M,-98.80M,844.00M,112.30M,7.73B,218.60M,442.70M,89.50M,-34.10M,198.00M,1.310B,146.30M,5.501B,17.03B,0.30M,2.135B,2.586B,11.53B,14.89B,8.941B,579.70M,251.40M,894.30M
MCHP,2020-03,-21.60M,403.00M,512.50M,653.30M,0,0.42,0.39,12.37B,3.086B,813.90M,2020-03,685.70M,99.90M,-114.90M,-114.90M,995.60M,318.50M,8.968B,177.90M,493.60M,45.80M,-54.10M,221.80M,1.326B,165.70M,5.586B,17.43B,0.20M,2.217B,1.637B,11.84B,15.21B,10.20B,636.00M,284.80M,934.00M
MCHP,2019-12,-22.00M,402.30M,501.90M,1.444B,0,1.3,1.2,12.60B,2.980B,785.50M,2019-12,708.80M,311.10M,-119.10M,-119.10M,909.70M,386.30M,8.291B,149.00M,438.40M,10.60M,-300.50M,217.10M,1.287B,170.70M,5.617B,17.59B,0.20M,2.104B,2.337B,11.97B,15.48B,9.635B,636.50M,220.10M,807.50M
MCHP,2019-09,-22.30M,405.10M,510.30M,1.428B,0,0.46,0.43,12.85B,3.113B,827.50M,2019-09,734.20M,108.90M,-128.60M,-128.60M,1.072B,577.90M,8.527B,187.20M,502.80M,53.50M,-55.40M,219.80M,1.338B,172.30M,5.361B,17.86B,0.20M,2.178B,2.423B,12.50B,15.68B,10.07B,640.30M,284.20M,848.60M
MCHP,2019-06,-22.30M,437.10M,507.40M,1.413B,0,0.21,0.2,13.09B,3.078B,815.20M,2019-06,733.10M,50.70M,-131.90M,-131.90M,1.085B,690.00M,8.812B,179.70M,546.60M,40.50M,-10.20M,219.10M,1.323B,167.90M,5.288B,18.25B,0.20M,2.278B,2.451B,12.96B,15.97B,10.51B,635.50M,274.40M,936.80M
MCHP,2019-03,-20.70M,430.90M,509.40M,1.361B,0,0.74,0.7,13.35B,2.946B,820.40M,2019-03,711.70M,174.70M,-135.40M,-135.40M,996.70M,706.10M,8.946B,261.40M,513.60M,151.20M,-23.50M,214.70M,1.330B,167.40M,5.288B,18.35B,0.20M,2.215B,2.374B,13.06B,16.14B,10.69B,559.00M,273.30M,880.60M
MCHP,2018-12,-17.00M,436.20M,595.10M,1.335B,0,0.21,0.2,13.41B,3.043B,779.60M,2018-12,702.50M,49.20M,-136.90M,-136.90M,1.040B,830.50M,10.54B,193.40M,643.70M,55.00M,5.80M,217.70M,1.375B,174.80M,5.161B,18.16B,0.20M,1.878B,643.70M,12.99B,16.28B,12.35B,586.20M,236.00M,544.80M
MCHP,2018-09,-16.70M,464.20M,743.20M,0,0,0.41,0.38,13.61B,3.010B,689.30M,2018-09,836.70M,96.30M,-137.70M,-137.70M,1.052B,815.40M,9.551B,120.90M,753.10M,-39.40M,-135.70M,221.90M,1.432B,176.60M,5.170B,18.67B,0.20M,2.176B,2.088B,13.50B,16.49B,11.41B,568.40M,271.20M,668.80M
MCHP,2018-06,-14.90M,649.70M,570.50M,1.330B,0,0.15,0.14,13.52B,2.991B,642.00M,2018-06,1.105B,35.70M,-84.70M,-84.70M,1.078B,854.20M,10.02B,172.40M,809.50M,37.70M,2.00M,171.90M,1.212B,164.00M,5.124B,19.25B,0.20M,2.818B,2.139B,14.12B,16.43B,11.99B,469.60M,318.20M,789.40M
MCHP,2018-03,-17.60M,2.197B,387.20M,1.310B,333.80M,0.63,0.58,3.961B,2.644B,615.10M,2018-03,476.20M,146.70M,-42.70M,-42.70M,767.90M,205.80M,1.758B,244.30M,286.10M,188.20M,41.50M,133.60M,1.002B,114.50M,3.280B,8.257B,0.20M,3.356B,2.017B,4.977B,4.901B,2.96B,370.80M,171.60M,563.70M
MCHP,2017-12,-22.19M,1.100B,387.10M,5.98M,335.70M,-1.07,-1.07,4.084B,2.606B,607.10M,2017-12,487.06M,-251.10M,-43.40M,-43.40M,754.78M,208.82M,3.040B,245.40M,421.13M,196.70M,447.80M,131.60M,994.20M,109.10M,3.185B,8.124B,0.234M,2.253B,756.83M,4.939B,5.870B,4.182B,361.70M,162.72M,553.14M
MCHP,2017-09,-17.81M,1.315B,398.00M,11.26M,324.36M,0.81,0.77,4.205B,2.545B,614.10M,2017-09,456.94M,189.20M,-44.90M,-44.90M,722.78M,328.24M,3.012B,245.30M,403.84M,186.20M,-3.00M,133.60M,1.012B,114.30M,3.546B,8.055B,0.234M,2.443B,734.19M,4.509B,5.612B,3.775B,368.80M,182.60M,545.42M
MCHP,2017-06,-19.13M,1.230B,387.70M,50.00M,308.80M,0.74,0.7,4.326B,2.490B,584.40M,2017-06,426.84M,170.60M,-46.00M,-46.00M,694.00M,347.22M,2.984B,218.80M,416.39M,166.20M,-4.40M,130.50M,972.10M,114.30M,3.413B,7.888B,0.233M,2.299B,736.44M,4.475B,5.589B,3.739B,365.60M,171.86M,528.95M
MCHP,2017-03,-14.40M,1.303B,369.83M,0,292.80M,0.61,0.57,4.447B,2.452B,532.83M,2017-03,417.20M,136.87M,-40.28M,-40.28M,683.30M,409.10M,2.900B,200.15M,361.70M,71.82M,-65.10M,127.19M,902.66M,111.15M,3.271B,7.687B,0.20M,2.305B,704.50M,4.416B,5.382B,3.712B,332.68M,149.20M,478.40M
MCHP,2016-12,-10.83M,669.64M,369.11M,0,294.26M,0.5,0.46,4.596B,2.438B,465.26M,2016-12,419.62M,107.18M,-34.64M,-34.64M,698.70M,386.82M,3.124B,139.02M,357.29M,83.50M,-23.84M,132.43M,834.37M,111.02M,2.567B,7.145B,0.216M,1.677B,651.55M,4.578B,5.468B,3.926B,326.24M,135.16M,475.09M
MCHP,2016-09,-15.90M,490.84M,460.74M,0,223.20M,0.16,0.14,4.707B,2.433B,410.62M,2016-09,424.69M,33.92M,-34.68M,-34.68M,717.00M,416.45M,3.105B,72.30M,355.61M,25.23M,-10.34M,137.80M,871.36M,120.13M,2.520B,7.074B,0.216M,1.491B,578.80M,4.555B,5.584B,3.976B,338.32M,131.62M,451.04M
MCHP,2016-06,-14.43M,601.79M,450.92M,0,213.17M,-0.53,-0.53,4.794B,2.421B,348.49M,2016-06,518.43M,-113.36M,-33.60M,-33.60M,732.82M,468.56M,3.337B,-37.07M,360.11M,-90.75M,18.48M,147.88M,799.41M,157.50M,2.533B,7.359B,0.215M,1.673B,573.28M,4.826B,5.686B,4.253B,385.56M,137.61M,435.51M
MCHP,2016-03,-3.357M,2.446B,254.80M,0,183.43M,0.33,0.31,1.619B,2.267B,302.82M,2016-03,306.82M,67.32M,-21.01M,-21.01M,609.40M,399.22M,2.453B,80.71M,198.58M,57.62M,-9.71M,95.64M,557.61M,78.32M,2.151B,5.538B,0.204M,3.097B,382.01M,3.387B,2.441B,3.005B,222.10M,79.31M,290.18M
MCHP,2015-12,-10.66M,1.008B,247.63M,17.50M,163.58M,0.3,0.28,1.666B,2.257B,292.72M,2015-12,319.52M,61.21M,-20.83M,-20.83M,622.84M,422.67M,2.406B,71.11M,180.33M,50.16M,-11.05M,97.02M,540.34M,76.27M,2.126B,5.447B,0.203M,1.633B,343.91M,3.320B,3.814B,2.976B,221.60M,69.06M,248.01M
MCHP,2015-09,-3.095M,2.002B,240.44M,17.50M,179.96M,0.32,0.3,1.711B,2.240B,300.95M,2015-09,363.76M,64.90M,-19.24M,-19.24M,631.60M,448.78M,2.688B,81.60M,191.81M,53.96M,-10.94M,95.26M,541.39M,80.26M,2.129B,5.786B,0.203M,2.779B,371.78M,3.657B,3.007B,3.285B,219.35M,72.36M,281.06M
