Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MCK,2020-12,-1.503B,3.577B,59.45B,1.313B,0,-39.03,-39.03,12.49B,4.473B,3.151B,2020-12,19.21B,-6.226B,-55.00M,-55.00M,4.473B,773.00M,8.214B,860.00M,40.60B,-7.363B,-1.189B,62.60B,0,-477.00M,61.84B,2.00M,42.37B,41.93B,62.12B,19.48B,20.19B,2.291B,36.51B,18.88B
MCK,2020-09,-1.597B,3.091B,57.81B,2.127B,0,3.56,3.54,12.44B,4.366B,3.00B,2020-09,18.44B,577.00M,-50.00M,-50.00M,4.366B,2.293B,7.517B,763.00M,40.06B,655.00M,28.00M,60.81B,0,5.89B,61.56B,2.00M,42.34B,42.72B,55.47B,19.21B,12.74B,2.237B,36.26B,19.28B
MCK,2020-06,-1.735B,2.613B,52.98B,1.411B,0,2.74,2.72,12.51B,4.249B,2.70B,2020-06,16.61B,444.00M,-60.00M,-60.00M,4.249B,2.274B,8.022B,734.00M,36.68B,645.00M,150.00M,55.68B,0,5.446B,57.67B,2.00M,38.68B,38.60B,52.01B,18.98B,13.41B,1.966B,33.21B,17.77B
MCK,2020-03,-1.703B,4.015B,55.20B,1.406B,0,5.89,5.85,12.52B,6.08B,3.336B,2020-03,16.73B,1.021B,-16.00M,-16.00M,4.251B,2.255B,7.995B,851.00M,40.54B,1.201B,129.00M,58.54B,0,5.092B,61.25B,2.00M,42.22B,42.62B,55.94B,19.02B,13.31B,2.485B,37.20B,19.95B
MCK,2019-12,-1.663B,2.065B,56.14B,3.481B,0,1.04,1.03,12.82B,4.421B,3.033B,2019-12,17.02B,186.00M,-64.00M,-64.00M,4.421B,2.686B,8.514B,498.00M,36.10B,294.00M,47.00M,59.17B,0,6.174B,60.87B,3.00M,39.39B,40.06B,54.49B,21.48B,14.43B,2.535B,32.74B,18.83B
MCK,2019-09,-1.704B,1.356B,54.75B,1.213B,0,-3.99,-3.99,12.90B,4.495B,2.867B,2019-09,16.36B,-730.00M,-64.00M,-64.00M,4.495B,2.718B,9.105B,671.00M,35.93B,-970.00M,-294.00M,57.62B,0,6.482B,58.99B,3.00M,37.35B,37.14B,52.30B,21.64B,15.16B,2.196B,32.56B,18.98B
MCK,2019-06,-1.778B,1.947B,52.94B,683.00M,0,2.25,2.24,13.04B,4.497B,2.787B,2019-06,16.60B,423.00M,-56.00M,-56.00M,4.497B,3.058B,9.187B,657.00M,37.27B,619.00M,136.00M,55.73B,0,7.874B,61.68B,3.00M,38.43B,37.95B,53.61B,23.25B,15.66B,2.13B,34.02B,19.29B
MCK,2019-03,-1.849B,2.981B,49.23B,330.00M,0,-4.17,-4.17,13.05B,4.326B,3.201B,2019-03,16.71B,-796.00M,-31.00M,-31.00M,2.548B,2.998B,7.265B,946.00M,37.30B,-633.00M,111.00M,52.43B,0,8.094B,59.67B,3.00M,38.46B,37.63B,51.38B,21.21B,13.76B,2.255B,33.85B,18.25B
MCK,2018-12,-1.826B,1.849B,53.24B,2.168B,0,2.41,2.4,14.44B,0,2.97B,2018-12,16.95B,469.00M,-67.00M,-67.00M,2.503B,2.983B,7.616B,814.00M,35.26B,650.00M,123.00M,56.21B,0,9.185B,61.01B,3.00M,38.32B,37.42B,51.62B,22.69B,14.20B,2.156B,32.09B,18.93B
MCK,2018-09,-1.762B,2.118B,50.27B,2.52B,0,2.52,2.51,14.76B,0,2.804B,2018-09,16.67B,499.00M,-66.00M,-66.00M,2.488B,2.844B,6.568B,771.00M,36.34B,587.00M,35.00M,53.08B,0,9.326B,61.42B,3.00M,38.54B,38.86B,51.89B,22.88B,13.02B,2.033B,33.23B,19.21B
