Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MDLZ,2020-12,-10.69B,3.619B,4.426B,2.77B,0,0.81,0.8,40.38B,16.99B,2.872B,2020-12,2.647B,1.156B,-101.00M,-101.00M,9.664B,3.346B,17.75B,1.197B,8.339B,941.00M,344.00M,7.298B,1.624B,27.58B,67.81B,0,9.979B,15.16B,40.16B,57.83B,25.00B,1.675B,6.209B,2.954B
MDLZ,2020-09,-11.26B,2.759B,3.873B,1.198B,0,0.78,0.78,39.39B,16.23B,2.792B,2020-09,2.84B,1.119B,-104.00M,-104.00M,9.194B,3.387B,19.40B,1.258B,7.625B,1.084B,391.00M,6.665B,1.484B,26.94B,66.25B,0,9.446B,12.68B,39.22B,56.80B,26.54B,1.534B,5.597B,3.056B
MDLZ,2020-06,-11.42B,1.602B,3.58B,3.70B,0,0.38,0.38,38.87B,15.82B,2.331B,2020-06,2.71B,544.00M,-108.00M,-108.00M,9.01B,3.383B,16.48B,828.00M,7.27B,659.00M,341.00M,5.911B,1.453B,26.02B,64.19B,0,7.995B,14.54B,38.10B,56.20B,23.56B,1.503B,5.466B,2.61B
MDLZ,2020-03,-11.62B,1.925B,4.256B,6.436B,0,0.53,0.52,37.49B,15.18B,2.451B,2020-03,2.441B,753.00M,-110.00M,-110.00M,8.644B,3.308B,13.79B,871.00M,7.402B,699.00M,148.00M,6.707B,1.537B,25.67B,63.60B,0,9.068B,17.00B,37.85B,54.53B,20.84B,1.58B,5.554B,3.298B
MDLZ,2019-12,-10.25B,1.291B,4.154B,4.219B,0,0.5,0.5,38.80B,16.10B,2.759B,2019-12,2.546B,733.00M,-113.00M,-113.00M,9.301B,3.338B,14.61B,965.00M,7.689B,854.00M,230.00M,6.913B,1.75B,27.24B,64.52B,0,7.63B,15.32B,37.20B,56.88B,21.88B,1.794B,5.853B,2.927B
MDLZ,2019-09,-10.72B,1.537B,3.839B,6.927B,0,0.99,0.98,38.11B,15.56B,2.516B,2019-09,2.742B,1.426B,-121.00M,-121.00M,8.912B,3.232B,13.02B,1.007B,7.067B,684.00M,-633.00M,6.355B,1.466B,26.81B,63.90B,0,8.63B,17.12B,37.02B,55.26B,19.90B,1.509B,5.322B,3.175B
MDLZ,2019-06,-10.54B,1.248B,3.593B,7.455B,0,0.56,0.55,38.64B,15.85B,2.469B,2019-06,2.731B,803.00M,-127.00M,-127.00M,9.187B,3.591B,12.21B,999.00M,6.95B,936.00M,216.00M,6.062B,1.427B,26.09B,63.57B,0,7.836B,17.80B,37.40B,55.74B,19.60B,1.47B,5.312B,2.891B
MDLZ,2019-03,-10.50B,1.542B,3.945B,6.983B,0,0.63,0.63,38.64B,16.01B,2.593B,2019-03,2.62B,914.00M,-123.00M,-123.00M,9.156B,3.546B,12.91B,1.056B,7.442B,973.00M,189.00M,6.538B,1.493B,25.83B,64.16B,0,8.539B,17.72B,38.25B,55.62B,20.53B,1.537B,5.566B,3.536B
MDLZ,2018-12,-10.63B,1.10B,4.224B,5.84B,0,0.56,0.56,38.73B,15.24B,2.549B,2018-12,2.592B,759.00M,-128.00M,-128.00M,8.482B,3.552B,12.53B,969.00M,7.55B,767.00M,111.00M,6.773B,1.536B,25.64B,62.73B,0,7.604B,16.74B,37.02B,55.12B,20.28B,1.58B,5.794B,3.006B
MDLZ,2018-09,-10.64B,1.373B,3.874B,5.212B,0,0.81,0.81,39.04B,15.33B,2.414B,2018-09,2.842B,1.194B,-117.00M,-117.00M,8.403B,3.558B,14.85B,862.00M,7.021B,670.00M,310.00M,6.288B,1.508B,25.46B,63.92B,0,8.722B,15.51B,38.39B,55.20B,22.88B,1.552B,5.374B,3.577B
