Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MGM,2020-12,-30.68M,5.102B,910.66M,112.04M,256.19M,-0.92,-0.92,5.735B,30.39B,582.88M,2020-12,88.32M,-447.60M,-188.68M,-188.68M,22.92B,2.153B,20.77B,-350.35M,1.456B,-562.87M,-106.90M,1.494B,634.50M,6.505B,36.49B,4.943M,5.951B,1.857B,25.32B,30.54B,23.46B,933.22M,345.86M,559.92M
MGM,2020-09,-39.37M,4.594B,729.52M,95.45M,367.15M,-1.08,-1.08,5.789B,23.12B,396.40M,2020-09,97.32M,-534.73M,-173.81M,-173.81M,23.12B,2.164B,19.80B,-511.70M,1.967B,-678.70M,-76.73M,1.126B,613.73M,6.861B,37.00B,4.933M,6.186B,2.767B,25.30B,30.82B,22.54B,908.10M,179.27M,1.250B
MGM,2020-06,-39.03M,4.836B,374.37M,2.548M,563.94M,-1.67,-1.67,5.838B,23.36B,-84.56M,2020-06,106.79M,-857.26M,-156.76M,-156.76M,23.36B,2.243B,19.72B,-999.83M,1.775B,-1.207B,-270.24M,289.81M,616.14M,7.375B,37.47B,4.933M,6.371B,2.575B,25.12B,31.10B,22.55B,915.27M,149.14M,1.205B
MGM,2020-03,-39.77M,6.016B,1.438B,43.41M,0,1.64,1.64,5.887B,23.60B,814.65M,2020-03,106.33M,806.87M,-157.14M,-157.14M,23.60B,2.388B,20.12B,-221.87M,1.891B,936.82M,262.30M,2.253B,718.11M,8.174B,39.12B,4.932M,7.598B,2.626B,25.79B,31.52B,23.16B,1.037B,243.70M,1.234B
MGM,2019-12,-10.20M,2.330B,1.900B,0,0,3.94,3.91,5.911B,31.26B,1.285B,2019-12,102.89M,2.012B,-200.48M,-200.48M,22.68B,2.107B,15.45B,275.92M,1.994B,2.622B,556.38M,3.185B,676.05M,7.727B,33.88B,5.031M,4.008B,3.191B,21.21B,29.87B,18.02B,1.010B,581.69M,1.375B
MGM,2019-09,-46.84M,1.234B,1.937B,0,0,-0.08,-0.08,5.943B,21.25B,1.378B,2019-09,104.21M,-37.13M,-215.50M,-215.50M,21.25B,1.536B,15.46B,452.02M,2.558B,-1.172M,-7.276M,3.314B,602.77M,6.061B,31.17B,5.139M,2.881B,3.293B,20.65B,28.29B,17.36B,925.71M,398.14M,1.309B
MGM,2019-06,-26.33M,1.161B,1.905B,0,0,0.08,0.08,6.004B,21.72B,1.318B,2019-06,106.71M,43.40M,-215.83M,-215.83M,21.72B,1.553B,15.19B,350.27M,2.787B,87.90M,11.73M,3.223B,632.48M,6.520B,30.81B,5.263M,2.040B,2.787B,19.86B,28.77B,17.07B,968.15M,509.33M,583.77M
MGM,2019-03,-24.61M,1.223B,1.862B,0,0,0.05,0.05,6.048B,21.84B,1.315B,2019-03,111.30M,31.30M,-216.12M,-216.12M,21.84B,1.567B,15.24B,340.29M,2.810B,137.67M,71.51M,3.177B,654.55M,6.786B,31.15B,5.372M,2.207B,2.813B,19.93B,28.94B,17.12B,974.25M,585.88M,621.14M
MGM,2018-12,-8.556M,1.527B,1.827B,0,0,-0.06,-0.06,5.766B,29.75B,1.226B,2018-12,110.83M,-23.33M,-214.54M,-214.54M,20.73B,1.343B,15.09B,331.94M,2.342B,98.50M,92.74M,3.053B,563.05M,6.512B,30.21B,5.275M,2.527B,2.949B,19.74B,27.68B,16.79B,894.10M,881.26M,685.64M
MGM,2018-09,6.234M,1.303B,1.787B,0,0,0.26,0.26,5.814B,0,1.242B,2018-09,104.44M,142.88M,-205.57M,-205.57M,20.73B,1.241B,14.66B,333.01M,2.978B,190.46M,19.05M,3.029B,561.51M,6.773B,29.97B,5.319M,2.208B,2.978B,19.23B,27.77B,16.25B,908.87M,673.75M,566.20M
