Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MKC,2021-02,-422.50M,256.10M,904.00M,860.20M,0.61,0.6,8.898B,2.151B,577.50M,2021-02,1.073B,161.80M,-33.80M,-33.80M,1.071B,739.50M,4.739B,256.20M,1.564B,207.10M,58.60M,1.482B,321.30M,4.150B,12.69B,1.998B,1.955B,2.424B,8.520B,10.73B,6.097B,321.30M,967.40M,515.90M
MKC,2020-11,-470.80M,423.60M,897.20M,1.151B,0.75,0.74,8.342B,1.054B,660.70M,2020-11,1.033B,200.70M,-24.60M,-24.60M,1.165B,727.20M,3.754B,290.20M,1.713B,247.60M,57.50M,1.558B,370.50M,3.926B,12.09B,1.981B,2.084B,3.046B,8.150B,10.01B,5.103B,370.50M,1.123B,528.50M
MKC,2020-08,-429.90M,221.00M,840.00M,431.50M,0.775,0.765,7.417B,1.820B,590.30M,2020-08,942.10M,206.10M,-33.50M,-33.50M,960.90M,704.40M,3.738B,273.10M,1.522B,243.40M,46.90M,1.430B,317.20M,3.933B,10.86B,1.972B,1.760B,1.954B,6.915B,9.101B,4.961B,317.20M,902.80M,496.50M
MKC,2020-05,-577.70M,185.00M,821.60M,207.60M,0.735,0.73,7.318B,2.090B,579.50M,2020-05,831.30M,195.90M,-34.40M,-34.40M,1.054B,701.30M,4.210B,260.30M,1.375B,226.10M,40.40M,1.401B,319.20M,3.650B,10.58B,1.939B,1.616B,1.582B,6.914B,8.960B,5.332B,319.20M,857.20M,494.30M
MKC,2020-02,-519.50M,170.80M,742.10M,813.90M,0.54,0.54,7.337B,2.065B,469.90M,2020-02,835.60M,144.70M,-35.30M,-35.30M,936.00M,699.40M,3.628B,195.20M,1.258B,164.40M,30.10M,1.212B,274.70M,3.562B,10.49B,1.902B,1.524B,2.072B,6.917B,8.967B,4.845B,274.70M,789.40M,409.90M
MKC,2019-11,-500.20M,155.40M,854.80M,698.40M,0.8,0.795,7.429B,2.093B,630.00M,2019-11,801.20M,213.40M,-28.40M,-28.40M,952.60M,697.60M,3.626B,303.10M,1.319B,268.10M,66.40M,1.485B,326.90M,3.444B,10.36B,1.889B,1.550B,2.154B,6.905B,8.812B,4.751B,326.90M,929.30M,502.90M
MKC,2019-08,-428.30M,162.90M,789.30M,802.90M,0.725,0.715,7.347B,1.741B,539.90M,2019-08,846.90M,191.90M,-41.30M,-41.30M,969.80M,701.20M,3.843B,261.20M,1.228B,219.10M,36.80M,1.329B,278.70M,3.469B,10.37B,1.877B,1.589B,2.030B,6.885B,8.777B,4.855B,278.70M,783.10M,494.60M
MKC,2019-05,-382.70M,139.40M,793.40M,693.20M,0.565,0.56,7.372B,0,508.50M,2019-05,816.50M,149.40M,-42.40M,-42.40M,962.00M,706.40M,3.978B,215.20M,1.167B,172.00M,32.10M,1.302B,293.30M,3.371B,10.24B,1.835B,1.473B,1.860B,6.854B,8.764B,4.994B,293.30M,706.60M,429.00M
MKC,2019-02,-327.40M,102.30M,764.60M,689.20M,0.56,0.555,7.408B,0,466.90M,2019-02,807.30M,148.00M,-43.00M,-43.00M,976.50M,704.40M,4.034B,199.00M,1.140B,160.00M,22.10M,1.232B,267.90M,3.331B,10.23B,1.780B,1.428B,1.829B,6.885B,8.800B,5.056B,267.90M,673.80M,435.70M
MKC,2018-11,-359.90M,96.60M,862.90M,643.50M,0.81,0.8,7.445B,0,605.00M,2018-11,786.30M,214.00M,-36.80M,-36.80M,941.50M,706.50M,4.053B,294.30M,1.216B,258.90M,55.80M,1.468B,310.70M,3.171B,10.26B,1.771B,1.480B,2.002B,7.074B,8.776B,5.072B,310.70M,710.00M,518.10M
MKC,2018-08,-354.10M,73.00M,795.70M,715.30M,0.66,0.65,7.435B,2.066B,522.50M,2018-08,806.30M,173.50M,-44.70M,-44.70M,961.00M,667.70M,4.270B,238.80M,1.140B,190.00M,24.90M,1.318B,283.70M,3.102B,10.28B,1.732B,1.474B,1.855B,7.166B,8.804B,5.311B,283.70M,646.30M,511.70M
MKC,2018-05,-308.40M,202.60M,795.90M,699.00M,0.47,0.465,7.470B,2.055B,505.40M,2018-05,797.60M,123.30M,-44.20M,-44.20M,947.70M,659.90M,4.456B,204.80M,1.148B,149.00M,33.10M,1.301B,300.60M,3.028B,10.38B,1.705B,1.564B,1.847B,7.344B,8.820B,5.497B,300.60M,624.10M,473.90M
MKC,2018-02,-224.30M,179.60M,755.00M,756.30M,1.61,1.59,7.533B,1.915B,460.40M,2018-02,827.70M,422.60M,-41.80M,-41.80M,823.10M,662.30M,4.379B,192.00M,1.115B,143.40M,-271.10M,1.215B,268.40M,3.060B,10.36B,1.692B,1.606B,1.872B,7.291B,8.757B,5.419B,268.40M,584.40M,502.00M
MKC,2017-11,-279.50M,186.80M,935.10M,583.20M,0.67,0.66,7.561B,1.866B,452.00M,2017-11,793.30M,175.70M,-44.80M,-44.80M,809.10M,1.094B,4.444B,289.80M,1.218B,223.10M,57.70M,1.387B,162.20M,2.560B,10.39B,1.673B,1.617B,1.947B,7.815B,8.769B,5.868B,162.20M,639.90M,555.10M
MKC,2017-08,-265.90M,166.10M,700.80M,674.70M,0.43,0.425,7.595B,1.809B,484.40M,2017-08,835.80M,108.20M,-36.90M,-36.90M,765.40M,1.106B,4.702B,197.90M,1.060B,133.00M,33.00M,1.185B,286.50M,2.522B,10.38B,1.664B,1.643B,1.734B,7.848B,8.739B,6.114B,286.50M,516.90M,556.20M
MKC,2017-05,-379.30M,130.00M,669.70M,906.80M,0.4,0.395,2.384B,1.719B,444.60M,2017-05,779.80M,100.00M,-14.90M,-14.90M,703.80M,79.90M,804.30M,137.30M,894.60M,118.90M,27.30M,1.114B,307.30M,1.798B,4.872B,1.103B,1.426B,1.801B,3.063B,3.446B,1.261B,307.30M,453.10M,429.70M
MKC,2017-02,-445.00M,125.70M,630.70M,889.60M,0.375,0.37,2.332B,1.665B,413.00M,2017-02,767.20M,93.50M,-14.50M,-14.50M,682.80M,0,803.50M,137.80M,848.80M,119.80M,33.30M,1.044B,275.20M,1.719B,4.751B,1.091B,1.385B,1.738B,3.020B,3.366B,1.281B,275.20M,448.40M,404.40M
MKC,2016-11,-514.40M,118.40M,687.00M,393.20M,0.625,0.62,2.196B,1.630B,540.00M,2016-11,756.30M,157.40M,-14.30M,-14.30M,669.40M,0,1.054B,225.00M,904.50M,207.00M,61.50M,1.227B,315.00M,1.627B,4.636B,1.084B,1.422B,1.423B,2.998B,3.214B,1.575B,315.00M,450.80M,465.20M
MKC,2016-08,-400.20M,134.20M,637.10M,559.90M,0.505,0.5,2.247B,1.605B,453.90M,2016-08,760.30M,127.70M,-14.10M,-14.10M,641.10M,0,1.058B,172.10M,781.30M,153.90M,34.30M,1.091B,281.80M,1.757B,4.716B,1.083B,1.468B,1.341B,2.942B,3.248B,1.601B,281.80M,361.00M,445.30M
MKC,2016-05,-387.70M,131.50M,630.50M,513.70M,0.37,0.365,2.247B,1.590B,432.80M,2016-05,739.60M,93.80M,-13.70M,-13.70M,637.10M,0,1.055B,128.90M,757.00M,112.00M,25.90M,1.063B,303.90M,1.756B,4.644B,1.074B,1.402B,1.271B,2.871B,3.242B,1.600B,303.90M,366.20M,399.60M
MKC,2016-02,-423.70M,111.80M,625.20M,390.20M,0.365,0.365,2.134B,1.533B,405.00M,2016-02,702.20M,93.40M,-13.90M,-13.90M,609.10M,100.40M,1.056B,130.70M,702.00M,116.30M,31.30M,1.030B,274.30M,1.710B,4.400B,1.048B,1.306B,1.092B,2.673B,3.094B,1.581B,274.30M,336.70M,371.20M
MKC,2015-11,-406.10M,112.60M,680.20M,343.00M,0.585,0.58,2.131B,1.531B,521.70M,2015-11,710.80M,149.20M,-13.80M,-13.80M,618.40M,108.20M,1.051B,214.60M,780.80M,198.90M,59.40M,1.202B,307.10M,1.670B,4.473B,1.040B,1.357B,1.239B,2.786B,3.115B,1.547B,307.10M,411.90M,455.20M
MKC,2015-08,-353.60M,108.40M,638.00M,684.80M,0.38,0.38,2.178B,1.491B,421.90M,2015-08,727.20M,97.60M,-13.60M,-13.60M,589.10M,139.30M,807.20M,150.40M,719.80M,125.30M,37.40M,1.060B,271.50M,1.745B,4.491B,1.034B,1.374B,1.405B,2.728B,3.116B,1.324B,271.50M,336.10M,422.90M
MKC,2015-05,-324.70M,89.50M,620.10M,622.60M,0.33,0.325,2.084B,1.486B,404.00M,2015-05,738.50M,84.30M,-13.00M,-13.00M,590.10M,0,807.90M,122.80M,716.20M,91.40M,14.50M,1.024B,281.20M,1.715B,4.378B,1.020B,1.359B,1.339B,2.643B,3.020B,1.304B,281.20M,337.80M,390.60M
MKC,2015-02,-314.90M,81.80M,620.70M,516.20M,0.275,0.275,1.974B,1.457B,389.70M,2015-02,708.40M,70.50M,-12.90M,-12.90M,580.60M,0,806.80M,122.10M,704.80M,80.60M,20.00M,1.010B,267.60M,1.684B,4.198B,1.007B,1.305B,1.221B,2.494B,2.893B,1.273B,267.60M,334.60M,384.10M
MKC,2014-11,-186.00M,77.30M,667.50M,270.80M,0.575,0.57,2.053B,1.481B,506.10M,2014-11,713.80M,148.00M,-12.40M,-12.40M,602.70M,0,1.014B,202.30M,723.90M,187.30M,48.60M,1.174B,303.80M,1.792B,4.414B,995.60M,1.416B,1.122B,2.605B,2.998B,1.483B,303.80M,372.10M,493.60M
MKC,2014-08,-29.60M,93.80M,622.70M,353.40M,0.475,0.47,2.106B,1.461B,420.10M,2014-08,705.60M,122.90M,-12.40M,-12.40M,578.80M,0,1.014B,159.60M,724.20M,145.20M,31.10M,1.043B,260.50M,1.952B,4.472B,988.50M,1.409B,1.078B,2.502B,3.063B,1.424B,260.50M,338.80M,476.80M
MKC,2014-05,8.80M,81.40M,620.90M,308.40M,0.325,0.32,2.139B,1.448B,412.50M,2014-05,687.30M,84.50M,-12.50M,-12.50M,575.00M,0,1.017B,121.70M,694.40M,109.50M,31.20M,1.033B,290.80M,1.962B,4.409B,984.10M,1.325B,1.003B,2.429B,3.085B,1.427B,290.80M,335.80M,417.10M
MKC,2014-02,6.60M,89.40M,601.90M,282.00M,0.315,0.31,2.142B,1.423B,391.50M,2014-02,682.90M,82.50M,-12.40M,-12.40M,571.00M,0,1.017B,124.60M,730.10M,112.40M,35.00M,993.40M,266.90M,1.972B,4.430B,971.70M,1.340B,1.012B,2.442B,3.090B,1.430B,266.90M,348.00M,428.00M
MKC,2013-11,-0.30M,63.00M,667.80M,214.10M,0.49,0.485,2.132B,1.408B,502.20M,2013-11,676.90M,130.00M,-11.90M,-11.90M,576.60M,0,1.019B,199.10M,724.50M,162.70M,39.60M,1.17B,303.10M,1.932B,4.450B,962.40M,1.370B,1.063B,2.502B,3.080B,1.439B,303.10M,387.30M,495.50M
MKC,2013-08,-183.60M,146.80M,608.80M,360.00M,0.395,0.39,2.104B,1.368B,407.60M,2013-08,640.80M,104.40M,-14.00M,-14.00M,549.70M,56.80M,1.019B,148.40M,694.30M,134.70M,35.30M,1.016B,259.20M,1.783B,4.353B,955.10M,1.371B,1.054B,2.556B,2.982B,1.501B,259.20M,324.70M,462.40M
