Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MKTX,2021-03,-6.582M,390.92M,48.09M,5.092M,2.15,2.11,238.33M,163.88M,147.38M,2021-03,80.46M,-0.191M,-0.191M,163.88M,0,92.75M,103.47M,436.66M,101.80M,21.34M,195.46M,27.43M,988.23M,1.546B,0.123M,1.119B,436.66M,557.64M,426.52M,120.97M,43.90M,436.66M,652.41M
MKTX,2020-12,-4.65M,460.86M,36.47M,4.068M,1.95,1.91,242.74M,324.68M,134.87M,2020-12,72.93M,-0.096M,-0.096M,161.13M,0,93.61M,91.70M,220.43M,90.29M,17.36M,171.35M,27.59M,955.06M,1.331B,0.123M,899.45M,220.43M,376.37M,431.98M,155.94M,43.18M,220.43M,359.49M
MKTX,2020-09,-10.60M,331.73M,37.58M,3.95M,1.81,1.78,206.26M,158.77M,126.42M,2020-09,67.78M,-1.046M,-1.046M,158.77M,0,93.71M,87.81M,198.24M,87.96M,20.19M,164.01M,24.75M,897.54M,1.246B,0.122M,870.51M,203.33M,347.96M,374.99M,144.63M,38.62M,198.24M,462.56M
MKTX,2020-06,-14.15M,481.22M,41.64M,3.731M,2.25,2.2,206.95M,156.39M,143.16M,2020-06,83.85M,0,0,156.39M,0,94.70M,104.14M,47.53M,104.40M,20.55M,184.80M,25.01M,853.48M,1.039B,0.122M,621.54M,51.60M,185.73M,417.68M,134.14M,39.02M,47.53M,99.22M
MKTX,2020-03,-14.62M,441.64M,41.19M,3.81M,2.01,1.96,207.68M,154.58M,127.78M,2020-03,74.82M,0,0,154.58M,0,96.30M,91.09M,55.54M,91.70M,16.89M,168.98M,23.12M,797.88M,975.60M,0.122M,555.50M,59.49M,177.72M,420.10M,118.23M,36.70M,55.54M,93.57M
MKTX,2019-12,-10.27M,270.12M,33.12M,3.545M,1.35,1.32,207.85M,288.38M,96.66M,2019-12,50.27M,0,0,153.19M,0,97.99M,60.85M,39.48M,61.96M,11.68M,129.77M,24.73M,770.09M,954.93M,0.122M,363.41M,39.48M,184.84M,591.52M,145.36M,35.81M,39.48M,62.02M
MKTX,2019-09,-12.80M,436.89M,32.68M,2.81M,1.46,1.42,62.39M,141.92M,98.92M,2019-09,54.00M,0,0,141.92M,0,92.03M,65.96M,29.56M,67.34M,13.34M,131.60M,23.47M,694.62M,855.03M,0.122M,528.30M,33.29M,160.40M,326.73M,127.11M,32.95M,29.56M,72.81M
MKTX,2019-06,-11.46M,413.63M,32.62M,0,1.3,1.27,62.48M,140.93M,92.87M,2019-06,48.10M,0,0,140.93M,0,89.71M,60.88M,29.91M,62.91M,14.80M,125.49M,23.04M,661.91M,812.01M,0.122M,502.56M,33.72M,150.10M,309.45M,116.38M,31.99M,29.91M,66.33M
MKTX,2019-03,-10.82M,260.95M,32.66M,0,1.42,1.39,62.58M,139.24M,91.83M,2019-03,52.52M,0,0,139.24M,0,90.84M,63.19M,32.57M,65.22M,12.70M,124.49M,19.98M,631.15M,774.81M,0.122M,349.12M,36.12M,143.66M,425.69M,107.54M,28.64M,32.57M,70.95M
MKTX,2018-12,-12.39M,246.32M,27.80M,0,1.24,1.21,62.68M,183.64M,84.64M,2018-12,45.83M,0,0,63.01M,0,0,53.96M,45.80M,56.07M,10.24M,112.44M,22.57M,607.88M,695.54M,0.122M,326.32M,48.61M,87.66M,369.21M,39.05M,30.68M,45.80M,57.54M
