Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MLM,2020-12,-158.40M,207.30M,854.20M,48.60M,2.94,2.93,2.922B,9.408B,325.40M,2020-12,709.00M,183.00M,-28.40M,-28.40M,5.695B,781.50M,3.036B,240.70M,333.90M,208.30M,25.20M,0,1.180B,84.90M,5.891B,10.58B,0.60M,1.668B,499.30M,4.688B,8.912B,4.188B,84.70M,207.80M,575.10M
MLM,2020-09,-138.60M,116.60M,916.90M,51.90M,4.72,4.71,2.919B,9.305B,404.50M,2020-09,714.50M,294.40M,-28.70M,-28.70M,5.650B,760.40M,3.048B,401.00M,328.20M,375.90M,81.50M,0,1.321B,71.10M,5.756B,10.44B,0.60M,1.653B,506.20M,4.676B,8.783B,4.170B,3.50M,210.70M,686.30M
MLM,2020-06,-142.20M,70.10M,890.10M,181.40M,3.49,3.49,2.878B,9.206B,380.50M,2020-06,712.90M,217.60M,-31.20M,-31.20M,5.628B,741.20M,3.045B,306.90M,298.80M,279.00M,61.40M,0,1.271B,71.20M,5.491B,10.23B,0.60M,1.587B,595.30M,4.733B,8.640B,4.138B,73.60M,197.20M,690.40M
MLM,2020-03,-145.40M,424.00M,815.80M,692.80M,0.42,0.41,2.880B,9.169B,142.40M,2020-03,700.50M,25.90M,-29.80M,-29.80M,5.663B,737.00M,3.053B,58.10M,280.80M,26.00M,0.10M,0,958.20M,78.70M,5.297B,10.50B,0.60M,1.833B,1.076B,5.204B,8.670B,4.128B,84.30M,202.00M,562.80M
MLM,2019-12,-145.80M,21.00M,841.80M,392.70M,2.1,2.09,2.884B,9.115B,258.60M,2019-12,690.80M,131.00M,-30.60M,-30.60M,5.688B,733.00M,2.868B,184.80M,329.90M,156.30M,25.20M,0,1.100B,73.80M,5.351B,10.13B,0.60M,1.427B,838.50M,4.778B,8.705B,3.940B,73.80M,229.60M,573.70M
MLM,2019-09,-134.76M,49.09M,999.60M,241.80M,3.97,3.96,2.889B,8.962B,420.60M,2019-09,649.72M,248.60M,-32.40M,-32.40M,5.617B,725.10M,3.170B,345.30M,362.52M,314.80M,66.20M,0,1.420B,78.20M,5.302B,10.22B,0.624M,1.578B,688.98M,4.919B,8.645B,4.230B,75.30M,238.56M,763.88M
MLM,2019-06,-137.33M,53.60M,922.60M,436.05M,3.02,3.01,2.888B,8.884B,356.90M,2019-06,646.34M,189.50M,-33.30M,-33.30M,5.620B,699.46M,3.171B,285.90M,295.69M,239.40M,49.90M,0,1.280B,72.40M,5.095B,10.16B,0.623M,1.533B,822.22M,5.066B,8.631B,4.244B,71.00M,199.18M,710.60M
MLM,2019-03,-140.32M,37.36M,796.10M,410.83M,0.68,0.68,2.896B,8.837B,142.90M,2019-03,646.18M,42.90M,-32.90M,-32.90M,5.645B,695.77M,3.247B,69.30M,296.90M,37.90M,-5.00M,0,939.00M,78.30M,4.972B,10.05B,0.625M,1.370B,757.64M,5.073B,8.678B,4.315B,73.60M,184.84M,550.61M
MLM,2018-12,-143.60M,44.90M,792.95M,390.00M,1.5,1.5,2.900B,8.295B,227.31M,2018-12,663.00M,94.38M,-33.57M,-33.57M,5.157B,705.60M,2.730B,147.58M,325.80M,116.06M,21.55M,0,1.020B,70.97M,4.946B,9.551B,0,1.366B,786.70M,4.602B,8.186B,3.815B,79.73M,210.80M,523.30M
MLM,2018-09,-121.49M,53.96M,906.66M,380.04M,2.86,2.85,2.908B,8.183B,312.98M,2018-09,651.30M,180.22M,-35.47M,-35.47M,5.103B,692.88M,2.830B,240.75M,337.84M,209.44M,29.09M,0,1.220B,68.44M,4.939B,9.588B,0.626M,1.455B,772.69M,4.646B,8.133B,3.873B,72.23M,191.38M,644.84M
MLM,2018-06,-125.88M,33.78M,886.49M,320.05M,2.94,2.92,2.916B,8.119B,315.92M,2018-06,650.92M,185.38M,-32.97M,-32.97M,5.113B,644.47M,2.899B,276.08M,304.94M,238.10M,52.60M,0,1.202B,71.07M,4.843B,9.597B,0.629M,1.457B,709.13M,4.741B,8.140B,4.032B,39.84M,188.76M,675.57M
MLM,2018-03,-127.48M,1.422B,691.61M,300.01M,0.16,0.16,2.659B,6.523B,110.39M,2018-03,606.79M,10.02M,-35.09M,-35.09M,3.582B,413.57M,2.728B,39.79M,277.79M,12.50M,2.457M,0,802.00M,70.12M,4.677B,8.948B,0.628M,2.602B,650.98M,4.268B,6.346B,3.617B,70.60M,162.33M,466.46M
MLM,2017-12,-129.10M,1.446B,711.42M,299.91M,5.98,5.95,2.667B,6.498B,259.06M,2017-12,600.59M,377.14M,-23.46M,-23.46M,3.593B,410.72M,2.727B,188.71M,292.85M,163.54M,-213.78M,0,970.48M,66.97M,4.680B,8.993B,0.628M,2.631B,694.22M,4.310B,6.361B,3.616B,70.35M,183.64M,487.24M
MLM,2017-09,-122.93M,35.22M,796.05M,81.08M,2.4,2.39,2.665B,6.376B,291.68M,2017-09,576.43M,151.55M,-23.14M,-23.14M,3.522B,662.98M,1.643B,228.28M,299.89M,204.30M,52.76M,0,1.088B,57.22M,4.331B,7.567B,0.627M,1.278B,468.50M,3.233B,6.289B,2.764B,63.40M,163.60M,582.53M
MLM,2017-06,-125.91M,36.72M,789.43M,143.83M,2.26,2.25,2.663B,6.306B,274.09M,2017-06,549.86M,142.28M,-24.04M,-24.04M,3.505B,663.41M,1.642B,214.83M,283.39M,194.23M,51.99M,0,1.064B,68.37M,4.198B,7.516B,0.627M,1.244B,534.32M,3.315B,6.272B,2.781B,59.26M,187.23M,570.62M
MLM,2017-03,-128.42M,55.42M,696.79M,290.05M,0.67,0.67,2.667B,6.212B,147.07M,2017-03,537.00M,42.33M,-20.85M,-20.85M,3.468B,667.16M,1.556B,77.17M,284.34M,56.84M,14.53M,0,843.86M,69.54M,4.073B,7.394B,0.626M,1.123B,631.56M,3.318B,6.271B,2.686B,69.90M,188.40M,479.22M
MLM,2016-12,-130.69M,50.04M,723.06M,180.04M,1.56,1.55,2.671B,6.116B,225.75M,2016-12,521.62M,98.86M,-20.78M,-20.78M,3.423B,663.02M,1.506B,157.78M,286.12M,136.37M,37.57M,0,948.82M,68.70M,4.140B,7.301B,0.63M,1.086B,546.59M,3.158B,6.215B,2.612B,67.97M,178.60M,457.91M
MLM,2016-09,-104.51M,60.68M,810.59M,228.02M,2.5,2.49,2.676B,6.013B,293.31M,2016-09,508.20M,159.48M,-20.57M,-20.57M,3.380B,676.14M,1.537B,242.98M,317.08M,230.35M,70.87M,0,1.104B,54.77M,4.155B,7.373B,0.633M,1.192B,604.91M,3.215B,6.182B,2.610B,50.33M,192.74M,566.42M
