Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MNST,2020-12,3.034M,2.062B,505.60M,5.039M,45.43M,0.89,0.88,2.391B,519.41M,690.68M,2020-12,333.08M,471.74M,-4.568M,-4.568M,314.66M,264.44M,25.28M,402.30M,649.54M,400.80M,-70.94M,1.196B,0,5.161B,6.203B,3.193M,3.141B,749.99M,1.042B,3.062B,291.87M,288.38M,320.23M,666.01M
MNST,2020-09,-32.53M,1.674B,509.83M,0,45.54M,0.66,0.65,2.391B,524.12M,736.53M,2020-09,318.96M,347.65M,-1.796M,-1.796M,304.69M,268.28M,0,458.60M,682.67M,454.03M,106.38M,1.246B,0,4.629B,5.698B,3.192M,2.826B,773.76M,1.068B,2.872B,294.60M,277.93M,313.60M,740.81M
MNST,2020-06,-53.44M,1.172B,434.43M,0,44.89M,0.59,0.59,2.387B,511.91M,659.47M,2020-06,340.54M,311.37M,0.872M,0.872M,301.95M,272.93M,0,407.26M,594.32M,405.47M,94.10M,1.094B,0,4.222B,5.194B,3.19M,2.371B,674.86M,972.27M,2.822B,297.41M,252.20M,284.47M,760.43M
MNST,2020-03,-62.68M,935.35M,424.90M,0,44.84M,0.52,0.52,2.385B,509.27M,637.20M,2020-03,352.30M,278.84M,3.121M,3.121M,295.57M,278.39M,0,364.99M,629.83M,365.86M,87.02M,1.062B,0,3.871B,4.881B,3.186M,2.049B,701.54M,1.011B,2.833B,309.01M,272.21M,318.24M,670.57M
MNST,2019-12,-32.39M,1.331B,406.44M,0,44.24M,0.47,0.47,2.384B,506.07M,610.77M,2019-12,360.73M,254.95M,2.973M,2.973M,298.64M,287.47M,0,317.04M,569.60M,321.23M,66.28M,1.017B,0,4.171B,5.150B,3.182M,2.316B,661.10M,979.07M,2.834B,317.97M,293.72M,288.76M,540.33M
MNST,2019-09,-43.08M,1.305B,460.58M,0,43.80M,0.55,0.55,2.379B,445.70M,673.00M,2019-09,317.74M,298.92M,2.742M,2.742M,251.76M,292.10M,0,395.44M,634.66M,398.56M,99.64M,1.134B,0,4.108B,5.137B,3.181M,2.361B,714.22M,1.029B,2.777B,315.17M,277.56M,325.11M,647.98M
MNST,2019-06,-28.76M,1.246B,442.76M,0,43.84M,0.54,0.53,2.377B,424.56M,661.28M,2019-06,299.53M,292.47M,2.988M,2.988M,240.16M,298.38M,0,378.99M,632.22M,381.96M,89.49M,1.104B,0,4.058B,5.084B,3.18M,2.327B,705.50M,1.027B,2.758B,321.25M,282.29M,307.81M,688.20M
MNST,2019-03,-34.12M,882.04M,372.46M,0,43.59M,0.48,0.48,2.374B,425.57M,573.53M,2019-03,300.78M,261.48M,0,0,241.23M,303.24M,0,311.46M,569.17M,314.20M,52.72M,945.99M,0,3.699B,4.656B,3.174M,1.907B,630.97M,957.03M,2.749B,326.06M,262.07M,273.85M,596.66M
MNST,2018-12,-32.86M,958.16M,372.03M,0,44.04M,0.43,0.43,2.378B,417.09M,552.20M,2018-12,277.70M,239.11M,0,0,243.05M,312.22M,0,306.51M,517.20M,310.90M,71.79M,924.23M,0,3.611B,4.527B,3.155M,1.804B,601.14M,915.99M,2.723B,314.84M,245.69M,258.95M,484.56M
MNST,2018-09,-29.78M,1.172B,408.50M,0,44.23M,0.48,0.48,2.374B,408.28M,607.66M,2018-09,262.08M,267.73M,0,0,242.85M,319.01M,0,339.57M,581.89M,342.56M,74.83M,1.016B,0,3.893B,4.871B,3.154M,2.153B,656.36M,978.09M,2.719B,321.73M,268.09M,285.37M,620.16M
MNST,2018-06,-25.20M,870.78M,395.62M,0,43.89M,0.48,0.48,2.371B,397.26M,620.26M,2018-06,275.57M,270.12M,0.476M,0.476M,240.66M,320.26M,0,357.62M,543.97M,358.10M,87.98M,1.016B,0,3.605B,4.542B,3.152M,1.829B,614.21M,936.91M,2.713B,322.70M,262.64M,283.10M,592.57M
MNST,2018-03,-13.72M,1.097B,335.66M,0,44.32M,0.38,0.38,2.368B,379.85M,515.26M,2018-03,268.61M,216.05M,1.805M,1.805M,231.20M,328.30M,0,279.92M,472.87M,281.72M,65.67M,850.92M,0,3.876B,4.740B,3.15M,2.039B,534.02M,864.52M,2.702B,330.50M,235.34M,235.82M,525.46M
MNST,2017-12,-16.66M,1.202B,306.74M,0,43.24M,0.36,0.35,2.366B,369.09M,503.61M,2017-12,255.74M,201.32M,3.996M,3.996M,230.28M,334.35M,0,267.11M,482.12M,267.84M,66.52M,810.36M,0,3.895B,4.791B,3.146M,2.086B,560.35M,895.80M,2.705B,335.45M,236.50M,256.56M,449.48M
MNST,2017-09,-15.53M,1.096B,339.77M,0,43.57M,0.39,0.38,2.365B,357.96M,569.71M,2017-09,213.34M,218.74M,-2.551M,-2.551M,225.42M,342.25M,0,317.37M,526.92M,321.37M,102.62M,909.48M,0,3.768B,4.709B,3.126M,1.934B,597.68M,940.75M,2.775B,343.07M,252.34M,239.71M,535.34M
MNST,2017-06,-16.83M,1.102B,323.57M,0,43.95M,0.39,0.39,2.365B,335.25M,583.50M,2017-06,190.60M,222.63M,0.658M,0.658M,211.56M,346.94M,0,350.04M,494.20M,347.49M,124.86M,907.07M,0,3.776B,4.684B,3.124M,1.880B,561.17M,908.11M,2.804B,346.94M,233.46M,251.62M,537.08M
