Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MPC,2020-12,-512.00M,415.00M,16.88B,3.351B,0,0.29,0.29,10.62B,60.86B,1.092B,2020-12,7.999B,285.00M,-344.00M,-344.00M,40.56B,7.41B,29.74B,389.00M,9.64B,57.00M,-193.00M,17.97B,630.00M,22.20B,85.16B,10.00M,28.29B,15.66B,55.91B,56.87B,40.24B,703.00M,9.64B,5.76B
MPC,2020-09,-334.00M,618.00M,16.97B,3.031B,0,-1.36,-1.36,8.256B,60.96B,435.00M,2020-09,7.403B,-886.00M,-353.00M,-353.00M,41.40B,6.951B,30.49B,-394.00M,8.602B,-1.416B,-436.00M,17.41B,673.00M,22.45B,84.02B,10.00M,26.20B,14.25B,54.47B,57.82B,40.23B,829.00M,8.602B,4.911B
MPC,2020-06,-336.00M,1.091B,13.23B,2.34B,0,0.01,0.01,12.71B,68.46B,1.792B,2020-06,8.086B,9.00M,-345.00M,-345.00M,47.48B,7.199B,32.30B,899.00M,8.197B,636.00M,360.00M,15.02B,746.00M,23.74B,84.59B,10.00M,14.64B,11.50B,53.74B,69.95B,42.24B,893.00M,8.197B,4.361B
MPC,2020-03,-326.00M,1.69B,27.00B,2.34B,0,-14.25,-14.25,12.71B,68.03B,-1.788B,2020-03,7.445B,-9.234B,-341.00M,-341.00M,47.90B,7.001B,31.85B,-2.789B,10.31B,-12.16B,-1.937B,25.22B,821.00M,24.09B,86.32B,10.00M,15.69B,13.57B,55.09B,70.62B,41.52B,1.001B,10.31B,5.583B
MPC,2019-12,-320.00M,1.393B,25.45B,1.218B,0,0.68,0.68,18.46B,59.39B,2.556B,2019-12,9.804B,443.00M,-303.00M,-303.00M,42.68B,7.564B,29.32B,1.657B,13.22B,261.00M,184.00M,28.01B,779.00M,33.69B,98.56B,10.00M,30.46B,16.95B,56.42B,68.10B,39.47B,899.00M,13.22B,7.233B
MPC,2019-09,-212.00M,1.525B,25.11B,1.143B,0,1.67,1.66,21.28B,65.81B,2.446B,2019-09,9.696B,1.095B,-306.00M,-306.00M,47.56B,7.445B,30.24B,1.574B,13.33B,1.368B,255.00M,27.55B,761.00M,33.74B,98.14B,10.00M,19.14B,15.34B,55.48B,79.00B,40.14B,872.00M,13.33B,7.461B
MPC,2019-06,-161.00M,1.247B,30.57B,1.169B,0,1.67,1.66,20.28B,65.49B,2.961B,2019-06,9.088B,1.106B,-319.00M,-319.00M,47.92B,6.409B,29.92B,1.931B,12.91B,1.72B,353.00M,33.53B,886.00M,34.21B,96.90B,10.00M,18.40B,14.89B,53.84B,78.50B,38.94B,1.03B,12.91B,7.603B
MPC,2019-03,-151.00M,877.00M,26.88B,1.163B,0,-0.01,-0.01,20.23B,64.56B,1.374B,2019-03,9.833B,-7.00M,-309.00M,-309.00M,47.77B,6.142B,29.72B,356.00M,13.06B,363.00M,104.00M,28.25B,867.00M,33.95B,96.44B,10.00M,18.15B,15.15B,53.58B,78.28B,38.43B,1.018B,13.06B,6.893B
MPC,2018-12,-144.00M,1.687B,19.83B,544.00M,0,1.38,1.35,23.50B,61.21B,2.086B,2018-12,9.837B,951.00M,-362.00M,-362.00M,45.06B,6.182B,26.98B,1.099B,11.96B,761.00M,239.00M,21.92B,1.005B,35.18B,92.94B,10.00M,18.02B,13.22B,48.89B,74.92B,35.68B,987.00M,11.96B,5.853B
MPC,2018-09,-168.00M,4.992B,21.16B,26.00M,0,1.63,1.62,3.713B,43.28B,1.827B,2018-09,5.339B,737.00M,-195.00M,-195.00M,27.72B,3.895B,18.42B,1.306B,9.166B,1.163B,222.00M,22.99B,445.00M,15.17B,53.03B,7.00M,15.87B,9.634B,34.00B,37.16B,24.37B,521.00M,9.166B,5.408B
MPC,2018-06,-233.00M,4.999B,20.19B,26.00M,0,2.3,2.27,3.586B,41.98B,2.129B,2018-06,5.485B,1.055B,-193.00M,-193.00M,26.93B,3.803B,17.24B,1.628B,9.258B,1.516B,281.00M,22.32B,424.00M,14.96B,51.74B,7.00M,15.55B,9.715B,32.92B,36.19B,23.20B,501.00M,9.258B,4.919B
MPC,2018-03,-233.00M,4.653B,18.04B,26.00M,0,0.08,0.08,3.586B,41.18B,827.00M,2018-03,5.111B,37.00M,-179.00M,-179.00M,26.62B,3.771B,17.23B,352.00M,8.042B,257.00M,22.00M,18.87B,402.00M,14.99B,50.36B,7.00M,14.52B,8.372B,31.50B,35.84B,23.13B,475.00M,8.042B,4.613B
