Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MRK,2020-12,-6.634B,8.062B,5.533B,6.431B,-0.8276,-0.83,34.84B,36.97B,6.982B,2020-12,6.31B,-2.094B,-196.00M,-196.00M,17.99B,1.015B,25.36B,-1.94B,20.90B,-1.993B,98.00M,5.837B,12.52B,3.085B,25.32B,91.59B,1.788B,27.76B,27.33B,66.18B,63.82B,38.86B,8.922B,7.843B,7.851B
MRK,2020-09,-6.383B,7.356B,3.481B,2.42B,1.16,1.16,36.92B,35.49B,9.07B,2020-09,8.209B,2.941B,-194.00M,-194.00M,16.92B,1.777B,26.32B,3.23B,17.98B,3.428B,483.00M,3.39B,12.55B,2.45B,29.19B,89.80B,1.788B,26.58B,20.40B,60.53B,63.22B,40.12B,5.84B,6.295B,8.422B
MRK,2020-06,-6.393B,11.10B,3.159B,4.718B,1.19,1.18,36.63B,33.97B,7.713B,2020-06,7.977B,3.002B,-195.00M,-195.00M,15.79B,2.091B,26.16B,3.212B,17.46B,3.519B,509.00M,2.123B,10.87B,2.378B,27.64B,90.62B,1.788B,29.34B,22.18B,62.87B,61.27B,40.69B,4.501B,6.278B,7.577B
MRK,2020-03,-6.391B,7.432B,3.312B,6.361B,1.27,1.26,35.86B,32.98B,8.745B,2020-03,7.476B,3.219B,-187.00M,-187.00M,15.27B,1.943B,21.64B,3.981B,17.12B,3.838B,619.00M,2.209B,12.06B,2.555B,26.20B,84.91B,1.788B,26.17B,23.48B,58.61B,58.74B,35.13B,4.764B,6.19B,8.182B
MRK,2019-12,-6.193B,10.45B,3.669B,3.61B,0.9283,0.92,33.62B,32.74B,8.199B,2019-12,5.978B,2.356B,-170.00M,-170.00M,15.05B,1.47B,22.74B,2.762B,18.61B,2.791B,428.00M,2.548B,11.87B,2.889B,25.91B,84.40B,1.788B,27.48B,22.22B,58.40B,56.91B,36.18B,5.437B,6.061B,6.778B
MRK,2019-09,-5.39B,8.018B,3.99B,3.411B,0.74,0.74,31.79B,31.57B,8.407B,2019-09,7.37B,1.901B,-170.00M,-170.00M,14.29B,1.96B,22.68B,2.614B,17.27B,2.347B,440.00M,3.204B,12.40B,2.589B,26.84B,83.33B,1.788B,26.14B,20.68B,56.41B,57.19B,35.72B,5.793B,5.505B,8.442B
MRK,2019-06,-5.362B,7.105B,3.401B,3.816B,1.04,1.03,32.87B,30.91B,8.359B,2019-06,5.847B,2.67B,-158.00M,-158.00M,13.86B,2.089B,22.77B,3.458B,16.27B,3.259B,615.00M,2.189B,11.76B,2.712B,27.64B,83.96B,1.788B,24.30B,20.08B,56.23B,59.67B,36.14B,4.901B,5.215B,7.964B
MRK,2019-03,-5.346B,8.798B,3.052B,3.175B,1.13,1.12,29.17B,30.13B,7.764B,2019-03,5.712B,2.915B,-120.00M,-120.00M,13.51B,1.835B,22.72B,3.408B,15.37B,3.067B,205.00M,1.931B,10.82B,2.425B,27.54B,82.35B,1.788B,25.35B,18.54B,54.68B,57.00B,36.14B,4.356B,5.287B,7.608B
MRK,2018-12,-5.545B,8.864B,3.289B,5.308B,0.7047,0.69,31.36B,29.62B,7.709B,2018-12,5.44B,1.827B,-117.00M,-117.00M,13.29B,1.702B,19.81B,2.852B,16.90B,2.604B,826.00M,2.214B,11.00B,2.643B,26.70B,82.64B,1.788B,25.88B,22.21B,55.76B,56.76B,33.55B,4.857B,6.747B,7.071B
MRK,2018-09,-5.151B,10.28B,3.619B,3.656B,0.73,0.73,30.43B,29.32B,7.175B,2018-09,5.416B,1.95B,-98.00M,-98.00M,12.76B,2.065B,19.94B,2.664B,14.93B,2.665B,707.00M,2.068B,10.79B,2.443B,32.42B,85.13B,1.788B,26.84B,18.59B,52.47B,58.29B,33.89B,4.511B,5.154B,7.374B
MRK,2018-06,-5.122B,7.594B,3.417B,3.379B,0.64,0.63,31.17B,29.19B,7.048B,2018-06,5.178B,1.707B,-113.00M,-113.00M,12.63B,2.159B,19.96B,2.266B,14.75B,2.086B,370.00M,2.274B,10.46B,2.508B,32.53B,85.04B,1.788B,24.06B,18.13B,52.27B,60.98B,34.15B,4.782B,4.994B,7.287B
